日期,市场指数收盘,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差,市场120日新高数,市场120日新低数,市场120日高低差
2024-03-27,2993.14,134,1894,-1760,49,50,-1,34,45,-11
2024-03-28,3010.66,221,241,-20,92,20,72,60,15,45
2024-03-29,3041.17,391,178,213,179,21,158,129,16,113
2024-04-01,3077.38,836,52,784,277,13,264,177,10,167
2024-04-02,3074.96,957,134,823,272,13,259,169,11,158
2024-04-03,3069.3,860,394,466,293,26,267,197,24,173
2024-04-08,3047.05,375,1156,-781,183,63,120,130,61,69
2024-04-09,3048.54,456,177,279,182,13,169,101,12,89
2024-04-10,3027.33,271,1530,-1259,135,59,76,96,55,41
2024-04-11,3034.25,423,989,-566,247,68,179,171,65,106
2024-04-12,3019.47,361,1669,-1308,210,115,95,162,106,56
2024-04-15,3057.38,371,2730,-2359,261,139,122,204,133,71
2024-04-16,3007.07,121,3802,-3681,80,457,-377,59,436,-377
2024-04-17,3071.38,377,115,262,277,39,238,207,38,169
2024-04-18,3074.22,276,175,101,200,62,138,140,61,79
2024-04-19,3065.26,344,413,-69,259,132,127,186,129,57
2024-04-22,3044.6,220,485,-265,147,128,19,76,124,-48
2024-04-23,3021.98,157,392,-235,75,107,-32,36,98,-62
2024-04-24,3044.82,218,206,12,119,101,18,60,97,-37
2024-04-25,3052.9,233,170,63,134,54,80,72,50,22
2024-04-26,3088.64,387,129,258,181,40,141,80,36,44
2024-04-29,3113.04,757,77,680,347,24,323,132,20,112
2024-04-30,3104.82,543,141,402,306,30,276,132,27,105
2024-05-06,3140.72,1113,64,1049,661,24,637,276,20,256
2024-05-07,3147.74,1005,86,919,538,33,505,205,31,174
2024-05-08,3128.48,406,156,250,253,50,203,86,47,39
2024-05-09,3154.32,843,80,763,468,52,416,199,51,148
2024-05-10,3154.55,578,123,455,374,66,308,208,65,143
2024-05-13,3148.02,519,279,240,396,95,301,238,89,149
2024-05-14,3145.77,538,123,415,356,74,282,193,57,136
2024-05-15,3119.9,302,210,92,172,111,61,94,52,42
2024-05-16,3122.4,461,198,263,196,114,82,84,45,39
2024-05-17,3154.03,735,105,630,332,51,281,152,32,120
2024-05-20,3171.15,658,124,534,328,74,254,164,50,114
2024-05-21,3157.97,357,326,31,202,153,49,101,87,14
2024-05-22,3158.54,472,216,256,201,78,123,90,49,41
2024-05-23,3116.39,174,880,-706,75,272,-197,34,93,-59
2024-05-24,3088.87,151,1371,-1220,86,370,-284,41,109,-68
2024-05-27,3124.04,221,581,-360,130,215,-85,83,104,-21
2024-05-28,3109.57,218,1639,-1421,126,409,-283,68,145,-77
2024-05-29,3111.02,206,1065,-859,118,312,-194,60,128,-68
2024-05-30,3091.68,154,1492,-1338,72,335,-263,32,136,-104
2024-05-31,3086.81,184,819,-635,91,191,-100,36,94,-58
2024-06-03,3078.49,161,2491,-2330,81,641,-560,33,256,-223
2024-06-04,3091.2,176,2172,-1996,103,658,-555,65,254,-189
2024-06-05,3065.4,118,3061,-2943,61,1032,-971,33,350,-317
2024-06-06,3048.79,98,3752,-3654,58,1883,-1825,44,700,-656
2024-06-07,3051.28,120,673,-553,65,286,-221,46,139,-93
2024-06-11,3028.05,174,511,-337,72,207,-135,33,96,-63
