日期,股票代码,股票简称,申万一级行业,申万一级行业开盘涨幅,竞价未匹配占比,竞昨成交比估算,大单动向(ddx值)昨日,个股热度排名昨日,实体涨跌幅昨日,实体涨跌幅前日
20250910,600050.SH,中国联通,通信,0.0278803421098565,0.03974700443469238,0.017816463732681895,-28722.614,87,-2.546,5.124
20250911,688256.SH,寒武纪,电子,0.002275962625208,0.015066104306918647,0.007240039908974518,-82.63,34,0.394,4.073
20250912,600376.SH,首开股份,房地产,0.0002790884274239,-0.040305241438139044,0.0585336657710739,5979.365,7,5.252,6.849
20250915,300274.SZ,阳光电源,电力设备,0.0169732345991338,0.018464031771307995,0.009782844662449644,-2507.051,27,-1.518,8.608
20250915,300450.SZ,先导智能,电力设备,0.0169732345991338,0.013086256007385574,0.00958617580565126,-8568.462,10,-5.939,4.392
20250915,002642.SZ,荣联科技,计算机,0.0009371578558119,0.003604563049132652,0.02374359071398241,-6642.521,34,-6.192,0.703
20250916,000737.SZ,北方铜业,有色金属,0.0111510375093839,0.12373490181711783,0.01714880597443715,-4840.576,60,-0.57,7.07
20250916,300476.SZ,胜宏科技,电子,0.0013608641245617,0.020018699843034386,0.00808773664571498,-62.021,50,-2.211,6.115
20250917,300750.SZ,宁德时代,电力设备,0.000652257732842,-0.001287820015515904,0.00689543666866122,-79.084,76,-0.755,2.512
20251015,000021.SZ,深科技,电子,0.0005099737886142,0.15374519408820897,0.008928219111370895,-7849.365,18,-8.413,4.459
20251015,000063.SZ,中兴通讯,通信,0.0044891984207957,0.11333723962134286,0.0048489115377878455,-11389.133,24,-7.226,5.153
20251015,002475.SZ,立讯精密,电子,0.0005099737886142,0.02380723816837861,0.0041925855471568385,-6880.049,29,-6.446,4.771
20251020,300502.SZ,新易盛,通信,0.0338629508664847,0.008609866569305848,0.030988289785221976,-678.452,98,-1.919,2.187
20251021,002185.SZ,华天科技,电子,0.0067902323269573,0.022379155028095996,0.010207150426914627,-8933.976,4,-4.094,0.0
20251023,002208.SZ,合肥城建,房地产,0.0056593867688581,-0.0017423003725842334,0.018069870202640705,5978.036,5,2.463,12.235
20251024,300475.SZ,香农芯创,电子,0.0143922028244678,0.10405771741436456,0.025793709875850324,835.804,84,0.711,7.177
20251024,601608.SH,中信重工,机械设备,0.000518385402267,0.09028875008256905,0.01758778880537935,-14430.873,11,-11.18,0.0
20251024,600172.SH,黄河旋风,机械设备,0.000518385402267,0.008860133824169501,0.02459508073074473,-11353.224,1,-4.686,3.763
20251027,300520.SZ,科大国创,计算机,0.0089199329389435,0.03913950458293216,0.028208249452178372,-3114.448,27,-5.534,11.952
20251027,000555.SZ,神州信息,计算机,0.0089199329389435,0.014928017718715393,0.03566886259292607,-4513.853,20,-5.485,9.028
20251029,000063.SZ,中兴通讯,通信,0.0140959866803476,0.015484632368496861,0.06278135108376573,-2856.693,49,-2.004,1.624
20251029,601138.SH,工业富联,电子,0.004899089563946,0.008739115333495326,0.025739468721130115,1679.27,6,3.948,5.053
20251031,002709.SZ,天赐材料,电力设备,9.043913975070872e-05,0.08534850640113797,0.00930074720099127,1715.265,10,4.492,5.835
20251031,300274.SZ,阳光电源,电力设备,9.043913975070872e-05,0.0026829670532607756,0.009098371018010854,-2502.471,12,-0.113,12.648
20251103,300438.SZ,鹏辉能源,电力设备,0.0016547405215725,0.0009602600088639386,0.011383446205365947,-1617.468,83,2.04,6.791
20251103,002709.SZ,天赐材料,电力设备,0.0016547405215725,-0.0007598218815173891,0.008304404223347737,-7265.822,7,-4.549,4.492
20251106,603686.SH,福龙马,环保,0.0002896004005321,0.013004510128929064,0.01174342276989796,-151.046,2,0.853,11.567
20251106,600745.SH,闻泰科技,电子,0.009585704191305,-0.0016440199696114606,0.03258604845157338,-1934.2,47,-0.462,2.142
20251107,002320.SZ,海峡股份,交通运输,0.001813275956308,0.1432967884316321,0.024425756545212812,-5228.598,74,-12.438,8.757
20251110,603516.SH,淳中科技,计算机,0.0015072010717875,0.06765064963086982,0.023022073092190596,113.822,63,4.837,10.0
20251111,000572.SZ,海马汽车,汽车,0.0022766158661826,0.05758085198193008,0.026786259907672257,-10912.719,2,-1.932,0.0
20251125,002474.SZ,榕基软件,计算机,0.0034294742115099,0.06879525619489898,0.033313626916317104,-1575.63,5,-4.154,13.285
20251128,002413.SZ,雷科防务,国防军工,0.0007501965514964,-0.01771815053323793,0.01550788633322289,-18301.952,12,-8.3,0.0
20251201,000070.SZ,特发信息,通信,0.0084244488259543,0.12814025430085121,0.027729553461271438,-5957.215,6,-4.369,6.333
20251205,002565.SZ,顺灏股份,轻工制造,0.0002409058058296,0.08141378912254905,0.021912864710773323,-978.922,9,2.076,9.877
