日期,股票代码,股票简称,开盘价:不复权今日,收盘价:不复权今日,开盘价:不复权明日,收盘价:不复权明日,涨跌幅:前复权今日,涨跌幅:前复权昨日,开盘收益率,收益率,量比,个股热度排名昨日,连续涨停天数昨日,竞价涨幅今日,实体涨跌幅今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,换手率昨日,个股热度昨日,个股热度前日,大单动向(ddx值)昨日,最低价:不复权今日,开盘后最大跌幅,基础代码,竞价强度,竞价匹配金额_openapi,竞价未匹配金额,竞价换手率_openapi,竞价量比_openapi,昨日涨停_openapi,昨日炸板_openapi,连续涨停天数_openapi,个股热度排名_openapi,集合竞价评级_unifiedwap,昨收估算,昨日成交额估算,竞昨成交比估算,昨日前日成交量比,industry_code,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,市场指数收盘,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差,市场120日新高数,市场120日新低数,市场120日高低差,一级行业候选数,竞价未匹配占比
20250910,600050.SH,中国联通,5.55,5.76,5.68,5.77,5.30164534,-3.18584071,0.0234234234234234,0.0396396396396395,0.7556357395458198,87,0,1.463,3.861,-2.546,5.124,861678410.0,1140335700.0,2.800673,6630376.5,8707483.5,-28722.614,5.52,-0.005405405,600050,9.847226586849516,83975385.0,3337770.0,0.1,2.101,,,0.0,,,5.4699742763371875,4713358737.175128,0.017816463732681895,0.7556357395458198,730102,801770,通信,0.0278803421098565,1.0,3812.22,392,319,73,310,58,252,234,13,221,1,0.03974700443469238
20250911,688256.SH,寒武纪,1295.0,1387.0,1387.0,1488.0,8.95522388,3.65858624,0.071042471042471,0.149034749034749,1.3379350220126096,34,0,1.728,7.104,0.394,4.073,13858537.0,10358154.0,3.312663,12216679.0,10592238.0,-82.63,1276.0,-0.014671815,688256,8.048397905742736,127728440.0,1924370.0,0.0,0.672,,,0.0,,,1273.0025165146274,17641952476.211075,0.007240039908974518,1.3379350220126096,270104,801080,电子,0.002275962625208,3.0,3875.31,504,52,452,428,16,412,358,6,352,1,0.015066104306918647
20250912,600376.SH,首开股份,5.0,5.51,6.01,6.06,9.98003992,7.05128205,0.2019999999999999,0.2119999999999999,2.232676255393373,7,0,-0.2,10.2,5.252,6.849,443731809.0,198744358.0,17.201806,25999008.0,17927744.0,5979.365,4.95,-0.01,600376,9.500147281535366,130126500.0,-5244780.0,1.0,1.234,,1.0,0.0,,,5.01002004008016,2223105255.511022,0.0585336657710739,2.232676255393373,430101,801180,房地产,0.0002790884274239,13.0,3870.6,456,158,298,377,60,317,325,15,310,1,-0.040305241438139044
20250915,300274.SZ,阳光电源,138.0,136.67,137.81,140.31,2.05346476,-2.49017038,-0.001376812,0.0167391304347826,0.8387484641904642,27,0,3.047,-0.97,-1.518,8.608,112950176.0,134665136.0,7.105083,15015404.0,19959729.5,-2507.051,136.57,-0.010362319,300274,9.161688071841423,147977540.0,2732262.0,0.1,0.59,,,0.0,,,133.91947363824275,15126228117.266878,0.009782844662449644,0.8387484641904642,630503,801730,电力设备,0.0169732345991338,1.0,3860.5,487,343,144,399,126,273,327,30,297,2,0.018464031771307995
20250915,300450.SZ,先导智能,55.79,55.59,54.85,55.0,1.44160584,-8.86412772,-0.016848898,-0.014160244,1.0956345451131124,10,0,1.807,-0.359,-5.939,4.392,261498581.0,238673180.0,16.769024,25766692.0,26613727.5,-8568.462,54.88,-0.016311167,300450,8.867817248808878,137370490.0,1797665.4,0.2,0.527,,,0.0,,,54.799768188827876,14330061620.50743,0.00958617580565126,1.0956345451131124,630703,801730,电力设备,0.0169732345991338,1.0,3860.5,487,343,144,399,126,273,327,30,297,2,0.013086256007385574
20250915,002642.SZ,荣联科技,10.53,11.17,11.57,11.16,10.04926108,1.19641077,0.0987654320987655,0.0598290598290599,4.272202907544037,34,0,3.744,6.078,-6.192,0.703,213342133.0,49937266.0,32.247352,12939418.5,8314194.0,-6642.521,10.4,-0.012345679,002642,9.217088196336372,51414831.0,185328.0,0.7000000000000001,1.066,,,0.0,,,10.149984577421344,2165419359.664173,0.02374359071398241,4.272202907544037,710301,801750,计算机,0.0009371578558119,6.0,3860.5,487,343,144,399,126,273,327,30,297,1,0.003604563049132652
20250916,000737.SZ,北方铜业,14.67,13.86,13.68,15.25,-0.71633238,2.42112986,-0.067484663,0.0395364689843217,2.6438899846183777,60,0,5.086,-5.522,-0.57,7.07,290434543.0,109851221.0,15.249604,8780812.5,6452163.0,-4840.576,13.23,-0.098159509,000737,9.54248804010219,69529228.0,8603192.2,,1.892,,,0.0,,,13.959994671031346,4054464672.563424,0.01714880597443715,2.6438899846183777,240302,801050,有色金属,0.0111510375093839,1.0,3861.87,649,194,455,523,80,443,429,29,400,1,0.12373490181711783
20250916,300476.SZ,胜宏科技,340.01,346.99,341.1,333.87,5.28887001,-2.95070381,0.003205788065057,-0.018058292,0.6934702296436682,50,0,3.171,2.053,-2.211,6.115,49799360.0,71811821.0,5.823107,9568415.5,18893967.5,-62.021,329.58,-0.030675568,300476,8.867617842884798,132734804.0,2657178.2,,0.276,,,0.0,,,329.5596630836185,16411860303.379827,0.00808773664571498,0.6934702296436682,270202,801080,电子,0.0013608641245617,13.0,3861.87,649,194,455,523,80,443,429,29,400,1,0.020018699843034386
20250917,300750.SZ,宁德时代,356.8,377.1,374.59,366.89,6.70024334,-0.36086834,0.0498598654708519,0.0282791479820627,0.5253887462042405,76,0,0.956,5.69,-0.755,2.512,37744465.0,71841023.0,0.887181,7820239.5,27639837.5,-79.084,354.0,-0.007847534,300750,8.734973362435477,91983040.0,-118457.6,0.0,0.432,,,0.0,,,353.42129244423313,13339697602.916122,0.00689543666866122,0.5253887462042405,630701,801730,电力设备,0.000652257732842,7.0,3876.34,564,218,346,469,69,400,411,21,390,1,-0.001287820015515904
20251015,000021.SZ,深科技,29.5,29.5,29.48,30.44,2.25303293,-8.09174896,-0.000677966,0.031864406779661,0.8797500351428345,18,0,2.253,0.0,-8.413,4.459,271820585.0,308974793.0,17.346234,16936659.5,24501753.5,-7849.365,28.0,-0.050847458,000021,9.09456420891308,70015330.0,10764520.5,0.2,0.656,,,0.0,,,28.85000929068096,7842026402.648334,0.008928219111370895,0.8797500351428345,270504,801080,电子,0.0005099737886142,17.0,3912.21,553,97,456,286,28,258,264,5,259,2,0.15374519408820897
