日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,0.0,1037008.08,1037008.08,1,1.0370080799999999,1.0370080799999999,0.0
20250911,1036939.26,0.0,1036939.26,0,1.03693926,1.0370080799999999,-6.636399592940823e-05
20250912,0.0,1141793.46,1141793.46,1,1.14179346,1.14179346,0.0
20250915,0.0,1255765.58,1255765.58,1,1.25576558,1.25576558,0.0
20250916,0.0,1382171.02,1382171.02,1,1.38217102,1.38217102,0.0
20250917,0.0,1521009.79,1521009.79,1,1.5210097900000001,1.5210097900000001,0.0
20250918,0.0,1672281.88,1672281.88,1,1.6722818799999999,1.6722818799999999,0.0
20250919,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250922,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250923,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250924,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250925,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250926,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250929,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250930,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251009,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251010,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251013,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251014,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251015,0.0,1523065.82,1523065.82,3,1.52306582,1.6722818799999999,-0.08922901203713329
20251016,1580821.24,0.0,1580821.24,0,1.58082124,1.6722818799999999,-0.05469211924965667
20251017,1580821.24,0.0,1580821.24,0,1.58082124,1.6722818799999999,-0.05469211924965667
20251020,0.0,1552352.06,1552352.06,1,1.55235206,1.6722818799999999,-0.07171627070431441
20251021,1719838.99,0.0,1719838.99,0,1.71983899,1.71983899,0.0
20251022,1719838.99,0.0,1719838.99,0,1.71983899,1.71983899,0.0
20251023,0.0,1644946.79,1644946.79,1,1.64494679,1.71983899,-0.04354605311047166
20251024,1640840.32,0.0,1640840.32,0,1.6408403200000001,1.71983899,-0.04593375918288711
20251027,0.0,1757723.62,1757723.62,2,1.7577236200000002,1.7577236200000002,0.0
20251028,1760596.26,0.0,1760596.26,0,1.76059626,1.76059626,0.0
20251029,0.0,1803878.94,1803878.94,2,1.80387894,1.80387894,0.0
20251030,1742360.08,0.0,1742360.08,0,1.74236008,1.80387894,-0.03410365221071865
20251031,0.0,1638517.4,1638517.4,3,1.6385174,1.80387894,-0.09166997647857678
20251103,1149799.98,574014.5,1723814.48,1,1.72381448,1.80387894,-0.044384608204362075
20251104,1149799.98,630785.16,1780585.14,1,1.78058514,1.80387894,-0.012913172543607576
20251105,1149799.98,693863.68,1843663.66,1,1.8436636599999998,1.8436636599999998,0.0
20251106,709405.84,1090725.76,1800131.6,2,1.8001316,1.8436636599999998,-0.02361171451413202
20251107,1161258.62,693418.97,1854677.59,1,1.85467759,1.85467759,0.0
20251110,680977.13,1080519.65,1761496.77,1,1.76149677,1.85467759,-0.050240980158713255
20251111,1020713.65,697969.6,1718683.26,1,1.71868326,1.85467759,-0.0733250516064089
20251112,1660009.75,0.0,1660009.75,0,1.66000975,1.85467759,-0.10496047455881541
20251113,1660009.75,0.0,1660009.75,0,1.66000975,1.85467759,-0.10496047455881541
20251114,1660009.75,0.0,1660009.75,0,1.66000975,1.85467759,-0.10496047455881541
20251117,0.0,1644804.36,1644804.36,1,1.6448043600000002,1.85467759,-0.11315887523070789
20251118,1669024.5,0.0,1669024.5,0,1.6690245,1.85467759,-0.10009992626265585
20251119,1669024.5,0.0,1669024.5,0,1.6690245,1.85467759,-0.10009992626265585
20251120,1669024.5,0.0,1669024.5,0,1.6690245,1.85467759,-0.10009992626265585
20251121,1669024.5,0.0,1669024.5,0,1.6690245,1.85467759,-0.10009992626265585
20251124,1669024.5,0.0,1669024.5,0,1.6690245,1.85467759,-0.10009992626265585
20251125,-0.0,1833958.34,1833958.34,3,1.8339583400000001,1.85467759,-0.011171348654727575
20251126,1787219.99,0.0,1787219.99,0,1.78721999,1.85467759,-0.03637160461943145
20251127,1787219.99,0.0,1787219.99,0,1.78721999,1.85467759,-0.03637160461943145
20251128,0.0,1954165.67,1954165.67,1,1.9541656699999999,1.9541656699999999,0.0
20251201,0.0,2150602.69,2150602.69,1,2.15060269,2.15060269,0.0
20251202,0.0,2364897.62,2364897.62,1,2.3648976200000003,2.3648976200000003,0.0
20251203,2230768.82,0.0,2230768.82,0,2.2307688199999998,2.3648976200000003,-0.056716535576707305
20251204,2230768.82,0.0,2230768.82,0,2.2307688199999998,2.3648976200000003,-0.056716535576707305
20251205,0.0,2428845.65,2428845.65,2,2.42884565,2.42884565,0.0
20251208,1186345.36,1326246.25,2512591.61,1,2.51259161,2.51259161,0.0
20251209,2521330.1,0.0,2521330.1,0,2.5213301,2.5213301,0.0
20251210,2521330.1,0.0,2521330.1,0,2.5213301,2.5213301,0.0
20251211,2521330.1,0.0,2521330.1,0,2.5213301,2.5213301,0.0
20251212,2521330.1,0.0,2521330.1,0,2.5213301,2.5213301,0.0
20251215,2521330.1,0.0,2521330.1,0,2.5213301,2.5213301,0.0
20251216,2521330.1,0.0,2521330.1,0,2.5213301,2.5213301,0.0
20251217,2521330.1,0.0,2521330.1,0,2.5213301,2.5213301,0.0
20251218,2521330.1,0.0,2521330.1,0,2.5213301,2.5213301,0.0
20251219,-0.0,2600264.28,2600264.28,3,2.6002642799999998,2.6002642799999998,0.0
20251222,2628196.77,0.0,2628196.77,0,2.62819677,2.62819677,0.0
20251223,2628196.77,0.0,2628196.77,0,2.62819677,2.62819677,0.0
20251224,0.0,2951806.18,2951806.18,1,2.95180618,2.95180618,0.0
20251225,0.0,3246901.76,3246901.76,1,3.2469017599999996,3.2469017599999996,0.0
20251226,0.0,3571762.02,3571762.02,1,3.57176202,3.57176202,0.0
20251229,3606081.86,0.0,3606081.86,0,3.6060818599999998,3.6060818599999998,0.0
20251230,3606081.86,0.0,3606081.86,0,3.6060818599999998,3.6060818599999998,0.0
20251231,0.0,3716634.5,3716634.5,3,3.7166345,3.7166345,0.0
20260105,2390503.5,1332141.83,3722645.34,1,3.7226453399999997,3.7226453399999997,0.0
20260106,1357290.05,2531518.78,3888808.84,2,3.88880884,3.88880884,0.0
20260107,2527226.57,1351191.19,3878417.76,1,3.8784177599999996,3.88880884,-0.002672047001415545
20260108,1370446.85,2491867.34,3862314.19,2,3.8623141899999998,3.88880884,-0.006813050239826146
20260109,2509618.63,1309814.15,3819432.78,1,3.8194327799999996,3.88880884,-0.017839925502740828
20260112,1370721.4,2662138.27,4032859.67,2,4.03285967,4.03285967,0.0
20260113,2391554.3,1254278.06,3645832.35,1,3.64583235,4.03285967,-0.09596845704279111
20260114,1322606.93,2414569.83,3737176.76,2,3.7371767599999997,4.03285967,-0.07331842270623812
20260115,3763111.23,0.0,3763111.23,0,3.76311123,4.03285967,-0.06688763360813887
20260116,0.0,3673354.82,3673354.82,1,3.6733548199999997,4.03285967,-0.08914390269374284
20260119,3531703.38,0.0,3531703.38,0,3.5317033799999997,4.03285967,-0.12426821933032939
20260120,0.0,3539804.99,3539804.99,2,3.5398049900000004,4.03285967,-0.1222593197744466
20260121,1571777.21,2092779.12,3664556.33,1,3.66455633,4.03285967,-0.09132560270811496
20260122,0.0,4051945.48,4051945.48,3,4.05194548,4.05194548,0.0
20260123,4383356.93,0.0,4383356.93,0,4.38335693,4.38335693,0.0
20260126,0.0,4555525.59,4555525.59,1,4.55552559,4.55552559,0.0
20260127,0.0,5010678.89,5010678.89,1,5.010678889999999,5.010678889999999,0.0
20260128,0.0,5513743.07,5513743.07,1,5.51374307,5.51374307,0.0
20260129,0.0,6064718.12,6064718.12,1,6.06471812,6.06471812,0.0
20260130,5448026.47,0.0,5448026.47,0,5.448026469999999,6.06471812,-0.10168512992653334
20260202,5448026.47,0.0,5448026.47,0,5.448026469999999,6.06471812,-0.10168512992653334
20260203,-0.0,5776977.02,5776977.02,3,5.7769770199999995,6.06471812,-0.04744509049004253
20260204,5729333.27,0.0,5729333.27,0,5.72933327,6.06471812,-0.05530097909975085
20260205,5729333.27,0.0,5729333.27,0,5.72933327,6.06471812,-0.05530097909975085
20260206,5729333.27,0.0,5729333.27,0,5.72933327,6.06471812,-0.05530097909975085
20260209,0.0,5690655.19,5690655.19,3,5.69065519,6.06471812,-0.0616785351929926
20260210,5612950.46,0.0,5612950.46,0,5.6129504599999995,6.06471812,-0.07449112243323863
20260211,0.0,5498037.15,5498037.15,1,5.49803715,6.06471812,-0.09343896266690799
20260212,5847832.36,0.0,5847832.36,0,5.84783236,6.06471812,-0.03576188632489985
20260213,5847832.36,0.0,5847832.36,0,5.84783236,6.06471812,-0.03576188632489985
20260224,0.0,5776398.48,5776398.48,2,5.77639848,6.06471812,-0.04754048486593143
20260225,2979857.96,3152696.21,6132554.16,1,6.13255416,6.13255416,0.0
20260226,3077760.77,2881189.07,5958949.83,2,5.95894983,6.13255416,-0.028308650110641653
20260227,5965530.85,0.0,5965530.85,0,5.9655308499999995,6.13255416,-0.027235521389997852
20260302,5965530.85,0.0,5965530.85,0,5.9655308499999995,6.13255416,-0.027235521389997852
20260303,5965530.85,0.0,5965530.85,0,5.9655308499999995,6.13255416,-0.027235521389997852
20260304,5965530.85,0.0,5965530.85,0,5.9655308499999995,6.13255416,-0.027235521389997852
20260305,5965530.85,0.0,5965530.85,0,5.9655308499999995,6.13255416,-0.027235521389997852
20260306,5965530.85,0.0,5965530.85,0,5.9655308499999995,6.13255416,-0.027235521389997852
20260309,5965530.85,0.0,5965530.85,0,5.9655308499999995,6.13255416,-0.027235521389997852
20260310,5965530.85,0.0,5965530.85,0,5.9655308499999995,6.13255416,-0.027235521389997852
20260311,5965530.85,0.0,5965530.85,0,5.9655308499999995,6.13255416,-0.027235521389997852
20260312,0.0,5515996.84,5515996.84,1,5.51599684,6.13255416,-0.10053842231374599
20260313,0.0,6068513.57,6068513.57,1,6.06851357,6.13255416,-0.010442727178458289
20260316,6416884.82,0.0,6416884.82,0,6.41688482,6.41688482,0.0
20260317,6416884.82,0.0,6416884.82,0,6.41688482,6.41688482,0.0
20260318,6416884.82,0.0,6416884.82,0,6.41688482,6.41688482,0.0
20260319,6416884.82,0.0,6416884.82,0,6.41688482,6.41688482,0.0
20260320,6416884.82,0.0,6416884.82,0,6.41688482,6.41688482,0.0
20260323,6416884.82,0.0,6416884.82,0,6.41688482,6.41688482,0.0
20260324,6416884.82,0.0,6416884.82,0,6.41688482,6.41688482,0.0
20260325,0.0,6504288.88,6504288.88,3,6.50428888,6.50428888,0.0
20260326,6116542.17,0.0,6116542.17,0,6.11654217,6.50428888,-0.05961400502863279
20260327,6116542.17,0.0,6116542.17,0,6.11654217,6.50428888,-0.05961400502863279
20260330,6116542.17,0.0,6116542.17,0,6.11654217,6.50428888,-0.05961400502863279
20260331,6116542.17,0.0,6116542.17,0,6.11654217,6.50428888,-0.05961400502863279
20260401,0.0,5843809.92,5843809.92,3,5.84380992,6.50428888,-0.10154514539335768
20260402,3899762.17,2140367.55,6040129.72,1,6.0401297199999995,6.50428888,-0.0713620149048485
20260403,6057729.42,0.0,6057729.42,0,6.05772942,6.50428888,-0.06865615415285797
20260407,6057729.42,0.0,6057729.42,0,6.05772942,6.50428888,-0.06865615415285797
20260408,6057729.42,0.0,6057729.42,0,6.05772942,6.50428888,-0.06865615415285797
20260409,6057729.42,0.0,6057729.42,0,6.05772942,6.50428888,-0.06865615415285797
20260410,6057729.42,0.0,6057729.42,0,6.05772942,6.50428888,-0.06865615415285797
20260413,6057729.42,0.0,6057729.42,0,6.05772942,6.50428888,-0.06865615415285797
20260414,6057729.42,0.0,6057729.42,0,6.05772942,6.50428888,-0.06865615415285797
20260415,6057729.42,0.0,6057729.42,0,6.05772942,6.50428888,-0.06865615415285797
20260416,6057729.42,0.0,6057729.42,0,6.05772942,6.50428888,-0.06865615415285797
20260417,6057729.42,0.0,6057729.42,0,6.05772942,6.50428888,-0.06865615415285797
20260420,6057729.42,0.0,6057729.42,0,6.05772942,6.50428888,-0.06865615415285797
