股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出原价,卖出执行价,卖出方式,卖出原因,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日,卖出日开盘,卖出日最高,卖出日最低,卖出日收盘,卖出日前收,卖出日开盘涨跌幅,卖出日收盘涨跌幅
600050.SH,600050,中国联通,20250910,20250911,5.55,5.5528,5.77,5.7671,收盘,非涨停收盘卖出,87.0,1000000.0,1036939.26,0.036939,1,5.68,5.77,5.62,5.77,5.76,-0.013889,0.001736
600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.26,7.2564,收盘,非涨停收盘卖出,7.0,1036939.26,1501725.03,0.448229,7,8.42,8.85,7.26,7.26,8.07,0.043371,-0.100372
000981.SZ,000981,山子高科,20250924,20250925,4.11,4.1121,3.64,3.6382,收盘,非涨停收盘卖出,1.0,750862.52,663270.18,-0.116656,1,3.82,3.9,3.6,3.64,3.82,0.0,-0.04712
600400.SH,600400,红豆股份,20250924,20250925,3.2,3.2016,3.61,3.6082,收盘,非涨停收盘卖出,24.0,750862.52,844866.59,0.125195,1,3.6,3.84,3.45,3.61,3.83,-0.060052,-0.057441
000021.SZ,000021,深科技,20251015,20251016,29.5,29.5147,30.44,30.4248,收盘,非涨停收盘卖出,18.0,502712.26,517383.52,0.029184,1,29.48,30.93,28.92,30.44,29.5,-0.000678,0.031864
000063.SZ,000063,中兴通讯,20251015,20251016,51.03,51.0555,54.03,54.003,收盘,非涨停收盘卖出,24.0,502712.26,530883.66,0.056039,1,50.41,55.26,50.41,54.03,50.4,0.000198,0.072024
601212.SH,601212,白银有色,20251015,20251020,5.53,5.5328,5.88,5.8771,收盘,非涨停收盘卖出,8.0,502712.26,533141.09,0.060529,5,6.0,6.1,5.88,5.88,6.53,-0.081164,-0.099541
000969.SZ,000969,安泰科技,20251020,20251021,19.2,19.2096,20.63,20.6197,收盘,非涨停收盘卖出,6.0,524133.59,561707.83,0.071688,1,19.77,21.36,19.03,20.63,19.42,0.018023,0.062307
300502.SZ,300502,新易盛,20251020,20251021,335.01,335.1775,365.42,365.2373,收盘,非涨停收盘卖出,98.0,524133.59,570226.01,0.08794,1,330.01,375.58,324.33,365.42,329.24,0.002339,0.109889
002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.27,12.2639,收盘,非涨停收盘卖出,4.0,533141.09,526181.43,-0.013054,1,12.66,12.76,12.24,12.27,13.09,-0.03285,-0.062643
601212.SH,601212,白银有色,20251022,20251023,5.15,5.1526,5.27,5.2674,收盘,非涨停收盘卖出,21.0,1131933.84,1155300.38,0.020643,1,5.2,5.38,5.11,5.27,5.38,-0.033457,-0.020446
002208.SZ,002208,合肥城建,20251023,20251024,14.96,14.9675,14.31,14.3028,收盘,非涨停收盘卖出,5.0,526181.43,502011.94,-0.045934,1,14.25,15.35,13.31,14.31,14.32,-0.004888,-0.000698
600172.SH,600172,黄河旋风,20251024,20251027,7.53,7.5338,7.01,7.0065,收盘,非涨停收盘卖出,1.0,577650.19,536362.55,-0.071475,3,6.72,7.16,6.6,7.01,6.96,-0.034483,0.007184
601608.SH,601608,中信重工,20251024,20251028,7.13,7.1336,7.75,7.7461,收盘,非涨停收盘卖出,11.0,577650.19,626249.77,0.084133,4,7.5,8.14,7.35,7.75,7.57,-0.009247,0.023778
000555.SZ,000555,神州信息,20251027,20251028,14.68,14.6873,15.21,15.2024,收盘,非涨停收盘卖出,20.0,502011.94,518785.33,0.033412,1,14.91,15.66,14.8,15.21,15.19,-0.018433,0.001317
002050.SZ,002050,三花智控,20251028,20251029,49.0,49.0245,52.99,52.9635,收盘,非涨停收盘卖出,4.0,536362.55,578531.19,0.07862,1,51.9,53.38,51.7,52.99,52.61,-0.013496,0.007223
601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.97,77.931,收盘,非涨停收盘卖出,6.0,572517.55,569934.03,-0.004513,1,80.0,83.88,77.7,77.97,80.8,-0.009901,-0.035025
000981.SZ,000981,山子高科,20251029,20251030,4.14,4.1421,4.2,4.1979,收盘,非涨停收盘卖出,31.0,572517.55,579306.29,0.011858,1,4.49,4.6,4.16,4.2,4.3,0.044186,-0.023256
002709.SZ,002709,天赐材料,20251031,20251103,41.77,41.7909,40.31,40.2898,收盘,非涨停收盘卖出,10.0,575923.84,554349.76,-0.03746,3,40.68,41.27,38.75,40.31,39.87,0.020316,0.011036
000657.SZ,000657,中钨高新,20251031,20251103,26.01,26.023,22.75,22.7386,收盘,非涨停收盘卖出,35.0,575923.84,502431.19,-0.127608,3,23.0,23.29,22.15,22.75,23.41,-0.017514,-0.028193
603686.SH,603686,福龙马,20251104,20251105,30.0,30.015,34.3,34.2828,收盘,非涨停收盘卖出,1.0,1056780.94,1205114.54,0.140364,1,34.01,36.65,32.06,34.3,33.47,0.016134,0.024798
