股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
600678.SH,600678,四川金顶,20240509,20240510,6.52,6.5233,6.1669,16.0,333333.33,314620.34,-0.056139,1
300719.SZ,300719,安达维尔,20240509,20240510,22.6,22.6113,20.6497,27.0,333333.33,303928.28,-0.088215,1
600796.SH,600796,钱江生化,20240509,20240510,5.9,5.9029,5.3973,55.0,333333.33,304292.31,-0.087123,1
002176.SZ,002176,江特电机,20250910,20250911,9.82,9.8249,9.7951,33.0,307613.64,306189.77,-0.004629,1
300502.SZ,300502,新易盛,20250910,20250911,340.01,340.18,379.7101,35.0,307613.64,342810.16,0.114418,1
600410.SH,600410,华胜天成,20250910,20250911,18.2,18.2091,19.3903,46.0,307613.64,327044.18,0.063165,1
000558.SZ,000558,天府文旅,20250912,20250915,7.15,7.1536,7.0665,50.0,325348.03,320872.17,-0.013757,3
002709.SZ,002709,天赐材料,20250912,20250916,28.78,28.7944,29.8551,28.0,325348.03,336793.04,0.035178,4
600021.SH,600021,上海电力,20250916,20250917,21.54,21.5508,20.3898,9.0,320872.17,303100.74,-0.055385,1
002642.SZ,002642,荣联科技,20250917,20250918,11.09,11.0955,10.015,28.0,336793.04,303507.74,-0.09883,1
600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.2564,7.0,325348.03,471178.31,0.448229,7
002050.SZ,002050,三花智控,20250918,20250919,43.01,43.0315,41.6292,6.0,303100.74,292754.14,-0.034136,1
002617.SZ,002617,露笑科技,20250919,20250922,10.71,10.7154,9.925,10.0,303507.74,280672.61,-0.075237,3
002050.SZ,002050,三花智控,20250922,20250923,41.87,41.8909,45.0075,5.0,381966.23,409726.86,0.072678,1
600162.SH,600162,香江控股,20250922,20250923,2.7,2.7014,2.4288,28.0,381966.23,342876.69,-0.102338,1
600410.SH,600410,华胜天成,20250923,20250924,21.01,21.0205,19.9,15.0,280672.61,265286.85,-0.054817,1
000981.SZ,000981,山子高科,20250924,20250925,4.11,4.1121,3.6382,1.0,376301.78,332404.06,-0.116656,1
600400.SH,600400,红豆股份,20250924,20250925,3.2,3.2016,3.6082,24.0,376301.78,423412.8,0.125195,1
002549.SZ,002549,凯美特气,20250925,20250926,25.15,25.1626,24.7876,3.0,265286.85,260915.52,-0.016478,1
002402.SZ,002402,和而泰,20250926,20250929,51.1,51.1255,50.4148,9.0,377908.43,372058.51,-0.01548,3
300450.SZ,300450,先导智能,20250926,20250929,64.69,64.7223,63.1084,13.0,377908.43,367895.51,-0.026496,3
002298.SZ,002298,中电鑫龙,20250929,20251009,12.85,12.8564,13.4033,2.0,260915.52,271578.91,0.040869,10
603300.SH,603300,海南华铁,20251014,20251015,7.55,7.5538,7.7161,4.0,337177.64,343874.21,0.019861,1
600635.SH,600635,大众公用,20251014,20251015,7.24,7.2436,6.8066,22.0,337177.64,316328.12,-0.061835,1
002241.SZ,002241,歌尔股份,20251014,20251015,33.85,33.8669,33.3933,51.0,337177.64,331930.42,-0.015562,1
002549.SZ,002549,凯美特气,20251016,20251017,26.53,26.5433,24.8076,5.0,330710.92,308591.21,-0.066885,1
601606.SH,601606,长城军工,20251016,20251017,50.3,50.3251,49.5452,13.0,330710.92,325064.81,-0.017073,1
002208.SZ,002208,合肥城建,20251016,20251020,10.89,10.8954,13.0035,8.0,330710.92,394065.52,0.191571,4
000969.SZ,000969,安泰科技,20251020,20251021,19.2,19.2096,20.6197,6.0,316828.01,339540.87,0.071688,1
601011.SH,601011,宝泰隆,20251020,20251021,3.96,3.962,4.0979,23.0,316828.01,327176.97,0.032664,1
002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.2639,4.0,394065.52,388921.36,-0.013054,1
000626.SZ,000626,远大控股,20251022,20251023,9.72,9.7249,8.6857,16.0,333358.92,297259.73,-0.108289,1
601212.SH,601212,白银有色,20251022,20251023,5.15,5.1526,5.2674,21.0,333358.92,340240.45,0.020643,1
002208.SZ,002208,合肥城建,20251023,20251024,14.96,14.9675,14.3028,5.0,388921.36,371056.74,-0.045934,1
600172.SH,600172,黄河旋风,20251024,20251027,7.53,7.5338,7.0065,1.0,318750.09,295967.38,-0.071475,3
601608.SH,601608,中信重工,20251024,20251028,7.13,7.1336,7.7461,11.0,318750.09,345567.57,0.084133,4
600403.SH,600403,大有能源,20251027,20251028,9.01,9.0145,8.5957,4.0,371056.74,353251.87,-0.047984,1
002050.SZ,002050,三花智控,20251028,20251029,49.0,49.0245,52.9635,4.0,295967.38,319236.23,0.07862,1
601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.931,6.0,349409.72,347832.99,-0.004513,1
600376.SH,600376,首开股份,20251029,20251030,7.08,7.0835,6.4568,12.0,349409.72,317983.61,-0.089941,1
