股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
300502.SZ,300502,新易盛,20250910,20250911,340.01,340.18,379.7101,35.0,500000.0,557208.96,0.114418,1
600050.SH,600050,中国联通,20250910,20250911,5.55,5.5528,5.7671,87.0,500000.0,518469.63,0.036939,1
600673.SH,600673,东阳光,20250912,20250915,25.22,25.2326,22.7886,82.0,358559.53,323311.78,-0.098304,3
002709.SZ,002709,天赐材料,20250912,20250916,28.78,28.7944,29.8551,28.0,358559.53,371172.84,0.035178,4
600021.SH,600021,上海电力,20250916,20250917,21.54,21.5508,20.3898,9.0,323311.78,305405.24,-0.055385,1
002642.SZ,002642,荣联科技,20250917,20250918,11.09,11.0955,10.015,28.0,371172.84,334489.78,-0.09883,1
600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.2564,7.0,358559.53,519276.15,0.448229,7
002050.SZ,002050,三花智控,20250918,20250919,43.01,43.0315,41.6292,6.0,305405.24,294979.97,-0.034136,1
002617.SZ,002617,露笑科技,20250919,20250922,10.71,10.7154,9.925,10.0,334489.78,309323.64,-0.075237,3
002050.SZ,002050,三花智控,20250922,20250923,41.87,41.8909,45.0075,5.0,407128.06,436717.41,0.072678,1
300059.SZ,300059,东方财富,20250922,20250923,26.55,26.5633,26.1069,45.0,407128.06,399493.91,-0.018751,1
002008.SZ,002008,大族激光,20250923,20250924,46.71,46.7334,42.5687,57.0,309323.64,281307.54,-0.090572,1
000981.SZ,000981,山子高科,20250924,20250925,4.11,4.1121,3.6382,1.0,418105.66,369331.29,-0.116656,1
600400.SH,600400,红豆股份,20250924,20250925,3.2,3.2016,3.6082,24.0,418105.66,470450.31,0.125195,1
002549.SZ,002549,凯美特气,20250925,20250926,25.15,25.1626,24.7876,3.0,281307.54,276672.22,-0.016478,1
002402.SZ,002402,和而泰,20250926,20250929,51.1,51.1255,50.4148,9.0,419890.8,413391.0,-0.01548,3
300450.SZ,300450,先导智能,20250926,20250929,64.69,64.7223,63.1084,13.0,419890.8,408765.53,-0.026496,3
002298.SZ,002298,中电鑫龙,20250929,20251009,12.85,12.8564,13.4033,2.0,276672.22,287979.58,0.040869,10
600635.SH,600635,大众公用,20251014,20251015,7.24,7.2436,6.8066,22.0,370045.37,347163.46,-0.061835,1
002837.SZ,002837,英维克,20251014,20251015,78.11,78.1491,74.2728,78.0,370045.37,351128.5,-0.05112,1
000681.SZ,000681,视觉中国,20251014,20251015,24.51,24.5223,25.0375,92.0,370045.37,377215.81,0.019377,1
002156.SZ,002156,通富微电,20251016,20251017,43.18,43.2016,38.7506,14.0,358502.59,321052.42,-0.104463,1
601012.SH,601012,隆基绿能,20251016,20251017,19.65,19.6598,19.6901,29.0,358502.59,358481.26,-6e-05,1
002208.SZ,002208,合肥城建,20251016,20251020,10.89,10.8954,13.0035,8.0,358502.59,427181.27,0.191571,4
000969.SZ,000969,安泰科技,20251020,20251021,19.2,19.2096,20.6197,6.0,339766.84,364124.14,0.071688,1
300502.SZ,300502,新易盛,20251020,20251021,335.01,335.1775,365.2373,98.0,339766.84,369646.01,0.08794,1
002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.2639,4.0,427181.27,421604.82,-0.013054,1
601212.SH,601212,白银有色,20251022,20251023,5.15,5.1526,5.2674,21.0,366885.08,374458.69,0.020643,1
002083.SZ,002083,孚日股份,20251022,20251023,6.43,6.4332,6.1469,39.0,366885.08,349997.28,-0.04603,1
002208.SZ,002208,合肥城建,20251023,20251024,14.96,14.9675,14.3028,5.0,421604.82,402238.92,-0.045934,1
600172.SH,600172,黄河旋风,20251024,20251027,7.53,7.5338,7.0065,1.0,362227.99,336337.69,-0.071475,3
601608.SH,601608,中信重工,20251024,20251028,7.13,7.1336,7.7461,11.0,362227.99,392703.4,0.084133,4
600403.SH,600403,大有能源,20251027,20251028,9.01,9.0145,8.5957,4.0,402238.92,382937.8,-0.047984,1
002050.SZ,002050,三花智控,20251028,20251029,49.0,49.0245,52.9635,4.0,336337.69,362780.44,0.07862,1
601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.931,6.0,387820.6,386070.54,-0.004513,1
600376.SH,600376,首开股份,20251029,20251030,7.08,7.0835,6.4568,12.0,387820.6,352939.79,-0.089941,1
002512.SZ,002512,达华智能,20251030,20251031,4.94,4.9425,4.6177,12.0,362780.44,338399.24,-0.067206,1
002709.SZ,002709,天赐材料,20251031,20251103,41.77,41.7909,40.2898,10.0,369505.16,355663.52,-0.03746,3
300274.SZ,300274,阳光电源,20251031,20251103,195.59,195.6878,199.3703,12.0,369505.16,375856.39,0.017188,3
002709.SZ,002709,天赐材料,20251103,20251104,40.68,40.7003,39.5402,7.0,338399.24,328227.68,-0.030058,1
603686.SH,603686,福龙马,20251104,20251105,30.0,30.015,34.2828,1.0,365759.96,417099.35,0.140364,1
300300.SZ,300300,海峡创新,20251104,20251105,10.68,10.6853,12.2939,18.0,365759.96,420146.26,0.148694,1
000555.SZ,000555,神州信息,20251105,20251106,21.9,21.9109,21.2894,2.0,328227.68,318405.95,-0.029924,1
603686.SH,603686,福龙马,20251106,20251107,34.0,34.017,31.8841,2.0,418622.8,391746.51,-0.064202,1
600745.SH,600745,闻泰科技,20251106,20251107,41.4,41.4207,44.9775,47.0,418622.8,453842.89,0.084133,1
600089.SH,600089,特变电工,20251107,20251110,25.5,25.5127,26.3368,2.0,318405.95,328164.88,0.030649,3
601012.SH,601012,隆基绿能,20251110,20251111,22.88,22.8914,22.4288,12.0,422794.7,413586.98,-0.021778,1
300475.SZ,300475,香农芯创,20251110,20251111,180.0,180.09,176.4917,15.0,422794.7,413684.29,-0.021548,1
