日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,0.0,1010669.27,1010669.27,2,1.01066927,1.01066927,0.0
20250911,1075678.59,0.0,1075678.59,0,1.07567859,1.07567859,0.0
20250912,0.0,1080273.3,1080273.3,3,1.0802733,1.0802733,0.0
20250915,323311.78,818143.83,1141455.61,2,1.1414556100000002,1.1414556100000002,0.0
20250916,371172.84,793940.3,1165113.14,2,1.1651131399999999,1.1651131399999999,0.0
20250917,305405.24,878761.75,1184166.99,2,1.18416699,1.18416699,0.0
20250918,334489.78,901435.06,1235924.84,2,1.23592484,1.23592484,0.0
20250919,814256.12,313626.02,1127882.13,1,1.12788213,1.23592484,-0.08741851163052927
20250922,309323.64,829502.07,1138825.71,2,1.1388257099999999,1.23592484,-0.07856394406637235
20250923,836211.33,289159.41,1125370.73,1,1.12537073,1.23592484,-0.08945051221723166
20250924,281307.54,888313.72,1169621.26,2,1.16962126,1.23592484,-0.05364693535894949
20250925,839781.6,307905.63,1147687.22,1,1.14768722,1.23592484,-0.07139400159640785
20250926,276672.22,820324.11,1096996.33,2,1.09699633,1.23592484,-0.11240854257771848
20250929,822156.54,257949.24,1080105.78,1,1.08010578,1.23592484,-0.12607486714159744
20250930,822156.54,283765.67,1105922.21,1,1.10592221,1.23592484,-0.10518651765264309
20251009,1110136.12,0.0,1110136.12,0,1.1101361200000002,1.23592484,-0.10177699802521956
20251010,1110136.12,0.0,1110136.12,0,1.1101361200000002,1.23592484,-0.10177699802521956
20251013,1110136.12,0.0,1110136.12,0,1.1101361200000002,1.23592484,-0.10177699802521956
20251014,-0.0,1084044.18,1084044.18,3,1.08404418,1.23592484,-0.12288826560035804
20251015,1075507.77,0.0,1075507.77,0,1.07550777,1.23592484,-0.12979516618502474
20251016,0.0,1112861.77,1112861.77,3,1.11286177,1.23592484,-0.09957164547319874
20251017,679533.68,427293.42,1106827.1,1,1.1068271,1.23592484,-0.10445436148042786
20251020,427181.27,677033.18,1104214.45,2,1.10421445,1.23592484,-0.10656828452448619
20251021,733770.15,450591.3,1184361.45,1,1.18436145,1.23592484,-0.04172049005827905
20251022,421604.82,734162.12,1155766.94,2,1.15576694,1.23592484,-0.06485661377272756
20251023,724455.98,403245.59,1127701.57,1,1.1277015700000002,1.23592484,-0.08756460465670379
20251024,402238.92,683788.36,1086027.28,2,1.08602728,1.23592484,-0.12128371819114836
20251027,336337.69,798235.46,1134573.15,2,1.1345731499999998,1.23592484,-0.08200473582196166
20251028,775641.2,360828.13,1136469.34,1,1.13646934,1.23592484,-0.08047050822281387
20251029,362780.44,762590.51,1125370.95,2,1.12537095,1.23592484,-0.08945033421287985
20251030,739010.33,374230.97,1113241.3,1,1.1132413,1.23592484,-0.09926456369304781
