股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
300502.SZ,300502,新易盛,20250910,20250911,340.01,340.18,379.7101,35.0,500000.0,557208.96,0.114418,1
600050.SH,600050,中国联通,20250910,20250911,5.55,5.5528,5.7671,87.0,500000.0,518469.63,0.036939,1
000558.SZ,000558,天府文旅,20250912,20250915,7.15,7.1536,7.0665,50.0,358559.53,353626.77,-0.013757,3
002709.SZ,002709,天赐材料,20250912,20250916,28.78,28.7944,29.8551,28.0,358559.53,371172.84,0.035178,4
600021.SH,600021,上海电力,20250916,20250917,21.54,21.5508,20.3898,9.0,353626.77,334041.24,-0.055385,1
002642.SZ,002642,荣联科技,20250917,20250918,11.09,11.0955,10.015,28.0,371172.84,334489.78,-0.09883,1
600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.2564,7.0,358559.53,519276.15,0.448229,7
002050.SZ,002050,三花智控,20250918,20250919,43.01,43.0315,41.6292,6.0,334041.24,322638.46,-0.034136,1
002617.SZ,002617,露笑科技,20250919,20250922,10.71,10.7154,9.925,10.0,334489.78,309323.64,-0.075237,3
002050.SZ,002050,三花智控,20250922,20250923,41.87,41.8909,45.0075,5.0,420957.3,451551.74,0.072678,1
300059.SZ,300059,东方财富,20250922,20250923,26.55,26.5633,26.1069,45.0,420957.3,413063.84,-0.018751,1
002008.SZ,002008,大族激光,20250923,20250924,46.71,46.7334,42.5687,57.0,309323.64,281307.54,-0.090572,1
000981.SZ,000981,山子高科,20250924,20250925,4.11,4.1121,3.6382,1.0,432307.79,381876.66,-0.116656,1
002654.SZ,002654,万润科技,20250924,20250925,15.12,15.1276,15.6122,79.0,432307.79,445443.67,0.030385,1
600376.SH,600376,首开股份,20250925,20250926,6.99,6.9935,6.9665,11.0,281307.54,279774.07,-0.005451,1
300450.SZ,300450,先导智能,20250926,20250929,64.69,64.7223,63.1084,13.0,413660.16,402699.98,-0.026496,3
300111.SZ,300111,向日葵,20250926,20250929,8.65,8.6543,7.4963,27.0,413660.16,357733.28,-0.1352,3
002298.SZ,002298,中电鑫龙,20250929,20251009,12.85,12.8564,13.4033,2.0,279774.07,291208.2,0.040869,10
600635.SH,600635,大众公用,20251014,20251015,7.24,7.2436,6.8066,22.0,350547.15,328870.92,-0.061835,1
002241.SZ,002241,歌尔股份,20251014,20251015,33.85,33.8669,33.3933,51.0,350547.15,345091.87,-0.015562,1
000559.SZ,000559,万向钱潮,20251014,20251015,11.56,11.5658,11.954,55.0,350547.15,361734.79,0.031915,1
002156.SZ,002156,通富微电,20251016,20251017,43.18,43.2016,38.7506,14.0,345232.53,309168.59,-0.104463,1
601012.SH,601012,隆基绿能,20251016,20251017,19.65,19.6598,19.6901,29.0,345232.53,345211.99,-6e-05,1
002208.SZ,002208,合肥城建,20251016,20251020,10.89,10.8954,13.0035,8.0,345232.53,411369.05,0.191571,4
000969.SZ,000969,安泰科技,20251020,20251021,19.2,19.2096,20.6197,6.0,327190.29,350646.0,0.071688,1
601011.SH,601011,宝泰隆,20251020,20251021,3.96,3.962,4.0979,23.0,327190.29,337877.72,0.032664,1
002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.2639,4.0,411369.05,405999.01,-0.013054,1
002083.SZ,002083,孚日股份,20251022,20251023,6.43,6.4332,6.1469,39.0,688523.72,656830.84,-0.04603,1
600172.SH,600172,黄河旋风,20251024,20251027,7.53,7.5338,7.0065,1.0,354276.62,328954.64,-0.071475,3
002402.SZ,002402,和而泰,20251024,20251027,52.37,52.3962,55.7921,12.0,354276.62,376634.62,0.063109,3
601608.SH,601608,中信重工,20251024,20251028,7.13,7.1336,7.7461,11.0,354276.62,384083.06,0.084133,4
002050.SZ,002050,三花智控,20251028,20251029,49.0,49.0245,52.9635,4.0,705589.26,761062.44,0.07862,1
601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.931,6.0,192041.53,191174.93,-0.004513,1
300308.SZ,300308,中际旭创,20251029,20251030,538.01,538.279,514.4826,28.0,192041.53,183258.11,-0.045737,1
002512.SZ,002512,达华智能,20251030,20251031,4.94,4.9425,4.6177,12.0,761062.44,709914.1,-0.067206,1
002709.SZ,002709,天赐材料,20251031,20251103,41.77,41.7909,40.2898,10.0,187216.52,180203.4,-0.03746,3
300274.SZ,300274,阳光电源,20251031,20251103,195.59,195.6878,199.3703,12.0,187216.52,190434.49,0.017188,3
002709.SZ,002709,天赐材料,20251103,20251104,40.68,40.7003,39.5402,7.0,709914.1,688575.59,-0.030058,1
603686.SH,603686,福龙马,20251104,20251105,30.0,30.015,34.2828,1.0,185318.94,211330.98,0.140364,1
300300.SZ,300300,海峡创新,20251104,20251105,10.68,10.6853,12.2939,18.0,185318.94,212874.75,0.148694,1
000555.SZ,000555,神州信息,20251105,20251106,21.9,21.9109,21.2894,2.0,688575.59,667970.99,-0.029924,1
603686.SH,603686,福龙马,20251106,20251107,34.0,34.017,31.8841,2.0,424205.73,396971.01,-0.064202,1
600089.SH,600089,特变电工,20251107,20251110,25.5,25.5127,26.3368,2.0,333985.49,344221.93,0.030649,3
002639.SZ,002639,雪人集团,20251107,20251110,13.2,13.2066,14.9925,5.0,333985.49,378543.17,0.133412,3
601012.SH,601012,隆基绿能,20251110,20251111,22.88,22.8914,22.4288,12.0,396971.01,388325.68,-0.021778,1
000572.SZ,000572,海马汽车,20251111,20251112,9.7,9.7048,9.1254,2.0,722765.1,678526.33,-0.061208,1
002050.SZ,002050,三花智控,20251112,20251113,44.3,44.3221,44.2679,9.0,194162.84,193614.8,-0.002823,1
300475.SZ,300475,香农芯创,20251112,20251113,176.04,176.128,192.8735,13.0,194162.84,212282.91,0.093324,1
