日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,0.0,1010669.27,1010669.27,2,1.01066927,1.01066927,0.0
20250911,1075678.59,0.0,1075678.59,0,1.07567859,1.07567859,0.0
20250912,0.0,1101649.31,1101649.31,3,1.10164931,1.10164931,0.0
20250915,353626.77,818143.83,1171770.6,2,1.1717706,1.1717706,0.0
20250916,371172.84,823570.11,1194742.95,2,1.19474295,1.19474295,0.0
20250917,334041.24,878761.75,1212802.99,2,1.21280299,1.21280299,0.0
20250918,334489.78,931737.94,1266227.72,2,1.26622772,1.26622772,0.0
20250919,841914.61,313626.02,1155540.62,1,1.15554062,1.26622772,-0.08741484509595165
20250922,309323.64,857678.43,1167002.07,2,1.1670020700000001,1.26622772,-0.07836319520788881
20250923,864615.58,289159.41,1153774.99,1,1.15377499,1.26622772,-0.08880924672854262
20250924,281307.54,846301.25,1127608.79,2,1.12760879,1.26622772,-0.10947393411984385
20250925,827320.32,285505.97,1112826.29,1,1.11282629,1.26622772,-0.12114837448038174
20250926,279774.07,792587.71,1072361.78,2,1.07236178,1.26622772,-0.1531051144576111
20250929,760433.26,260841.18,1021274.44,1,1.02127444,1.26622772,-0.19345120639121693
20250930,760433.26,286947.05,1047380.31,1,1.04738031,1.26622772,-0.17283416445819078
20251009,1051641.46,0.0,1051641.46,0,1.05164146,1.26622772,-0.16946893249185868
20251010,1051641.46,0.0,1051641.46,0,1.05164146,1.26622772,-0.16946893249185868
20251013,1051641.46,0.0,1051641.46,0,1.05164146,1.26622772,-0.16946893249185868
20251014,0.0,1015596.32,1015596.32,3,1.01559632,1.26622772,-0.19793548667533523
20251015,1035697.59,0.0,1035697.59,0,1.03569759,1.26622772,-0.18206056174477048
20251016,0.0,1071668.92,1071668.92,3,1.07166892,1.26622772,-0.15365229881399223
20251017,654380.57,411477.05,1065857.62,1,1.06585762,1.26622772,-0.1582417576516173
20251020,411369.05,693928.86,1105297.9,2,1.1052978999999998,1.26622772,-0.1270939006137065
20251021,688523.72,433912.55,1122436.27,1,1.1224362700000001,1.26622772,-0.11355891813835817
20251022,405999.01,659084.78,1065083.79,1,1.06508379,1.26622772,-0.15885288785179963
20251023,1062829.85,0.0,1062829.85,0,1.0628298500000002,1.26622772,-0.1606329310181267
20251024,0.0,1045415.91,1045415.91,3,1.04541591,1.26622772,-0.17438554417368157
20251027,705589.26,375838.68,1081427.94,1,1.08142794,1.26622772,-0.14594513852531998
20251028,384083.06,756966.78,1141049.84,1,1.14104984,1.26622772,-0.09885890035640676
20251029,761062.44,384192.23,1145254.67,2,1.14525467,1.26622772,-0.09553814696143292
20251030,374433.04,785084.05,1159517.09,1,1.15951709,1.26622772,-0.08427443840828253
20251031,709914.1,360086.84,1070000.94,2,1.07000094,1.26622772,-0.1549695816168044
