股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
600678.SH,600678,四川金顶,20240509,20240510,6.52,6.5233,6.1669,16.0,333333.33,314620.34,-0.056139,1
300719.SZ,300719,安达维尔,20240509,20240510,22.6,22.6113,20.6497,27.0,333333.33,303928.28,-0.088215,1
600796.SH,600796,钱江生化,20240509,20240510,5.9,5.9029,5.3973,55.0,333333.33,304292.31,-0.087123,1
002547.SZ,002547,春兴精工,20250911,20250912,6.5,6.5032,6.5467,6.0,307613.64,309174.75,0.005075,1
002759.SZ,002759,天际股份,20250911,20250912,17.56,17.5688,17.8811,11.0,307613.64,312580.52,0.016146,1
000892.SZ,000892,欢瑞世纪,20250911,20250912,6.21,6.2131,6.0969,76.0,307613.64,301379.92,-0.020265,1
002251.SZ,002251,步步高,20250915,20250916,6.5,6.5032,6.5467,12.0,307711.73,309273.34,0.005075,1
601116.SH,601116,三江购物,20250915,20250916,16.04,16.048,16.8816,26.0,307711.73,323176.54,0.050257,1
002642.SZ,002642,荣联科技,20250915,20250916,10.53,10.5353,11.1544,34.0,307711.73,325274.76,0.057076,1
002642.SZ,002642,荣联科技,20250917,20250918,11.09,11.0955,10.015,28.0,478862.32,431536.29,-0.09883,1
300115.SZ,300115,长盈精密,20250917,20250918,29.49,29.5047,34.4828,89.0,478862.32,558760.21,0.166849,1
002617.SZ,002617,露笑科技,20250919,20250922,10.71,10.7154,9.925,10.0,330098.84,305263.06,-0.075237,3
601929.SH,601929,吉视传媒,20250919,20250922,4.78,4.7824,4.2979,17.0,330098.84,296179.53,-0.102755,3
600816.SH,600816,建元信托,20250919,20250922,3.44,3.4417,3.2784,69.0,330098.84,313927.88,-0.048988,3
002584.SZ,002584,西陇科学,20250923,20250924,8.98,8.9845,9.5952,99.0,915370.47,976028.01,0.066266,1
002549.SZ,002549,凯美特气,20250925,20250926,25.15,25.1626,24.7876,3.0,325342.67,319981.75,-0.016478,1
600376.SH,600376,首开股份,20250925,20250926,6.99,6.9935,6.9665,11.0,325342.67,323569.15,-0.005451,1
002925.SZ,002925,盈趣科技,20250925,20250926,20.2,20.2101,18.8406,82.0,325342.67,302810.89,-0.069256,1
600556.SH,600556,天下秀,20250929,20250930,5.52,5.5228,5.6172,27.0,473180.9,480501.7,0.015471,1
002298.SZ,002298,中电鑫龙,20250929,20251009,12.85,12.8564,13.4033,2.0,473180.9,492519.4,0.040869,10
603300.SH,603300,海南华铁,20251014,20251015,7.55,7.5538,7.7161,4.0,324340.37,330781.98,0.019861,1
600635.SH,600635,大众公用,20251014,20251015,7.24,7.2436,6.8066,22.0,324340.37,304284.64,-0.061835,1
000681.SZ,000681,视觉中国,20251014,20251015,24.51,24.5223,25.0375,92.0,324340.37,330625.17,0.019377,1
002171.SZ,002171,楚江新材,20251016,20251017,11.55,11.5558,11.904,36.0,321897.26,331068.26,0.02849,1
600868.SH,600868,梅雁吉祥,20251016,20251017,3.23,3.2316,3.0785,39.0,321897.26,306151.2,-0.048916,1
002208.SZ,002208,合肥城建,20251016,20251020,10.89,10.8954,13.0035,8.0,321897.26,383563.42,0.191571,4
000969.SZ,000969,安泰科技,20251020,20251021,19.2,19.2096,20.6197,6.0,318609.73,341450.32,0.071688,1
601011.SH,601011,宝泰隆,20251020,20251021,3.96,3.962,4.0979,23.0,318609.73,329016.89,0.032664,1
002208.SZ,002208,合肥城建,20251021,20251022,12.75,12.7564,15.3823,6.0,383563.42,461781.05,0.203924,1
000626.SZ,000626,远大控股,20251022,20251023,9.72,9.7249,8.6857,16.0,335233.6,298931.4,-0.108289,1
601212.SH,601212,白银有色,20251022,20251023,5.15,5.1526,5.2674,21.0,335233.6,342153.84,0.020643,1
002208.SZ,002208,合肥城建,20251023,20251024,14.96,14.9675,14.3028,5.0,461781.05,440569.71,-0.045934,1
600172.SH,600172,黄河旋风,20251024,20251027,7.53,7.5338,7.0065,1.0,320542.62,297631.79,-0.071475,3
600617.SH,600617,国新能源,20251024,20251027,3.81,3.8119,3.6482,70.0,320542.62,306283.89,-0.044483,3
002208.SZ,002208,合肥城建,20251027,20251028,14.5,14.5072,12.4838,10.0,440569.71,378511.92,-0.140858,1
002490.SZ,002490,山东墨龙,20251028,20251029,8.03,8.034,7.3263,27.0,603915.68,549838.6,-0.089544,1
000981.SZ,000981,山子高科,20251029,20251030,4.14,4.1421,4.1979,31.0,189255.96,191500.1,0.011858,1
002512.SZ,002512,达华智能,20251030,20251031,4.94,4.9425,4.6177,12.0,549838.6,512885.87,-0.067206,1
002759.SZ,002759,天际股份,20251029,20251103,24.0,24.012,32.1439,25.0,189255.96,252944.27,0.336519,5
