策略名,候选池行数,候选交易日,初始资金,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,未平仓数量
金额>=5000万+实体昨日<前日,275,120,1000000.0,3565227.43,3.56522743,2.56522743,-0.24179370374057363,140,0.5214285714285715,0.023001428571428572,10.609157270498223,0
金额>=5000万+非跌停+实体弱化,273,119,1000000.0,3300464.72,3.3004647200000004,2.3004647200000004,-0.24179370374170328,140,0.5142857142857142,0.021030278571428567,9.514163042299387,0
金额>=5000万+实体弱化+热度<=25,189,103,1000000.0,3754881.37,3.75488137,2.75488137,-0.3083369943367551,104,0.49038461538461536,0.023766038461538457,8.93464430347016,0
金额>=5000万+三方向全开,185,102,1000000.0,2757730.05,2.7577300499999997,1.7577300499999997,-0.3083369960841813,102,0.49019607843137253,0.021875205882352936,5.700678388655343,0
金额>=5000万+热度<=25,243,108,1000000.0,1357192.87,1.3571928700000002,0.3571928700000002,-0.23816578465491955,140,0.4714285714285714,0.008716314285714285,1.499765680101951,0
竞价匹配金额>=5000万,325,123,1000000.0,1438585.18,1.43858518,0.43858518,-0.31997858632487963,166,0.4759036144578313,0.008972753012048196,1.3706704096589049,0
金额>=5000万+非跌停+热度<=25,240,108,1000000.0,1317377.59,1.31737759,0.31737759,-0.23816578681535439,139,0.4748201438848921,0.008770093525179856,1.3325910251167061,0
竞价强度>=8.3+匹配金额>=3000万,334,125,1000000.0,1381202.7,1.3812027,0.3812027,-0.3048365042549167,167,0.4431137724550898,0.009660245508982037,1.2505152587671153,0
金额>=5000万+昨日非跌停,325,123,1000000.0,1395118.34,1.39511834,0.39511834,-0.31672634388877385,166,0.4759036144578313,0.008630144578313254,1.2475070281452667,0
竞价强度>=8.5+匹配金额>=5000万,261,114,1000000.0,1107954.32,1.1079543200000002,0.10795432000000016,-0.3391478477694063,144,0.4722222222222222,0.006752430555555556,0.31831049705908954,0
竞价换手率>=0.3,329,123,1000000.0,1142473.1,1.1424731000000001,0.14247310000000013,-0.44760029729665096,170,0.47058823529411764,0.007052100000000001,0.3183043015397616,0
竞价强度>=8.5,329,123,1000000.0,1030368.91,1.03036891,0.03036890999999997,-0.34579728910100405,166,0.4036144578313253,0.0013826686746987928,0.08782286893848236,0
局部基线,375,127,1000000.0,951886.96,0.95188696,-0.04811304000000005,-0.4011829540824424,181,0.43646408839779005,0.0005940939226519321,-0.11992792692311872,0
