日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250912,0.0,1101118.94,1101118.94,1,1.1011189399999999,1.1011189399999999,0.0
20250915,0.0,1211030.99,1211030.99,1,1.21103099,1.21103099,0.0
20250916,0.0,1332933.45,1332933.45,1,1.3329334499999999,1.3329334499999999,0.0
20250917,0.0,1466826.32,1466826.32,1,1.46682632,1.46682632,0.0
20250918,0.0,1612709.59,1612709.59,1,1.6127095900000001,1.6127095900000001,0.0
20250919,1448228.54,0.0,1448228.54,0,1.4482285400000001,1.6127095900000001,-0.10199049538733129
20250922,0.0,1485087.81,1485087.81,1,1.48508781,1.6127095900000001,-0.07913500408960805
20250923,1553483.25,0.0,1553483.25,0,1.55348325,1.6127095900000001,-0.036724739759252056
20250924,0.0,1650277.2,1650277.2,2,1.6502771999999999,1.6502771999999999,0.0
20250925,1560115.97,0.0,1560115.97,0,1.56011597,1.6502771999999999,-0.05463399118645029
20250926,0.0,1578146.66,1578146.66,1,1.5781466599999998,1.6502771999999999,-0.04370813582106092
20250929,1518779.74,0.0,1518779.74,0,1.51877974,1.6502771999999999,-0.07968204371968535
20250930,1518779.74,0.0,1518779.74,0,1.51877974,1.6502771999999999,-0.07968204371968535
20251009,1518779.74,0.0,1518779.74,0,1.51877974,1.6502771999999999,-0.07968204371968535
20251010,1518779.74,0.0,1518779.74,0,1.51877974,1.6502771999999999,-0.07968204371968535
20251013,1518779.74,0.0,1518779.74,0,1.51877974,1.6502771999999999,-0.07968204371968535
20251014,1518779.74,0.0,1518779.74,0,1.51877974,1.6502771999999999,-0.07968204371968535
20251015,-0.0,1499428.63,1499428.63,3,1.49942863,1.6502771999999999,-0.09140801921034836
20251016,1055664.84,543359.79,1599024.63,1,1.59902463,1.6502771999999999,-0.031056946069423885
20251017,0.0,1641221.24,1641221.24,3,1.64122124,1.6502771999999999,-0.005487538699559091
20251020,1571061.7,0.0,1571061.7,0,1.5710617,1.6502771999999999,-0.04800132971600157
20251021,0.0,1709516.84,1709516.84,2,1.70951684,1.70951684,0.0
20251022,1720995.6,0.0,1720995.6,0,1.7209956000000002,1.7209956000000002,0.0
20251023,0.0,1646053.03,1646053.03,1,1.64605303,1.7209956000000002,-0.043546055550635954
20251024,1641943.8,0.0,1641943.8,0,1.6419438,1.7209956000000002,-0.04593376066737198
20251027,0.0,1697628.45,1697628.45,1,1.6976284499999998,1.7209956000000002,-0.013577693051626816
20251028,1696804.99,0.0,1696804.99,0,1.69680499,1.7209956000000002,-0.014056171904216486
20251029,0.0,1753612.76,1753612.76,1,1.75361276,1.75361276,0.0
20251030,1689148.06,0.0,1689148.06,0,1.68914806,1.75361276,-0.03676108059341454
20251031,0.0,1588476.75,1588476.75,3,1.58847675,1.75361276,-0.0941690285145963
20251103,1114684.86,556483.98,1671168.84,1,1.67116884,1.75361276,-0.04701375462163038
20251104,0.0,1854143.32,1854143.32,2,1.8541433200000002,1.8541433200000002,0.0
20251105,1271146.06,672672.94,1943819.0,1,1.943819,1.943819,0.0
20251106,687740.45,1153203.11,1840943.56,1,1.8409435600000001,1.943819,-0.052924392651784835
20251107,1189536.32,720447.68,1909984.0,2,1.909984,1.943819,-0.017406456053778663
20251110,1933692.58,0.0,1933692.58,0,1.93369258,1.943819,-0.005209548831449862
20251111,0.0,1981944.17,1981944.17,1,1.98194417,1.98194417,0.0
20251112,1815335.76,0.0,1815335.76,0,1.81533576,1.98194417,-0.08406311969927993
20251113,0.0,2010088.2,2010088.2,1,2.0100881999999998,2.0100881999999998,0.0
20251114,2186334.32,0.0,2186334.32,0,2.18633432,2.18633432,0.0
