股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.2564,7.0,1000000.0,1448228.54,0.448229,7
002050.SZ,002050,三花智控,20250922,20250923,41.87,41.8909,45.0075,5.0,1448228.54,1553483.25,0.072678,1
000981.SZ,000981,山子高科,20250924,20250925,4.11,4.1121,3.6382,1.0,776741.63,686130.35,-0.116656,1
600400.SH,600400,红豆股份,20250924,20250925,3.2,3.2016,3.6082,24.0,776741.63,873985.63,0.125195,1
300450.SZ,300450,先导智能,20250926,20250929,64.69,64.7223,63.1084,13.0,1560115.97,1518779.74,-0.026496,3
000021.SZ,000021,深科技,20251015,20251016,29.5,29.5147,30.4248,18.0,506259.91,521034.72,0.029184,1
000063.SZ,000063,中兴通讯,20251015,20251016,51.03,51.0555,54.003,24.0,506259.91,534630.13,0.056039,1
601212.SH,601212,白银有色,20251015,20251020,5.53,5.5328,5.8771,8.0,506259.91,536903.48,0.060529,5
002156.SZ,002156,通富微电,20251017,20251020,41.18,41.2006,39.2504,7.0,527832.42,502043.22,-0.048859,3
002759.SZ,002759,天际股份,20251017,20251020,23.28,23.2916,23.5182,10.0,527832.42,532115.0,0.008114,3
002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.2639,4.0,785530.85,775276.48,-0.013054,1
002208.SZ,002208,合肥城建,20251021,20251022,12.75,12.7564,15.3823,6.0,785530.85,945719.12,0.203924,1
002208.SZ,002208,合肥城建,20251023,20251024,14.96,14.9675,14.3028,5.0,1720995.6,1641943.8,-0.045934,1
000555.SZ,000555,神州信息,20251027,20251028,14.68,14.6873,15.2024,20.0,1641943.8,1696804.99,0.033412,1
601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.931,6.0,1696804.99,1689148.06,-0.004513,1
002709.SZ,002709,天赐材料,20251031,20251103,41.77,41.7909,40.2898,10.0,563049.35,541957.55,-0.03746,3
300274.SZ,300274,阳光电源,20251031,20251103,195.59,195.6878,199.3703,12.0,563049.35,572727.31,0.017188,3
603686.SH,603686,福龙马,20251104,20251105,30.0,30.015,34.2828,1.0,1114684.86,1271146.06,0.140364,1
000620.SZ,000620,盈新发展,20251031,20251106,2.76,2.7614,3.3783,20.0,563049.35,687740.45,0.221457,6
603686.SH,603686,福龙马,20251106,20251107,34.0,34.017,31.8841,2.0,1271146.06,1189536.32,-0.064202,1
600089.SH,600089,特变电工,20251107,20251110,25.5,25.5127,26.3368,2.0,343870.22,354409.62,0.030649,3
002639.SZ,002639,雪人集团,20251107,20251110,13.2,13.2066,14.9925,5.0,343870.22,389746.65,0.133412,3
000572.SZ,000572,海马汽车,20251111,20251112,9.7,9.7048,9.1254,2.0,1933692.58,1815335.76,-0.061208,1
000572.SZ,000572,海马汽车,20251113,20251114,9.06,9.0645,10.9345,9.0,1815335.76,2186334.32,0.204369,1
002050.SZ,002050,三花智控,20251117,20251118,41.66,41.6808,42.1189,21.0,2186334.32,2205780.66,0.008894,1
000566.SZ,000566,海南海药,20251124,20251126,8.05,8.054,8.6957,13.0,2205780.66,2377695.21,0.077938,2
300058.SZ,300058,蓝色光标,20251127,20251128,10.79,10.7954,10.7246,7.0,792565.07,786110.67,-0.008144,1
600343.SH,600343,航天动力,20251127,20251128,21.64,21.6508,23.7881,12.0,792565.07,869410.97,0.096958,1
603778.SH,603778,国晟科技,20251127,20251202,10.19,10.1951,13.1034,18.0,792565.07,1017030.37,0.283214,5
000070.SZ,000070,特发信息,20251201,20251202,13.49,13.4967,14.7326,6.0,1655521.64,1804225.78,0.089823,1
300638.SZ,300638,广和通,20251203,20251204,33.88,33.8969,29.8651,21.0,2821256.15,2481705.24,-0.120355,1
000078.SZ,000078,海王生物,20251205,20251208,4.82,4.8224,5.1374,4.0,827235.08,879863.92,0.06362,3
000678.SZ,000678,襄阳轴承,20251205,20251208,14.4,14.4072,14.9725,21.0,827235.08,858319.05,0.037576,3
002565.SZ,002565,顺灏股份,20251205,20251209,11.0,11.0055,13.1934,9.0,827235.08,990103.68,0.196883,4
000078.SZ,000078,海王生物,20251209,20251210,4.81,4.8124,4.8276,4.0,869091.48,870438.39,0.00155,1
002639.SZ,002639,雪人集团,20251209,20251210,16.58,16.5883,15.0025,7.0,869091.48,784751.49,-0.097044,1
002565.SZ,002565,顺灏股份,20251210,20251211,13.7,13.7068,14.4928,11.0,990103.68,1045198.06,0.055645,1
603696.SH,603696,安记食品,20251211,20251212,21.86,21.8709,20.06,7.0,827594.94,757853.96,-0.084269,1
605299.SH,605299,舒华体育,20251211,20251212,13.72,13.7269,12.3038,25.0,827594.94,740614.57,-0.1051,1
002682.SZ,002682,龙洲股份,20251212,20251216,9.72,9.7249,10.7346,8.0,1045198.06,1151879.63,0.102068,4
000592.SZ,000592,平潭发展,20251215,20251216,13.58,13.5868,15.3523,3.0,749234.27,845239.07,0.128137,1
002235.SZ,002235,安妮股份,20251215,20251216,12.77,12.7764,11.6942,9.0,749234.27,684672.81,-0.08617,1
002413.SZ,002413,雷科防务,20251217,20251218,9.26,9.2646,9.1654,11.0,1340895.76,1324414.27,-0.012291,1
300456.SZ,300456,赛微电子,20251217,20251218,62.32,62.3512,65.6472,19.0,1340895.76,1409519.87,0.051178,1
001208.SZ,001208,华菱线缆,20251219,20251222,21.41,21.4207,21.0195,15.0,2733934.15,2678435.18,-0.0203,3
000572.SZ,000572,海马汽车,20251224,20251225,9.0,9.0045,8.6957,18.0,892811.73,860809.63,-0.035844,1
002792.SZ,002792,通宇通讯,20251224,20251229,30.88,30.8954,42.4588,21.0,892811.73,1225004.23,0.372075,5
600118.SH,600118,中国卫星,20251224,20251230,58.34,58.3692,86.2768,11.0,892811.73,1317575.1,0.475759,6
600693.SH,600693,东百集团,20251230,20251231,18.29,18.2991,17.8111,4.0,1042906.93,1013467.99,-0.028228,1
002759.SZ,002759,天际股份,20251230,20251231,47.0,47.0235,46.4068,7.0,1042906.93,1027582.89,-0.014694,1
603123.SH,603123,翠微股份,20251231,20260105,15.61,15.6178,15.1224,8.0,1317575.1,1273743.24,-0.033267,5
002009.SZ,002009,天奇股份,20260105,20260106,23.18,23.1916,20.8995,16.0,1020525.44,918195.0,-0.100272,1
600343.SH,600343,航天动力,20260105,20260106,46.7,46.7234,45.3273,18.0,1020525.44,988450.06,-0.03143,1
002565.SZ,002565,顺灏股份,20260106,20260107,17.76,17.7689,19.4503,11.0,1273743.24,1392041.72,0.092875,1
002759.SZ,002759,天际股份,20260107,20260108,50.11,50.1351,46.8766,4.0,953322.53,889936.02,-0.06649,1
603667.SH,603667,五洲新春,20260107,20260108,74.97,75.0075,75.902,24.0,953322.53,963148.88,0.010307,1
300058.SZ,300058,蓝色光标,20260114,20260115,20.12,20.1301,18.4008,3.0,1081708.87,987203.51,-0.087367,1
002519.SZ,002519,银河电子,20260114,20260115,10.39,10.3952,10.3048,17.0,1081708.87,1070592.01,-0.010277,1
000559.SZ,000559,万向钱潮,20260114,20260115,18.96,18.9695,17.981,24.0,1081708.87,1023702.37,-0.053625,1
300058.SZ,300058,蓝色光标,20260116,20260119,17.5,17.5087,16.9015,3.0,1540748.95,1484936.65,-0.036224,3
002400.SZ,002400,省广集团,20260116,20260119,12.43,12.4362,10.5947,11.0,1540748.95,1310500.23,-0.149439,3
000547.SZ,000547,航天发展,20260120,20260121,29.0,29.0145,25.8671,5.0,1397718.44,1244103.34,-0.109904,1
002119.SZ,002119,康强电子,20260120,20260121,23.07,23.0815,24.8676,17.0,1397718.44,1503463.75,0.075656,1
300136.SZ,300136,信维通信,20260122,20260123,73.05,73.0865,93.4533,20.0,2747567.09,3507600.98,0.276621,1
601212.SH,601212,白银有色,20260126,20260130,10.97,10.9755,13.6632,12.0,3507600.98,4359558.97,0.242889,4
300058.SZ,300058,蓝色光标,20260202,20260203,22.6,22.6113,22.049,3.0,1453186.32,1414779.82,-0.026429,1
601899.SH,601899,紫金矿业,20260202,20260203,36.87,36.8884,38.7906,10.0,1453186.32,1525675.93,0.049883,1
600986.SH,600986,浙文互联,20260202,20260204,13.29,13.2966,14.8026,8.0,1453186.32,1615183.49,0.111477,2
000547.SZ,000547,航天发展,20260205,20260206,31.02,31.0355,30.3348,1.0,1518546.41,1481888.26,-0.02414,1
002131.SZ,002131,利欧股份,20260205,20260206,9.06,9.0645,8.4558,2.0,1518546.41,1414297.33,-0.068651,1
600986.SH,600986,浙文互联,20260205,20260206,14.99,14.9975,13.993,4.0,1518546.41,1414571.68,-0.06847,1
000547.SZ,000547,航天发展,20260209,20260210,30.84,30.8554,28.4858,3.0,2155378.64,1986664.59,-0.078276,1
000592.SZ,000592,平潭发展,20260209,20260210,11.59,11.5958,11.0945,9.0,2155378.64,2058892.18,-0.044765,1
002506.SZ,002506,协鑫集成,20260211,20260212,5.27,5.2726,4.7676,1.0,2022778.39,1826108.4,-0.097228,1
300058.SZ,300058,蓝色光标,20260211,20260212,19.3,19.3097,20.1499,6.0,2022778.39,2107424.43,0.041846,1
002969.SZ,002969,嘉美包装,20260213,20260224,31.55,31.5658,29.2054,10.0,1966766.41,1816787.44,-0.076257,11
002506.SZ,002506,协鑫集成,20260213,20260225,4.73,4.7324,4.8776,2.0,1966766.41,2023866.92,0.029033,12
300017.SZ,300017,网宿科技,20260225,20260226,21.88,21.8909,19.7401,25.0,908393.72,817832.55,-0.099694,1
600410.SH,600410,华胜天成,20260225,20260227,24.01,24.022,28.9255,3.0,908393.72,1092071.25,0.2022,2
002969.SZ,002969,嘉美包装,20260226,20260227,25.5,25.5127,23.4783,24.0,2023866.92,1859496.11,-0.081216,1
600410.SH,600410,华胜天成,20260302,20260303,28.34,28.3542,27.8361,1.0,1256466.64,1231535.12,-0.019843,1
001896.SZ,001896,豫能控股,20260302,20260303,13.35,13.3567,13.2734,8.0,1256466.64,1246631.96,-0.007827,1
300442.SZ,300442,润泽科技,20260302,20260303,102.49,102.5412,96.4418,16.0,1256466.64,1179837.68,-0.060988,1
001896.SZ,001896,豫能控股,20260304,20260305,13.3,13.3066,14.4328,3.0,1219334.92,1320410.75,0.082894,1
002413.SZ,002413,雷科防务,20260304,20260305,14.81,14.8174,16.3018,4.0,1219334.92,1339344.82,0.098422,1
002155.SZ,002155,湖南黄金,20260304,20260305,36.72,36.7384,36.8516,12.0,1219334.92,1221135.8,0.001477,1
600410.SH,600410,华胜天成,20260306,20260309,28.3,28.3141,30.4947,3.0,1940445.68,2086544.97,0.075292,3
300164.SZ,300164,通源石油,20260306,20260309,21.82,21.8309,21.1294,6.0,1940445.68,1875090.41,-0.033681,3
000815.SZ,000815,美利云,20260311,20260312,18.17,18.1791,18.8306,7.0,3961635.38,4097047.13,0.034181,1
600759.SH,600759,洲际油气,20260313,20260316,7.51,7.5138,7.2864,12.0,4097047.13,3966697.09,-0.031816,3
601868.SH,601868,中国能建,20260317,20260318,3.42,3.4217,3.3783,3.0,1983348.54,1955060.14,-0.014263,1
600227.SH,600227,赤天化,20260317,20260318,4.6,4.6023,4.9975,14.0,1983348.54,2150214.08,0.084133,1
000533.SZ,000533,顺钠股份,20260319,20260320,19.78,19.7899,16.7416,2.0,1368424.74,1155792.65,-0.155385,1
600227.SH,600227,赤天化,20260319,20260320,5.3,5.3026,4.2579,16.0,1368424.74,1097046.75,-0.198314,1
600370.SH,600370,三房巷,20260319,20260320,3.66,3.6618,2.9585,18.0,1368424.74,1103829.58,-0.193357,1
000815.SZ,000815,美利云,20260323,20260324,19.03,19.0395,20.5497,7.0,1678334.49,1808561.69,0.077593,1
603803.SH,603803,瑞斯康达,20260323,20260324,12.72,12.7264,15.6022,16.0,1678334.49,2054304.41,0.224014,1
002310.SZ,002310,东方新能,20260325,20260326,3.68,3.6818,3.4883,4.0,1931433.05,1826954.59,-0.054094,1
600759.SH,600759,洲际油气,20260325,20260326,6.01,6.013,6.1869,14.0,1931433.05,1984112.63,0.027275,1
600396.SH,600396,华电辽能,20260327,20260330,9.23,9.2346,8.086,1.0,1270355.74,1110561.62,-0.125787,3
601016.SH,601016,节能风电,20260327,20260330,5.11,5.1126,4.5977,2.0,1270355.74,1140598.44,-0.102142,3
600666.SH,600666,奥瑞德,20260327,20260330,5.32,5.3227,6.2369,5.0,1270355.74,1486171.06,0.169886,3
002149.SZ,002149,西部材料,20260401,20260402,51.55,51.5758,49.1254,9.0,1868665.56,1777038.84,-0.049033,1
002309.SZ,002309,中利集团,20260401,20260403,4.74,4.7424,5.0275,3.0,1868665.56,1977842.53,0.058425,2
