股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
300502.SZ,300502,新易盛,20250910,20250911,340.01,340.18,379.7101,35.0,500000.0,557208.96,0.114418,1
600050.SH,600050,中国联通,20250910,20250911,5.55,5.5528,5.7671,87.0,500000.0,518469.63,0.036939,1
600673.SH,600673,东阳光,20250912,20250915,25.22,25.2326,22.7886,82.0,537839.3,484967.66,-0.098304,3
600021.SH,600021,上海电力,20250916,20250917,21.54,21.5508,20.3898,9.0,242483.83,229053.93,-0.055385,1
603083.SH,603083,剑桥科技,20250916,20250917,113.0,113.0565,118.8206,39.0,242483.83,254438.97,0.049303,1
600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.2564,7.0,537839.3,778914.22,0.448229,7
002050.SZ,002050,三花智控,20250918,20250919,43.01,43.0315,41.6292,6.0,241746.45,233494.23,-0.034136,1
002249.SZ,002249,大洋电机,20250918,20250919,10.98,10.9855,9.6552,16.0,241746.45,212131.6,-0.122504,1
002050.SZ,002050,三花智控,20250922,20250923,41.87,41.8909,45.0075,5.0,408180.02,437845.82,0.072678,1
600162.SH,600162,香江控股,20250922,20250923,2.7,2.7014,2.4288,28.0,408180.02,366407.82,-0.102338,1
002600.SZ,002600,领益智造,20250922,20250923,14.42,14.4272,15.1824,49.0,408180.02,428859.21,0.050662,1
000981.SZ,000981,山子高科,20250924,20250925,4.11,4.1121,3.6382,1.0,616556.43,544631.65,-0.116656,1
600400.SH,600400,红豆股份,20250924,20250925,3.2,3.2016,3.6082,24.0,616556.43,693746.08,0.125195,1
002402.SZ,002402,和而泰,20250926,20250929,51.1,51.1255,50.4148,9.0,412792.58,406402.66,-0.01548,3
300450.SZ,300450,先导智能,20250926,20250929,64.69,64.7223,63.1084,13.0,412792.58,401855.38,-0.026496,3
300111.SZ,300111,向日葵,20250926,20250929,8.65,8.6543,7.4963,27.0,412792.58,356982.99,-0.1352,3
603300.SH,603300,海南华铁,20251014,20251015,7.55,7.5538,7.7161,4.0,582620.52,594191.74,0.019861,1
002837.SZ,002837,英维克,20251014,20251015,78.11,78.1491,74.2728,78.0,582620.52,552836.72,-0.05112,1
002156.SZ,002156,通富微电,20251016,20251017,43.18,43.2016,38.7506,14.0,382342.82,342402.23,-0.104463,1
300115.SZ,300115,长盈精密,20251016,20251017,37.25,37.2686,36.4518,34.0,382342.82,373364.41,-0.023483,1
002208.SZ,002208,合肥城建,20251016,20251020,10.89,10.8954,13.0035,8.0,382342.82,455588.59,0.191571,4
000969.SZ,000969,安泰科技,20251020,20251021,19.2,19.2096,20.6197,6.0,357883.32,383539.36,0.071688,1
300502.SZ,300502,新易盛,20251020,20251021,335.01,335.1775,365.2373,98.0,357883.32,389355.65,0.08794,1
002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.2639,4.0,455588.59,449641.31,-0.013054,1
601212.SH,601212,白银有色,20251022,20251023,5.15,5.1526,5.2674,21.0,386447.51,394424.95,0.020643,1
300476.SZ,300476,胜宏科技,20251022,20251023,274.61,274.7473,286.0769,22.0,386447.51,401739.59,0.039571,1
002208.SZ,002208,合肥城建,20251023,20251024,14.96,14.9675,14.3028,5.0,449641.31,428987.59,-0.045934,1
600172.SH,600172,黄河旋风,20251024,20251027,7.53,7.5338,7.0065,1.0,398082.27,369629.28,-0.071475,3
601608.SH,601608,中信重工,20251024,20251028,7.13,7.1336,7.7461,11.0,398082.27,431574.22,0.084133,4
000555.SZ,000555,神州信息,20251027,20251028,14.68,14.6873,15.2024,20.0,428987.59,443321.08,0.033412,1
002050.SZ,002050,三花智控,20251028,20251029,49.0,49.0245,52.9635,4.0,369629.28,398689.4,0.07862,1
601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.931,6.0,437447.65,435473.64,-0.004513,1
300308.SZ,300308,中际旭创,20251029,20251030,538.01,538.279,514.4826,28.0,437447.65,417440.08,-0.045737,1
002512.SZ,002512,达华智能,20251030,20251031,4.94,4.9425,4.6177,12.0,398689.4,371894.88,-0.067206,1
002709.SZ,002709,天赐材料,20251031,20251103,41.77,41.7909,40.2898,10.0,426456.86,410481.81,-0.03746,3
300274.SZ,300274,阳光电源,20251031,20251103,195.59,195.6878,199.3703,12.0,426456.86,433787.0,0.017188,3
002709.SZ,002709,天赐材料,20251103,20251104,40.68,40.7003,39.5402,7.0,371894.88,360716.52,-0.030058,1
603686.SH,603686,福龙马,20251104,20251105,30.0,30.015,34.2828,1.0,844268.81,962773.43,0.140364,1
000555.SZ,000555,神州信息,20251105,20251106,21.9,21.9109,21.2894,2.0,360716.52,349922.61,-0.029924,1
603686.SH,603686,福龙马,20251106,20251107,34.0,34.017,31.8841,2.0,481386.71,450480.87,-0.064202,1
600745.SH,600745,闻泰科技,20251106,20251107,41.4,41.4207,44.9775,47.0,481386.71,521887.34,0.084133,1
600089.SH,600089,特变电工,20251107,20251110,25.5,25.5127,26.3368,2.0,349922.61,360647.5,0.030649,3
601012.SH,601012,隆基绿能,20251110,20251111,22.88,22.8914,22.4288,12.0,486184.1,475595.87,-0.021778,1
300475.SZ,300475,香农芯创,20251110,20251111,180.0,180.09,176.4917,15.0,486184.1,475707.77,-0.021548,1
000572.SZ,000572,海马汽车,20251111,20251112,9.7,9.7048,9.1254,2.0,360647.5,338573.11,-0.061208,1
002759.SZ,002759,天际股份,20251112,20251113,40.8,40.8204,48.3958,5.0,475651.82,563020.58,0.183682,1
002213.SZ,002213,大为股份,20251112,20251113,27.96,27.974,30.1449,20.0,475651.82,511745.25,0.075882,1
000572.SZ,000572,海马汽车,20251113,20251114,9.06,9.0645,10.9345,9.0,338573.11,407766.99,0.204369,1
