日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250911,0.0,1012856.99,1012856.99,1,1.01285699,1.01285699,0.0
20250912,1016146.48,0.0,1016146.48,0,1.01614648,1.01614648,0.0
20250915,0.0,1011694.21,1011694.21,1,1.01169421,1.01614648,-0.004381523813377752
20250916,999155.61,0.0,999155.61,0,0.99915561,1.01614648,-0.016720886539901225
20250917,999155.61,0.0,999155.61,0,0.99915561,1.01614648,-0.016720886539901225
20250918,0.0,1010560.51,1010560.51,2,1.01056051,1.01614648,-0.0054972094180752995
20250919,920901.95,0.0,920901.95,0,0.92090195,1.01614648,-0.0937311026260702
20250922,0.0,944340.08,944340.08,1,0.9443400799999999,1.01614648,-0.07066540249197151
20250923,987831.48,0.0,987831.48,0,0.98783148,1.01614648,-0.027865077090066803
20250924,0.0,1049380.98,1049380.98,2,1.04938098,1.04938098,0.0
20250925,992049.11,0.0,992049.11,0,0.99204911,1.04938098,-0.05463399003096103
20250926,0.0,969063.63,969063.63,2,0.96906363,1.04938098,-0.07653783662059521
20250929,971228.31,0.0,971228.31,0,0.9712283100000001,1.04938098,-0.07447502050208676
20250930,971228.31,0.0,971228.31,0,0.9712283100000001,1.04938098,-0.07447502050208676
20251009,971228.31,0.0,971228.31,0,0.9712283100000001,1.04938098,-0.07447502050208676
20251010,971228.31,0.0,971228.31,0,0.9712283100000001,1.04938098,-0.07447502050208676
20251013,971228.31,0.0,971228.31,0,0.9712283100000001,1.04938098,-0.07447502050208676
20251014,0.0,973022.54,973022.54,1,0.97302254,1.04938098,-0.07276522202641789
20251015,990517.54,0.0,990517.54,0,0.99051754,1.04938098,-0.056093488563133675
20251016,0.0,1027406.43,1027406.43,2,1.02740643,1.04938098,-0.02094048817236993
20251017,443522.67,590290.89,1033813.56,1,1.03381356,1.04938098,-0.01483486007150614
20251020,590135.96,448246.04,1038381.99,1,1.03838199,1.04938098,-0.01048140781053608
20251021,475318.05,642143.69,1117461.74,2,1.11746174,1.11746174,0.0
20251022,646455.44,496148.86,1142604.3,1,1.1426043000000001,1.1426043000000001,0.0
20251023,485130.06,618304.86,1103434.91,1,1.1034349099999998,1.1426043000000001,-0.0342808004485895
20251024,616761.31,457897.09,1074658.4,2,1.0746584,1.1426043000000001,-0.05946581856903588
20251027,225227.65,895006.14,1120233.8,2,1.1202338,1.1426043000000001,-0.019578519002597883
20251028,900341.56,241627.62,1141969.18,1,1.14196918,1.1426043000000001,-0.0005558529755227415
20251029,242934.97,930484.33,1173419.3,1,1.1734193,1.1734193,0.0
20251030,896278.72,233360.18,1129638.89,2,1.1296388899999998,1.1734193,-0.037310115829865875
20251031,210225.67,854825.53,1065051.2,1,1.0650511999999999,1.1734193,-0.09235240974816084
20251103,862704.16,205869.06,1068573.22,2,1.06857322,1.1734193,-0.08935090806841162
20251104,200338.3,961720.75,1162059.05,1,1.16205905,1.1734193,-0.00968132192814608
20251105,983796.44,194328.17,1178124.6,1,1.1781246,1.1781246,0.0
20251106,194343.47,892515.15,1086858.62,1,1.08685862,1.1781246,-0.07746717112943735
