股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
002759.SZ,002759,天际股份,20250911,20250912,17.56,17.5688,17.8811,11.0,1000000.0,1016146.48,0.016146,1
300450.SZ,300450,先导智能,20250915,20250916,55.79,55.8179,54.9725,10.0,1016146.48,999155.61,-0.016721,1
002050.SZ,002050,三花智控,20250918,20250919,43.01,43.0315,41.6292,6.0,499577.8,482524.29,-0.034136,1
002249.SZ,002249,大洋电机,20250918,20250919,10.98,10.9855,9.6552,16.0,499577.8,438377.65,-0.122504,1
002050.SZ,002050,三花智控,20250922,20250923,41.87,41.8909,45.0075,5.0,920901.95,987831.48,0.072678,1
000981.SZ,000981,山子高科,20250924,20250925,4.11,4.1121,3.6382,1.0,493915.74,436297.69,-0.116656,1
600400.SH,600400,红豆股份,20250924,20250925,3.2,3.2016,3.6082,24.0,493915.74,555751.42,0.125195,1
002402.SZ,002402,和而泰,20250926,20250929,51.1,51.1255,50.4148,9.0,496024.55,488346.23,-0.01548,3
300450.SZ,300450,先导智能,20250926,20250929,64.69,64.7223,63.1084,13.0,496024.55,482882.08,-0.026496,3
603300.SH,603300,海南华铁,20251014,20251015,7.55,7.5538,7.7161,4.0,971228.31,990517.54,0.019861,1
002156.SZ,002156,通富微电,20251016,20251017,43.18,43.2016,38.7506,14.0,495258.77,443522.67,-0.104463,1
002208.SZ,002208,合肥城建,20251016,20251020,10.89,10.8954,13.0035,8.0,495258.77,590135.96,0.191571,4
000969.SZ,000969,安泰科技,20251020,20251021,19.2,19.2096,20.6197,6.0,443522.67,475318.05,0.071688,1
002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.2639,4.0,295067.98,291216.14,-0.013054,1
002208.SZ,002208,合肥城建,20251021,20251022,12.75,12.7564,15.3823,6.0,295067.98,355239.3,0.203924,1
601212.SH,601212,白银有色,20251022,20251023,5.15,5.1526,5.2674,21.0,475318.05,485130.06,0.020643,1
002208.SZ,002208,合肥城建,20251023,20251024,14.96,14.9675,14.3028,5.0,646455.44,616761.31,-0.045934,1
600172.SH,600172,黄河旋风,20251024,20251027,7.53,7.5338,7.0065,1.0,242565.03,225227.65,-0.071475,3
601608.SH,601608,中信重工,20251024,20251028,7.13,7.1336,7.7461,11.0,242565.03,262972.81,0.084133,4
000555.SZ,000555,神州信息,20251027,20251028,14.68,14.6873,15.2024,20.0,616761.31,637368.75,0.033412,1
002050.SZ,002050,三花智控,20251028,20251029,49.0,49.0245,52.9635,4.0,225227.65,242934.97,0.07862,1
601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.931,6.0,900341.56,896278.72,-0.004513,1
002512.SZ,002512,达华智能,20251030,20251031,4.94,4.9425,4.6177,12.0,121467.49,113304.08,-0.067206,1
000620.SZ,000620,盈新发展,20251030,20251031,3.1,3.1016,2.4788,15.0,121467.49,96921.59,-0.202078,1
002709.SZ,002709,天赐材料,20251031,20251103,41.77,41.7909,40.2898,10.0,896278.72,862704.16,-0.03746,3
002709.SZ,002709,天赐材料,20251103,20251104,40.68,40.7003,39.5402,7.0,105112.83,101953.37,-0.030058,1
002460.SZ,002460,赣锋锂业,20251103,20251104,70.49,70.5252,66.1169,14.0,105112.83,98384.93,-0.064007,1
603686.SH,603686,福龙马,20251104,20251105,30.0,30.015,34.2828,1.0,862704.16,983796.44,0.140364,1
000555.SZ,000555,神州信息,20251105,20251106,21.9,21.9109,21.2894,2.0,200338.3,194343.47,-0.029924,1
603686.SH,603686,福龙马,20251106,20251107,34.0,34.017,31.8841,2.0,983796.44,920635.03,-0.064202,1
600089.SH,600089,特变电工,20251107,20251110,25.5,25.5127,26.3368,2.0,97171.73,100149.98,0.030649,3
002639.SZ,002639,雪人集团,20251107,20251110,13.2,13.2066,14.9925,5.0,97171.73,110135.61,0.133412,3
601012.SH,601012,隆基绿能,20251110,20251111,22.88,22.8914,22.4288,12.0,920635.03,900585.22,-0.021778,1
000572.SZ,000572,海马汽车,20251111,20251112,9.7,9.7048,9.1254,2.0,210285.59,197414.5,-0.061208,1
002759.SZ,002759,天际股份,20251112,20251113,40.8,40.8204,48.3958,5.0,450292.61,533003.34,0.183682,1
002213.SZ,002213,大为股份,20251112,20251113,27.96,27.974,30.1449,20.0,450292.61,484461.73,0.075882,1
000572.SZ,000572,海马汽车,20251113,20251114,9.06,9.0645,10.9345,9.0,197414.5,237759.93,0.204369,1
002759.SZ,002759,天际股份,20251114,20251117,46.51,46.5333,47.1464,2.0,1017465.07,1029223.12,0.011556,3
002050.SZ,002050,三花智控,20251117,20251118,41.66,41.6808,42.1189,21.0,237759.93,239874.68,0.008894,1
000572.SZ,000572,海马汽车,20251118,20251119,11.16,11.1656,10.3448,4.0,514611.56,476021.07,-0.07499,1
600693.SH,600693,东百集团,20251118,20251119,11.13,11.1356,9.4753,8.0,514611.56,437182.93,-0.15046,1
000798.SZ,000798,中水渔业,20251124,20251125,15.1,15.1075,14.9325,10.0,384359.56,379299.11,-0.013166,1
002407.SZ,002407,多氟多,20251124,20251125,32.43,32.4462,33.3633,12.0,384359.56,394591.35,0.02662,1
000566.SZ,000566,海南海药,20251124,20251126,8.05,8.054,8.6957,13.0,384359.56,414315.85,0.077938,2
300058.SZ,300058,蓝色光标,20251126,20251127,10.96,10.9655,10.5847,3.0,773890.46,745822.34,-0.036269,1
300058.SZ,300058,蓝色光标,20251127,20251128,10.79,10.7954,10.7246,7.0,207157.93,205470.9,-0.008144,1
600343.SH,600343,航天动力,20251127,20251128,21.64,21.6508,23.7881,12.0,207157.93,227243.64,0.096958,1
002264.SZ,002264,新华都,20251128,20251201,10.6,10.6053,9.3953,8.0,745822.34,659671.71,-0.115511,3
000070.SZ,000070,特发信息,20251201,20251202,13.49,13.4967,14.7326,6.0,432714.54,471582.31,0.089823,1
603778.SH,603778,国晟科技,20251202,20251203,13.0,13.0065,12.6337,6.0,329835.86,319868.94,-0.030218,1
600828.SH,600828,茂业商业,20251202,20251203,5.55,5.5528,5.8771,15.0,329835.86,348540.05,0.056708,1
603122.SH,603122,合富中国,20251203,20251204,24.0,24.012,24.1079,5.0,471582.31,472709.2,0.00239,1
002413.SZ,002413,雷科防务,20251204,20251205,8.48,8.4842,8.7856,6.0,334204.5,345522.08,0.033864,1
002792.SZ,002792,通宇通讯,20251204,20251205,27.57,27.5838,29.4553,10.0,334204.5,356308.47,0.066139,1
000078.SZ,000078,海王生物,20251205,20251208,4.82,4.8224,5.1374,4.0,472709.2,502783.04,0.06362,3
000078.SZ,000078,海王生物,20251209,20251210,4.81,4.8124,4.8276,4.0,401537.86,402160.16,0.00155,1
002639.SZ,002639,雪人集团,20251209,20251210,16.58,16.5883,15.0025,7.0,401537.86,362571.08,-0.097044,1
600151.SH,600151,航天机电,20251209,20251210,13.15,13.1566,14.2729,9.0,401537.86,434910.05,0.083111,1
603696.SH,603696,安记食品,20251211,20251212,21.86,21.8709,20.06,7.0,399880.43,366182.72,-0.084269,1
605299.SH,605299,舒华体育,20251211,20251212,13.72,13.7269,12.3038,25.0,399880.43,357852.93,-0.1051,1
002682.SZ,002682,龙洲股份,20251211,20251216,10.5,10.5053,10.7346,4.0,399880.43,407958.15,0.0202,5
000592.SZ,000592,平潭发展,20251215,20251216,13.58,13.5868,15.3523,3.0,362017.83,408405.79,0.128137,1
002235.SZ,002235,安妮股份,20251215,20251216,12.77,12.7764,11.6942,9.0,362017.83,330822.78,-0.08617,1
002471.SZ,002471,中超控股,20251217,20251218,5.86,5.8629,5.6572,10.0,382395.58,368385.19,-0.036638,1
002413.SZ,002413,雷科防务,20251217,20251218,9.26,9.2646,9.1654,11.0,382395.58,377695.4,-0.012291,1
300456.SZ,300456,赛微电子,20251217,20251218,62.32,62.3512,65.6472,19.0,382395.58,401965.74,0.051178,1
600879.SH,600879,航天电子,20251219,20251222,17.5,17.5087,17.4013,4.0,574023.17,569587.73,-0.007727,3
001208.SZ,001208,华菱线缆,20251219,20251222,21.41,21.4207,21.0195,15.0,574023.17,562370.47,-0.0203,3
002703.SZ,002703,浙江世宝,20251224,20251225,19.02,19.0295,21.2094,8.0,377319.4,419869.66,0.11277,1
002361.SZ,002361,神剑股份,20251224,20251230,9.57,9.5748,13.0335,7.0,377319.4,512796.77,0.359052,6
600118.SH,600118,中国卫星,20251224,20251230,58.34,58.3692,86.2768,11.0,377319.4,556832.57,0.475759,6
603601.SH,603601,再升科技,20251229,20251230,12.05,12.056,11.934,6.0,419869.66,414956.2,-0.011702,1
603123.SH,603123,翠微股份,20251231,20260105,15.61,15.6178,15.1224,8.0,494861.85,478399.24,-0.033267,5
002471.SZ,002471,中超控股,20251231,20260105,7.31,7.3137,7.4063,25.0,494861.85,500328.55,0.011047,5
600151.SH,600151,航天机电,20251231,20260106,17.41,17.4187,19.7001,23.0,494861.85,558781.88,0.129167,6
002565.SZ,002565,顺灏股份,20260106,20260107,17.76,17.7689,19.4503,11.0,489363.9,534813.41,0.092875,1
002347.SZ,002347,泰尔股份,20260106,20260107,12.41,12.4162,12.7036,12.0,489363.9,499892.0,0.021514,1
002759.SZ,002759,天际股份,20260107,20260108,50.11,50.1351,46.8766,4.0,558781.88,521628.41,-0.06649,1
300058.SZ,300058,蓝色光标,20260114,20260115,20.12,20.1301,18.4008,3.0,518777.94,473454.01,-0.087367,1
002792.SZ,002792,通宇通讯,20260114,20260115,67.88,67.9139,56.6417,8.0,518777.94,431979.73,-0.167313,1
002519.SZ,002519,银河电子,20260114,20260115,10.39,10.3952,10.3048,17.0,518777.94,513446.39,-0.010277,1
002400.SZ,002400,省广集团,20260116,20260119,12.43,12.4362,10.5947,11.0,709440.06,603421.71,-0.149439,3
002759.SZ,002759,天际股份,20260116,20260119,42.76,42.7814,41.8491,22.0,709440.06,692869.53,-0.023357,3
000547.SZ,000547,航天发展,20260120,20260121,29.0,29.0145,25.8671,5.0,432097.08,384607.8,-0.109904,1
300058.SZ,300058,蓝色光标,20260120,20260121,17.6,17.6088,18.6307,8.0,432097.08,456441.43,0.05634,1
600879.SH,600879,航天电子,20260120,20260121,27.01,27.0235,26.9165,10.0,432097.08,429698.25,-0.005552,1
002050.SZ,002050,三花智控,20260122,20260123,58.1,58.129,54.013,18.0,423582.49,392959.41,-0.072295,1
600879.SH,600879,航天电子,20260122,20260126,26.66,26.6733,28.3058,2.0,423582.49,448788.37,0.059506,4
002202.SZ,002202,金风科技,20260122,20260126,25.63,25.6428,28.3858,12.0,423582.49,468142.67,0.105198,4
002156.SZ,002156,通富微电,20260127,20260128,51.89,51.9159,54.0829,15.0,458465.52,476838.19,0.040074,1
002342.SZ,002342,巨力索具,20260127,20260129,12.54,12.5463,14.1329,13.0,458465.52,515619.15,0.124663,2
601212.SH,601212,白银有色,20260126,20260130,10.97,10.9755,13.6632,12.0,392959.41,488404.97,0.242889,4
300058.SZ,300058,蓝色光标,20260129,20260130,19.61,19.6198,23.3183,3.0,476838.19,565820.48,0.186609,1
600879.SH,600879,航天电子,20260130,20260202,25.68,25.6928,25.5572,15.0,515619.15,512076.96,-0.00687,3
300058.SZ,300058,蓝色光标,20260202,20260203,22.6,22.6113,22.049,3.0,527112.72,513181.57,-0.026429,1
600986.SH,600986,浙文互联,20260202,20260204,13.29,13.2966,14.8026,8.0,527112.72,585873.78,0.111477,2
300058.SZ,300058,蓝色光标,20260203,20260204,22.25,22.2611,20.2899,4.0,512076.96,465984.79,-0.09001,1
000547.SZ,000547,航天发展,20260205,20260206,31.02,31.0355,30.3348,1.0,521680.05,509086.54,-0.02414,1
002131.SZ,002131,利欧股份,20260205,20260206,9.06,9.0645,8.4558,2.0,521680.05,485866.41,-0.068651,1
600986.SH,600986,浙文互联,20260205,20260206,14.99,14.9975,13.993,4.0,521680.05,485960.66,-0.06847,1
002342.SZ,002342,巨力索具,20260209,20260210,19.28,19.2896,19.7701,1.0,493637.87,505124.25,0.023269,1
000547.SZ,000547,航天发展,20260209,20260210,30.84,30.8554,28.4858,3.0,493637.87,454997.96,-0.078276,1
000592.SZ,000592,平潭发展,20260209,20260210,11.59,11.5958,11.0945,9.0,493637.87,471539.96,-0.044765,1
002506.SZ,002506,协鑫集成,20260211,20260212,5.27,5.2726,4.7676,1.0,477220.72,430821.67,-0.097228,1
300058.SZ,300058,蓝色光标,20260211,20260212,19.3,19.3097,20.1499,6.0,477220.72,497190.7,0.041846,1
002969.SZ,002969,嘉美包装,20260211,20260212,29.6,29.6148,33.3733,23.0,477220.72,536926.07,0.125111,1
002969.SZ,002969,嘉美包装,20260213,20260224,31.55,31.5658,29.2054,10.0,488312.81,451075.72,-0.076257,11
300394.SZ,300394,天孚通信,20260213,20260224,323.56,323.7218,350.8345,23.0,488312.81,528364.06,0.08202,11
002506.SZ,002506,协鑫集成,20260213,20260225,4.73,4.7324,4.8776,2.0,488312.81,502489.84,0.029033,12
002342.SZ,002342,巨力索具,20260225,20260226,14.81,14.8174,15.6522,7.0,489719.89,516481.69,0.054647,1
600410.SH,600410,华胜天成,20260225,20260227,24.01,24.022,28.9255,3.0,489719.89,588741.43,0.2022,2
002969.SZ,002969,嘉美包装,20260226,20260227,25.5,25.5127,23.4783,24.0,502489.84,461679.52,-0.081216,1
600410.SH,600410,华胜天成,20260302,20260303,28.34,28.3542,27.8361,1.0,522300.88,511937.09,-0.019843,1
002131.SZ,002131,利欧股份,20260302,20260303,9.17,9.1746,8.2059,2.0,522300.88,466407.01,-0.107015,1
600589.SH,600589,大位科技,20260302,20260303,12.8,12.8064,10.9945,4.0,522300.88,447686.46,-0.142857,1
001896.SZ,001896,豫能控股,20260304,20260305,13.3,13.3066,14.4328,3.0,475343.52,514746.76,0.082894,1
002413.SZ,002413,雷科防务,20260304,20260305,14.81,14.8174,16.3018,4.0,475343.52,522127.98,0.098422,1
002155.SZ,002155,湖南黄金,20260304,20260305,36.72,36.7384,36.8516,12.0,475343.52,476045.57,0.001477,1
600759.SH,600759,洲际油气,20260306,20260309,7.88,7.8839,8.3158,1.0,504306.77,531082.99,0.053095,3
600410.SH,600410,华胜天成,20260306,20260309,28.3,28.3141,30.4947,3.0,504306.77,542276.84,0.075292,3
300164.SZ,300164,通源石油,20260306,20260309,21.82,21.8309,21.1294,6.0,504306.77,487321.44,-0.033681,3
000815.SZ,000815,美利云,20260311,20260312,18.17,18.1791,18.8306,7.0,1560681.28,1614026.56,0.034181,1
600759.SH,600759,洲际油气,20260313,20260316,7.51,7.5138,7.2864,12.0,1614026.56,1562675.33,-0.031816,3
601868.SH,601868,中国能建,20260317,20260318,3.42,3.4217,3.3783,3.0,520891.78,513462.32,-0.014263,1
600722.SH,600722,金牛化工,20260317,20260318,17.35,17.3587,17.3613,5.0,520891.78,520137.69,-0.001448,1
600759.SH,600759,洲际油气,20260317,20260318,7.1,7.1035,6.6467,11.0,520891.78,486610.28,-0.065813,1
000533.SZ,000533,顺钠股份,20260319,20260320,19.78,19.7899,16.7416,2.0,506736.77,427997.69,-0.155385,1
600227.SH,600227,赤天化,20260319,20260320,5.3,5.3026,4.2579,16.0,506736.77,406243.69,-0.198314,1
600370.SH,600370,三房巷,20260319,20260320,3.66,3.6618,2.9585,18.0,506736.77,408755.42,-0.193357,1
000815.SZ,000815,美利云,20260323,20260324,19.03,19.0395,20.5497,7.0,621498.4,669722.4,0.077593,1
603803.SH,603803,瑞斯康达,20260323,20260324,12.72,12.7264,15.6022,16.0,621498.4,760722.56,0.224014,1
002310.SZ,002310,东方新能,20260325,20260326,3.68,3.6818,3.4883,4.0,715222.48,676533.42,-0.054094,1
600759.SH,600759,洲际油气,20260325,20260326,6.01,6.013,6.1869,14.0,715222.48,734730.08,0.027275,1
600396.SH,600396,华电辽能,20260327,20260330,9.23,9.2346,8.086,1.0,470421.17,411248.34,-0.125787,3
601016.SH,601016,节能风电,20260327,20260330,5.11,5.1126,4.5977,2.0,470421.17,422371.17,-0.102142,3
600666.SH,600666,奥瑞德,20260327,20260330,5.32,5.3227,6.2369,5.0,470421.17,550339.01,0.169886,3
600726.SH,600726,华电能源,20260401,20260402,6.27,6.2731,5.3173,8.0,461319.51,390405.92,-0.153719,1
002149.SZ,002149,西部材料,20260401,20260402,51.55,51.5758,49.1254,9.0,461319.51,438699.52,-0.049033,1
002309.SZ,002309,中利集团,20260401,20260403,4.74,4.7424,5.0275,3.0,461319.51,488272.15,0.058425,2
