日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,500000.0,518504.04,1018504.04,1,1.01850404,1.01850404,0.0
20250911,518469.63,535093.08,1053562.71,1,1.05356271,1.05356271,0.0
20250912,573025.11,570896.73,1143921.84,1,1.1439218400000002,1.1439218400000002,0.0
20250915,286512.56,912273.58,1198786.13,3,1.1987861299999998,1.1987861299999998,0.0
20250916,572649.4,691085.51,1263734.91,1,1.26373491,1.26373491,0.0
20250917,0.0,1335043.04,1335043.04,3,1.33504304,1.33504304,0.0
20250918,551684.17,836140.94,1387825.11,1,1.38782511,1.38782511,0.0
20250919,1302546.69,0.0,1302546.69,0,1.30254669,1.38782511,-0.06144752633853123
20250922,1302546.69,0.0,1302546.69,0,1.30254669,1.38782511,-0.06144752633853123
20250923,1302546.69,0.0,1302546.69,0,1.30254669,1.38782511,-0.06144752633853123
20250924,0.0,1383705.36,1383705.36,2,1.38370536,1.38782511,-0.0029684936310167
20250925,1308108.01,0.0,1308108.01,0,1.30810801,1.38782511,-0.05744030672567968
20250926,1308108.01,0.0,1308108.01,0,1.30810801,1.38782511,-0.05744030672567968
20250929,1308108.01,0.0,1308108.01,0,1.30810801,1.38782511,-0.05744030672567968
20250930,1308108.01,0.0,1308108.01,0,1.30810801,1.38782511,-0.05744030672567968
20251009,1308108.01,0.0,1308108.01,0,1.30810801,1.38782511,-0.05744030672567968
20251010,1308108.01,0.0,1308108.01,0,1.30810801,1.38782511,-0.05744030672567968
20251013,1308108.01,0.0,1308108.01,0,1.30810801,1.38782511,-0.05744030672567968
20251014,1308108.01,0.0,1308108.01,0,1.30810801,1.38782511,-0.05744030672567968
20251015,654054.01,645720.56,1299774.56,3,1.2997745600000001,1.38782511,-0.06344498983737223
20251016,1108670.17,233994.85,1342665.02,1,1.34266502,1.38782511,-0.03254018800683034
20251017,1108670.17,257236.77,1365906.94,1,1.36590694,1.38782511,-0.015793178724083035
20251020,231214.48,1104590.57,1335805.06,2,1.33580506,1.38782511,-0.03748314512049722
20251021,1312765.09,121942.65,1434707.75,1,1.43470775,1.43470775,0.0
20251022,114098.1,1370296.99,1484395.09,1,1.48439509,1.48439509,0.0
20251023,1339864.54,109129.58,1448994.11,1,1.4489941100000001,1.48439509,-0.023848758486529342
20251024,108857.14,1264650.71,1373507.85,2,1.3735078500000002,1.48439509,-0.07470197169676696
20251027,676477.33,766980.3,1443457.62,2,1.4434576200000002,1.48439509,-0.02757855390103714
20251028,782543.0,725735.06,1508278.06,1,1.50827806,1.50827806,0.0
20251029,729661.73,810439.16,1540100.9,2,1.5401008999999999,1.5401008999999999,0.0
20251030,1515078.67,0.0,1515078.67,0,1.5150786699999998,1.5401008999999999,-0.016247136794738548
20251031,0.0,1389277.07,1389277.07,3,1.3892770700000001,1.5401008999999999,-0.09793113555092381
20251103,926688.66,499137.42,1425826.09,1,1.4258260900000002,1.5401008999999999,-0.0741995605612592
20251104,0.0,1581551.72,1581551.72,2,1.58155172,1.58155172,0.0
20251105,1056762.03,603352.93,1660114.96,1,1.66011496,1.66011496,0.0
20251106,616867.71,1002467.9,1619335.61,2,1.61933561,1.66011496,-0.024564172351052127
20251107,1067293.48,651862.74,1719156.22,1,1.71915622,1.71915622,0.0
20251110,699165.27,993087.63,1692252.9,1,1.6922529,1.71915622,-0.01564914211228574
20251111,938120.94,716611.6,1654732.54,1,1.6547325400000001,1.71915622,-0.03747401152409513
20251112,656370.99,1004772.09,1661143.08,2,1.66114308,1.71915622,-0.03374512410512631
20251113,1017488.85,726787.64,1744276.49,1,1.74427649,1.74427649,0.0
20251114,790512.95,993285.92,1783798.88,1,1.78379888,1.78379888,0.0
20251117,1424503.65,394188.84,1818692.49,2,1.8186924899999999,1.8186924899999999,0.0
20251118,1822591.16,0.0,1822591.16,0,1.82259116,1.82259116,0.0
20251119,1822591.16,0.0,1822591.16,0,1.82259116,1.82259116,0.0
20251120,1822591.16,0.0,1822591.16,0,1.82259116,1.82259116,0.0
20251121,1822591.16,0.0,1822591.16,0,1.82259116,1.82259116,0.0
20251124,1822591.16,0.0,1822591.16,0,1.82259116,1.82259116,0.0
20251125,0.0,2002700.53,2002700.53,3,2.00270053,2.00270053,0.0
20251126,1951661.79,0.0,1951661.79,0,1.95166179,2.00270053,-0.02548495855244015
20251127,1951661.79,0.0,1951661.79,0,1.95166179,2.00270053,-0.02548495855244015
20251128,0.0,1992553.79,1992553.79,3,1.99255379,2.00270053,-0.005066528843431062
20251201,1296058.27,782826.43,2078884.7,1,2.0788847,2.0788847,0.0
20251202,1296058.27,860830.48,2156888.76,1,2.1568887599999997,2.1568887599999997,0.0
20251203,2108065.43,0.0,2108065.43,0,2.1080654300000004,2.1568887599999997,-0.022635998158755055
20251204,2108065.43,0.0,2108065.43,0,2.1080654300000004,2.1568887599999997,-0.022635998158755055
20251205,0.0,2241555.55,2241555.55,3,2.2415555499999997,2.2415555499999997,0.0
20251208,1476486.16,835530.74,2312016.9,1,2.3120168999999997,2.3120168999999997,0.0
20251209,2317522.12,0.0,2317522.12,0,2.31752212,2.31752212,0.0
20251210,2317522.12,0.0,2317522.12,0,2.31752212,2.31752212,0.0
20251211,2317522.12,0.0,2317522.12,0,2.31752212,2.31752212,0.0
20251212,2317522.12,0.0,2317522.12,0,2.31752212,2.31752212,0.0
