日期,股票代码,股票简称,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞价匹配金额_openapi,竞价未匹配金额,竞价未匹配占比,竞昨成交比估算,竞价换手率_openapi,竞价量比_openapi,竞价涨幅今日,个股热度排名昨日,昨日炸板_openapi,大单动向(ddx值)昨日
20250910,600050.SH,中国联通,通信,0.0278803421098565,1.0,83975385.0,3337770.0,0.03974700443469238,0.017816463732681895,0.1,2.101,1.463,87,,-28722.614
20250911,688256.SH,寒武纪,电子,0.002275962625208,3.0,127728440.0,1924370.0,0.015066104306918647,0.007240039908974518,0.0,0.672,1.728,34,,-82.63
20250912,600376.SH,首开股份,房地产,0.0002790884274239,13.0,130126500.0,-5244780.0,-0.040305241438139044,0.0585336657710739,1.0,1.234,-0.2,7,1.0,5979.365
20250915,300274.SZ,阳光电源,电力设备,0.0169732345991338,1.0,147977540.0,2732262.0,0.018464031771307995,0.009782844662449644,0.1,0.59,3.047,27,,-2507.051
20250915,300450.SZ,先导智能,电力设备,0.0169732345991338,1.0,137370490.0,1797665.4,0.013086256007385574,0.00958617580565126,0.2,0.527,1.807,10,,-8568.462
20250915,002642.SZ,荣联科技,计算机,0.0009371578558119,6.0,51414831.0,185328.0,0.003604563049132652,0.02374359071398241,0.7000000000000001,1.066,3.744,34,,-6642.521
20250916,000737.SZ,北方铜业,有色金属,0.0111510375093839,1.0,69529228.0,8603192.2,0.12373490181711783,0.01714880597443715,,1.892,5.086,60,,-4840.576
20250916,300476.SZ,胜宏科技,电子,0.0013608641245617,13.0,132734804.0,2657178.2,0.020018699843034386,0.00808773664571498,,0.276,3.171,50,,-62.021
20250917,300750.SZ,宁德时代,电力设备,0.000652257732842,7.0,91983040.0,-118457.6,-0.001287820015515904,0.00689543666866122,0.0,0.432,0.956,76,,-79.084
20251015,000021.SZ,深科技,电子,0.0005099737886142,17.0,70015330.0,10764520.5,0.15374519408820897,0.008928219111370895,0.2,0.656,2.253,18,,-7849.365
20251015,000063.SZ,中兴通讯,通信,0.0044891984207957,3.0,89273158.0,10117973.3,0.11333723962134286,0.0048489115377878455,0.0,0.348,1.653,24,,-11389.133
20251015,002475.SZ,立讯精密,电子,0.0005099737886142,17.0,57335168.0,1364992.0,0.02380723816837861,0.0041925855471568385,0.0,0.34,0.055,29,,-6880.049
20251020,300502.SZ,新易盛,通信,0.0338629508664847,1.0,300463100.0,2586947.2,0.008609866569305848,0.030988289785221976,0.1,1.656,5.912,98,,-678.452
20251021,002185.SZ,华天科技,电子,0.0067902323269573,3.0,56967906.0,1274893.6,0.022379155028095996,0.010207150426914627,0.1,0.869,-1.976,4,,-8933.976
20251023,002208.SZ,合肥城建,房地产,0.0056593867688581,1.0,55811272.0,-97240.0,-0.0017423003725842334,0.018069870202640705,0.5,0.57,-2.794,5,,5978.036
20251024,300475.SZ,香农芯创,电子,0.0143922028244678,1.0,145601810.0,15150992.0,0.10405771741436456,0.025793709875850324,0.3,2.349,9.115,84,,835.804
20251024,601608.SH,中信重工,机械设备,0.000518385402267,16.0,67670630.0,6109896.6,0.09028875008256905,0.01758778880537935,0.2,1.152,-0.28,11,,-14430.873
20251024,600172.SH,黄河旋风,机械设备,0.000518385402267,16.0,102069903.0,904353.0,0.008860133824169501,0.02459508073074473,1.1,1.157,-2.587,1,,-11353.224
