桶编号,股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出原价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
1,600050.SH,600050,中国联通,20250910,20250911,5.55,5.5528,5.77,5.7671,87.0,333333.33,345646.42,0.036939,1
2,688256.SH,688256,寒武纪,20250911,20250912,1295.0,1295.6475,1488.0,1487.256,34.0,333333.33,382016.74,0.14605,1
2,300274.SZ,300274,阳光电源,20250915,20250916,138.0,138.069,140.31,140.2398,27.0,382016.74,387402.5,0.014098,1
3,300450.SZ,300450,先导智能,20250915,20250916,55.79,55.8179,55.0,54.9725,10.0,333333.33,327759.7,-0.016721,1
2,300750.SZ,300750,宁德时代,20250917,20250918,356.8,356.9784,366.89,366.7066,76.0,387402.5,397323.21,0.025608,1
1,600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.26,7.2564,7.0,345646.42,500575.01,0.448229,7
1,000021.SZ,000021,深科技,20251015,20251016,29.5,29.5147,30.44,30.4248,18.0,500575.01,515183.9,0.029184,1
2,000063.SZ,000063,中兴通讯,20251015,20251016,51.03,51.0555,54.03,54.003,24.0,397323.21,419588.74,0.056039,1
3,002475.SZ,002475,立讯精密,20251015,20251016,55.04,55.0675,59.2,59.1704,29.0,327759.7,351616.57,0.072788,1
1,300502.SZ,300502,新易盛,20251020,20251021,335.01,335.1775,365.42,365.2373,98.0,515183.9,560489.28,0.08794,1
2,002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.27,12.2639,4.0,419588.74,414111.4,-0.013054,1
1,002208.SZ,002208,合肥城建,20251023,20251024,14.96,14.9675,14.31,14.3028,5.0,560489.28,534743.9,-0.045934,1
2,300475.SZ,300475,香农芯创,20251024,20251027,116.0,116.058,133.66,133.5932,84.0,414111.4,475916.91,0.149249,3
1,300520.SZ,300520,科大国创,20251027,20251028,33.26,33.2766,37.1,37.0815,27.0,534743.9,594932.91,0.112557,1
3,601608.SH,601608,中信重工,20251024,20251028,7.13,7.1336,7.75,7.7461,11.0,351616.57,381199.21,0.084133,4
1,000063.SZ,000063,中兴通讯,20251029,20251030,45.45,45.4727,44.83,44.8076,49.0,594932.91,585293.0,-0.016203,1
2,601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.97,77.931,6.0,475916.91,473769.31,-0.004513,1
1,002709.SZ,002709,天赐材料,20251031,20251103,41.77,41.7909,40.31,40.2898,10.0,585293.0,563367.95,-0.03746,3
3,300274.SZ,300274,阳光电源,20251031,20251103,195.59,195.6878,199.47,199.3703,12.0,381199.21,387751.44,0.017188,3
2,000620.SZ,000620,盈新发展,20251031,20251106,2.76,2.7614,3.38,3.3783,20.0,473769.31,578688.74,0.221457,6
1,603686.SH,603686,福龙马,20251106,20251107,34.0,34.017,31.9,31.8841,2.0,563367.95,527198.77,-0.064202,1
3,600745.SH,600745,闻泰科技,20251106,20251107,41.4,41.4207,45.0,44.9775,47.0,387751.44,420374.22,0.084133,1
2,002320.SZ,002320,海峡股份,20251107,20251110,15.17,15.1776,14.6,14.5927,74.0,578688.74,555498.37,-0.040074,3
1,603516.SH,603516,淳中科技,20251110,20251111,230.0,230.115,202.69,202.5887,63.0,527198.77,463392.89,-0.121028,1
2,000572.SZ,000572,海马汽车,20251111,20251112,9.7,9.7048,9.13,9.1254,2.0,555498.37,521497.61,-0.061208,1
1,300502.SZ,300502,新易盛,20251117,20251118,314.33,314.4872,316.86,316.7016,98.0,463392.89,465909.36,0.005431,1
1,002474.SZ,002474,榕基软件,20251125,20251126,11.51,11.5158,12.34,12.3338,5.0,465909.36,498209.22,0.069326,1
2,002402.SZ,002402,和而泰,20251125,20251126,46.51,46.5333,47.59,47.5662,33.0,521497.61,532221.2,0.020563,1
3,000566.SZ,000566,海南海药,20251125,20251126,7.73,7.7339,8.7,8.6957,28.0,420374.22,471896.03,0.122562,1
2,000070.SZ,000070,特发信息,20251201,20251202,13.49,13.4967,14.74,14.7326,6.0,532221.2,580026.98,0.089823,1
3,000063.SZ,000063,中兴通讯,20251201,20251202,42.45,42.4712,45.5,45.4773,66.0,471896.03,504487.61,0.069065,1
1,002413.SZ,002413,雷科防务,20251128,20251203,7.0,7.0035,8.76,8.7556,12.0,498209.22,621853.83,0.248178,5
2,000078.SZ,000078,海王生物,20251205,20251208,4.82,4.8224,5.14,5.1374,4.0,580026.98,616928.4,0.06362,3
1,002565.SZ,002565,顺灏股份,20251205,20251209,11.0,11.0055,13.2,13.1934,9.0,621853.83,744286.33,0.196883,4
3,300502.SZ,300502,新易盛,20251208,20251209,375.12,375.3076,419.13,418.9204,77.0,504487.61,562211.24,0.11442,1
1,001208.SZ,001208,华菱线缆,20251219,20251222,21.41,21.4207,21.03,21.0195,15.0,744286.33,729177.29,-0.0203,3
2,300308.SZ,300308,中际旭创,20251219,20251222,583.34,583.6317,617.5,617.1913,71.0,616928.4,651359.05,0.05581,3
3,002491.SZ,002491,通鼎互联,20251219,20251222,6.35,6.3532,6.95,6.9465,39.0,562211.24,613735.28,0.091645,3
1,002792.SZ,002792,通宇通讯,20251224,20251229,30.88,30.8954,42.48,42.4588,21.0,729177.29,1000485.59,0.372075,5
1,002149.SZ,002149,西部材料,20251231,20260105,43.71,43.7319,46.03,46.007,38.0,1000485.59,1050851.85,0.050342,5
3,600783.SH,600783,鲁信创投,20251231,20260105,23.66,23.6718,22.26,22.2489,40.0,613735.28,575919.78,-0.061615,5
2,600151.SH,600151,航天机电,20251231,20260106,17.41,17.4187,19.71,19.7001,23.0,651359.05,735493.42,0.129167,6
1,002347.SZ,002347,泰尔股份,20260106,20260107,12.41,12.4162,12.71,12.7036,12.0,1050851.85,1073459.71,0.021514,1
3,002565.SZ,002565,顺灏股份,20260106,20260107,17.76,17.7689,19.46,19.4503,11.0,575919.78,629408.14,0.092875,1
2,002600.SZ,002600,领益智造,20260107,20260108,16.23,16.2381,16.43,16.4218,93.0,735493.42,742622.87,0.009693,1
1,603667.SH,603667,五洲新春,20260108,20260109,75.61,75.6478,78.11,78.0709,36.0,1073459.71,1106072.6,0.030381,1
3,002163.SZ,002163,海南发展,20260108,20260109,20.8,20.8104,19.93,19.92,52.0,629408.14,601515.48,-0.044316,1
2,600266.SH,600266,城建发展,20260109,20260112,7.13,7.1336,7.15,7.1464,29.0,742622.87,742771.65,0.0002,3
1,600151.SH,600151,航天机电,20260112,20260113,21.2,21.2106,20.51,20.4997,27.0,1106072.6,1067293.64,-0.03506,1
3,002324.SZ,002324,普利特,20260112,20260113,22.8,22.8114,21.51,21.4992,29.0,601515.48,566008.37,-0.059029,1
2,002757.SZ,002757,南兴股份,20260113,20260114,27.31,27.3237,26.42,26.4068,26.0,742771.65,716699.2,-0.035102,1
1,601138.SH,601138,工业富联,20260114,20260115,60.1,60.13,60.79,60.7596,74.0,1067293.64,1076743.05,0.008854,1
3,002230.SZ,002230,科大讯飞,20260114,20260115,61.26,61.2906,63.39,63.3583,40.0,566008.37,584167.11,0.032082,1
1,603881.SH,603881,数据港,20260116,20260119,36.41,36.4282,34.26,34.2429,46.0,1076743.05,1010530.08,-0.061494,3
2,603993.SH,603993,洛阳钼业,20260119,20260120,24.27,24.2821,23.07,23.0585,50.0,716699.2,679493.37,-0.051913,1
1,000547.SZ,000547,航天发展,20260120,20260121,29.0,29.0145,25.88,25.8671,5.0,1010530.08,899468.6,-0.109904,1
2,000657.SZ,000657,中钨高新,20260121,20260122,38.41,38.4292,42.51,42.4887,72.0,679493.37,750071.23,0.103868,1
1,002498.SZ,002498,汉缆股份,20260122,20260123,5.4,5.4027,5.94,5.937,32.0,899468.6,986845.53,0.097143,1
3,002716.SZ,002716,湖南白银,20260120,20260123,11.5,11.5057,16.44,16.4318,54.0,584167.11,832935.86,0.425852,3
2,601899.SH,601899,紫金矿业,20260123,20260126,38.39,38.4092,39.5,39.4803,60.0,750071.23,769754.04,0.026241,3
1,601212.SH,601212,白银有色,20260126,20260130,10.97,10.9755,13.67,13.6632,12.0,986845.53,1226539.53,0.242889,4
2,000630.SZ,000630,铜陵有色,20260128,20260130,7.73,7.7339,8.27,8.2659,13.0,769754.04,821388.24,0.067079,2
1,002455.SZ,002455,百川股份,20260203,20260204,9.78,9.7849,10.78,10.7746,35.0,1226539.53,1348440.98,0.099386,1
2,002165.SZ,002165,红宝丽,20260203,20260204,12.4,12.4062,14.12,14.1129,5.0,821388.24,932893.31,0.135752,1
3,002995.SZ,002995,天地在线,20260203,20260204,36.1,36.118,33.29,33.2734,15.0,832935.86,766105.61,-0.080235,1
1,600519.SH,600519,贵州茅台,20260209,20260210,1518.0,1518.759,1504.8,1504.0476,98.0,1348440.98,1333243.4,-0.01127,1
2,000592.SZ,000592,平潭发展,20260209,20260210,11.59,11.5958,11.1,11.0945,9.0,932893.31,891131.94,-0.044765,1
3,601138.SH,601138,工业富联,20260209,20260210,56.2,56.2281,56.07,56.042,39.0,766105.61,762348.18,-0.004905,1
1,300058.SZ,300058,蓝色光标,20260211,20260212,19.3,19.3097,20.16,20.1499,6.0,1333243.4,1389034.86,0.041846,1
2,603881.SH,603881,数据港,20260212,20260213,43.99,44.012,42.8,42.7786,24.0,891131.94,864773.36,-0.029579,1
2,603993.SH,603993,洛阳钼业,20260224,20260225,22.95,22.9615,23.45,23.4383,49.0,864773.36,881318.62,0.019132,1
1,600111.SH,600111,北方稀土,20260224,20260226,56.0,56.028,59.1,59.0705,95.0,1389034.86,1462120.23,0.052616,2
2,002455.SZ,002455,百川股份,20260226,20260227,14.05,14.057,14.36,14.3528,33.0,881318.62,898424.42,0.019409,1
3,600410.SH,600410,华胜天成,20260225,20260227,24.01,24.022,28.94,28.9255,3.0,762348.18,916495.25,0.2022,2
1,002969.SZ,002969,嘉美包装,20260312,20260316,26.0,26.013,28.04,28.026,23.0,1462120.23,1572744.72,0.07566,4
1,002310.SZ,002310,东方新能,20260325,20260326,3.68,3.6818,3.49,3.4883,4.0,1572744.72,1487669.06,-0.054094,1
2,603986.SH,603986,兆易创新,20260325,20260326,275.15,275.2876,262.0,261.869,62.0,898424.42,853264.76,-0.050265,1
3,002594.SZ,002594,比亚迪,20260325,20260326,106.72,106.7734,103.14,103.0884,29.0,916495.25,883450.09,-0.036056,1
2,002192.SZ,002192,融捷股份,20260401,20260402,75.0,75.0375,72.32,72.2838,91.0,853264.76,820637.67,-0.038238,1
3,002149.SZ,002149,西部材料,20260401,20260402,51.55,51.5758,49.15,49.1254,9.0,883450.09,840131.67,-0.049033,1
1,002309.SZ,002309,中利集团,20260401,20260403,4.74,4.7424,5.03,5.0275,3.0,1487669.06,1574586.27,0.058425,2
