股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
600050.SH,600050,中国联通,20250910,20250911,5.55,5.5528,5.7671,87.0,1000000.0,1036939.26,0.036939,1
600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.2564,7.0,1036939.26,1501725.03,0.448229,7
000021.SZ,000021,深科技,20251015,20251016,29.5,29.5147,30.4248,18.0,500575.01,515183.9,0.029184,1
000063.SZ,000063,中兴通讯,20251015,20251016,51.03,51.0555,54.003,24.0,500575.01,528626.65,0.056039,1
002475.SZ,002475,立讯精密,20251015,20251016,55.04,55.0675,59.1704,29.0,500575.01,537010.69,0.072788,1
300502.SZ,300502,新易盛,20251020,20251021,335.01,335.1775,365.2373,98.0,1580821.24,1719838.99,0.08794,1
002208.SZ,002208,合肥城建,20251023,20251024,14.96,14.9675,14.3028,5.0,1719838.99,1640840.32,-0.045934,1
000555.SZ,000555,神州信息,20251027,20251028,14.68,14.6873,15.2024,20.0,820420.16,847832.32,0.033412,1
300520.SZ,300520,科大国创,20251027,20251028,33.26,33.2766,37.0815,27.0,820420.16,912763.94,0.112557,1
601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.931,6.0,880298.13,876325.73,-0.004513,1
000063.SZ,000063,中兴通讯,20251029,20251030,45.45,45.4727,44.8076,49.0,880298.13,866034.35,-0.016203,1
002709.SZ,002709,天赐材料,20251031,20251103,41.77,41.7909,40.2898,10.0,871180.04,838545.68,-0.03746,3
300274.SZ,300274,阳光电源,20251031,20251103,195.59,195.6878,199.3703,12.0,871180.04,886154.29,0.017188,3
603686.SH,603686,福龙马,20251106,20251107,34.0,34.017,31.8841,2.0,862349.98,806985.65,-0.064202,1
600745.SH,600745,闻泰科技,20251106,20251107,41.4,41.4207,44.9775,47.0,862349.98,934902.28,0.084133,1
603516.SH,603516,淳中科技,20251110,20251111,230.0,230.115,202.5887,63.0,1741887.93,1531070.48,-0.121028,1
002474.SZ,002474,榕基软件,20251125,20251126,11.51,11.5158,12.3338,5.0,1531070.48,1637214.21,0.069326,1
002413.SZ,002413,雷科防务,20251128,20251203,7.0,7.0035,8.7556,12.0,1637214.21,2043534.9,0.248178,5
000078.SZ,000078,海王生物,20251205,20251208,4.82,4.8224,5.1374,4.0,1021767.45,1086772.48,0.06362,3
002565.SZ,002565,顺灏股份,20251205,20251209,11.0,11.0055,13.1934,9.0,1021767.45,1222936.19,0.196883,4
001208.SZ,001208,华菱线缆,20251219,20251222,21.41,21.4207,21.0195,15.0,769902.89,754273.83,-0.0203,3
002491.SZ,002491,通鼎互联,20251219,20251222,6.35,6.3532,6.9465,39.0,769902.89,840460.9,0.091645,3
300308.SZ,300308,中际旭创,20251219,20251222,583.34,583.6317,617.1913,71.0,769902.89,812871.02,0.05581,3
002792.SZ,002792,通宇通讯,20251224,20251229,30.88,30.8954,42.4588,21.0,2407605.75,3303414.53,0.372075,5
603123.SH,603123,翠微股份,20251231,20260105,15.61,15.6178,15.1224,8.0,1101138.18,1064506.53,-0.033267,5
600783.SH,600783,鲁信创投,20251231,20260105,23.66,23.6718,22.2489,40.0,1101138.18,1033291.19,-0.061615,5
600151.SH,600151,航天机电,20251231,20260106,17.41,17.4187,19.7001,23.0,1101138.18,1243369.36,0.129167,6
002565.SZ,002565,顺灏股份,20260106,20260107,17.76,17.7689,19.4503,11.0,1048898.86,1146315.0,0.092875,1
002347.SZ,002347,泰尔股份,20260106,20260107,12.41,12.4162,12.7036,12.0,1048898.86,1071464.7,0.021514,1
002600.SZ,002600,领益智造,20260107,20260108,16.23,16.2381,16.4218,93.0,1243369.36,1255421.87,0.009693,1
603667.SH,603667,五洲新春,20260108,20260109,75.61,75.6478,78.0709,36.0,1108889.85,1142579.15,0.030381,1
002163.SZ,002163,海南发展,20260108,20260109,20.8,20.8104,19.92,52.0,1108889.85,1059748.62,-0.044316,1
600266.SH,600266,城建发展,20260109,20260112,7.13,7.1336,7.1464,29.0,1255421.87,1255673.38,0.0002,3
600151.SH,600151,航天机电,20260112,20260113,21.2,21.2106,20.4997,27.0,1101163.89,1062557.02,-0.03506,1
002324.SZ,002324,普利特,20260112,20260113,22.8,22.8114,21.4992,29.0,1101163.89,1036162.83,-0.059029,1
002757.SZ,002757,南兴股份,20260113,20260114,27.31,27.3237,26.4068,26.0,1255673.38,1211597.28,-0.035102,1
002230.SZ,002230,科大讯飞,20260114,20260115,61.26,61.2906,63.3583,40.0,2098719.85,2166051.19,0.032082,1
603881.SH,603881,数据港,20260116,20260119,36.41,36.4282,34.2429,46.0,3377648.47,3169944.18,-0.061494,3
002716.SZ,002716,湖南白银,20260120,20260123,11.5,11.5057,16.4318,54.0,3169944.18,4519871.35,0.425852,3
601212.SH,601212,白银有色,20260126,20260130,10.97,10.9755,13.6632,12.0,4519871.35,5617698.76,0.242889,4
002165.SZ,002165,红宝丽,20260203,20260204,12.4,12.4062,14.1129,5.0,1872566.25,2126770.81,0.135752,1
002995.SZ,002995,天地在线,20260203,20260204,36.1,36.118,33.2734,15.0,1872566.25,1722321.7,-0.080235,1
002455.SZ,002455,百川股份,20260203,20260204,9.78,9.7849,10.7746,35.0,1872566.25,2058674.03,0.099386,1
000592.SZ,000592,平潭发展,20260209,20260210,11.59,11.5958,11.0945,9.0,1969255.51,1881100.93,-0.044765,1
601138.SH,601138,工业富联,20260209,20260210,56.2,56.2281,56.042,39.0,1969255.51,1959597.14,-0.004905,1
600519.SH,600519,贵州茅台,20260209,20260210,1518.0,1518.759,1504.0476,98.0,1969255.51,1947061.04,-0.01127,1
300058.SZ,300058,蓝色光标,20260211,20260212,19.3,19.3097,20.1499,6.0,5787759.11,6029956.13,0.041846,1
600111.SH,600111,北方稀土,20260224,20260226,56.0,56.028,59.0705,95.0,6029956.13,6347227.91,0.052616,2
002969.SZ,002969,嘉美包装,20260312,20260316,26.0,26.013,28.026,23.0,6347227.91,6827461.2,0.07566,4
002310.SZ,002310,东方新能,20260325,20260326,3.68,3.6818,3.4883,4.0,3413730.6,3229069.11,-0.054094,1
002594.SZ,002594,比亚迪,20260325,20260326,106.72,106.7734,103.0884,29.0,3413730.6,3290645.07,-0.036056,1
002149.SZ,002149,西部材料,20260401,20260402,51.55,51.5758,49.1254,9.0,3259857.09,3100015.75,-0.049033,1
002309.SZ,002309,中利集团,20260401,20260403,4.74,4.7424,5.0275,3.0,3259857.09,3450314.56,0.058425,2
600498.SH,600498,烽火通信,20260408,20260409,50.0,50.025,54.9225,71.0,6550330.32,7180114.66,0.096145,1
600666.SH,600666,奥瑞德,20260410,20260413,6.36,6.3632,6.4168,1.0,2393371.55,2409675.29,0.006812,3
600126.SH,600126,杭钢股份,20260410,20260413,8.8,8.8044,8.9955,19.0,2393371.55,2441408.48,0.020071,3
601899.SH,601899,紫金矿业,20260410,20260413,34.18,34.1971,33.6432,82.0,2393371.55,2350837.8,-0.017771,3
002328.SZ,002328,新朋股份,20260414,20260415,10.41,10.4152,12.4938,8.0,3600960.78,4312689.21,0.19765,1
601138.SH,601138,工业富联,20260414,20260415,56.25,56.2781,57.7911,50.0,3600960.78,3691853.33,0.025241,1
002328.SZ,002328,新朋股份,20260416,20260417,11.9,11.9059,12.9935,7.0,2668180.84,2907248.4,0.089599,1
300058.SZ,300058,蓝色光标,20260416,20260417,16.74,16.7484,17.991,20.0,2668180.84,2861559.63,0.072476,1
002050.SZ,002050,三花智控,20260416,20260417,46.11,46.1331,45.5172,91.0,2668180.84,2628352.76,-0.014927,1
