日期,股票代码,股票简称,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞价匹配金额_openapi,竞价未匹配金额,竞价未匹配占比,竞昨成交比估算,个股热度排名昨日,竞价涨幅今日,开盘价:不复权今日,收盘价:不复权今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,市场20日高低差
20250910,600050.SH,中国联通,801770,通信,0.0278803421098565,1.0,83975385.0,3337770.0,0.03974700443469238,0.017816463732681895,87,1.463,5.55,5.76,-2.546,5.124,861678410.0,1140335700.0,73
20250911,688256.SH,寒武纪,801080,电子,0.002275962625208,3.0,127728440.0,1924370.0,0.015066104306918647,0.007240039908974518,34,1.728,1295.0,1387.0,0.394,4.073,13858537.0,10358154.0,452
20250912,600376.SH,首开股份,801180,房地产,0.0002790884274239,13.0,130126500.0,-5244780.0,-0.040305241438139044,0.0585336657710739,7,-0.2,5.0,5.51,5.252,6.849,443731809.0,198744358.0,298
20250915,300274.SZ,阳光电源,801730,电力设备,0.0169732345991338,1.0,147977540.0,2732262.0,0.018464031771307995,0.009782844662449644,27,3.047,138.0,136.67,-1.518,8.608,112950176.0,134665136.0,144
20250915,300450.SZ,先导智能,801730,电力设备,0.0169732345991338,1.0,137370490.0,1797665.4,0.013086256007385574,0.00958617580565126,10,1.807,55.79,55.59,-5.939,4.392,261498581.0,238673180.0,144
20250915,002642.SZ,荣联科技,801750,计算机,0.0009371578558119,6.0,51414831.0,185328.0,0.003604563049132652,0.02374359071398241,34,3.744,10.53,11.17,-6.192,0.703,213342133.0,49937266.0,144
20250916,000737.SZ,北方铜业,801050,有色金属,0.0111510375093839,1.0,69529228.0,8603192.2,0.12373490181711783,0.01714880597443715,60,5.086,14.67,13.86,-0.57,7.07,290434543.0,109851221.0,455
20250916,300476.SZ,胜宏科技,801080,电子,0.0013608641245617,13.0,132734804.0,2657178.2,0.020018699843034386,0.00808773664571498,50,3.171,340.01,346.99,-2.211,6.115,49799360.0,71811821.0,455
20250917,300750.SZ,宁德时代,801730,电力设备,0.000652257732842,7.0,91983040.0,-118457.6,-0.001287820015515904,0.00689543666866122,76,0.956,356.8,377.1,-0.755,2.512,37744465.0,71841023.0,346
20251015,000021.SZ,深科技,801080,电子,0.0005099737886142,17.0,70015330.0,10764520.5,0.15374519408820897,0.008928219111370895,18,2.253,29.5,29.5,-8.413,4.459,271820585.0,308974793.0,456
20251015,000063.SZ,中兴通讯,801770,通信,0.0044891984207957,3.0,89273158.0,10117973.3,0.11333723962134286,0.0048489115377878455,24,1.653,51.03,50.4,-7.226,5.153,366750968.0,368249886.0,456
20251015,002475.SZ,立讯精密,801080,电子,0.0005099737886142,17.0,57335168.0,1364992.0,0.02380723816837861,0.0041925855471568385,29,0.055,55.04,58.2,-6.446,4.771,248599086.0,267290302.0,456
20251020,300502.SZ,新易盛,801770,通信,0.0338629508664847,1.0,300463100.0,2586947.2,0.008609866569305848,0.030988289785221976,98,5.912,335.01,329.24,-1.919,2.187,30653561.0,31175370.0,2
20251021,002185.SZ,华天科技,801080,电子,0.0067902323269573,3.0,56967906.0,1274893.6,0.022379155028095996,0.010207150426914627,4,-1.976,12.4,13.09,-4.094,0.0,441200988.0,178919672.0,459
20251023,002208.SZ,合肥城建,801180,房地产,0.0056593867688581,1.0,55811272.0,-97240.0,-0.0017423003725842334,0.018069870202640705,5,-2.794,14.96,14.32,2.463,12.235,200691217.0,114036284.0,449
20251024,300475.SZ,香农芯创,801080,电子,0.0143922028244678,1.0,145601810.0,15150992.0,0.10405771741436456,0.025793709875850324,84,9.115,116.0,127.57,0.711,7.177,53098155.0,48684073.0,377
20251024,601608.SH,中信重工,801890,机械设备,0.000518385402267,16.0,67670630.0,6109896.6,0.09028875008256905,0.01758778880537935,11,-0.28,7.13,6.88,-11.18,0.0,538123202.0,22758676.0,377
20251024,600172.SH,黄河旋风,801890,机械设备,0.000518385402267,16.0,102069903.0,904353.0,0.008860133824169501,0.02459508073074473,1,-2.587,7.53,6.96,-4.686,3.763,536872788.0,261386488.0,377
20251027,300520.SZ,科大国创,801750,计算机,0.0089199329389435,6.0,107221094.0,4196580.5,0.03913950458293216,0.028208249452178372,27,-2.578,33.26,36.9,-5.534,11.952,111336841.0,71607141.0,593
20251027,000555.SZ,神州信息,801750,计算机,0.0089199329389435,6.0,99420300.0,1484148.0,0.014928017718715393,0.03566886259292607,20,-0.945,14.68,15.19,-5.485,9.028,188077202.0,34706507.0,593
20251029,000063.SZ,中兴通讯,801770,通信,0.0140959866803476,1.0,607920290.0,9413422.2,0.015484632368496861,0.06278135108376573,49,-7.977,45.45,46.2,-2.004,1.624,196055252.0,207191737.0,329
20251029,601138.SH,工业富联,801080,电子,0.004899089563946,3.0,386232550.0,3375330.8,0.008739115333495326,0.025739468721130115,6,5.582,78.12,80.8,3.948,5.053,202804199.0,234879242.0,329
20251031,002709.SZ,天赐材料,801730,电力设备,9.043913975070872e-05,15.0,64601482.0,5513640.0,0.08534850640113797,0.00930074720099127,10,2.027,41.77,39.87,4.492,5.835,169658367.0,135878811.0,420
20251031,300274.SZ,阳光电源,801730,电力设备,9.043913975070872e-05,15.0,225262960.0,604373.1,0.0026829670532607756,0.009098371018010854,12,0.467,195.59,189.8,-0.113,12.648,127175347.0,145290726.0,420
