日期,股票代码,股票简称,申万一级行业,申万一级行业开盘涨幅,竞价未匹配占比,竞昨成交比估算,个股热度昨日,个股热度前日,热度变化值,热度变化比,前热昨热比,个股热度排名昨日,实体涨跌幅昨日,实体涨跌幅前日
20250910,600050.SH,中国联通,通信,0.0278803421098565,0.03974700443469238,0.017816463732681895,6630376.5,8707483.5,-2077107.0,0.7614572568526831,1.3132713504278377,87,-2.546,5.124
20250911,688256.SH,寒武纪,电子,0.002275962625208,0.015066104306918647,0.007240039908974518,12216679.0,10592238.0,1624441.0,1.1533614520368594,0.8670308845800074,34,0.394,4.073
20250912,600376.SH,首开股份,房地产,0.0002790884274239,-0.040305241438139044,0.0585336657710739,25999008.0,17927744.0,8071264.0,1.4502108017606676,0.6895549245571215,7,5.252,6.849
20250915,300274.SZ,阳光电源,电力设备,0.0169732345991338,0.018464031771307995,0.009782844662449644,15015404.0,19959729.5,-4944325.5,0.7522849445429609,1.3292835477486986,27,-1.518,8.608
20250915,300450.SZ,先导智能,电力设备,0.0169732345991338,0.013086256007385574,0.00958617580565126,25766692.0,26613727.5,-847035.5,0.9681729851633898,1.0328732729835868,10,-5.939,4.392
20250915,002642.SZ,荣联科技,计算机,0.0009371578558119,0.003604563049132652,0.02374359071398241,12939418.5,8314194.0,4625224.5,1.556304615937516,0.6425477311828194,34,-6.192,0.703
20250916,000737.SZ,北方铜业,有色金属,0.0111510375093839,0.12373490181711783,0.01714880597443715,8780812.5,6452163.0,2328649.5,1.3609098995174176,0.7348025026157887,60,-0.57,7.07
20250916,300476.SZ,胜宏科技,电子,0.0013608641245617,0.020018699843034386,0.00808773664571498,9568415.5,18893967.5,-9325552.0,0.5064270116903715,1.9746182113433515,50,-2.211,6.115
20250917,300750.SZ,宁德时代,电力设备,0.000652257732842,-0.001287820015515904,0.00689543666866122,7820239.5,27639837.5,-19819598.0,0.2829336279563872,3.5343978275857153,76,-0.755,2.512
20251015,000021.SZ,深科技,电子,0.0005099737886142,0.15374519408820897,0.008928219111370895,16936659.5,24501753.5,-7565094.0,0.6912427512585987,1.446669781605989,18,-8.413,4.459
20251015,000063.SZ,中兴通讯,通信,0.0044891984207957,0.11333723962134286,0.0048489115377878455,15109304.0,21034571.0,-5925267.0,0.7183081604088811,1.3921601550938416,24,-7.226,5.153
20251015,002475.SZ,立讯精密,电子,0.0005099737886142,0.02380723816837861,0.0041925855471568385,12569294.5,15319334.5,-2750040.0,0.8204856744919304,1.2187903227185901,29,-6.446,4.771
20251020,300502.SZ,新易盛,通信,0.0338629508664847,0.008609866569305848,0.030988289785221976,5418050.0,5811046.5,-392996.5,0.9323707872583707,1.0725346757597292,98,-1.919,2.187
20251021,002185.SZ,华天科技,电子,0.0067902323269573,0.022379155028095996,0.010207150426914627,25307134.5,16100392.5,9206742.0,1.571833388533851,0.6361997443843356,4,-4.094,0.0
20251023,002208.SZ,合肥城建,房地产,0.0056593867688581,-0.0017423003725842334,0.018069870202640705,25066434.5,18677312.5,6389122.0,1.3420793007559304,0.7451124530694623,5,2.463,12.235
20251024,300475.SZ,香农芯创,电子,0.0143922028244678,0.10405771741436456,0.025793709875850324,5815732.0,7498348.5,-1682616.5,0.7756017208322606,1.2893215333856511,84,0.711,7.177
20251024,601608.SH,中信重工,机械设备,0.000518385402267,0.09028875008256905,0.01758778880537935,16848718.0,10677583.5,6171134.5,1.577952352234005,0.6337326970514908,11,-11.18,0.0
20251024,600172.SH,黄河旋风,机械设备,0.000518385402267,0.008860133824169501,0.02459508073074473,33197430.5,27067018.0,6130412.5,1.2264901327512325,0.8153347289935587,1,-4.686,3.763
20251027,300520.SZ,科大国创,计算机,0.0089199329389435,0.03913950458293216,0.028208249452178372,11976576.5,8099049.5,3877527.0,1.4787632178319197,0.6762407855032696,27,-5.534,11.952
20251027,000555.SZ,神州信息,计算机,0.0089199329389435,0.014928017718715393,0.03566886259292607,14395202.0,4722080.0,9673122.0,3.048487530918578,0.3280315205024563,20,-5.485,9.028
20251029,000063.SZ,中兴通讯,通信,0.0140959866803476,0.015484632368496861,0.06278135108376573,9834086.5,8716581.0,1117505.5,1.1282045678230948,0.8863640766226736,49,-2.004,1.624
