日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,0.0,1037008.08,1037008.08,1,1.0370080799999999,1.0370080799999999,0.0
20250911,1036939.26,0.0,1036939.26,0,1.03693926,1.0370080799999999,-6.636399592940823e-05
20250912,0.0,1141793.46,1141793.46,1,1.14179346,1.14179346,0.0
20250915,0.0,1255765.58,1255765.58,1,1.25576558,1.25576558,0.0
20250916,0.0,1382171.02,1382171.02,1,1.38217102,1.38217102,0.0
20250917,0.0,1521009.79,1521009.79,1,1.5210097900000001,1.5210097900000001,0.0
20250918,0.0,1672281.88,1672281.88,1,1.6722818799999999,1.6722818799999999,0.0
20250919,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250922,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250923,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250924,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250925,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250926,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250929,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250930,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251009,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251010,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251013,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251014,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251015,0.0,1523065.82,1523065.82,3,1.52306582,1.6722818799999999,-0.08922901203713329
20251016,1580821.24,0.0,1580821.24,0,1.58082124,1.6722818799999999,-0.05469211924965667
20251017,1580821.24,0.0,1580821.24,0,1.58082124,1.6722818799999999,-0.05469211924965667
20251020,0.0,1552352.06,1552352.06,1,1.55235206,1.6722818799999999,-0.07171627070431441
20251021,1719838.99,0.0,1719838.99,0,1.71983899,1.71983899,0.0
20251022,1719838.99,0.0,1719838.99,0,1.71983899,1.71983899,0.0
20251023,0.0,1644946.79,1644946.79,1,1.64494679,1.71983899,-0.04354605311047166
20251024,1640840.32,0.0,1640840.32,0,1.6408403200000001,1.71983899,-0.04593375918288711
20251027,0.0,1757723.62,1757723.62,2,1.7577236200000002,1.7577236200000002,0.0
20251028,1760596.26,0.0,1760596.26,0,1.76059626,1.76059626,0.0
20251029,0.0,1803878.94,1803878.94,2,1.80387894,1.80387894,0.0
20251030,1742360.08,0.0,1742360.08,0,1.74236008,1.80387894,-0.03410365221071865
20251031,0.0,1675602.5,1675602.5,2,1.6756025,1.80387894,-0.07111144609294007
20251103,1724699.97,0.0,1724699.97,0,1.72469997,1.80387894,-0.04389372714778739
20251104,1724699.97,0.0,1724699.97,0,1.72469997,1.80387894,-0.04389372714778739
20251105,1724699.97,0.0,1724699.97,0,1.72469997,1.80387894,-0.04389372714778739
20251106,0.0,1636088.64,1636088.64,2,1.6360886399999999,1.80387894,-0.09301638612178709
20251107,1741887.93,0.0,1741887.93,0,1.7418879299999999,1.80387894,-0.03436539372204217
20251110,0.0,1620779.47,1620779.47,1,1.62077947,1.80387894,-0.10150319178292522
20251111,1531070.48,0.0,1531070.48,0,1.53107048,1.80387894,-0.1512343505712196
20251112,1531070.48,0.0,1531070.48,0,1.53107048,1.80387894,-0.1512343505712196
20251113,1531070.48,0.0,1531070.48,0,1.53107048,1.80387894,-0.1512343505712196
20251114,1531070.48,0.0,1531070.48,0,1.53107048,1.80387894,-0.1512343505712196
20251117,1531070.48,0.0,1531070.48,0,1.53107048,1.80387894,-0.1512343505712196
20251118,1531070.48,0.0,1531070.48,0,1.53107048,1.80387894,-0.1512343505712196
20251119,1531070.48,0.0,1531070.48,0,1.53107048,1.80387894,-0.1512343505712196
20251120,1531070.48,0.0,1531070.48,0,1.53107048,1.80387894,-0.1512343505712196
20251121,1531070.48,0.0,1531070.48,0,1.53107048,1.80387894,-0.1512343505712196
20251124,1531070.48,0.0,1531070.48,0,1.53107048,1.80387894,-0.1512343505712196
20251125,0.0,1822258.37,1822258.37,1,1.8222583700000001,1.8222583700000001,0.0
20251126,1637214.21,0.0,1637214.21,0,1.63721421,1.8222583700000001,-0.10154660999032761
20251127,1637214.21,0.0,1637214.21,0,1.63721421,1.8222583700000001,-0.10154660999032761
20251128,0.0,1790147.74,1790147.74,1,1.79014774,1.8222583700000001,-0.017621337637208967
20251201,0.0,1970097.31,1970097.31,1,1.97009731,1.97009731,0.0
20251202,0.0,2166405.94,2166405.94,1,2.1664059399999998,2.1664059399999998,0.0
20251203,2043534.9,0.0,2043534.9,0,2.0435349,2.1664059399999998,-0.056716535775377275
20251204,2043534.9,0.0,2043534.9,0,2.0435349,2.1664059399999998,-0.056716535775377275
20251205,0.0,2224986.66,2224986.66,2,2.2249866600000003,2.2249866600000003,0.0
20251208,1086772.48,1214931.14,2301703.61,1,2.3017036099999997,2.3017036099999997,0.0
20251209,2309708.66,0.0,2309708.66,0,2.30970866,2.30970866,0.0
20251210,2309708.66,0.0,2309708.66,0,2.30970866,2.30970866,0.0
20251211,2309708.66,0.0,2309708.66,0,2.30970866,2.30970866,0.0
20251212,2309708.66,0.0,2309708.66,0,2.30970866,2.30970866,0.0
20251215,2309708.66,0.0,2309708.66,0,2.30970866,2.30970866,0.0
20251216,2309708.66,0.0,2309708.66,0,2.30970866,2.30970866,0.0
20251217,2309708.66,0.0,2309708.66,0,2.30970866,2.30970866,0.0
20251218,2309708.66,0.0,2309708.66,0,2.30970866,2.30970866,0.0
20251219,-0.0,2382017.7,2382017.7,3,2.3820177,2.3820177,0.0
20251222,2407605.75,0.0,2407605.75,0,2.40760575,2.40760575,0.0
20251223,2407605.75,0.0,2407605.75,0,2.40760575,2.40760575,0.0
20251224,0.0,2704053.82,2704053.82,1,2.70405382,2.70405382,0.0
20251225,0.0,2974381.3,2974381.3,1,2.9743812999999997,2.9743812999999997,0.0
20251226,0.0,3271975.24,3271975.24,1,3.27197524,3.27197524,0.0
20251229,3303414.53,0.0,3303414.53,0,3.30341453,3.30341453,0.0
20251230,3303414.53,0.0,3303414.53,0,3.30341453,3.30341453,0.0
20251231,0.0,3443960.04,3443960.04,3,3.44396004,3.44396004,0.0
20260105,2097797.72,1220331.89,3318129.61,1,3.3181296099999997,3.44396004,-0.036536553426444573
20260106,1243369.36,2221546.35,3464915.71,2,3.46491571,3.46491571,0.0
20260107,2217779.7,1237782.38,3455562.09,1,3.45556209,3.46491571,-0.0026995231003758002
20260108,1255421.87,2186750.04,3442171.91,2,3.4421719100000003,3.46491571,-0.006564026921162758
20260109,2202327.77,1199878.23,3402206.0,1,3.402206,3.46491571,-0.01809848066982267
20260112,1255673.38,2336172.1,3591845.48,2,3.59184548,3.59184548,0.0
20260113,2098719.85,1149003.41,3247723.26,1,3.24772326,3.59184548,-0.09580652116471333
20260114,1211597.28,2144281.83,3355879.11,1,3.35587911,3.59184548,-0.06569502260436877
20260115,3377648.47,0.0,3377648.47,0,3.37764847,3.59184548,-0.05963424963370079
20260116,0.0,3297085.98,3297085.98,1,3.29708598,3.59184548,-0.08206352462578659
20260119,3169944.18,0.0,3169944.18,0,3.1699441800000003,3.59184548,-0.11746087139583727
20260120,0.0,3415294.02,3415294.02,1,3.41529402,3.59184548,-0.04915341179988619
20260121,0.0,3756823.42,3756823.42,1,3.75682342,3.75682342,0.0
20260122,0.0,4131404.05,4131404.05,1,4.1314040499999996,4.1314040499999996,0.0
20260123,4519871.35,0.0,4519871.35,0,4.51987135,4.51987135,0.0
20260126,0.0,4697402.0,4697402.0,1,4.697402,4.697402,0.0
20260127,0.0,5166730.51,5166730.51,1,5.16673051,5.16673051,0.0
20260128,0.0,5685462.02,5685462.02,1,5.685462019999999,5.685462019999999,0.0
20260129,0.0,6253596.53,6253596.53,1,6.25359653,6.25359653,0.0
20260130,5617698.76,0.0,5617698.76,0,5.61769876,6.25359653,-0.10168512902126747
20260202,5617698.76,0.0,5617698.76,0,5.61769876,6.25359653,-0.10168512902126747
20260203,0.0,5956894.08,5956894.08,3,5.95689408,6.25359653,-0.047445089969691545
20260204,5907766.53,0.0,5907766.53,0,5.90776653,6.25359653,-0.05530097734015471
20260205,5907766.53,0.0,5907766.53,0,5.90776653,6.25359653,-0.05530097734015471
20260206,5907766.53,0.0,5907766.53,0,5.90776653,6.25359653,-0.05530097734015471
20260209,0.0,5867883.86,5867883.86,3,5.86788386,6.25359653,-0.06167853460798822
20260210,5787759.11,0.0,5787759.11,0,5.7877591100000005,6.25359653,-0.07449112167138794
20260211,0.0,5669266.97,5669266.97,1,5.66926697,6.25359653,-0.09343896063598467
20260212,6029956.13,0.0,6029956.13,0,6.0299561299999995,6.25359653,-0.035761885009233385
20260213,6029956.13,0.0,6029956.13,0,6.0299561299999995,6.25359653,-0.035761885009233385
20260224,0.0,5911087.92,5911087.92,1,5.91108792,6.25359653,-0.054769860568539164
20260225,0.0,6501766.34,6501766.34,1,6.50176634,6.50176634,0.0
20260226,6347227.91,0.0,6347227.91,0,6.34722791,6.50176634,-0.023768684065013534
20260227,6347227.91,0.0,6347227.91,0,6.34722791,6.50176634,-0.023768684065013534
20260302,6347227.91,0.0,6347227.91,0,6.34722791,6.50176634,-0.023768684065013534
20260303,6347227.91,0.0,6347227.91,0,6.34722791,6.50176634,-0.023768684065013534
20260304,6347227.91,0.0,6347227.91,0,6.34722791,6.50176634,-0.023768684065013534
20260305,6347227.91,0.0,6347227.91,0,6.34722791,6.50176634,-0.023768684065013534
20260306,6347227.91,0.0,6347227.91,0,6.34722791,6.50176634,-0.023768684065013534
20260309,6347227.91,0.0,6347227.91,0,6.34722791,6.50176634,-0.023768684065013534
20260310,6347227.91,0.0,6347227.91,0,6.34722791,6.50176634,-0.023768684065013534
20260311,6347227.91,0.0,6347227.91,0,6.34722791,6.50176634,-0.023768684065013534
20260312,0.0,5868931.03,5868931.03,1,5.868931030000001,6.50176634,-0.09733282878941463
20260313,0.0,6456799.85,6456799.85,1,6.4567998499999995,6.50176634,-0.006916042141249856
20260316,6827461.2,0.0,6827461.2,0,6.8274612,6.8274612,0.0
20260317,6827461.2,0.0,6827461.2,0,6.8274612,6.8274612,0.0
20260318,6827461.2,0.0,6827461.2,0,6.8274612,6.8274612,0.0
20260319,6827461.2,0.0,6827461.2,0,6.8274612,6.8274612,0.0
20260320,6827461.2,0.0,6827461.2,0,6.8274612,6.8274612,0.0
20260323,6827461.2,0.0,6827461.2,0,6.8274612,6.8274612,0.0
20260324,6827461.2,0.0,6827461.2,0,6.8274612,6.8274612,0.0
20260325,0.0,6929395.42,6929395.42,2,6.92939542,6.92939542,0.0
20260326,6519714.18,0.0,6519714.18,0,6.519714179999999,6.92939542,-0.05912221992954192
20260327,6519714.18,0.0,6519714.18,0,6.519714179999999,6.92939542,-0.05912221992954192
20260330,6519714.18,0.0,6519714.18,0,6.519714179999999,6.92939542,-0.05912221992954192
20260331,6519714.18,0.0,6519714.18,0,6.519714179999999,6.92939542,-0.05912221992954192
20260401,0.0,6276045.52,6276045.52,2,6.276045519999999,6.92939542,-0.09428671051362814
20260402,3100015.75,3422174.89,6522190.64,1,6.52219064,6.92939542,-0.05876483521559517
20260403,6550330.32,0.0,6550330.32,0,6.5503303200000005,6.92939542,-0.054703921052898896
20260407,6550330.32,0.0,6550330.32,0,6.5503303200000005,6.92939542,-0.054703921052898896
20260408,6550330.32,0.0,6550330.32,0,6.5503303200000005,6.92939542,-0.054703921052898896
20260409,6550330.32,0.0,6550330.32,0,6.5503303200000005,6.92939542,-0.054703921052898896
20260410,6550330.32,0.0,6550330.32,0,6.5503303200000005,6.92939542,-0.054703921052898896
20260413,6550330.32,0.0,6550330.32,0,6.5503303200000005,6.92939542,-0.054703921052898896
20260414,6550330.32,0.0,6550330.32,0,6.5503303200000005,6.92939542,-0.054703921052898896
20260415,6550330.32,0.0,6550330.32,0,6.5503303200000005,6.92939542,-0.054703921052898896
20260416,6550330.32,0.0,6550330.32,0,6.5503303200000005,6.92939542,-0.054703921052898896
20260417,6550330.32,0.0,6550330.32,0,6.5503303200000005,6.92939542,-0.054703921052898896
20260420,6550330.32,0.0,6550330.32,0,6.5503303200000005,6.92939542,-0.054703921052898896
