日期,股票代码,股票简称,基础代码,开盘价:不复权今日,收盘价:不复权今日,个股热度排名昨日,竞价涨幅今日,量比,换手率昨日,大单动向(ddx值)昨日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,连续涨停天数昨日,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差
2025-09-10,600050.SH,中国联通,600050,5.55,5.76,87,1.463,0.7556357395458198,2.800673,-28722.614,-2.546,5.124,861678410.0,1140335700.0,0,392,319,73,310,58,252
2025-09-11,688256.SH,寒武纪,688256,1295.0,1387.0,34,1.728,1.3379350220126096,3.312663,-82.63,0.394,4.073,13858537.0,10358154.0,0,504,52,452,428,16,412
2025-09-12,600376.SH,首开股份,600376,5.0,5.51,7,-0.2,2.232676255393373,17.201806,5979.365,5.252,6.849,443731809.0,198744358.0,0,456,158,298,377,60,317
2025-09-15,002642.SZ,荣联科技,002642,10.53,11.17,34,3.744,4.272202907544037,32.247352,-6642.521,-6.192,0.703,213342133.0,49937266.0,0,487,343,144,399,126,273
2025-09-15,300274.SZ,阳光电源,300274,138.0,136.67,27,3.047,0.8387484641904642,7.105083,-2507.051,-1.518,8.608,112950176.0,134665136.0,0,487,343,144,399,126,273
2025-09-15,300450.SZ,先导智能,300450,55.79,55.59,10,1.807,1.0956345451131124,16.769024,-8568.462,-5.939,4.392,261498581.0,238673180.0,0,487,343,144,399,126,273
2025-09-16,000737.SZ,北方铜业,000737,14.67,13.86,60,5.086,2.6438899846183777,15.249604,-4840.576,-0.57,7.07,290434543.0,109851221.0,0,649,194,455,523,80,443
2025-09-16,603083.SH,剑桥科技,603083,113.0,119.9,39,3.67,1.780455114064066,24.124618,856.212,5.828,8.064,64658764.0,36315863.0,0,649,194,455,523,80,443
2025-09-16,600021.SH,上海电力,600021,21.54,21.07,9,-0.646,1.7534622817183387,11.444011,-7888.697,-1.989,0.863,322348468.0,183835416.0,0,649,194,455,523,80,443
2025-09-17,002642.SZ,荣联科技,002642,11.09,10.55,28,-0.627,1.3246660136115496,31.354887,-5992.647,-3.544,6.078,207437766.0,156596277.0,0,564,218,346,469,69,400
2025-09-17,300750.SZ,宁德时代,300750,356.8,377.1,76,0.956,0.5253887462042405,0.887181,-79.084,-0.755,2.512,37744465.0,71841023.0,0,564,218,346,469,69,400
2025-09-24,600400.SH,红豆股份,600400,3.2,3.83,24,-8.046,4.684642749239891,22.605491,-12880.882,-11.675,0.826,517975880.0,110568918.0,0,529,174,355,402,60,342
2025-09-24,000981.SZ,山子高科,000981,4.11,3.82,1,-3.066,1.7920529393385003,31.039192,-21687.738,-5.145,10.078,2952868940.0,1647757650.0,0,529,174,355,402,60,342
