日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,0.0,1037008.08,1037008.08,1,1.0370080799999999,1.0370080799999999,0.0
20250911,1036939.26,0.0,1036939.26,0,1.03693926,1.0370080799999999,-6.636399592940823e-05
20250912,0.0,1141793.46,1141793.46,1,1.14179346,1.14179346,0.0
20250915,0.0,1255765.58,1255765.58,1,1.25576558,1.25576558,0.0
20250916,0.0,1382171.02,1382171.02,1,1.38217102,1.38217102,0.0
20250917,0.0,1521009.79,1521009.79,1,1.5210097900000001,1.5210097900000001,0.0
20250918,0.0,1672281.88,1672281.88,1,1.6722818799999999,1.6722818799999999,0.0
20250919,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250922,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250923,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250924,0.0,1595294.05,1595294.05,2,1.5952940500000001,1.6722818799999999,-0.04603759146155417
20250925,1508136.77,0.0,1508136.77,0,1.5081367700000001,1.6722818799999999,-0.09815636464350119
20250926,1508136.77,0.0,1508136.77,0,1.5081367700000001,1.6722818799999999,-0.09815636464350119
20250929,1508136.77,0.0,1508136.77,0,1.5081367700000001,1.6722818799999999,-0.09815636464350119
20250930,1508136.77,0.0,1508136.77,0,1.5081367700000001,1.6722818799999999,-0.09815636464350119
20251009,1508136.77,0.0,1508136.77,0,1.5081367700000001,1.6722818799999999,-0.09815636464350119
20251010,1508136.77,0.0,1508136.77,0,1.5081367700000001,1.6722818799999999,-0.09815636464350119
20251013,1508136.77,0.0,1508136.77,0,1.5081367700000001,1.6722818799999999,-0.09815636464350119
20251014,1508136.77,0.0,1508136.77,0,1.5081367700000001,1.6722818799999999,-0.09815636464350119
20251015,0.0,1488921.25,1488921.25,3,1.48892125,1.6722818799999999,-0.10964696334567703
20251016,1048267.18,539552.15,1587819.33,1,1.58781933,1.6722818799999999,-0.05050736422498325
20251017,1048267.18,593144.03,1641411.21,1,1.64141121,1.6722818799999999,-0.018460207199039846
20251020,533141.09,1044409.85,1577550.94,2,1.5775509399999998,1.6722818799999999,-0.0566477106120411
20251021,1131933.84,562357.84,1694291.68,1,1.6942916799999999,1.6942916799999999,0.0
20251022,526181.43,1181540.82,1707722.25,1,1.70772225,1.70772225,0.0
20251023,1155300.38,503268.31,1658568.69,1,1.6585686899999998,1.70772225,-0.028783111539361972
20251024,502011.94,1090447.14,1592459.07,2,1.59245907,1.70772225,-0.06749527330922811
20251027,536362.55,1131844.37,1668206.92,2,1.6682069199999998,1.70772225,-0.02313920193989405
20251028,1145035.1,575417.82,1720452.93,1,1.72045293,1.72045293,0.0
20251029,578531.19,1185853.42,1764384.61,2,1.76438461,1.76438461,0.0
20251030,1727771.51,0.0,1727771.51,0,1.72777151,1.76438461,-0.020751201179429968
20251031,0.0,1584309.37,1584309.37,3,1.5843093700000002,1.76438461,-0.10206121668676305
20251103,1056780.94,569208.34,1625989.29,1,1.6259892900000001,1.76438461,-0.0784382946981157
20251104,0.0,1803576.31,1803576.31,2,1.80357631,1.80357631,0.0
20251105,1205114.54,688054.04,1893168.58,1,1.89316858,1.89316858,0.0
20251106,703466.07,1143198.38,1846664.45,2,1.84666445,1.89316858,-0.02456417800891242
20251107,1217124.43,743373.86,1960498.29,1,1.96049829,1.96049829,0.0
20251110,797316.9,1132501.27,1929818.17,1,1.9298181699999999,1.96049829,-0.015649143973494706
20251111,1069818.13,817212.42,1887030.55,1,1.88703055,1.96049829,-0.03747401381309046
20251112,748514.99,1145826.04,1894341.03,2,1.89434103,1.96049829,-0.03374512507225902
20251113,1160328.03,828817.01,1989145.04,1,1.9891450400000001,1.9891450400000001,0.0
20251114,901488.34,1132727.4,2034215.73,1,2.03421573,2.03421573,0.0
20251117,1173737.03,899053.3,2072790.34,2,2.07279034,2.07279034,0.0
20251118,2081682.29,0.0,2081682.29,0,2.08168229,2.08168229,0.0
20251119,2081682.29,0.0,2081682.29,0,2.08168229,2.08168229,0.0
20251120,2081682.29,0.0,2081682.29,0,2.08168229,2.08168229,0.0
20251121,2081682.29,0.0,2081682.29,0,2.08168229,2.08168229,0.0
20251124,2081682.29,0.0,2081682.29,0,2.08168229,2.08168229,0.0
20251125,-0.0,2287395.19,2287395.19,3,2.28739519,2.28739519,0.0
20251126,2229101.01,0.0,2229101.01,0,2.22910101,2.28739519,-0.02548496222027985
20251127,2229101.01,0.0,2229101.01,0,2.22910101,2.28739519,-0.02548496222027985
20251128,-0.0,2275806.03,2275806.03,3,2.2758060299999996,2.28739519,-0.005066531594831281
20251201,1480299.93,894109.41,2374409.34,1,2.3744093399999997,2.3744093399999997,0.0
20251202,1480299.93,983202.17,2463502.1,1,2.4635021,2.4635021,0.0
20251203,2407738.27,0.0,2407738.27,0,2.40773827,2.4635021,-0.02263599856480747
20251204,2407738.27,0.0,2407738.27,0,2.40773827,2.4635021,-0.02263599856480747
20251205,0.0,2560204.72,2560204.72,3,2.56020472,2.56020472,0.0
20251208,1686376.61,954305.93,2640682.54,1,2.6406825400000002,2.6406825400000002,0.0
20251209,2646970.35,0.0,2646970.35,0,2.64697035,2.64697035,0.0
20251210,2646970.35,0.0,2646970.35,0,2.64697035,2.64697035,0.0
20251211,2646970.35,0.0,2646970.35,0,2.64697035,2.64697035,0.0
20251212,2646970.35,0.0,2646970.35,0,2.64697035,2.64697035,0.0
20251215,2646970.35,0.0,2646970.35,0,2.64697035,2.64697035,0.0
20251216,2646970.35,0.0,2646970.35,0,2.64697035,2.64697035,0.0
20251217,2646970.35,0.0,2646970.35,0,2.64697035,2.64697035,0.0
20251218,2646970.35,0.0,2646970.35,0,2.64697035,2.64697035,0.0
20251219,0.0,2729837.89,2729837.89,3,2.72983789,2.72983789,0.0
20251222,2759162.29,0.0,2759162.29,0,2.75916229,2.75916229,0.0
20251223,2759162.29,0.0,2759162.29,0,2.75916229,2.75916229,0.0
20251224,-0.0,3072679.27,3072679.27,3,3.07267927,3.07267927,0.0
20251225,-0.0,3380123.03,3380123.03,3,3.3801230299999996,3.3801230299999996,0.0
20251226,1129387.94,2510094.29,3639482.23,2,3.63948223,3.63948223,0.0
20251229,1261925.44,2526692.0,3788617.43,2,3.78861743,3.78861743,0.0
20251230,2475108.96,1228514.61,3703623.58,1,3.70362358,3.78861743,-0.02243400173556187
20251231,1226304.08,2624111.97,3850416.05,2,3.8504160499999998,3.8504160499999998,0.0
20260105,2357686.83,1174048.23,3531735.06,1,3.53173506,3.8504160499999998,-0.08276533908588912
20260106,1103339.74,2496766.26,3600106.01,2,3.6001060099999997,3.8504160499999998,-0.06500856965833601
20260107,2492532.97,1111721.96,3604254.93,1,3.60425493,3.8504160499999998,-0.06393104454257603
20260108,1114712.4,2462688.62,3577401.02,2,3.57740102,3.8504160499999998,-0.07090533242505048
20260109,2364429.22,1065394.17,3429823.38,1,3.4298233799999998,3.8504160499999998,-0.10923304508872489
20260112,1114935.72,2523773.88,3638709.6,2,3.6387096,3.8504160499999998,-0.05498274660474678
20260113,2285251.89,1020221.47,3305473.36,1,3.3054733599999997,3.8504160499999998,-0.14152826160175602
20260114,1075799.73,2486687.68,3562487.41,2,3.56248741,3.8504160499999998,-0.07477857879799754
20260115,3249481.21,0.0,3249481.21,0,3.24948121,3.8504160499999998,-0.15607010572273095
20260116,0.0,3146087.28,3146087.28,3,3.1460872799999997,3.8504160499999998,-0.1829227701250622
20260119,3041618.22,0.0,3041618.22,0,3.04161822,3.8504160499999998,-0.2100546588984844
20260120,-0.0,3082345.72,3082345.72,3,3.08234572,3.8504160499999998,-0.199477230519024
20260121,1993021.84,1201579.79,3194601.63,1,3.1946016299999997,3.8504160499999998,-0.17032300184807303
20260122,0.0,3541031.43,3541031.43,3,3.5410314300000003,3.8504160499999998,-0.08035095843733553
20260123,3811113.78,0.0,3811113.78,0,3.81111378,3.8504160499999998,-0.010207278769264416
20260126,0.0,3960805.98,3960805.98,1,3.96080598,3.96080598,0.0
20260127,0.0,4356539.45,4356539.45,1,4.3565394500000005,4.3565394500000005,0.0
20260128,0.0,4793929.06,4793929.06,1,4.79392906,4.79392906,0.0
20260129,0.0,5272974.84,5272974.84,1,5.27297484,5.27297484,0.0
20260130,4736791.71,0.0,4736791.71,0,4.73679171,5.27297484,-0.10168512960323539
20260202,4736791.71,0.0,4736791.71,0,4.73679171,5.27297484,-0.10168512960323539
20260203,0.0,5022798.07,5022798.07,3,5.02279807,5.27297484,-0.04744509078674075
20260204,4981374.17,0.0,4981374.17,0,4.98137417,5.27297484,-0.05530097883038643
20260205,4981374.17,0.0,4981374.17,0,4.98137417,5.27297484,-0.05530097883038643
20260206,4981374.17,0.0,4981374.17,0,4.98137417,5.27297484,-0.05530097883038643
20260209,0.0,4947745.48,4947745.48,3,4.94774548,5.27297484,-0.06167853438875881
20260210,4880185.02,0.0,4880185.02,0,4.88018502,5.27297484,-0.07449112349642839
20260211,0.0,4847645.83,4847645.83,3,4.84764583,5.27297484,-0.08066205944574534
20260212,4708607.47,0.0,4708607.47,0,4.70860747,5.27297484,-0.10703016553744837
20260213,4708607.47,0.0,4708607.47,0,4.70860747,5.27297484,-0.10703016553744837
20260224,0.0,4651089.73,4651089.73,2,4.651089730000001,5.27297484,-0.11793819027590868
20260225,2399347.41,2538514.78,4937862.19,1,4.937862190000001,5.27297484,-0.06355286345345035
20260226,2478177.63,2319900.35,4798077.98,2,4.79807798,5.27297484,-0.09006241721418862
20260227,2325199.31,2538905.17,4864104.48,1,4.864104480000001,5.27297484,-0.07754073789587801
20260302,2325199.31,2792956.47,5118155.79,1,5.11815579,5.27297484,-0.029360855057673607
20260303,4840275.78,0.0,4840275.78,0,4.840275780000001,5.27297484,-0.08205976192368847
20260304,4840275.78,0.0,4840275.78,0,4.840275780000001,5.27297484,-0.08205976192368847
20260305,4840275.78,0.0,4840275.78,0,4.840275780000001,5.27297484,-0.08205976192368847
20260306,0.0,4767964.73,4767964.73,3,4.76796473,5.27297484,-0.09577328269595908
20260309,4713143.38,0.0,4713143.38,0,4.71314338,5.27297484,-0.10616994713367522
20260310,4713143.38,0.0,4713143.38,0,4.71314338,5.27297484,-0.10616994713367522
20260311,0.0,4595334.17,4595334.17,1,4.59533417,5.27297484,-0.12851202415371277
20260312,4874242.24,0.0,4874242.24,0,4.87424224,5.27297484,-0.07561814954535229
20260313,4874242.24,0.0,4874242.24,0,4.87424224,5.27297484,-0.07561814954535229
20260316,4874242.24,0.0,4874242.24,0,4.87424224,5.27297484,-0.07561814954535229
20260317,4874242.24,0.0,4874242.24,0,4.87424224,5.27297484,-0.07561814954535229
20260318,4874242.24,0.0,4874242.24,0,4.87424224,5.27297484,-0.07561814954535229
20260319,4874242.24,0.0,4874242.24,0,4.87424224,5.27297484,-0.07561814954535229
20260320,4874242.24,0.0,4874242.24,0,4.87424224,5.27297484,-0.07561814954535229
20260323,4874242.24,0.0,4874242.24,0,4.87424224,5.27297484,-0.07561814954535229
20260324,4874242.24,0.0,4874242.24,0,4.87424224,5.27297484,-0.07561814954535229
20260325,0.0,5001236.94,5001236.94,3,5.00123694,5.27297484,-0.05153407862647785
20260326,4874110.75,0.0,4874110.75,0,4.87411075,5.27297484,-0.07564308613313997
20260327,0.0,4988243.26,4988243.26,3,4.98824326,5.27297484,-0.053998281546892346
20260330,3321054.68,1705829.13,5026883.82,1,5.02688382,5.27297484,-0.046670243546999335
20260331,5088204.51,0.0,5088204.51,0,5.08820451,5.27297484,-0.03504100353340589
20260401,0.0,4861325.1,4861325.1,3,4.861325099999999,5.27297484,-0.0780678369404092
20260402,3244118.47,1780520.35,5024638.83,1,5.02463883,5.27297484,-0.04709599752233984
20260403,5039279.59,0.0,5039279.59,0,5.03927959,5.27297484,-0.04431943202672295
20260407,5039279.59,0.0,5039279.59,0,5.03927959,5.27297484,-0.04431943202672295
20260408,5039279.59,0.0,5039279.59,0,5.03927959,5.27297484,-0.04431943202672295
20260409,5039279.59,0.0,5039279.59,0,5.03927959,5.27297484,-0.04431943202672295
20260410,5039279.59,0.0,5039279.59,0,5.03927959,5.27297484,-0.04431943202672295
20260413,5039279.59,0.0,5039279.59,0,5.03927959,5.27297484,-0.04431943202672295
20260414,5039279.59,0.0,5039279.59,0,5.03927959,5.27297484,-0.04431943202672295
20260415,5039279.59,0.0,5039279.59,0,5.03927959,5.27297484,-0.04431943202672295
20260416,5039279.59,0.0,5039279.59,0,5.03927959,5.27297484,-0.04431943202672295
20260417,5039279.59,0.0,5039279.59,0,5.03927959,5.27297484,-0.04431943202672295
20260420,5039279.59,0.0,5039279.59,0,5.03927959,5.27297484,-0.04431943202672295
