股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
002670.SZ,002670,国盛金控,20240508,20240509,12.35,12.3562,11.6942,8.0,500000.0,472453.85,-0.055092,1
300905.SZ,300905,宝丽迪,20240508,20240509,39.78,39.7999,40.06,24.0,500000.0,502462.23,0.004924,1
000002.SZ,000002,万科A,20240510,20240513,7.4,7.4037,7.4163,19.0,324972.03,325003.96,9.8e-05,3
300093.SZ,300093,金刚光伏,20240510,20240513,16.69,16.6983,16.6517,67.0,324972.03,323545.32,-0.00439,3
600505.SH,600505,西昌电力,20240510,20240515,10.11,10.1151,12.4338,18.0,324972.03,398828.05,0.227269,5
603739.SH,603739,蔚蓝生物,20240514,20240515,18.61,18.6193,17.1314,5.0,324274.64,297884.51,-0.081382,1
002130.SZ,002130,沃尔核材,20240514,20240515,13.54,13.5468,13.5432,17.0,324274.64,323671.24,-0.001861,1
601099.SH,601099,太平洋,20240516,20240517,3.52,3.5218,3.4783,16.0,340127.93,335389.43,-0.013932,1
600101.SH,600101,明星电力,20240516,20240517,10.8,10.8054,12.1039,20.0,340127.93,380393.57,0.118384,1
000977.SZ,000977,浪潮信息,20240516,20240517,40.5,40.5202,39.1004,40.0,340127.93,327685.03,-0.036583,1
300641.SZ,300641,正丹股份,20240520,20240521,25.76,25.7729,26.8965,6.0,347822.68,362406.7,0.041929,1
600789.SH,600789,鲁抗医药,20240520,20240521,8.94,8.9445,8.9155,10.0,347822.68,346143.13,-0.004829,1
600843.SH,600843,上工申贝,20240520,20240521,7.7,7.7039,8.1659,11.0,347822.68,368094.83,0.058283,1
000560.SZ,000560,我爱我家,20240522,20240523,3.58,3.5818,3.6882,3.0,358881.55,368947.83,0.028049,1
603259.SH,603259,药明康德,20240522,20240523,43.7,43.7219,43.2684,27.0,358881.55,354591.05,-0.011955,1
603823.SH,603823,百合花,20240522,20240523,14.0,14.007,11.5142,52.0,358881.55,294541.21,-0.17928,1
600714.SH,600714,金瑞矿业,20240524,20240527,9.96,9.965,8.9655,26.0,339360.03,304834.61,-0.101737,3
300719.SZ,300719,安达维尔,20240524,20240527,22.49,22.5012,20.8895,47.0,339360.03,314548.78,-0.073112,3
002246.SZ,002246,北化股份,20240524,20240528,11.03,11.0355,11.7941,36.0,339360.03,362107.63,0.067031,4
000702.SZ,000702,正虹科技,20240528,20240529,6.8,6.8034,5.8071,1.0,309691.7,263916.94,-0.147808,1
600101.SH,600101,明星电力,20240528,20240529,14.18,14.1871,15.7921,2.0,309691.7,344176.26,0.111351,1
000737.SZ,000737,北方铜业,20240529,20240530,11.83,11.8359,11.1044,22.0,362107.63,339185.65,-0.063302,1
600719.SH,600719,大连热电,20240530,20240531,11.25,11.2556,9.4953,5.0,304046.6,256083.57,-0.157749,1
603068.SH,603068,博通集成,20240530,20240531,24.56,24.5723,24.2779,6.0,304046.6,299923.01,-0.013562,1
000422.SZ,000422,湖北宜化,20240531,20240603,12.88,12.8864,12.4938,23.0,339185.65,328323.61,-0.032024,3
300637.SZ,300637,扬帆新材,20240603,20240604,13.01,13.0165,12.2139,12.0,278003.29,260443.99,-0.063162,1
002278.SZ,002278,神开股份,20240603,20240604,4.77,4.7724,4.4078,18.0,278003.29,256354.32,-0.077873,1
600501.SH,600501,航天晨光,20240604,20240605,16.1,16.1081,16.4917,1.0,328323.61,335606.73,0.022183,1
002055.SZ,002055,得润电子,20240605,20240606,7.17,7.1736,6.3068,7.0,258399.15,226815.0,-0.12223,1
600996.SH,600996,贵广网络,20240605,20240606,8.8,8.8044,8.7556,22.0,258399.15,256556.49,-0.007131,1
002607.SZ,002607,中公教育,20240606,20240607,1.68,1.6808,1.7091,9.0,335606.73,340712.43,0.015213,1
601919.SH,601919,中远海控,20240607,20240611,16.99,16.9985,15.4523,6.0,241685.75,219350.0,-0.092416,4
000692.SZ,000692,惠天热电,20240607,20240611,3.43,3.4317,3.5382,29.0,241685.75,248788.71,0.029389,4
300656.SZ,300656,民德电子,20240611,20240612,21.0,21.0105,21.7991,46.0,340712.43,352935.09,0.035874,1
600519.SH,600519,贵州茅台,20240612,20240613,1570.0,1570.785,1554.2325,12.0,468138.71,462464.68,-0.01212,1
603172.SH,603172,万丰股份,20240613,20240614,16.84,16.8484,15.902,40.0,176467.54,166288.96,-0.05768,1
002594.SZ,002594,比亚迪,20240613,20240614,248.8,248.9244,252.9235,50.0,176467.54,179015.77,0.01444,1
300641.SZ,300641,正丹股份,20240614,20240617,27.0,27.0135,31.994,2.0,462464.68,546853.46,0.182476,3
601136.SH,601136,首创证券,20240617,20240618,21.98,21.991,22.3888,12.0,172652.37,175494.44,0.016461,1
001298.SZ,001298,好上好,20240617,20240618,20.37,20.3802,20.2899,13.0,172652.37,171612.15,-0.006025,1
001298.SZ,001298,好上好,20240618,20240620,20.4,20.4102,23.6682,48.0,546853.46,633130.13,0.157769,2
300641.SZ,300641,正丹股份,20240619,20240620,31.87,31.8859,30.2649,10.0,173553.29,164466.39,-0.052358,1
002654.SZ,002654,万润科技,20240619,20240620,12.72,12.7264,11.6242,27.0,173553.29,158269.03,-0.088067,1
002199.SZ,002199,*ST东晶,20240621,20240624,8.6,8.6043,7.4663,1.0,318621.85,276037.57,-0.133651,3
603005.SH,603005,晶方科技,20240621,20240624,21.0,21.0105,21.7691,3.0,318621.85,329598.04,0.034449,3
300139.SZ,300139,晓程科技,20240621,20240624,13.69,13.6968,11.964,93.0,318621.85,277866.85,-0.12791,3
600519.SH,600519,贵州茅台,20240625,20240626,1477.0,1477.7385,1488.4754,2.0,441751.23,444249.17,0.005655,1
002594.SZ,002594,比亚迪,20240625,20240626,252.0,252.126,252.5936,70.0,441751.23,441862.69,0.000252,1
603386.SH,603386,骏亚科技,20240627,20240628,12.0,12.006,12.4738,14.0,886111.85,919162.66,0.037299,1
