日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20240508,0.0,987118.65,987118.65,2,0.98711865,0.98711865,0.0
20240509,974916.09,0.0,974916.09,0,0.97491609,0.98711865,-0.012361796629007049
20240510,0.0,1016617.05,1016617.05,3,1.01661705,1.01661705,0.0
20240513,648549.29,403401.12,1051950.41,1,1.05195041,1.05195041,0.0
20240514,0.0,1077381.98,1077381.98,3,1.07738198,1.07738198,0.0
20240515,1020383.8,0.0,1020383.8,0,1.0203838,1.07738198,-0.05290433760549795
20240516,0.0,1033368.68,1033368.68,3,1.0333686800000002,1.07738198,-0.04085208479169089
20240517,1043468.03,0.0,1043468.03,0,1.04346803,1.07738198,-0.03147811141225865
20240520,0.0,1050696.27,1050696.27,3,1.05069627,1.07738198,-0.024769033170575216
20240521,1076644.66,0.0,1076644.66,0,1.07664466,1.07738198,-0.0006843626621637622
20240522,0.0,1066267.39,1066267.39,3,1.06626739,1.07738198,-0.010316294690579486
20240523,1018080.09,0.0,1018080.09,0,1.01808009,1.07738198,-0.05504258573175691
20240524,-0.0,975458.97,975458.97,3,0.9754589699999999,1.07738198,-0.09460248258468185
20240527,619383.4,355382.18,974765.58,1,0.9747655799999999,1.07738198,-0.09524607047910716
20240528,362107.63,637004.14,999111.76,2,0.99911176,1.07738198,-0.07264853269589677
20240529,608093.2,372522.8,980615.99,1,0.98061599,1.07738198,-0.0898158608518772
20240530,339185.65,604251.33,943436.98,2,0.94343698,1.07738198,-0.1243245223017374
20240531,556006.58,329967.97,885974.55,1,0.88597455,1.07738198,-0.17765976557358043
20240603,328323.61,593916.14,922239.75,2,0.92223975,1.07738198,-0.1439992805522884
20240604,516798.3,348437.57,865235.88,1,0.86523588,1.07738198,-0.19690889947871604
20240605,335606.73,516198.11,851804.84,2,0.85180484,1.07738198,-0.20937526725665112
20240606,483371.49,363283.28,846654.77,1,0.84665477,1.07738198,-0.21415543816687932
20240607,340712.43,503991.21,844703.64,2,0.84470364,1.07738198,-0.2159664300306935
20240611,468138.71,357137.8,825276.51,1,0.82527651,1.07738198,-0.2339982241024673
20240612,352935.09,468264.96,821200.05,1,0.8212000500000001,1.07738198,-0.2377818960736654
20240613,462464.68,344418.76,806883.44,2,0.8068834399999999,1.07738198,-0.25107022859246275
20240614,345304.73,482803.63,828108.37,1,0.82810837,1.07738198,-0.23136975986919694
20240617,546853.46,350686.19,897539.65,2,0.89753965,1.07738198,-0.1669253183536632
20240618,347106.58,543737.74,890844.32,1,0.8908443199999999,1.07738198,-0.17313976237100237
20240619,0.0,938024.13,938024.13,3,0.93802413,1.07738198,-0.1293485992776675
20240620,955865.55,0.0,955865.55,0,0.9558655500000001,1.07738198,-0.11278862302857517
20240621,0.0,945725.15,945725.15,3,0.94572515,1.07738198,-0.12220069802912426
20240624,883502.46,0.0,883502.46,0,0.88350246,1.07738198,-0.17995429995961132
20240625,0.0,889200.65,889200.65,2,0.88920065,1.07738198,-0.17466537726944342
20240626,886111.85,0.0,886111.85,0,0.8861118499999999,1.07738198,-0.1775323270210999
20240627,0.0,906800.64,906800.64,1,0.90680064,1.07738198,-0.1583294905303687
20240628,919162.66,0.0,919162.66,0,0.91916266,1.07738198,-0.14685536136403543
20240701,0.0,997201.87,997201.87,3,0.99720187,1.07738198,-0.07442124658517113
20240702,671239.07,383381.48,1054620.55,1,1.05462055,1.07738198,-0.021126611009402496
20240703,395795.11,671904.01,1067699.12,2,1.0676991200000001,1.07738198,-0.00898739739456178
20240704,672357.33,384717.35,1057074.68,1,1.05707468,1.07738198,-0.018848746662720295
20240705,379549.29,659820.46,1039369.75,2,1.03936975,1.07738198,-0.03528203618181902
20240708,644643.12,368454.29,1013097.41,1,1.01309741,1.07738198,-0.05966738927636406
20240709,360096.93,649797.86,1009894.79,1,1.00989479,1.07738198,-0.06263998401012794
20240710,996273.72,0.0,996273.72,0,0.9962737199999999,1.07738198,-0.07528273305629263
20240711,0.0,1014518.56,1014518.56,3,1.01451856,1.07738198,-0.058348312081477394
20240712,982937.01,0.0,982937.01,0,0.98293701,1.07738198,-0.0876615460006116
20240715,0.0,1000402.96,1000402.96,3,1.00040296,1.07738198,-0.0714500719605502
20240716,1023671.5,0.0,1023671.5,0,1.0236715,1.07738198,-0.049852773665288064
20240717,0.0,1006928.68,1006928.68,3,1.0069286800000001,1.07738198,-0.06539305585935251
20240718,957188.11,0.0,957188.11,0,0.95718811,1.07738198,-0.11156105469668232
