初始资金,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,未平仓数量,策略名,命名条件,买入过滤,市场过滤,候选池行数,候选交易日
1000000.0,29496789.64,29.49678964,28.49678964,-0.3211356094934219,254.0,0.5196850393700787,0.03550840551181102,88.7375575849483,0.0,统计过滤+量比>=1.2+市场>=0,yesterday_body_lt_prev; yesterday_volume_gt_prev,量比>=1.2,市场20日高低差>=0,424,227
1000000.0,14483238.87,14.48323887,13.48323887,-0.348712566801718,297.0,0.5084175084175084,0.030178333333333335,38.66576703462116,0.0,统计过滤+市场20高低差>=0,yesterday_body_lt_prev; yesterday_volume_gt_prev,,市场20日高低差>=0,524,243
1000000.0,14197576.6,14.1975766,13.1975766,-0.3860619999611621,390.0,0.5358974358974359,0.024274546153846152,34.18512208227611,0.0,市场20高低差>=100,,,市场20日高低差>=100,698,235
1000000.0,13960782.37,13.960782369999999,12.960782369999999,-0.43629648604115656,504.0,0.49603174603174605,0.018823144841269845,29.706364329455972,0.0,量比>=1.2,,量比>=1.2,,909,409
1000000.0,11378470.83,11.37847083,10.37847083,-0.4126569462953812,482.0,0.483402489626556,0.018249236514522822,25.15036017973888,0.0,统计过滤+非ST,yesterday_body_lt_prev; yesterday_volume_gt_prev; not_st,,,850,399
1000000.0,8799142.14,8.79914214,7.799142140000001,-0.34632978280902027,284.0,0.5070422535211268,0.026778654929577466,22.519409323513916,0.0,市场20高低差>=300,,,市场20日高低差>=300,510,172
1000000.0,7771210.28,7.77121028,6.77121028,-0.3163341593278256,195.0,0.5025641025641026,0.03521556923076923,21.405245308910228,0.0,统计过滤+市场20高低差>=300,yesterday_body_lt_prev; yesterday_volume_gt_prev,,市场20日高低差>=300,332,159
1000000.0,9571812.45,9.57181245,8.57181245,-0.4126569451761114,481.0,0.48232848232848236,0.018044553014553013,20.77224811118051,0.0,统计脚本过滤,yesterday_body_lt_prev; yesterday_volume_gt_prev,,,854,399
1000000.0,10253433.15,10.253433150000001,9.253433150000001,-0.45469860789871797,455.0,0.49230769230769234,0.02062092967032967,20.350696019859292,0.0,统计过滤+连板<=0,yesterday_body_lt_prev; yesterday_volume_gt_prev,连续涨停天数昨日<=0,,829,396
1000000.0,8785455.35,8.78545535,7.785455349999999,-0.409609377844398,412.0,0.529126213592233,0.019457216019417474,19.00702418233581,0.0,市场20高低差>=0,,,市场20日高低差>=0,777,262
1000000.0,9008646.49,9.00864649,8.00864649,-0.6130117396535846,83.0,0.5180722891566265,0.03572257831325301,13.06442596764251,0.0,统计过滤+DDX>=0+市场>=0,yesterday_body_lt_prev; yesterday_volume_gt_prev,大单动向(ddx值)昨日>=0,市场20日高低差>=0,117,93
1000000.0,6446198.23,6.44619823,5.44619823,-0.5384132938944086,383.0,0.4621409921671018,0.01906140992167102,10.11527444021114,0.0,统计过滤+量比>=1.2,yesterday_body_lt_prev; yesterday_volume_gt_prev,量比>=1.2,,687,371
1000000.0,4491049.96,4.49104996,3.49104996,-0.475658668027962,503.0,0.49502982107355864,0.011927803180914513,7.339401538657077,0.0,"竞价涨幅[-6.0,0]",,竞价涨幅今日>=-6.0; 竞价涨幅今日<=0.0,,956,407
1000000.0,4778200.15,4.77820015,3.77820015,-0.5799463009584629,563.0,0.49733570159857904,0.013379838365896981,6.514741354080304,0.0,量比>=1.0,,量比>=1.0,,1100,424
1000000.0,3267341.94,3.26734194,2.26734194,-0.4483714317592177,210.0,0.4666666666666667,0.02085487142857143,5.056838548129439,0.0,市场20高低差>=500,,,市场20日高低差>=500,380,128
1000000.0,3196914.93,3.19691493,2.19691493,-0.46061627428370344,569.0,0.4973637961335677,0.010174138840070297,4.769512178909409,0.0,换手率昨日>=10,,换手率昨日>=10,,1187,421
1000000.0,3499259.47,3.49925947,2.49925947,-0.5937160748252992,413.0,0.4891041162227603,0.015532176755447942,4.209519627265283,0.0,量比>=1.5,,量比>=1.5,,683,355
1000000.0,2957753.48,2.95775348,1.95775348,-0.4676603697218925,320.0,0.490625,0.011367381250000001,4.186271933121538,0.0,DDX>=500,,大单动向(ddx值)昨日>=500,,553,323
1000000.0,3260107.31,3.26010731,2.26010731,-0.5418857885518937,345.0,0.4985507246376812,0.0120280115942029,4.1708185705327105,0.0,DDX>=200,,大单动向(ddx值)昨日>=200,,599,336
1000000.0,3078318.33,3.07831833,2.07831833,-0.5418857888393442,353.0,0.49575070821529743,0.010920560906515579,3.835343854378455,0.0,DDX>=0,,大单动向(ddx值)昨日>=0,,637,344
1000000.0,2986514.81,2.98651481,1.98651481,-0.5506785897831008,540.0,0.48518518518518516,0.007977661111111112,3.607394307417038,0.0,换手率昨日>=15,,换手率昨日>=15,,1095,413
1000000.0,2639743.18,2.63974318,1.63974318,-0.5559668355303845,291.0,0.4879725085910653,0.014077439862542953,2.9493543053439657,0.0,量比>=2.0,,量比>=2.0,,479,291
1000000.0,2576554.37,2.57655437,1.5765543700000002,-0.5964442411243632,597.0,0.48576214405360135,0.006980393634840873,2.6432552471762008,0.0,非ST,not_st,,,1258,429
1000000.0,2504704.55,2.50470455,1.50470455,-0.5964442403605301,599.0,0.48580968280467446,0.006812118530884807,2.5227916512203348,0.0,基线,,,,1260,429
1000000.0,2116992.42,2.11699242,1.1169924199999999,-0.5004913974676855,493.0,0.4847870182555781,0.007082030425963489,2.231791446669409,0.0,换手率昨日>=20,,换手率昨日>=20,,965,395
1000000.0,2018597.94,2.01859794,1.0185979399999998,-0.540817686371847,599.0,0.4774624373956594,0.006674884808013356,1.8834405117802455,0.0,连板<=0,,连续涨停天数昨日<=0,,1247,428
1000000.0,2268280.56,2.26828056,1.26828056,-0.6998499136989413,315.0,0.46984126984126984,0.013039587301587299,1.812217927264879,0.0,"统计过滤+竞价涨幅[-6,0]",yesterday_body_lt_prev; yesterday_volume_gt_prev,竞价涨幅今日>=-6.0; 竞价涨幅今日<=0.0,,546,326
1000000.0,2048259.85,2.04825985,1.04825985,-0.6246798112118938,414.0,0.49516908212560384,0.007277190821256038,1.6780754415071473,0.0,"竞价涨幅[-4.0,0]",,竞价涨幅今日>=-4.0; 竞价涨幅今日<=0.0,,765,376
1000000.0,1724567.8,1.7245678,0.7245678,-0.5466160252358072,471.0,0.4840764331210191,0.00642512101910828,1.3255516972584647,0.0,"竞价涨幅[-5.0,0]",,竞价涨幅今日>=-5.0; 竞价涨幅今日<=0.0,,878,393
1000000.0,1126803.81,1.12680381,0.12680380999999996,-0.6493181428177933,279.0,0.4767025089605735,0.007025731182795699,0.1952876435112682,0.0,DDX>=1000,,大单动向(ddx值)昨日>=1000,,481,295
1000000.0,872722.51,0.87272251,-0.12727749,-0.8274906501533393,137.0,0.4233576642335766,0.002126737226277371,-0.15381139348996228,0.0,统计过滤+DDX>=0,yesterday_body_lt_prev; yesterday_volume_gt_prev,大单动向(ddx值)昨日>=0,,188,147
1000000.0,851402.21,0.8514022099999999,-0.14859779000000006,-0.7702193838648894,326.0,0.4539877300613497,0.0024694723926380366,-0.1929291746130176,0.0,换手率昨日>=30,,换手率昨日>=30,,564,321
