股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
300905.SZ,300905,宝丽迪,20240508,20240509,39.78,39.7999,40.06,24.0,1000000.0,1004924.47,0.004924,1
300093.SZ,300093,金刚光伏,20240510,20240513,16.69,16.6983,16.6517,67.0,334974.82,333504.2,-0.00439,3
002591.SZ,002591,恒大高新,20240510,20240513,4.75,4.7524,4.3878,84.0,334974.82,308783.13,-0.07819,3
600505.SH,600505,西昌电力,20240510,20240515,10.11,10.1151,12.4338,18.0,334974.82,411104.17,0.227269,5
002241.SZ,002241,歌尔股份,20240514,20240515,17.0,17.0085,16.8416,61.0,321143.67,317483.26,-0.011398,1
002481.SZ,002481,双塔食品,20240514,20240516,4.59,4.5923,5.3173,64.0,321143.67,371251.99,0.156031,2
002425.SZ,002425,ST凯文,20240516,20240517,3.15,3.1516,3.1984,45.0,728587.43,738229.82,0.013234,1
000002.SZ,000002,万科A,20240517,20240520,8.33,8.3342,9.1754,4.0,371251.99,408072.15,0.099178,3
002789.SZ,002789,建艺集团,20240520,20240521,11.07,11.0755,10.1849,44.0,738229.82,677779.82,-0.081885,1
000420.SZ,000420,吉林化纤,20240521,20240522,4.2,4.2021,4.048,36.0,204036.08,196238.03,-0.038219,1
300162.SZ,300162,雷曼光电,20240521,20240523,7.14,7.1436,10.1249,22.0,204036.08,288727.86,0.415082,2
000560.SZ,000560,我爱我家,20240522,20240523,3.58,3.5818,3.6882,3.0,677779.82,696790.88,0.028049,1
300542.SZ,300542,新晨科技,20240523,20240524,17.77,17.7789,16.3318,55.0,196238.03,179977.53,-0.082861,1
600714.SH,600714,金瑞矿业,20240524,20240527,9.96,9.965,8.9655,26.0,492759.37,442627.59,-0.101737,3
002246.SZ,002246,北化股份,20240524,20240528,11.03,11.0355,11.7941,36.0,492759.37,525789.45,0.067031,4
000620.SZ,000620,新华联,20240527,20240528,2.49,2.4912,2.1689,9.0,179977.53,156440.49,-0.130778,1
000702.SZ,000702,正虹科技,20240528,20240529,6.8,6.8034,5.8071,1.0,442627.59,377203.91,-0.147808,1
000737.SZ,000737,北方铜业,20240529,20240530,11.83,11.8359,11.1044,22.0,341114.97,319521.87,-0.063302,1
000863.SZ,000863,三湘印象,20240529,20240530,3.59,3.5918,3.7781,62.0,341114.97,358235.5,0.05019,1
600719.SH,600719,大连热电,20240530,20240531,11.25,11.2556,9.4953,5.0,377203.91,317700.4,-0.157749,1
000422.SZ,000422,湖北宜化,20240531,20240603,12.88,12.8864,12.4938,23.0,677757.36,656052.93,-0.032024,3
002278.SZ,002278,神开股份,20240603,20240604,4.77,4.7724,4.4078,18.0,158850.2,146480.04,-0.077873,1
603166.SH,603166,福达股份,20240603,20240604,5.61,5.6128,5.2274,21.0,158850.2,147705.64,-0.070158,1
600501.SH,600501,航天晨光,20240604,20240605,16.1,16.1081,16.4917,1.0,656052.93,670606.0,0.022183,1
002055.SZ,002055,得润电子,20240605,20240606,7.17,7.1736,6.3068,7.0,147092.84,129113.67,-0.12223,1
600996.SH,600996,贵广网络,20240605,20240606,8.8,8.8044,8.7556,22.0,147092.84,146043.91,-0.007131,1
002607.SZ,002607,中公教育,20240606,20240607,1.68,1.6808,1.7091,9.0,670606.0,680808.16,0.015213,1
601919.SH,601919,中远海控,20240607,20240611,16.99,16.9985,15.4523,6.0,137578.79,124864.24,-0.092416,4
000692.SZ,000692,惠天热电,20240607,20240611,3.43,3.4317,3.5382,29.0,137578.79,141622.13,0.029389,4
300656.SZ,300656,民德电子,20240611,20240612,21.0,21.0105,21.7991,46.0,680808.16,705231.35,0.035874,1
600519.SH,600519,贵州茅台,20240612,20240613,1570.0,1570.785,1554.2325,12.0,266486.37,263256.45,-0.01212,1
603172.SH,603172,万丰股份,20240613,20240614,16.84,16.8484,15.902,40.0,705231.35,664553.87,-0.05768,1
300641.SZ,300641,正丹股份,20240614,20240617,27.0,27.0135,31.994,2.0,131628.23,155647.24,0.182476,3
002889.SZ,002889,东方嘉盛,20240614,20240617,17.81,17.8189,18.9105,19.0,131628.23,139468.69,0.059565,3
601136.SH,601136,首创证券,20240617,20240618,21.98,21.991,22.3888,12.0,664553.87,675493.24,0.016461,1
603685.SH,603685,晨丰科技,20240618,20240619,14.2,14.2071,12.4238,52.0,147557.97,128829.68,-0.126922,1
600179.SH,600179,安通控股,20240618,20240619,2.64,2.6413,2.4888,99.0,147557.97,138812.5,-0.059268,1
000977.SZ,000977,浪潮信息,20240619,20240620,38.36,38.3792,37.5912,40.0,675493.24,660566.02,-0.022098,1
600345.SH,600345,长江通信,20240620,20240621,22.62,22.6313,19.91,7.0,267642.18,235083.3,-0.121651,1
603005.SH,603005,晶方科技,20240621,20240624,21.0,21.0105,21.7691,3.0,660566.02,683321.83,0.034449,3
002766.SZ,002766,索菱股份,20240624,20240625,6.2,6.2031,5.3173,2.0,235083.3,201192.69,-0.144164,1
600519.SH,600519,贵州茅台,20240625,20240626,1477.0,1477.7385,1488.4754,2.0,683321.83,687185.75,0.005655,1
603386.SH,603386,骏亚科技,20240627,20240628,12.0,12.006,12.4738,14.0,888378.44,921513.79,0.037299,1
603825.SH,603825,华扬联众,20240701,20240702,8.84,8.8444,9.1354,16.0,307171.26,316770.7,0.031251,1
300411.SZ,300411,金盾股份,20240701,20240702,12.98,12.9865,12.5837,32.0,307171.26,297168.04,-0.032566,1
603171.SH,603171,税友股份,20240701,20240703,26.12,26.1331,33.8131,9.0,307171.26,396807.52,0.291812,2
002050.SZ,002050,三花智控,20240703,20240704,20.08,20.09,20.1699,49.0,306969.37,307696.8,0.00237,1
300716.SZ,300716,泉为科技,20240703,20240704,8.42,8.4242,8.2959,79.0,306969.37,301808.54,-0.016812,1
603106.SH,603106,恒银科技,20240704,20240705,4.41,4.4122,4.2379,52.0,396807.52,380520.14,-0.041046,1
002689.SZ,002689,远大智能,20240708,20240709,2.46,2.4612,2.3388,37.0,495012.74,469642.74,-0.051251,1
300549.SZ,300549,优德精密,20240708,20240709,15.02,15.0275,15.5722,56.0,495012.74,512134.92,0.034589,1
000625.SZ,000625,长安汽车,20240711,20240712,14.7,14.7073,15.1424,12.0,490888.83,504601.96,0.027935,1
603920.SH,603920,世运电路,20240711,20240712,24.1,24.112,24.1379,23.0,490888.83,490629.58,-0.000528,1
600711.SH,600711,ST盛屯,20240715,20240716,5.45,5.4527,5.7171,16.0,995231.54,1041823.49,0.046815,1
002829.SZ,002829,星网宇达,20240717,20240718,18.08,18.089,16.1119,4.0,347274.5,308823.25,-0.110723,1
000977.SZ,000977,浪潮信息,20240717,20240718,38.79,38.8094,37.5512,18.0,347274.5,335478.58,-0.033967,1
002475.SZ,002475,立讯精密,20240717,20240718,43.0,43.0215,40.9295,20.0,347274.5,329859.37,-0.050148,1
000868.SZ,000868,安凯客车,20240719,20240722,4.6,4.6023,4.9175,16.0,974161.2,1039222.61,0.066787,3
300339.SZ,300339,润和软件,20240723,20240724,20.7,20.7103,19.97,66.0,1039222.61,1000470.32,-0.03729,1
002611.SZ,002611,东方精工,20240725,20240726,5.73,5.7329,6.047,8.0,500235.16,526799.62,0.053104,1
600686.SH,600686,金龙汽车,20240725,20240731,12.09,12.096,15.7021,4.0,500235.16,648327.71,0.296046,6
000957.SZ,000957,中通客车,20240731,20240801,12.01,12.016,12.4238,8.0,263399.81,271903.04,0.032283,1
300281.SZ,300281,金明精机,20240731,20240801,5.76,5.7629,6.1169,24.0,263399.81,279135.38,0.05974,1
600611.SH,600611,大众交通,20240801,20240802,9.95,9.955,10.1949,1.0,648327.71,662891.06,0.022463,1
003026.SZ,003026,中晶科技,20240802,20240805,28.9,28.9144,30.3648,18.0,275519.21,288876.56,0.048481,3
001379.SZ,001379,腾达科技,20240802,20240806,31.0,31.0155,32.4238,5.0,275519.21,287568.64,0.043734,4
000712.SZ,000712,锦龙股份,20240805,20240806,11.4,11.4057,11.2444,10.0,662891.06,652469.66,-0.015721,1
600501.SH,600501,航天晨光,20240806,20240807,21.4,21.4107,19.5902,3.0,288876.56,263891.31,-0.086491,1
000901.SZ,000901,航天科技,20240807,20240808,12.7,12.7063,13.8031,5.0,470019.15,509772.02,0.084577,1
002278.SZ,002278,神开股份,20240807,20240808,4.53,4.5323,4.5277,50.0,470019.15,468798.31,-0.002597,1
600280.SH,600280,中央商场,20240808,20240809,3.2,3.2016,3.4483,16.0,263891.31,283768.83,0.075325,1
301136.SZ,301136,招标股份,20240809,20240812,14.56,14.5673,14.063,19.0,489285.17,471590.73,-0.036164,3
300265.SZ,300265,通光线缆,20240809,20240812,7.13,7.1336,6.7966,25.0,489285.17,465427.37,-0.048761,3
002717.SZ,002717,岭南股份,20240812,20240813,1.01,1.0105,0.9995,24.0,283768.83,280229.47,-0.012473,1
000536.SZ,000536,华映科技,20240813,20240815,2.03,2.031,2.2889,22.0,468509.05,527142.36,0.125149,2
002030.SZ,002030,达安基因,20240814,20240815,5.82,5.8229,6.0969,11.0,280229.47,292948.4,0.045388,1
300256.SZ,300256,星星科技,20240813,20240816,2.1,2.101,3.5982,14.0,468509.05,801072.23,0.709833,3
000536.SZ,000536,华映科技,20240816,20240819,2.31,2.3112,2.4088,25.0,820090.76,853370.19,0.04058,3
300504.SZ,300504,天邑股份,20240820,20240821,13.0,13.0065,13.7831,31.0,426685.1,451438.79,0.058014,1
300371.SZ,300371,汇中股份,20240820,20240821,9.04,9.0445,8.7356,93.0,426685.1,411453.69,-0.035697,1
600187.SH,600187,国中水务,20240819,20240822,2.89,2.8914,3.3783,9.0,801072.23,934460.66,0.166512,3
300061.SZ,300061,旗天科技,20240822,20240823,7.76,7.7639,6.6767,10.0,431446.24,370434.92,-0.141411,1
600358.SH,600358,ST联合,20240822,20240823,2.74,2.7414,2.6787,42.0,431446.24,420902.4,-0.024438,1
601127.SH,601127,赛力斯,20240823,20240826,76.0,76.038,78.5207,14.0,934460.66,963428.28,0.030999,3
000561.SZ,000561,烽火电子,20240826,20240827,6.72,6.7234,6.3568,41.0,791337.32,746998.93,-0.05603,1
000158.SZ,000158,常山北明,20240827,20240828,6.83,6.8334,6.9865,5.0,481714.14,491718.28,0.020768,1
300050.SZ,300050,世纪鼎利,20240827,20240828,5.24,5.2426,4.9875,7.0,481714.14,457540.08,-0.050183,1
603118.SH,603118,共进股份,20240828,20240829,7.0,7.0035,6.8766,17.0,746998.93,732286.22,-0.019696,1
000858.SZ,000858,五粮液,20240829,20240830,115.5,115.5577,122.9685,21.0,474629.18,504259.35,0.062428,1
600859.SH,600859,王府井,20240829,20240830,12.56,12.5663,12.6437,46.0,474629.18,476788.54,0.00455,1
300256.SZ,300256,星星科技,20240902,20240903,2.71,2.7114,2.8986,56.0,490523.94,523551.49,0.067331,1
002547.SZ,002547,春兴精工,20240902,20240903,3.07,3.0715,3.0785,58.0,490523.94,490843.49,0.000651,1
300032.SZ,300032,金龙机电,20240904,20240905,3.63,3.6318,3.4083,51.0,507197.49,475220.69,-0.063046,1
002514.SZ,002514,宝馨科技,20240904,20240906,4.36,4.3622,4.5177,12.0,507197.49,524444.49,0.034005,2
000062.SZ,000062,深圳华强,20240830,20240909,24.25,24.2621,37.3813,1.0,732286.22,1126448.16,0.538262,10
600686.SH,600686,金龙汽车,20240906,20240909,14.36,14.3672,13.0935,6.0,475220.69,432397.01,-0.090113,3
300386.SZ,300386,飞天诚信,20240909,20240910,9.68,9.6848,9.4053,26.0,524444.49,508492.19,-0.030418,1
603883.SH,603883,老百姓,20240910,20240911,18.63,18.6393,15.962,6.0,779422.58,666400.83,-0.145007,1
603306.SH,603306,华懋科技,20240910,20240911,21.61,21.6208,18.8206,8.0,779422.58,677390.38,-0.130907,1
300030.SZ,300030,阳普医疗,20240912,20240913,5.6,5.6028,6.6267,43.0,671895.61,793410.22,0.180853,1
