日期,股票代码,股票简称,基础代码,开盘价:不复权今日,收盘价:不复权今日,个股热度排名昨日,竞价涨幅今日,量比,换手率昨日,大单动向(ddx值)昨日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,连续涨停天数昨日,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差
2024-05-08,300905.SZ,宝丽迪,300905,39.78,39.43,24,-3.047,1.3464537061938189,24.815267,618.745,9.21,16.901,29153794.0,21652281.0,0,406,156,250,253,50,203
2024-05-08,002231.SZ,奥维通信,002231,5.4,5.23,29,-4.594,13.96267481737401,37.148864,2826.37,10.763,0.0,109521825.0,7843900.0,0,406,156,250,253,50,203
2024-05-09,600678.SH,四川金顶,600678,6.52,6.56,16,-5.233,1.8396230540236789,29.209522,2506.68,6.173,9.896,101938313.0,55412609.0,0,843,80,763,468,52,416
2024-05-09,300719.SZ,安达维尔,300719,22.6,22.33,27,-5.912,2.166161370453454,43.890596,1518.097,2.232,17.684,78836347.0,36394494.0,0,843,80,763,468,52,416
2024-05-09,600796.SH,钱江生化,600796,5.9,5.64,55,-1.007,5.383032078586442,18.783744,1887.154,7.429,0.0,56614608.0,10517234.0,2,843,80,763,468,52,416
2024-05-10,600505.SH,西昌电力,600505,10.11,11.42,18,-2.601,2.303853814900215,17.038122,-448.256,-1.05,8.617,62115456.0,26961544.0,0,578,123,455,374,66,308
2024-05-10,300093.SZ,金刚光伏,300093,16.69,16.35,67,-4.41,1.4112336082128176,18.165793,809.777,15.248,5.765,39116353.0,27717844.0,0,578,123,455,374,66,308
2024-05-10,002591.SZ,恒大高新,002591,4.75,4.68,84,-6.127,3.4189211145824734,35.453495,-1555.126,-1.172,10.323,79202918.0,23166056.0,0,578,123,455,374,66,308
2024-05-13,603739.SH,蔚蓝生物,603739,19.67,19.4,1,-3.578,1.9550345750724192,27.386154,-2239.834,-4.65,1.05,69294875.0,35444322.0,0,519,279,240,396,95,301
2024-05-13,002455.SZ,百川股份,002455,12.99,12.4,4,6.563,1.5382865765455715,34.729497,-4040.876,-9.57,9.423,176156935.0,114515031.0,0,519,279,240,396,95,301
2024-05-13,603823.SH,百合花,603823,11.93,12.31,16,-7.519,8.982523952727899,17.100444,2342.941,5.546,0.0,70288214.0,7824996.0,5,519,279,240,396,95,301
2024-05-14,002241.SZ,歌尔股份,002241,17.0,17.19,61,1.191,2.574797672890633,3.691308,2401.223,4.482,-0.125,111107422.0,43151904.0,0,538,123,415,356,74,282
