日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20240508,0.0,990409.13,990409.13,1,0.99040913,0.99040913,0.0
20240509,1004924.47,0.0,1004924.47,0,1.00492447,1.00492447,0.0
20240510,0.0,1035739.57,1035739.57,3,1.03573957,1.03573957,0.0
20240513,642287.33,415818.0,1058105.34,1,1.05810534,1.05810534,0.0
20240514,0.0,1104290.63,1104290.63,3,1.10429063,1.10429063,0.0
20240515,728587.43,354443.71,1083031.14,1,1.08303114,1.10429063,-0.01925171637107892
20240516,371251.99,753427.31,1124679.3,1,1.1246793,1.1246793,0.0
20240517,738229.82,400791.9,1139021.72,1,1.13902172,1.13902172,0.0
20240520,408072.15,689663.04,1097735.19,1,1.0977351899999999,1.13902172,-0.03624735970794313
20240521,677779.82,458342.94,1136122.75,2,1.13612275,1.13902172,-0.0025451402278789947
20240522,196238.03,1018811.63,1215049.67,2,1.21504967,1.21504967,0.0
20240523,985518.74,182288.15,1167806.89,1,1.1678068899999998,1.21504967,-0.03888135700658246
20240524,179977.53,961024.31,1141001.85,2,1.14100185,1.21504967,-0.0609422164609944
20240527,442627.59,690079.79,1132707.38,2,1.1327073799999998,1.21504967,-0.06776866167125506
20240528,682229.94,419509.62,1101739.56,1,1.10173956,1.21504967,-0.09325553744646509
20240529,377203.91,708858.17,1086062.08,2,1.08606208,1.21504967,-0.1061582856937856
20240530,677757.36,343734.93,1021492.29,1,1.02149229,1.21504967,-0.15929997330891
20240531,317700.4,659338.68,977039.08,1,0.97703908,1.21504967,-0.19588548178446075
20240603,656052.93,310092.02,966144.95,2,0.96614495,1.21504967,-0.20485147738857457
20240604,294185.68,696244.46,990430.14,1,0.99043014,1.21504967,-0.1848644837704454
20240605,670606.0,293844.02,964450.03,2,0.9644500300000001,1.21504967,-0.2062464162473291
20240606,275157.58,725909.0,1001066.58,1,1.00106658,1.21504967,-0.17611057003126462
20240607,680808.16,286895.29,967703.44,2,0.96770344,1.21504967,-0.20356882200544113
20240611,266486.37,713629.17,980115.54,1,0.98011554,1.21504967,-0.1933535194491267
20240612,705231.35,266558.24,971789.59,1,0.97178959,1.21504967,-0.20020587306525506
20240613,263256.45,659893.5,923149.96,1,0.9231499599999999,1.21504967,-0.24023685385635307
20240614,664553.87,274035.65,938589.52,2,0.9385895200000001,1.21504967,-0.22752991653419397
