日期,股票代码,股票简称,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞昨成交比估算,竞价涨幅今日,量比,昨日前日成交量比,个股热度排名昨日,大单动向(ddx值)昨日,连续涨停天数昨日,竞价匹配金额_openapi
20250910,600050.SH,中国联通,801770,通信,0.0278803421098565,1.0,0.017816463732681895,1.463,0.7556357395458198,0.7556357395458198,87,-28722.614,0,83975385.0
20250911,688256.SH,寒武纪,801080,电子,0.002275962625208,3.0,0.007240039908974518,1.728,1.3379350220126096,1.3379350220126096,34,-82.63,0,127728440.0
20250912,600376.SH,首开股份,801180,房地产,0.0002790884274239,13.0,0.0585336657710739,-0.2,2.232676255393373,2.232676255393373,7,5979.365,0,130126500.0
20250915,002642.SZ,荣联科技,801750,计算机,0.0009371578558119,6.0,0.02374359071398241,3.744,4.272202907544037,4.272202907544037,34,-6642.521,0,51414831.0
20250915,300450.SZ,先导智能,801730,电力设备,0.0169732345991338,1.0,0.00958617580565126,1.807,1.0956345451131124,1.0956345451131124,10,-8568.462,0,137370490.0
20250915,300274.SZ,阳光电源,801730,电力设备,0.0169732345991338,1.0,0.009782844662449644,3.047,0.8387484641904642,0.8387484641904642,27,-2507.051,0,147977540.0
20250916,000737.SZ,北方铜业,801050,有色金属,0.0111510375093839,1.0,0.01714880597443715,5.086,2.6438899846183777,2.6438899846183777,60,-4840.576,0,69529228.0
20250916,300476.SZ,胜宏科技,801080,电子,0.0013608641245617,13.0,0.00808773664571498,3.171,0.6934702296436682,0.6934702296436682,50,-62.021,0,132734804.0
20250917,300750.SZ,宁德时代,801730,电力设备,0.000652257732842,7.0,0.00689543666866122,0.956,0.5253887462042405,0.5253887462042405,76,-79.084,0,91983040.0
20251015,601212.SH,白银有色,801050,有色金属,0.0100758982758368,1.0,0.014567919392895225,0.0,1.2563718275437332,1.2563718275437332,8,-15833.29,0,62691398.0
20251015,000063.SZ,中兴通讯,801770,通信,0.0044891984207957,3.0,0.0048489115377878455,1.653,0.9959296172056384,0.9959296172056384,24,-11389.133,0,89273158.0
20251015,002475.SZ,立讯精密,801080,电子,0.0005099737886142,17.0,0.0041925855471568385,0.055,0.9300714771162928,0.9300714771162928,29,-6880.049,0,57335168.0
20251020,300502.SZ,新易盛,801770,通信,0.0338629508664847,1.0,0.030988289785221976,5.912,0.983262139310616,0.983262139310616,98,-678.452,0,300463100.0
20251021,002185.SZ,华天科技,801080,电子,0.0067902323269573,3.0,0.010207150426914627,-1.976,2.46591659300605,2.46591659300605,4,-8933.976,0,56967906.0
20251023,002208.SZ,合肥城建,801180,房地产,0.0056593867688581,1.0,0.018069870202640705,-2.794,1.7598891331815056,1.7598891331815056,5,5978.036,0,55811272.0
20251024,601608.SH,中信重工,801890,机械设备,0.000518385402267,16.0,0.01758778880537935,-0.28,23.644749896698738,23.644749896698738,11,-14430.873,0,67670630.0
20251024,600172.SH,黄河旋风,801890,机械设备,0.000518385402267,16.0,0.02459508073074473,-2.587,2.0539423904727623,2.0539423904727623,1,-11353.224,0,102069903.0
20251024,300475.SZ,香农芯创,801080,电子,0.0143922028244678,1.0,0.025793709875850324,9.115,1.090667886394797,1.090667886394797,84,835.804,0,145601810.0
20251027,000555.SZ,神州信息,801750,计算机,0.0089199329389435,6.0,0.03566886259292607,-0.945,5.419076082764538,5.419076082764538,20,-4513.853,0,99420300.0
20251027,300520.SZ,科大国创,801750,计算机,0.0089199329389435,6.0,0.028208249452178372,-2.578,1.5548287425691243,1.5548287425691245,27,-3114.448,0,107221094.0
20251029,000063.SZ,中兴通讯,801770,通信,0.0140959866803476,1.0,0.06278135108376573,-7.977,0.946250342020155,0.946250342020155,49,-2856.693,0,607920290.0
20251029,601138.SH,工业富联,801080,电子,0.004899089563946,3.0,0.025739468721130115,5.582,0.8634402822195756,0.8634402822195756,6,1679.27,0,386232550.0
20251031,002709.SZ,天赐材料,801730,电力设备,9.043913975070872e-05,15.0,0.00930074720099127,2.027,1.248600615146684,1.248600615146684,10,1715.265,0,64601482.0
20251031,300274.SZ,阳光电源,801730,电力设备,9.043913975070872e-05,15.0,0.009098371018010854,0.467,0.8753163433156773,0.8753163433156773,12,-2502.471,0,225262960.0
20251031,000620.SZ,盈新发展,801180,房地产,0.001425869716491,9.0,0.03564463277614238,0.0,0.8312347817760072,0.8312347817760072,20,-27535.844,0,88335456.0
20251103,300438.SZ,鹏辉能源,801730,电力设备,0.0016547405215725,12.0,0.011383446205365947,-0.84,2.0927832821371304,2.0927832821371304,83,-1617.468,0,67162018.0
20251103,002709.SZ,天赐材料,801730,电力设备,0.0016547405215725,12.0,0.008304404223347737,2.032,1.2847858131276249,1.2847858131276249,7,-7265.822,0,72170388.0
20251106,603686.SH,福龙马,801970,环保,0.0002896004005321,18.0,0.01174342276989796,-0.875,1.5068143104787513,1.5068143104787513,2,-151.046,0,76162346.0
20251106,600745.SH,闻泰科技,801080,电子,0.009585704191305,2.0,0.03258604845157338,-3.9,0.5600651363030491,0.5600651363030491,47,-1934.2,0,95364900.0
20251107,002320.SZ,海峡股份,801170,交通运输,0.001813275956308,1.0,0.024425756545212812,6.681,2.8618617784591214,2.8618617784591214,74,-5228.598,0,64494906.0
20251110,603516.SH,淳中科技,801750,计算机,0.0015072010717875,12.0,0.023022073092190596,-3.353,1.166331354647153,1.166331354647153,63,113.822,0,84210130.0
20251111,000572.SZ,海马汽车,801880,汽车,0.0022766158661826,8.0,0.026786259907672257,-4.434,1.431482364637812,1.4314823646378119,2,-10912.719,0,179834800.0
20251117,300502.SZ,新易盛,801770,通信,0.0064087343559104,3.0,0.006146733613832904,1.207,1.1726578367478944,1.1726578367478944,98,-1089.226,0,62381932.0
20251125,002474.SZ,榕基软件,801750,计算机,0.0034294742115099,15.0,0.033313626916317104,-7.624,1.778080536227589,1.778080536227589,5,-1575.63,0,154162320.0
20251125,601138.SH,工业富联,801080,电子,0.0116872951173041,3.0,0.006219686979576531,0.751,1.7447591429226808,1.7447591429226808,4,-6947.597,0,115515456.0
20251125,000566.SZ,海南海药,801150,医药生物,0.0030815603135445,19.0,0.019299303676225576,1.178,0.8797448737972594,0.8797448737972594,28,-11421.535,0,51834288.0
20251128,002413.SZ,雷科防务,801740,国防军工,0.0007501965514964,5.0,0.01550788633322289,0.575,1.433738972129066,1.433738972129066,12,-18301.952,0,61632900.0
20251201,000070.SZ,特发信息,801770,通信,0.0084244488259543,3.0,0.027729553461271438,-3.712,0.7548683751674645,0.7548683751674645,6,-5957.215,0,106187061.0
20251201,000063.SZ,中兴通讯,801770,通信,0.0084244488259543,3.0,0.010753792866735104,0.855,0.5357539486368881,0.5357539486368881,66,-824.099,0,63411810.0
20251205,000078.SZ,海王生物,801150,医药生物,0.0002616478292232,4.0,0.031538574873019885,0.208,4.164878777614001,4.164878777614001,4,6482.892,0,115332719.0
20251205,002565.SZ,顺灏股份,801140,轻工制造,0.0002409058058296,5.0,0.021912864710773323,1.664,1.528042075699164,1.528042075699164,9,-978.922,0,90518450.0
20251208,300502.SZ,新易盛,801770,通信,0.0024221303746543,11.0,0.005242331071721254,-0.633,1.0519547885062808,1.0519547885062808,77,-453.306,0,70111428.0
