日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,0.0,1037008.08,1037008.08,1,1.0370080799999999,1.0370080799999999,0.0
20250911,1036939.26,0.0,1036939.26,0,1.03693926,1.0370080799999999,-6.636399592940823e-05
20250912,0.0,1141793.46,1141793.46,1,1.14179346,1.14179346,0.0
20250915,0.0,1255765.58,1255765.58,1,1.25576558,1.25576558,0.0
20250916,0.0,1382171.02,1382171.02,1,1.38217102,1.38217102,0.0
20250917,0.0,1521009.79,1521009.79,1,1.5210097900000001,1.5210097900000001,0.0
20250918,0.0,1672281.88,1672281.88,1,1.6722818799999999,1.6722818799999999,0.0
20250919,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250922,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250923,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250924,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250925,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250926,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250929,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250930,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251009,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251010,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251013,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251014,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251015,0.0,1511307.64,1511307.64,3,1.5113076399999998,1.6722818799999999,-0.09626023096058423
20251016,1065637.34,537258.28,1602895.62,1,1.6028956200000002,1.6722818799999999,-0.041491964261431646
20251017,1065637.34,590622.32,1656259.66,1,1.65625966,1.6722818799999999,-0.009581052208734064
20251020,530874.48,1046446.16,1577320.64,1,1.57732064,1.6722818799999999,-0.05678542662915176
20251021,1159349.71,559967.02,1719316.73,1,1.71931673,1.71931673,0.0
20251022,1683294.12,0.0,1683294.12,0,1.68329412,1.71931673,-0.02095170097018717
20251023,0.0,1609993.3,1609993.3,1,1.6099933,1.71931673,-0.06358539301830679
20251024,1605974.09,0.0,1605974.09,0,1.6059740900000001,1.71931673,-0.06592307166114764
20251027,0.0,1720373.74,1720373.74,2,1.72037374,1.72037374,0.0
20251028,1723185.33,0.0,1723185.33,0,1.7231853300000002,1.7231853300000002,0.0
20251029,0.0,1765548.3,1765548.3,2,1.7655483,1.7655483,0.0
20251030,1705336.66,0.0,1705336.66,0,1.70533666,1.7655483,-0.034103649274279335
20251031,-0.0,1603700.53,1603700.53,3,1.60370053,1.7655483,-0.09166997583696812
20251103,1125367.87,561817.26,1687185.13,1,1.6871851299999998,1.7655483,-0.04438460845279635
20251104,1125367.87,617381.6,1742749.47,1,1.74274947,1.7655483,-0.01291317263877756
20251105,1125367.87,679119.76,1804487.63,1,1.80448763,1.80448763,0.0
20251106,694331.67,1067548.92,1761880.59,2,1.76188059,1.80448763,-0.02361171076578661
20251107,1136583.03,678684.51,1815267.53,1,1.81526753,1.81526753,0.0
20251110,666507.04,1057559.67,1724066.71,1,1.72406671,1.81526753,-0.0502409801821333
20251111,999024.5,683138.44,1682162.94,1,1.68216294,1.81526753,-0.07332505418636559
20251112,1624736.19,0.0,1624736.19,0,1.62473619,1.81526753,-0.10496047378757456
20251113,1624736.19,0.0,1624736.19,0,1.62473619,1.81526753,-0.10496047378757456
20251114,1624736.19,0.0,1624736.19,0,1.62473619,1.81526753,-0.10496047378757456
20251117,0.0,1609853.89,1609853.89,1,1.60985389,1.81526753,-0.113158879672133
20251118,1633559.38,0.0,1633559.38,0,1.63355938,1.81526753,-0.1000999285212798
20251119,1633559.38,0.0,1633559.38,0,1.63355938,1.81526753,-0.1000999285212798
20251120,1633559.38,0.0,1633559.38,0,1.63355938,1.81526753,-0.1000999285212798
20251121,1633559.38,0.0,1633559.38,0,1.63355938,1.81526753,-0.1000999285212798
20251124,1633559.38,0.0,1633559.38,0,1.63355938,1.81526753,-0.1000999285212798
20251125,0.0,1785820.73,1785820.73,3,1.78582073,1.81526753,-0.0162217411556963
20251126,1761397.44,0.0,1761397.44,0,1.7613974399999999,1.81526753,-0.029676116114962015
20251127,1761397.44,0.0,1761397.44,0,1.7613974399999999,1.81526753,-0.029676116114962015
20251128,0.0,1925931.02,1925931.02,1,1.92593102,1.92593102,0.0
20251201,0.0,2119529.83,2119529.83,1,2.1195298300000003,2.1195298300000003,0.0
20251202,0.0,2330728.53,2330728.53,1,2.3307285299999996,2.3307285299999996,0.0
20251203,2198537.68,0.0,2198537.68,0,2.1985376800000003,2.3307285299999996,-0.056716536610121326
20251204,2198537.68,0.0,2198537.68,0,2.1985376800000003,2.3307285299999996,-0.056716536610121326
20251205,0.0,2393752.61,2393752.61,2,2.39375261,2.39375261,0.0
20251208,1169204.52,1307084.05,2476288.57,1,2.47628857,2.47628857,0.0
20251209,2484900.81,0.0,2484900.81,0,2.48490081,2.48490081,0.0
20251210,2484900.81,0.0,2484900.81,0,2.48490081,2.48490081,0.0
20251211,2484900.81,0.0,2484900.81,0,2.48490081,2.48490081,0.0
20251212,2484900.81,0.0,2484900.81,0,2.48490081,2.48490081,0.0
20251215,2484900.81,0.0,2484900.81,0,2.48490081,2.48490081,0.0
20251216,2484900.81,0.0,2484900.81,0,2.48490081,2.48490081,0.0
20251217,2484900.81,0.0,2484900.81,0,2.48490081,2.48490081,0.0
20251218,2484900.81,0.0,2484900.81,0,2.48490081,2.48490081,0.0
20251219,0.0,2562694.5,2562694.5,3,2.5626945,2.5626945,0.0
20251222,2590223.42,0.0,2590223.42,0,2.59022342,2.59022342,0.0
20251223,2590223.42,0.0,2590223.42,0,2.59022342,2.59022342,0.0
20251224,0.0,2909157.18,2909157.18,1,2.9091571800000002,2.9091571800000002,0.0
20251225,0.0,3199989.08,3199989.08,1,3.19998908,3.19998908,0.0
20251226,0.0,3520155.61,3520155.61,1,3.5201556099999998,3.5201556099999998,0.0
20251229,3553979.58,0.0,3553979.58,0,3.55397958,3.55397958,0.0
20251230,3553979.58,0.0,3553979.58,0,3.55397958,3.55397958,0.0
20251231,0.0,3744412.76,3744412.76,3,3.74441276,3.74441276,0.0
20260105,3501214.14,0.0,3501214.14,0,3.50121414,3.74441276,-0.06494973593669728
20260106,0.0,3707750.0,3707750.0,2,3.70775,3.74441276,-0.009791324394482603
20260107,3701463.48,0.0,3701463.48,0,3.70146348,3.74441276,-0.01147023118252588
20260108,0.0,3649675.12,3649675.12,2,3.64967512,3.74441276,-0.025301067503038843
20260109,3675674.28,0.0,3675674.28,0,3.67567428,3.74441276,-0.018357612903765474
20260112,-0.0,3931654.87,3931654.87,3,3.93165487,3.93165487,0.0
20260113,3550659.96,0.0,3550659.96,0,3.55065996,3.93165487,-0.09690446455693102
20260114,0.0,3584830.34,3584830.34,2,3.58483034,3.93165487,-0.088213371078525
20260115,3623334.38,0.0,3623334.38,0,3.6233343799999997,3.93165487,-0.07842002927383107
20260116,0.0,3536911.87,3536911.87,1,3.53691187,3.93165487,-0.10040123384482125
20260119,3400521.94,0.0,3400521.94,0,3.40052194,3.93165487,-0.13509144305944643
20260120,0.0,3408322.62,3408322.62,2,3.4083226200000003,3.93165487,-0.13310737267231187
20260121,1513395.18,2015045.02,3528440.2,1,3.5284402000000004,3.93165487,-0.10255596773681197
20260122,0.0,3901440.18,3901440.18,3,3.9014401800000003,3.93165487,-0.007684980243446438
20260123,4220541.69,0.0,4220541.69,0,4.22054169,4.22054169,0.0
20260126,0.0,4386315.33,4386315.33,1,4.38631533,4.38631533,0.0
20260127,0.0,4824562.44,4824562.44,1,4.82456244,4.82456244,0.0
20260128,0.0,5308940.82,5308940.82,1,5.30894082,5.30894082,0.0
20260129,0.0,5839450.47,5839450.47,1,5.83945047,5.83945047,0.0
20260130,5245665.2,0.0,5245665.2,0,5.2456652,5.83945047,-0.10168512825831022
20260202,5245665.2,0.0,5245665.2,0,5.2456652,5.83945047,-0.10168512825831022
20260203,0.0,5562397.22,5562397.22,3,5.562397219999999,5.83945047,-0.04744508946918091
20260204,5516523.15,0.0,5516523.15,0,5.51652315,5.83945047,-0.055300977662029904
20260205,5516523.15,0.0,5516523.15,0,5.51652315,5.83945047,-0.055300977662029904
20260206,5516523.15,0.0,5516523.15,0,5.51652315,5.83945047,-0.055300977662029904
20260209,0.0,5479281.72,5479281.72,3,5.4792817199999995,5.83945047,-0.06167853496666453
20260210,5404463.25,0.0,5404463.25,0,5.40446325,5.83945047,-0.07449112244974654
20260211,0.0,5293818.28,5293818.28,1,5.29381828,5.83945047,-0.09343896190286549
20260212,5630620.71,0.0,5630620.71,0,5.63062071,5.83945047,-0.03576188565565497
20260213,5630620.71,0.0,5630620.71,0,5.63062071,5.83945047,-0.03576188565565497
20260224,0.0,5561840.17,5561840.17,2,5.56184017,5.83945047,-0.047540483719523685
20260225,2869174.23,3035592.59,5904766.82,1,5.90476682,5.90476682,0.0
20260226,2963440.54,2774170.3,5737610.84,2,5.737610839999999,5.90476682,-0.02830865046758957
20260227,5743947.41,0.0,5743947.41,0,5.7439474100000005,5.90476682,-0.02723552257055928
20260302,5743947.41,0.0,5743947.41,0,5.7439474100000005,5.90476682,-0.02723552257055928
20260303,5743947.41,0.0,5743947.41,0,5.7439474100000005,5.90476682,-0.02723552257055928
20260304,5743947.41,0.0,5743947.41,0,5.7439474100000005,5.90476682,-0.02723552257055928
20260305,5743947.41,0.0,5743947.41,0,5.7439474100000005,5.90476682,-0.02723552257055928
20260306,5743947.41,0.0,5743947.41,0,5.7439474100000005,5.90476682,-0.02723552257055928
20260309,5743947.41,0.0,5743947.41,0,5.7439474100000005,5.90476682,-0.02723552257055928
20260310,5743947.41,0.0,5743947.41,0,5.7439474100000005,5.90476682,-0.02723552257055928
20260311,5743947.41,0.0,5743947.41,0,5.7439474100000005,5.90476682,-0.02723552257055928
20260312,0.0,5311110.88,5311110.88,1,5.31111088,5.90476682,-0.10053842227761323
20260313,0.0,5843104.95,5843104.95,1,5.84310495,5.90476682,-0.010442727355658765
20260316,6178536.31,0.0,6178536.31,0,6.178536309999999,6.178536309999999,0.0
20260317,6178536.31,0.0,6178536.31,0,6.178536309999999,6.178536309999999,0.0
20260318,6178536.31,0.0,6178536.31,0,6.178536309999999,6.178536309999999,0.0
20260319,6178536.31,0.0,6178536.31,0,6.178536309999999,6.178536309999999,0.0
20260320,6178536.31,0.0,6178536.31,0,6.178536309999999,6.178536309999999,0.0
20260323,6178536.31,0.0,6178536.31,0,6.178536309999999,6.178536309999999,0.0
20260324,6178536.31,0.0,6178536.31,0,6.178536309999999,6.178536309999999,0.0
20260325,0.0,6262693.84,6262693.84,3,6.26269384,6.26269384,0.0
20260326,5889349.57,0.0,5889349.57,0,5.88934957,6.26269384,-0.059614006294773536
20260327,5889349.57,0.0,5889349.57,0,5.88934957,6.26269384,-0.059614006294773536
20260330,5889349.57,0.0,5889349.57,0,5.88934957,6.26269384,-0.059614006294773536
20260331,5889349.57,0.0,5889349.57,0,5.88934957,6.26269384,-0.059614006294773536
20260401,-0.0,5626747.68,5626747.68,3,5.626747679999999,6.26269384,-0.10154514594633302
20260402,3754909.56,2060865.83,5815775.39,1,5.81577539,6.26269384,-0.07136201472048964
20260403,5832721.36,0.0,5832721.36,0,5.832721360000001,6.26269384,-0.06865615516022083
20260407,5832721.36,0.0,5832721.36,0,5.832721360000001,6.26269384,-0.06865615516022083
20260408,5832721.36,0.0,5832721.36,0,5.832721360000001,6.26269384,-0.06865615516022083
20260409,5832721.36,0.0,5832721.36,0,5.832721360000001,6.26269384,-0.06865615516022083
20260410,5832721.36,0.0,5832721.36,0,5.832721360000001,6.26269384,-0.06865615516022083
20260413,5832721.36,0.0,5832721.36,0,5.832721360000001,6.26269384,-0.06865615516022083
20260414,5832721.36,0.0,5832721.36,0,5.832721360000001,6.26269384,-0.06865615516022083
20260415,5832721.36,0.0,5832721.36,0,5.832721360000001,6.26269384,-0.06865615516022083
20260416,5832721.36,0.0,5832721.36,0,5.832721360000001,6.26269384,-0.06865615516022083
20260417,5832721.36,0.0,5832721.36,0,5.832721360000001,6.26269384,-0.06865615516022083
20260420,5832721.36,0.0,5832721.36,0,5.832721360000001,6.26269384,-0.06865615516022083
