初始资金,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,未平仓数量,策略名称,候选池行数,候选交易日,基线宇宙覆盖率
1000000.0,5832721.36,5.832721360000001,4.832721360000001,-0.13509144305944643,67.0,0.582089552238806,0.04468241791044777,35.7737044667839,0.0,量比优先排序,103,56,1.0
1000000.0,5832721.36,5.832721360000001,4.832721360000001,-0.13509144305944643,67.0,0.582089552238806,0.04468241791044777,35.7737044667839,0.0,昨量比优先排序,103,56,1.0
1000000.0,5710759.58,5.71075958,4.71075958,-0.13509144339471857,67.0,0.582089552238806,0.043698462686567165,34.87089531078449,0.0,行业开盘>0基线,103,56,1.0
1000000.0,5439040.49,5.43904049,4.43904049,-0.16913500690434413,69.0,0.5942028985507246,0.04138708695652174,26.245545326465386,0.0,竞价涨幅温和优先排序,103,56,1.0
1000000.0,4902956.11,4.902956110000001,3.9029561100000008,-0.13509144339471857,67.0,0.582089552238806,0.04107443283582089,28.89121628966611,0.0,昨日连板<=0,102,55,0.990291
1000000.0,4902956.11,4.902956110000001,3.9029561100000008,-0.13509144339471857,67.0,0.582089552238806,0.04107443283582089,28.89121628966611,0.0,昨日连板<=1,102,55,0.990291
1000000.0,4819034.79,4.81903479,3.81903479,-0.15243920339173855,43.0,0.5813953488372093,0.06037993023255813,25.05283880410892,0.0,竞价换手率>=0.2,62,38,0.601942
1000000.0,4765841.0,4.765841,3.765841,-0.2341678117091015,54.0,0.6481481481481481,0.05195498148148148,16.08180463623315,0.0,竞价涨幅<=2,74,48,0.718447
1000000.0,4765841.0,4.765841,3.765841,-0.2341678117091015,54.0,0.6481481481481481,0.05195498148148148,16.08180463623315,0.0,竞价涨幅<=2+昨日连板<=0,74,48,0.718447
1000000.0,4618402.38,4.61840238,3.61840238,-0.18370431173958268,44.0,0.5909090909090909,0.05486738636363637,19.696883245339443,0.0,热度<=30,60,39,0.582524
1000000.0,4388414.77,4.38841477,3.38841477,-0.1350914450548799,63.0,0.5873015873015873,0.04188087301587302,25.082378596390623,0.0,竞价强度>=8.0,97,53,0.941748
1000000.0,4273618.2,4.2736182000000005,3.2736182000000005,-0.13082346379848042,41.0,0.6829268292682927,0.050416731707317065,25.023173251570984,0.0,"竞价涨幅[-2,2]",55,41,0.533981
1000000.0,4249689.41,4.24968941,3.2496894100000002,-0.13082346509274256,45.0,0.6666666666666666,0.04712308888888889,24.840263997718225,0.0,"竞价涨幅[-3,2]",60,42,0.582524
1000000.0,4249689.41,4.24968941,3.2496894100000002,-0.13082346509274256,45.0,0.6666666666666666,0.04712308888888889,24.840263997718225,0.0,"竞价涨幅[-3,2]+量比优先排序",60,42,0.582524
1000000.0,3992768.62,3.99276862,2.99276862,-0.2254516545561197,45.0,0.6,0.05273126666666667,13.274547156871881,0.0,竞价涨幅<=1,59,39,0.572816
1000000.0,3950907.8,3.9509078,2.9509078,-0.20035519878649855,30.0,0.6333333333333333,0.06581146666666667,14.728381483849246,0.0,"竞价涨幅[-3,2]+热度<=30",37,28,0.359223
1000000.0,3851307.69,3.85130769,2.85130769,-0.11566622786910719,56.0,0.6428571428571429,0.03857135714285714,24.6511686473139,0.0,竞价涨幅>=-2,84,51,0.815534
1000000.0,3812581.97,3.81258197,2.81258197,-0.18800474175886805,35.0,0.6,0.06744979999999999,14.96016506651398,0.0,竞价换手率>=0.3,47,32,0.456311
1000000.0,3722750.59,3.72275059,2.72275059,-0.12093111357722586,27.0,0.6296296296296297,0.06753303703703703,22.514888926920104,0.0,"竞价涨幅[-1,1]",36,29,0.349515
1000000.0,3602258.98,3.6022589799999998,2.6022589799999998,-0.11566623059499759,59.0,0.6271186440677966,0.034986440677966094,22.49800107268771,0.0,竞价涨幅>=-3,89,52,0.864078
1000000.0,3548049.15,3.5480491499999998,2.5480491499999998,-0.13979478015672264,53.0,0.6415094339622641,0.04000856603773585,18.227069330796223,0.0,竞价涨幅>=-1,80,48,0.776699
1000000.0,3471249.2,3.4712492000000004,2.4712492000000004,-0.12626178437127789,57.0,0.6140350877192983,0.03349685964912281,19.572424168608233,0.0,竞价强度>=8.3,89,51,0.864078
1000000.0,3375099.8,3.3750997999999997,2.3750997999999997,-0.19786417194212058,29.0,0.6206896551724138,0.05918703448275862,12.003688068877706,0.0,竞价涨幅<=0,38,31,0.368932
1000000.0,3280568.62,3.28056862,2.28056862,-0.18370431004751775,34.0,0.5588235294117647,0.05049285294117646,12.414344657510203,0.0,热度<=20,44,32,0.427184
1000000.0,2801726.01,2.80172601,1.8017260099999999,-0.28759496037923504,40.0,0.65,0.038324924999999996,6.264803832529495,0.0,昨量大于前量,62,43,0.601942
1000000.0,2801726.01,2.80172601,1.8017260099999999,-0.28759496037923504,40.0,0.65,0.038324924999999996,6.264803832529495,0.0,量比>=1.0,62,43,0.601942
1000000.0,2705731.56,2.7057315600000003,1.7057315600000003,-0.18423477822167644,19.0,0.6842105263157895,0.06808600000000001,9.258466704628463,0.0,"竞价涨幅[-3,2]+量比>=1.2",23,20,0.223301
1000000.0,2634025.32,2.6340253199999997,1.6340253199999997,-0.12984939980961885,28.0,0.6428571428571429,0.056092214285714294,12.58400364110852,0.0,竞价量比>=0.8,40,25,0.38835
1000000.0,2624906.37,2.62490637,1.6249063700000002,-0.14468339473156044,16.0,0.6875,0.07413043750000001,11.230773047693441,0.0,"竞价涨幅[-2,2]+量比>=1.2",19,18,0.184466
1000000.0,2611886.91,2.61188691,1.61188691,-0.18498776955868423,21.0,0.7142857142857143,0.06705376190476191,8.713478268565513,0.0,昨量前量比>=1.5,29,23,0.281553
1000000.0,2611886.91,2.61188691,1.61188691,-0.18498776955868423,21.0,0.7142857142857143,0.06705376190476191,8.713478268565513,0.0,量比>=1.5,29,23,0.281553
1000000.0,2502631.04,2.5026310400000003,1.5026310400000003,-0.21045631964835998,53.0,0.6226415094339622,0.027406018867924525,7.139871316340915,0.0,竞价涨幅>=0,68,43,0.660194
1000000.0,2257634.19,2.25763419,1.25763419,-0.21003723828226162,24.0,0.625,0.05118770833333334,5.98767247315407,0.0,竞价涨幅<=2+昨量比>=1.2,29,24,0.281553
1000000.0,2222469.99,2.22246999,1.22246999,-0.2320765498729982,29.0,0.6896551724137931,0.04368817241379311,5.267529143590706,0.0,昨量前量比>=1.2,41,32,0.398058
1000000.0,2222469.99,2.22246999,1.22246999,-0.2320765498729982,29.0,0.6896551724137931,0.04368817241379311,5.267529143590706,0.0,量比>=1.2,41,32,0.398058
1000000.0,2222469.99,2.22246999,1.22246999,-0.2320765498729982,29.0,0.6896551724137931,0.04368817241379311,5.267529143590706,0.0,量比>=1.2+昨量比>=1.2,41,32,0.398058
1000000.0,1886230.5,1.8862305,0.8862304999999999,-0.1634652274871139,15.0,0.6,0.0493808,5.421523057984073,0.0,量比>=2.0,19,18,0.184466
1000000.0,1842435.47,1.84243547,0.8424354700000001,-0.3197772948073063,15.0,0.3333333333333333,0.050306,2.6344442950761744,0.0,DDX>=0,19,18,0.184466
1000000.0,1823982.26,1.82398226,0.82398226,-0.12102813677241564,18.0,0.6111111111111112,0.04443938888888889,6.808187599792906,0.0,竞价量比>=1.0,29,21,0.281553
1000000.0,1504815.58,1.50481558,0.50481558,-0.2875403680275449,25.0,0.44,0.027607679999999996,1.7556337687918702,0.0,热度<=10,29,24,0.281553
1000000.0,1328737.01,1.32873701,0.32873701,-0.2901010590505635,10.0,0.4,0.03295639999999999,1.1331810062186034,0.0,竞价涨幅<=2+DDX>=0,12,11,0.116505
