日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,0.0,1037008.08,1037008.08,1,1.0370080799999999,1.0370080799999999,0.0
20250911,1036939.26,0.0,1036939.26,0,1.03693926,1.0370080799999999,-6.636399592940823e-05
20250912,0.0,1141793.46,1141793.46,1,1.14179346,1.14179346,0.0
20250915,0.0,1255765.58,1255765.58,1,1.25576558,1.25576558,0.0
20250916,0.0,1382171.02,1382171.02,1,1.38217102,1.38217102,0.0
20250917,0.0,1521009.79,1521009.79,1,1.5210097900000001,1.5210097900000001,0.0
20250918,0.0,1672281.88,1672281.88,1,1.6722818799999999,1.6722818799999999,0.0
20250919,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250922,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250923,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250924,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250925,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250926,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250929,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250930,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251009,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251010,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251013,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251014,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251015,0.0,1482591.21,1482591.21,3,1.48259121,1.6722818799999999,-0.11343223428337323
20251016,1043810.55,537258.28,1581068.83,1,1.58106883,1.6722818799999999,-0.05454406406651968
20251017,1043810.55,590622.32,1634432.86,1,1.6344328600000002,1.6722818799999999,-0.022633157993674935
20251020,530874.48,1025012.45,1555886.93,1,1.55588693,1.6722818799999999,-0.06960247036821321
20251021,1135603.47,559967.02,1695570.48,1,1.69557048,1.69557048,0.0
20251022,1659547.88,0.0,1659547.88,0,1.6595478799999999,1.69557048,-0.02124512099314213
20251023,0.0,1587281.11,1587281.11,1,1.5872811100000002,1.69557048,-0.06386603876236385
20251024,1583318.6,0.0,1583318.6,0,1.5833186000000001,1.69557048,-0.06620301622613756
20251027,0.0,1696104.41,1696104.41,2,1.69610441,1.69610441,0.0
20251028,1698876.34,0.0,1698876.34,0,1.69887634,1.69887634,0.0
20251029,0.0,1740641.69,1740641.69,2,1.74064169,1.74064169,0.0
20251030,1681279.46,0.0,1681279.46,0,1.68127946,1.74064169,-0.03410364714405978
20251031,0.0,1581077.11,1581077.11,3,1.58107711,1.74064169,-0.09166997488150463
20251103,1109492.3,553891.7,1663383.99,1,1.66338399,1.74064169,-0.04438460852905335
20251104,1109492.3,608672.19,1718164.49,1,1.71816449,1.74064169,-0.012913168821091503
20251105,1109492.3,669539.41,1779031.71,1,1.77903171,1.77903171,0.0
20251106,684536.73,1052489.0,1737025.73,2,1.73702573,1.77903171,-0.02361170954057923
20251107,1120549.24,669110.3,1789659.54,1,1.78965954,1.78965954,0.0
20251110,657104.62,1042640.67,1699745.29,1,1.69974529,1.78965954,-0.050240980471626395
20251111,984931.25,673501.4,1658432.65,1,1.65843265,1.78965954,-0.07332505823984825
20251112,1601816.02,0.0,1601816.02,0,1.60181602,1.78965954,-0.10496047756658788
20251113,1601816.02,0.0,1601816.02,0,1.60181602,1.78965954,-0.10496047756658788
20251114,1601816.02,0.0,1601816.02,0,1.60181602,1.78965954,-0.10496047756658788
20251117,0.0,1587143.67,1587143.67,1,1.58714367,1.78965954,-0.11315888048740264
20251118,1610514.75,0.0,1610514.75,0,1.61051475,1.78965954,-0.10009992738618867
20251119,1610514.75,0.0,1610514.75,0,1.61051475,1.78965954,-0.10009992738618867
20251120,1610514.75,0.0,1610514.75,0,1.61051475,1.78965954,-0.10009992738618867
20251121,1610514.75,0.0,1610514.75,0,1.61051475,1.78965954,-0.10009992738618867
20251124,1610514.75,0.0,1610514.75,0,1.61051475,1.78965954,-0.10009992738618867
20251125,0.0,1769666.63,1769666.63,3,1.76966663,1.78965954,-0.011171348266609482
20251126,1724566.74,0.0,1724566.74,0,1.72456674,1.78965954,-0.0363716106584161
20251127,1724566.74,0.0,1724566.74,0,1.72456674,1.78965954,-0.0363716106584161
20251128,0.0,1885659.94,1885659.94,1,1.88565994,1.88565994,0.0
20251201,0.0,2075210.61,2075210.61,1,2.07521061,2.07521061,0.0
20251202,0.0,2281993.16,2281993.16,1,2.2819931600000003,2.2819931600000003,0.0
20251203,2152566.41,0.0,2152566.41,0,2.15256641,2.2819931600000003,-0.05671653722222392
20251204,2152566.41,0.0,2152566.41,0,2.15256641,2.2819931600000003,-0.05671653722222392
20251205,0.0,2343699.41,2343699.41,2,2.34369941,2.34369941,0.0
20251208,1144756.53,1279753.02,2424509.56,1,2.42450956,2.42450956,0.0
20251209,2432941.71,0.0,2432941.71,0,2.43294171,2.43294171,0.0
20251210,2432941.71,0.0,2432941.71,0,2.43294171,2.43294171,0.0
20251211,2432941.71,0.0,2432941.71,0,2.43294171,2.43294171,0.0
20251212,2432941.71,0.0,2432941.71,0,2.43294171,2.43294171,0.0
20251215,2432941.71,0.0,2432941.71,0,2.43294171,2.43294171,0.0
20251216,2432941.71,0.0,2432941.71,0,2.43294171,2.43294171,0.0
20251217,2432941.71,0.0,2432941.71,0,2.43294171,2.43294171,0.0
20251218,2432941.71,0.0,2432941.71,0,2.43294171,2.43294171,0.0
20251219,-0.0,2509108.75,2509108.75,3,2.50910875,2.50910875,0.0
20251222,2536062.03,0.0,2536062.03,0,2.5360620299999996,2.5360620299999996,0.0
20251223,2536062.03,0.0,2536062.03,0,2.5360620299999996,2.5360620299999996,0.0
20251224,0.0,2848326.91,2848326.91,1,2.84832691,2.84832691,0.0
20251225,0.0,3133077.54,3133077.54,1,3.13307754,3.13307754,0.0
20251226,0.0,3446549.41,3446549.41,1,3.4465494100000003,3.4465494100000003,0.0
20251229,3479666.13,0.0,3479666.13,0,3.47966613,3.47966613,0.0
20251230,3479666.13,0.0,3479666.13,0,3.47966613,3.47966613,0.0
20251231,0.0,3666117.35,3666117.35,3,3.66611735,3.66611735,0.0
20260105,3428004.01,0.0,3428004.01,0,3.42800401,3.66611735,-0.06494973217373956
20260106,0.0,3630221.22,3630221.22,2,3.63022122,3.66611735,-0.00979132050969389
20260107,3624066.15,0.0,3624066.15,0,3.62406615,3.66611735,-0.011470227487398899
20260108,0.0,3573360.68,3573360.68,2,3.57336068,3.66611735,-0.02530106408077748
20260109,3598816.2,0.0,3598816.2,0,3.5988162000000004,3.66611735,-0.018357609311114853
20260112,0.0,3849444.25,3849444.25,3,3.84944425,3.84944425,0.0
20260113,3476415.92,0.0,3476415.92,0,3.47641592,3.84944425,-0.09690446354691329
20260114,0.0,3509871.8,3509871.8,2,3.5098718,3.84944425,-0.08821337002088026
20260115,3547570.72,0.0,3547570.72,0,3.5475707200000004,3.84944425,-0.0784200290730277
20260116,0.0,3462955.3,3462955.3,1,3.4629553,3.84944425,-0.10040123324295447
20260119,3329417.27,0.0,3329417.27,0,3.32941727,3.84944425,-0.13509144339471857
20260120,0.0,3337054.84,3337054.84,2,3.33705484,3.84944425,-0.13310737257722327
20260121,1481750.19,1972910.57,3454660.76,1,3.45466076,3.84944425,-0.10255597025466734
20260122,0.0,3819861.34,3819861.34,3,3.8198613399999997,3.84944425,-0.007684982059423362
20260123,4132290.47,0.0,4132290.47,0,4.13229047,4.13229047,0.0
20260126,0.0,4294597.79,4294597.79,1,4.29459779,4.29459779,0.0
20260127,0.0,4723681.18,4723681.18,1,4.72368118,4.72368118,0.0
20260128,0.0,5197931.25,5197931.25,1,5.19793125,5.19793125,0.0
20260129,0.0,5717347.98,5717347.98,1,5.71734798,5.71734798,0.0
20260130,5135978.71,0.0,5135978.71,0,5.13597871,5.71734798,-0.10168512954497488
20260202,5135978.71,0.0,5135978.71,0,5.13597871,5.71734798,-0.10168512954497488
20260203,-0.0,5446087.89,5446087.89,3,5.446087889999999,5.71734798,-0.0474450900922776
20260204,5401173.05,0.0,5401173.05,0,5.40117305,5.71734798,-0.0553009771498989
20260205,5401173.05,0.0,5401173.05,0,5.40117305,5.71734798,-0.0553009771498989
20260206,5401173.05,0.0,5401173.05,0,5.40117305,5.71734798,-0.0553009771498989
20260209,-0.0,5364710.34,5364710.34,3,5.36471034,5.71734798,-0.06167853368967058
20260210,5291456.32,0.0,5291456.32,0,5.29145632,5.71734798,-0.07449112096899169
20260211,0.0,5183124.92,5183124.92,1,5.18312492,5.71734798,-0.093438961887361
20260212,5512884.84,0.0,5512884.84,0,5.51288484,5.71734798,-0.035761884831085666
20260213,5512884.84,0.0,5512884.84,0,5.51288484,5.71734798,-0.035761884831085666
20260224,0.0,5445542.49,5445542.49,2,5.44554249,5.71734798,-0.04754048397103161
20260225,2809180.0,2972118.56,5781298.57,1,5.781298570000001,5.781298570000001,0.0
20260226,2901475.22,2716162.6,5617637.81,2,5.61763781,5.781298570000001,-0.028308650386828393
20260227,5623841.88,0.0,5623841.88,0,5.62384188,5.781298570000001,-0.02723552297005838
20260302,5623841.88,0.0,5623841.88,0,5.62384188,5.781298570000001,-0.02723552297005838
20260303,5623841.88,0.0,5623841.88,0,5.62384188,5.781298570000001,-0.02723552297005838
20260304,5623841.88,0.0,5623841.88,0,5.62384188,5.781298570000001,-0.02723552297005838
20260305,5623841.88,0.0,5623841.88,0,5.62384188,5.781298570000001,-0.02723552297005838
20260306,5623841.88,0.0,5623841.88,0,5.62384188,5.781298570000001,-0.02723552297005838
20260309,5623841.88,0.0,5623841.88,0,5.62384188,5.781298570000001,-0.02723552297005838
20260310,5623841.88,0.0,5623841.88,0,5.62384188,5.781298570000001,-0.02723552297005838
20260311,5623841.88,0.0,5623841.88,0,5.62384188,5.781298570000001,-0.02723552297005838
20260312,0.0,5200055.93,5200055.93,1,5.2000559299999995,5.781298570000001,-0.10053842280627978
20260313,0.0,5720926.04,5720926.04,1,5.72092604,5.781298570000001,-0.01044272826753534
20260316,6049343.55,0.0,6049343.55,0,6.04934355,6.04934355,0.0
20260317,6049343.55,0.0,6049343.55,0,6.04934355,6.04934355,0.0
20260318,6049343.55,0.0,6049343.55,0,6.04934355,6.04934355,0.0
20260319,6049343.55,0.0,6049343.55,0,6.04934355,6.04934355,0.0
20260320,6049343.55,0.0,6049343.55,0,6.04934355,6.04934355,0.0
20260323,6049343.55,0.0,6049343.55,0,6.04934355,6.04934355,0.0
20260324,6049343.55,0.0,6049343.55,0,6.04934355,6.04934355,0.0
20260325,0.0,6131741.36,6131741.36,3,6.13174136,6.13174136,0.0
20260326,5766203.7,0.0,5766203.7,0,5.7662037,6.13174136,-0.059614004984711255
20260327,5766203.7,0.0,5766203.7,0,5.7662037,6.13174136,-0.059614004984711255
20260330,5766203.7,0.0,5766203.7,0,5.7662037,6.13174136,-0.059614004984711255
20260331,5766203.7,0.0,5766203.7,0,5.7662037,6.13174136,-0.059614004984711255
20260401,-0.0,5509092.79,5509092.79,3,5.50909279,6.13174136,-0.10154514573328322
20260402,3676394.67,2017773.27,5694167.94,1,5.694167940000001,6.13174136,-0.07136201517801777
20260403,5710759.58,0.0,5710759.58,0,5.71075958,6.13174136,-0.06865615414672355
20260407,5710759.58,0.0,5710759.58,0,5.71075958,6.13174136,-0.06865615414672355
20260408,5710759.58,0.0,5710759.58,0,5.71075958,6.13174136,-0.06865615414672355
20260409,5710759.58,0.0,5710759.58,0,5.71075958,6.13174136,-0.06865615414672355
20260410,5710759.58,0.0,5710759.58,0,5.71075958,6.13174136,-0.06865615414672355
20260413,5710759.58,0.0,5710759.58,0,5.71075958,6.13174136,-0.06865615414672355
20260414,5710759.58,0.0,5710759.58,0,5.71075958,6.13174136,-0.06865615414672355
20260415,5710759.58,0.0,5710759.58,0,5.71075958,6.13174136,-0.06865615414672355
20260416,5710759.58,0.0,5710759.58,0,5.71075958,6.13174136,-0.06865615414672355
20260417,5710759.58,0.0,5710759.58,0,5.71075958,6.13174136,-0.06865615414672355
20260420,5710759.58,0.0,5710759.58,0,5.71075958,6.13174136,-0.06865615414672355
