日期,股票代码,股票简称,申万一级行业代码,申万一级行业,昨日申万一级行业涨跌幅,昨日申万一级行业涨跌幅排名,竞昨成交比估算,个股热度排名昨日,竞价匹配金额_openapi
20250910,600050.SH,中国联通,801770,通信,-1.91,28.0,0.017816463732681895,87,83975385.0
20250911,688256.SH,寒武纪,801080,电子,1.78,2.0,0.007240039908974518,34,127728440.0
20250912,600376.SH,首开股份,801180,房地产,1.26,14.0,0.0585336657710739,7,130126500.0
20250915,002642.SZ,荣联科技,801750,计算机,0.22,7.0,0.02374359071398241,34,51414831.0
20250915,300274.SZ,阳光电源,801730,电力设备,-0.27,15.0,0.009782844662449644,27,147977540.0
20250915,300450.SZ,先导智能,801730,电力设备,-0.27,15.0,0.00958617580565126,10,137370490.0
20250916,000737.SZ,北方铜业,801050,有色金属,-0.81,27.0,0.01714880597443715,60,69529228.0
20250916,603083.SH,剑桥科技,801770,通信,-1.52,30.0,0.009906221812405818,39,69816937.0
20250916,600021.SH,上海电力,801160,公用事业,-0.26,21.0,0.009290960787193814,9,64930176.0
20250917,002642.SZ,荣联科技,801750,计算机,2.06,2.0,0.021901673328857584,28,50702371.0
20250917,300750.SZ,宁德时代,801730,电力设备,0.29,17.0,0.00689543666866122,76,91983040.0
20250924,600400.SH,红豆股份,801130,纺织服饰,-0.9,18.0,0.0524017490251911,24,94457114.0
20250924,000981.SZ,山子高科,801880,汽车,-0.4,11.0,0.01216108635294613,1,152258740.0
20251015,601212.SH,白银有色,801050,有色金属,-3.66,29.0,0.014567919392895225,8,62691398.0
20251015,000021.SZ,深科技,801080,电子,-4.64,30.0,0.008928219111370895,18,70015330.0
20251015,000063.SZ,中兴通讯,801770,通信,-4.98,31.0,0.0048489115377878455,24,89273158.0
20251020,300502.SZ,新易盛,801770,通信,-2.69,24.0,0.030988289785221976,98,300463100.0
20251020,000969.SZ,安泰科技,801050,有色金属,-2.05,20.0,0.02440802618219422,6,120188160.0
20251021,002208.SZ,合肥城建,801180,房地产,0.55,17.0,0.025540463615971804,6,69615000.0
20251021,002185.SZ,华天科技,801080,电子,1.38,5.0,0.010207150426914627,4,56967906.0
20251022,601212.SH,白银有色,801050,有色金属,1.42,14.0,0.052909779181261454,21,156251000.0
20251023,002208.SZ,合肥城建,801180,房地产,0.75,4.0,0.018069870202640705,5,55811272.0
20251024,300475.SZ,香农芯创,801080,电子,-0.67,28.0,0.025793709875850324,84,145601810.0
20251024,600172.SH,黄河旋风,801890,机械设备,-0.3,25.0,0.02459508073074473,1,102069903.0
20251024,601608.SH,中信重工,801890,机械设备,-0.3,25.0,0.01758778880537935,11,67670630.0
