股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
600050.SH,600050,中国联通,20250910,20250911,5.55,5.5528,5.7671,87.0,1000000.0,1036939.26,0.036939,1
600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.2564,7.0,1036939.26,1501725.03,0.448229,7
000021.SZ,000021,深科技,20251015,20251016,29.5,29.5147,30.4248,18.0,750862.52,772775.85,0.029184,1
002475.SZ,002475,立讯精密,20251015,20251016,55.04,55.0675,59.1704,29.0,750862.52,805516.04,0.072788,1
300502.SZ,300502,新易盛,20251020,20251021,335.01,335.1775,365.2373,98.0,1578291.89,1717087.21,0.08794,1
600172.SH,600172,黄河旋风,20251024,20251027,7.53,7.5338,7.0065,1.0,572362.4,531452.71,-0.071475,3
300475.SZ,300475,香农芯创,20251024,20251027,116.0,116.058,133.5932,84.0,572362.4,657786.65,0.149249,3
601608.SH,601608,中信重工,20251024,20251028,7.13,7.1336,7.7461,11.0,572362.4,620517.11,0.084133,4
002050.SZ,002050,三花智控,20251028,20251029,49.0,49.0245,52.9635,4.0,1189239.36,1282736.94,0.07862,1
601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.931,6.0,620517.11,617716.99,-0.004513,1
603686.SH,603686,福龙马,20251104,20251105,30.0,30.015,34.2828,1.0,1900453.92,2167208.51,0.140364,1
600745.SH,600745,闻泰科技,20251106,20251107,41.4,41.4207,44.9775,47.0,2167208.51,2349542.77,0.084133,1
300394.SZ,300394,天孚通信,20251112,20251113,163.8,163.8819,162.6586,76.0,2349542.77,2328274.9,-0.009052,1
300502.SZ,300502,新易盛,20251117,20251118,314.33,314.4872,316.7016,98.0,2328274.9,2340918.69,0.005431,1
601138.SH,601138,工业富联,20251125,20251126,56.36,56.3882,58.9005,4.0,1170459.34,1220653.15,0.042884,1
002402.SZ,002402,和而泰,20251125,20251126,46.51,46.5333,47.5662,33.0,1170459.34,1194527.59,0.020563,1
600693.SH,600693,东百集团,20251128,20251201,9.31,9.3147,10.3348,10.0,1207590.37,1337706.95,0.107749,3
002413.SZ,002413,雷科防务,20251128,20251203,7.0,7.0035,8.7556,12.0,1207590.37,1507287.83,0.248178,5
300502.SZ,300502,新易盛,20251208,20251209,375.12,375.3076,418.9204,77.0,2844994.79,3170519.94,0.11442,1
300308.SZ,300308,中际旭创,20251222,20251223,590.01,590.305,620.6895,88.0,3170519.94,3328382.3,0.049791,1
600118.SH,600118,中国卫星,20251224,20251230,58.34,58.3692,86.2768,11.0,3328382.3,4911890.73,0.475759,6
002149.SZ,002149,西部材料,20251231,20260105,43.71,43.7319,46.007,38.0,4911890.73,5159164.22,0.050342,5
002759.SZ,002759,天际股份,20260107,20260108,50.11,50.1351,46.8766,4.0,2579582.11,2408065.43,-0.06649,1
002600.SZ,002600,领益智造,20260107,20260108,16.23,16.2381,16.4218,93.0,2579582.11,2604587.11,0.009693,1
300065.SZ,300065,海兰信,20260112,20260113,24.25,24.2621,24.1079,77.0,5012652.53,4972830.41,-0.007944,1
300058.SZ,300058,蓝色光标,20260114,20260115,20.12,20.1301,18.4008,3.0,1657610.14,1512790.16,-0.087367,1
601138.SH,601138,工业富联,20260114,20260115,60.1,60.13,60.7596,74.0,1657610.14,1672285.99,0.008854,1
301171.SZ,301171,易点天下,20260114,20260120,70.07,70.105,65.0275,28.0,1657610.14,1535093.46,-0.073912,6
600550.SH,600550,保变电气,20260119,20260120,13.86,13.8669,16.2419,8.0,3185076.16,3724606.89,0.169393,1
000657.SZ,000657,中钨高新,20260121,20260122,38.41,38.4292,42.4887,72.0,5259700.35,5806016.79,0.103868,1
601899.SH,601899,紫金矿业,20260123,20260126,38.39,38.4092,39.4803,60.0,5806016.79,5958373.96,0.026241,3
002156.SZ,002156,通富微电,20260127,20260128,51.89,51.9159,54.0829,15.0,2979186.98,3098575.7,0.040074,1
002342.SZ,002342,巨力索具,20260127,20260129,12.54,12.5463,14.1329,13.0,2979186.98,3350581.0,0.124663,2
002165.SZ,002165,红宝丽,20260203,20260204,12.4,12.4062,14.1129,5.0,3224578.35,3662321.21,0.135752,1
002455.SZ,002455,百川股份,20260203,20260204,9.78,9.7849,10.7746,35.0,3224578.35,3545057.85,0.099386,1
601138.SH,601138,工业富联,20260209,20260210,56.2,56.2281,56.042,39.0,7207379.06,7172029.89,-0.004905,1
603881.SH,603881,数据港,20260212,20260213,43.99,44.012,42.7786,24.0,7172029.89,6959890.14,-0.029579,1
603993.SH,603993,洛阳钼业,20260224,20260225,22.95,22.9615,23.4383,49.0,3479945.07,3546525.05,0.019132,1
600111.SH,600111,北方稀土,20260224,20260226,56.0,56.028,59.0705,95.0,3479945.07,3663045.63,0.052616,2
002716.SZ,002716,湖南白银,20260227,20260303,15.4,15.4077,15.6622,58.0,7209570.69,7316917.64,0.01489,4
600410.SH,600410,华胜天成,20260306,20260309,28.3,28.3141,30.4947,3.0,7316917.64,7867820.17,0.075292,3
603986.SH,603986,兆易创新,20260325,20260326,275.15,275.2876,261.869,62.0,7867820.17,7472341.05,-0.050265,1
002309.SZ,002309,中利集团,20260327,20260331,4.53,4.5323,4.9375,6.0,7472341.05,8127480.18,0.087675,4
002149.SZ,002149,西部材料,20260401,20260402,51.55,51.5758,49.1254,9.0,4063740.09,3864481.77,-0.049033,1
002192.SZ,002192,融捷股份,20260401,20260402,75.0,75.0375,72.2838,91.0,4063740.09,3908351.04,-0.038238,1
