日期,股票代码,股票简称,基础代码,申万一级行业代码,申万一级行业,申万一级行业涨跌幅,申万一级行业涨跌幅排名,申万一级行业成交额占比,申万一级行业成交额占比排名,一级行业候选数,竞昨成交比估算,个股热度排名昨日,竞价匹配金额_openapi,市场20日高低差,市场60日高低差
20250910,600050.SH,中国联通,600050,801770,通信,3.49,1.0,8.03,4.0,1,0.017816463732681895,87,83975385.0,73,252
20250911,688256.SH,寒武纪,688256,801080,电子,5.96,2.0,21.34,1.0,1,0.007240039908974518,34,127728440.0,452,412
20250912,600376.SH,首开股份,600376,801180,房地产,1.51,2.0,1.73,13.0,1,0.0585336657710739,7,130126500.0,298,317
20250915,300274.SZ,阳光电源,300274,801730,电力设备,2.22,1.0,14.89,2.0,2,0.009782844662449644,27,147977540.0,144,273
20250915,300450.SZ,先导智能,300450,801730,电力设备,2.22,1.0,14.89,2.0,2,0.00958617580565126,10,137370490.0,144,273
20250916,300476.SZ,胜宏科技,300476,801080,电子,1.31,8.0,19.87,1.0,1,0.00808773664571498,50,132734804.0,455,443
20250917,300750.SZ,宁德时代,300750,801730,电力设备,2.55,1.0,12.82,2.0,1,0.00689543666866122,76,91983040.0,346,400
20251015,000021.SZ,深科技,000021,801080,电子,2.29,3.0,20.29,1.0,2,0.008928219111370895,18,70015330.0,456,258
20251015,002475.SZ,立讯精密,002475,801080,电子,2.29,3.0,20.29,1.0,2,0.0041925855471568385,29,57335168.0,456,258
20251020,300502.SZ,新易盛,300502,801770,通信,3.21,1.0,6.97,6.0,1,0.030988289785221976,98,300463100.0,2,36
20251021,002208.SZ,合肥城建,002208,801180,房地产,2.25,5.0,1.76,17.0,1,0.025540463615971804,6,69615000.0,459,235
20251021,002185.SZ,华天科技,002185,801080,电子,3.5,2.0,23.03,1.0,1,0.010207150426914627,4,56967906.0,459,235
20251024,300475.SZ,香农芯创,300475,801080,电子,4.72,2.0,24.88,1.0,1,0.025793709875850324,84,145601810.0,377,143
20251024,600172.SH,黄河旋风,600172,801890,机械设备,1.18,7.0,8.7,3.0,2,0.02459508073074473,1,102069903.0,377,143
20251024,601608.SH,中信重工,601608,801890,机械设备,1.18,7.0,8.7,3.0,2,0.01758778880537935,11,67670630.0,377,143
20251028,002050.SZ,三花智控,002050,801110,家用电器,0.12,6.0,2.0,14.0,1,0.005980926410887322,4,68862199.0,436,156
