日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,0.0,1037008.08,1037008.08,1,1.0370080799999999,1.0370080799999999,0.0
20250911,1036939.26,0.0,1036939.26,0,1.03693926,1.0370080799999999,-6.636399592940823e-05
20250912,0.0,1141793.46,1141793.46,1,1.14179346,1.14179346,0.0
20250915,0.0,1255765.58,1255765.58,1,1.25576558,1.25576558,0.0
20250916,0.0,1382171.02,1382171.02,1,1.38217102,1.38217102,0.0
20250917,0.0,1521009.79,1521009.79,1,1.5210097900000001,1.5210097900000001,0.0
20250918,0.0,1672281.88,1672281.88,1,1.6722818799999999,1.6722818799999999,0.0
20250919,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250922,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250923,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250924,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250925,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250926,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250929,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250930,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251009,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251010,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251013,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251014,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20251015,0.0,1543599.03,1543599.03,2,1.54359903,1.6722818799999999,-0.0769504540705781
20251016,1578291.89,0.0,1578291.89,0,1.5782918899999998,1.6722818799999999,-0.05620463339589621
20251017,1578291.89,0.0,1578291.89,0,1.5782918899999998,1.6722818799999999,-0.05620463339589621
20251020,0.0,1549868.26,1549868.26,1,1.54986826,1.6722818799999999,-0.0732015466196404
20251021,1717087.21,0.0,1717087.21,0,1.7170872099999999,1.7170872099999999,0.0
20251022,1717087.21,0.0,1717087.21,0,1.7170872099999999,1.7170872099999999,0.0
20251023,1717087.21,0.0,1717087.21,0,1.7170872099999999,1.7170872099999999,0.0
20251024,0.0,1709412.6,1709412.6,3,1.7094126,1.7170872099999999,-0.0044695516659283285
20251027,1189239.36,607197.66,1796437.02,1,1.79643702,1.79643702,0.0
20251028,620517.11,1275833.89,1896351.0,1,1.896351,1.896351,0.0
20251029,1282736.94,641291.56,1924028.49,1,1.92402849,1.92402849,0.0
20251030,1900453.92,0.0,1900453.92,0,1.90045392,1.92402849,-0.012252713575982455
20251031,1900453.92,0.0,1900453.92,0,1.90045392,1.92402849,-0.012252713575982455
20251103,1900453.92,0.0,1900453.92,0,1.90045392,1.92402849,-0.012252713575982455
20251104,0.0,2118577.91,2118577.91,1,2.11857791,2.11857791,0.0
20251105,2167208.51,0.0,2167208.51,0,2.1672085099999996,2.1672085099999996,0.0
20251106,0.0,2145599.45,2145599.45,1,2.14559945,2.1672085099999996,-0.009970918764987458
20251107,2349542.77,0.0,2349542.77,0,2.3495427700000002,2.3495427700000002,0.0
20251110,2349542.77,0.0,2349542.77,0,2.3495427700000002,2.3495427700000002,0.0
20251111,2349542.77,0.0,2349542.77,0,2.3495427700000002,2.3495427700000002,0.0
20251112,0.0,2350530.79,2350530.79,1,2.35053079,2.35053079,0.0
20251113,2328274.9,0.0,2328274.9,0,2.3282749,2.35053079,-0.009468452868043542
20251114,2328274.9,0.0,2328274.9,0,2.3282749,2.35053079,-0.009468452868043542
20251117,0.0,2306948.31,2306948.31,1,2.30694831,2.35053079,-0.018541548226220006
20251118,2340918.69,0.0,2340918.69,0,2.34091869,2.35053079,-0.004089331669635321
20251119,2340918.69,0.0,2340918.69,0,2.34091869,2.35053079,-0.004089331669635321
20251120,2340918.69,0.0,2340918.69,0,2.34091869,2.35053079,-0.004089331669635321
20251121,2340918.69,0.0,2340918.69,0,2.34091869,2.35053079,-0.004089331669635321
20251124,2340918.69,0.0,2340918.69,0,2.34091869,2.35053079,-0.004089331669635321
20251125,0.0,2369129.01,2369129.01,2,2.36912901,2.36912901,0.0
20251126,2415180.74,0.0,2415180.74,0,2.4151807400000003,2.4151807400000003,0.0
20251127,2415180.74,0.0,2415180.74,0,2.4151807400000003,2.4151807400000003,0.0
20251128,0.0,2613852.78,2613852.78,2,2.6138527799999998,2.6138527799999998,0.0
20251201,1337706.95,1453121.11,2790828.07,1,2.79082807,2.79082807,0.0
20251202,1337706.95,1597916.1,2935623.06,1,2.93562306,2.93562306,0.0
20251203,2844994.79,0.0,2844994.79,0,2.84499479,2.93562306,-0.0308719028797928
20251204,2844994.79,0.0,2844994.79,0,2.84499479,2.93562306,-0.0308719028797928
20251205,2844994.79,0.0,2844994.79,0,2.84499479,2.93562306,-0.0308719028797928
20251208,0.0,3065518.15,3065518.15,1,3.06551815,3.06551815,0.0
20251209,3170519.94,0.0,3170519.94,0,3.17051994,3.17051994,0.0
20251210,3170519.94,0.0,3170519.94,0,3.17051994,3.17051994,0.0
20251211,3170519.94,0.0,3170519.94,0,3.17051994,3.17051994,0.0
20251212,3170519.94,0.0,3170519.94,0,3.17051994,3.17051994,0.0
20251215,3170519.94,0.0,3170519.94,0,3.17051994,3.17051994,0.0
20251216,3170519.94,0.0,3170519.94,0,3.17051994,3.17051994,0.0
20251217,3170519.94,0.0,3170519.94,0,3.17051994,3.17051994,0.0
20251218,3170519.94,0.0,3170519.94,0,3.17051994,3.17051994,0.0
20251219,3170519.94,0.0,3170519.94,0,3.17051994,3.17051994,0.0
20251222,0.0,3315589.2,3315589.2,1,3.3155892000000002,3.3155892000000002,0.0
20251223,3328382.3,0.0,3328382.3,0,3.3283823,3.3283823,0.0
20251224,0.0,3769226.72,3769226.72,1,3.7692267200000003,3.7692267200000003,0.0
20251225,0.0,4146035.38,4146035.38,1,4.14603538,4.14603538,0.0
20251226,0.0,4560467.91,4560467.91,1,4.56046791,4.56046791,0.0
20251229,0.0,5016514.7,5016514.7,1,5.0165147,5.0165147,0.0
20251230,4911890.73,0.0,4911890.73,0,4.9118907300000005,5.0165147,-0.02085590818661398
20251231,0.0,5110076.06,5110076.06,1,5.11007606,5.11007606,0.0
20260105,5159164.22,0.0,5159164.22,0,5.15916422,5.15916422,0.0
20260106,5159164.22,0.0,5159164.22,0,5.15916422,5.15916422,0.0
20260107,0.0,5044693.71,5044693.71,2,5.04469371,5.15916422,-0.022187801186138723
20260108,5012652.53,0.0,5012652.53,0,5.01265253,5.15916422,-0.028398338132372802
20260109,5012652.53,0.0,5012652.53,0,5.01265253,5.15916422,-0.028398338132372802
20260112,0.0,5450644.87,5450644.87,1,5.4506448700000005,5.4506448700000005,0.0
20260113,4972830.41,0.0,4972830.41,0,4.97283041,5.4506448700000005,-0.08766200539496904
20260114,0.0,5356325.1,5356325.1,3,5.356325099999999,5.4506448700000005,-0.01730433228536521
20260115,3185076.16,1922207.57,5107283.73,1,5.107283730000001,5.4506448700000005,-0.0629945902162582
20260116,3185076.16,1922207.57,5107283.73,1,5.107283730000001,5.4506448700000005,-0.0629945902162582
20260119,0.0,5524941.36,5524941.36,2,5.524941360000001,5.524941360000001,0.0
20260120,5259700.35,0.0,5259700.35,0,5.259700349999999,5.524941360000001,-0.048007932160206934
20260121,0.0,5702916.91,5702916.91,1,5.70291691,5.70291691,0.0
20260122,5806016.79,0.0,5806016.79,0,5.80601679,5.80601679,0.0
20260123,0.0,5675947.85,5675947.85,1,5.67594785,5.80601679,-0.022402439521708728
20260126,5958373.96,0.0,5958373.96,0,5.95837396,5.95837396,0.0
20260127,0.0,6190677.93,6190677.93,2,6.19067793,6.19067793,0.0
20260128,3098575.7,3449200.8,6547776.5,1,6.5477765,6.5477765,0.0
20260129,6449156.7,0.0,6449156.7,0,6.4491567000000005,6.5477765,-0.015061570901205856
20260130,6449156.7,0.0,6449156.7,0,6.4491567000000005,6.5477765,-0.015061570901205856
20260202,6449156.7,0.0,6449156.7,0,6.4491567000000005,6.5477765,-0.015061570901205856
20260203,0.0,6956398.26,6956398.26,2,6.956398259999999,6.956398259999999,0.0
20260204,7207379.06,0.0,7207379.06,0,7.207379059999999,7.207379059999999,0.0
20260205,7207379.06,0.0,7207379.06,0,7.207379059999999,7.207379059999999,0.0
20260206,7207379.06,0.0,7207379.06,0,7.207379059999999,7.207379059999999,0.0
20260209,0.0,7114479.69,7114479.69,1,7.1144796900000005,7.207379059999999,-0.012889480243321483
20260210,7172029.89,0.0,7172029.89,0,7.172029889999999,7.207379059999999,-0.004904580389865076
20260211,7172029.89,0.0,7172029.89,0,7.172029889999999,7.207379059999999,-0.004904580389865076
20260212,0.0,7091358.38,7091358.38,1,7.09135838,7.207379059999999,-0.01609748551229928
20260213,6959890.14,0.0,6959890.14,0,6.95989014,7.207379059999999,-0.0343382688685725
20260224,0.0,6874871.98,6874871.98,2,6.874871980000001,7.207379059999999,-0.0461342572982415
20260225,3546525.05,3752231.23,7298756.29,1,7.29875629,7.29875629,0.0
20260226,7209570.69,0.0,7209570.69,0,7.2095706900000005,7.29875629,-0.012219287294493175
20260227,0.0,7386240.62,7386240.62,1,7.38624062,7.38624062,0.0
20260302,0.0,8125332.47,8125332.47,1,8.12533247,8.12533247,0.0
20260303,7316917.64,0.0,7316917.64,0,7.31691764,8.12533247,-0.0994931386481469
20260304,7316917.64,0.0,7316917.64,0,7.31691764,8.12533247,-0.0994931386481469
20260305,7316917.64,0.0,7316917.64,0,7.31691764,8.12533247,-0.0994931386481469
20260306,0.0,7680496.2,7680496.2,1,7.6804962,8.12533247,-0.054746839177646556
20260309,7867820.17,0.0,7867820.17,0,7.86782017,8.12533247,-0.03169252469985395
20260310,7867820.17,0.0,7867820.17,0,7.86782017,8.12533247,-0.03169252469985395
20260311,7867820.17,0.0,7867820.17,0,7.86782017,8.12533247,-0.03169252469985395
20260312,7867820.17,0.0,7867820.17,0,7.86782017,8.12533247,-0.03169252469985395
20260313,7867820.17,0.0,7867820.17,0,7.86782017,8.12533247,-0.03169252469985395
20260316,7867820.17,0.0,7867820.17,0,7.86782017,8.12533247,-0.03169252469985395
20260317,7867820.17,0.0,7867820.17,0,7.86782017,8.12533247,-0.03169252469985395
20260318,7867820.17,0.0,7867820.17,0,7.86782017,8.12533247,-0.03169252469985395
20260319,7867820.17,0.0,7867820.17,0,7.86782017,8.12533247,-0.03169252469985395
20260320,7867820.17,0.0,7867820.17,0,7.86782017,8.12533247,-0.03169252469985395
20260323,7867820.17,0.0,7867820.17,0,7.86782017,8.12533247,-0.03169252469985395
20260324,7867820.17,0.0,7867820.17,0,7.86782017,8.12533247,-0.03169252469985395
20260325,0.0,7954388.11,7954388.11,1,7.95438811,8.12533247,-0.021038444965932546
20260326,7472341.05,0.0,7472341.05,0,7.47234105,8.12533247,-0.08036488628753924
20260327,0.0,7136725.92,7136725.92,1,7.13672592,8.12533247,-0.12166967365951986
20260330,0.0,7845453.9,7845453.9,1,7.845453900000001,8.12533247,-0.034445183755046904
20260331,8127480.18,0.0,8127480.18,0,8.12748018,8.12748018,0.0
20260401,0.0,7767026.56,7767026.56,2,7.76702656,8.12748018,-0.044349984499131634
20260402,7772832.81,0.0,7772832.81,0,7.77283281,8.12748018,-0.04363558718638416
20260403,7772832.81,0.0,7772832.81,0,7.77283281,8.12748018,-0.04363558718638416
20260407,7772832.81,0.0,7772832.81,0,7.77283281,8.12748018,-0.04363558718638416
20260408,7772832.81,0.0,7772832.81,0,7.77283281,8.12748018,-0.04363558718638416
20260409,7772832.81,0.0,7772832.81,0,7.77283281,8.12748018,-0.04363558718638416
20260410,7772832.81,0.0,7772832.81,0,7.77283281,8.12748018,-0.04363558718638416
20260413,7772832.81,0.0,7772832.81,0,7.77283281,8.12748018,-0.04363558718638416
20260414,7772832.81,0.0,7772832.81,0,7.77283281,8.12748018,-0.04363558718638416
20260415,7772832.81,0.0,7772832.81,0,7.77283281,8.12748018,-0.04363558718638416
20260416,7772832.81,0.0,7772832.81,0,7.77283281,8.12748018,-0.04363558718638416
20260417,7772832.81,0.0,7772832.81,0,7.77283281,8.12748018,-0.04363558718638416
20260420,7772832.81,0.0,7772832.81,0,7.77283281,8.12748018,-0.04363558718638416
