股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
600050.SH,600050,中国联通,20250910,20250911,5.55,5.5528,5.7671,87.0,1000000.0,1036939.26,0.036939,1
600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.2564,7.0,1036939.26,1501725.03,0.448229,7
300502.SZ,300502,新易盛,20250923,20250924,361.11,361.2906,354.4627,71.0,1501725.03,1470987.93,-0.020468,1
002549.SZ,002549,凯美特气,20250925,20250926,25.15,25.1626,24.7876,3.0,490329.31,482249.77,-0.016478,1
600376.SH,600376,首开股份,20250925,20250926,6.99,6.9935,6.9665,11.0,490329.31,487656.42,-0.005451,1
002050.SZ,002050,三花智控,20250925,20250926,44.99,45.0125,43.0984,13.0,490329.31,468728.22,-0.044054,1
600556.SH,600556,天下秀,20250929,20250930,5.52,5.5228,5.6172,27.0,479544.8,486964.06,0.015471,1
300750.SZ,300750,宁德时代,20250929,20250930,386.34,386.5332,401.799,78.0,479544.8,497686.72,0.037832,1
002298.SZ,002298,中电鑫龙,20250929,20251009,12.85,12.8564,13.4033,2.0,479544.8,499143.39,0.040869,10
000021.SZ,000021,深科技,20251015,20251016,29.5,29.5147,30.4248,18.0,494598.06,509032.52,0.029184,1
000063.SZ,000063,中兴通讯,20251015,20251016,51.03,51.0555,54.003,24.0,494598.06,522314.75,0.056039,1
601212.SH,601212,白银有色,20251015,20251020,5.53,5.5328,5.8771,8.0,494598.06,524535.74,0.060529,5
002156.SZ,002156,通富微电,20251017,20251020,41.18,41.2006,39.2504,7.0,515673.64,490478.5,-0.048859,3
002759.SZ,002759,天际股份,20251017,20251020,23.28,23.2916,23.5182,10.0,515673.64,519857.56,0.008114,3
002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.2639,4.0,767435.9,757417.75,-0.013054,1
002208.SZ,002208,合肥城建,20251021,20251022,12.75,12.7564,15.3823,6.0,767435.9,923934.18,0.203924,1
600172.SH,600172,黄河旋风,20251024,20251027,7.53,7.5338,7.0065,1.0,560450.64,520392.35,-0.071475,3
300475.SZ,300475,香农芯创,20251024,20251027,116.0,116.058,133.5932,84.0,560450.64,644097.07,0.149249,3
601608.SH,601608,中信重工,20251024,20251028,7.13,7.1336,7.7461,11.0,560450.64,607603.17,0.084133,4
002050.SZ,002050,三花智控,20251028,20251029,49.0,49.0245,52.9635,4.0,1164489.42,1256041.16,0.07862,1
601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.931,6.0,303801.58,302430.66,-0.004513,1
000981.SZ,000981,山子高科,20251029,20251030,4.14,4.1421,4.1979,31.0,303801.58,307403.97,0.011858,1
002512.SZ,002512,达华智能,20251030,20251031,4.94,4.9425,4.6177,12.0,1256041.16,1171627.04,-0.067206,1
002709.SZ,002709,天赐材料,20251031,20251103,41.77,41.7909,40.2898,10.0,304917.32,293495.13,-0.03746,3
300274.SZ,300274,阳光电源,20251031,20251103,195.59,195.6878,199.3703,12.0,304917.32,310158.38,0.017188,3
002709.SZ,002709,天赐材料,20251103,20251104,40.68,40.7003,39.5402,7.0,1171627.04,1136410.43,-0.030058,1
603686.SH,603686,福龙马,20251104,20251105,30.0,30.015,34.2828,1.0,603653.51,688384.49,0.140364,1
000555.SZ,000555,神州信息,20251105,20251106,21.9,21.9109,21.2894,2.0,1136410.43,1102405.03,-0.029924,1
600089.SH,600089,特变电工,20251107,20251110,25.5,25.5127,26.3368,2.0,596929.84,615225.34,0.030649,3
002639.SZ,002639,雪人集团,20251107,20251110,13.2,13.2066,14.9925,5.0,596929.84,676567.46,0.133412,3
300475.SZ,300475,香农芯创,20251107,20251110,157.16,157.2386,195.7221,19.0,596929.84,741837.53,0.242755,3
000572.SZ,000572,海马汽车,20251111,20251112,9.7,9.7048,9.1254,2.0,2033630.33,1909156.55,-0.061208,1
000572.SZ,000572,海马汽车,20251113,20251114,9.06,9.0645,10.9345,9.0,1909156.55,2299329.19,0.204369,1
002050.SZ,002050,三花智控,20251117,20251118,41.66,41.6808,42.1189,21.0,1149664.59,1159890.28,0.008894,1
300502.SZ,300502,新易盛,20251117,20251118,314.33,314.4872,316.7016,98.0,1149664.59,1155907.89,0.005431,1
000663.SZ,000663,永安林业,20251124,20251125,8.77,8.7744,9.985,43.0,1157899.08,1315549.19,0.136152,1
000566.SZ,000566,海南海药,20251124,20251126,8.05,8.054,8.6957,13.0,1157899.08,1248143.64,0.077938,2
300058.SZ,300058,蓝色光标,20251126,20251127,10.96,10.9655,10.5847,3.0,1315549.19,1267835.72,-0.036269,1
300058.SZ,300058,蓝色光标,20251127,20251128,10.79,10.7954,10.7246,7.0,624071.82,618989.58,-0.008144,1
600343.SH,600343,航天动力,20251127,20251128,21.64,21.6508,23.7881,12.0,624071.82,684580.87,0.096958,1
002264.SZ,002264,新华都,20251128,20251201,10.6,10.6053,9.3953,8.0,1267835.72,1121386.85,-0.115511,3
000070.SZ,000070,特发信息,20251201,20251202,13.49,13.4967,14.7326,6.0,651785.23,710330.61,0.089823,1
000063.SZ,000063,中兴通讯,20251201,20251202,42.45,42.4712,45.4773,66.0,651785.23,696800.9,0.069065,1
603778.SH,603778,国晟科技,20251202,20251203,13.0,13.0065,12.6337,6.0,1121386.85,1087501.01,-0.030218,1
000592.SZ,000592,平潭发展,20251204,20251205,10.9,10.9055,11.8641,2.0,831544.17,903191.9,0.086162,1
002413.SZ,002413,雷科防务,20251204,20251205,8.48,8.4842,8.7856,6.0,831544.17,859703.77,0.033864,1
002792.SZ,002792,通宇通讯,20251204,20251205,27.57,27.5838,29.4553,10.0,831544.17,886541.72,0.066139,1
000078.SZ,000078,海王生物,20251209,20251210,4.81,4.8124,4.8276,4.0,883145.8,884514.48,0.00155,1
002639.SZ,002639,雪人集团,20251209,20251210,16.58,16.5883,15.0025,7.0,883145.8,797441.92,-0.097044,1
600151.SH,600151,航天机电,20251209,20251210,13.15,13.1566,14.2729,9.0,883145.8,956544.87,0.083111,1
300456.SZ,300456,赛微电子,20251212,20251215,55.19,55.2176,65.2674,10.0,1319250.64,1556863.67,0.180112,3
002682.SZ,002682,龙洲股份,20251212,20251216,9.72,9.7249,10.7346,8.0,1319250.64,1453904.28,0.102068,4
000547.SZ,000547,航天发展,20251218,20251219,21.05,21.0605,22.2889,4.0,1505383.98,1590635.02,0.056631,1
002697.SZ,002697,红旗连锁,20251218,20251219,6.63,6.6333,6.9465,30.0,1505383.98,1573943.19,0.045543,1
000592.SZ,000592,平潭发展,20251222,20251223,13.51,13.5168,13.0835,1.0,1582289.1,1529116.66,-0.033605,1
300308.SZ,300308,中际旭创,20251222,20251223,590.01,590.305,620.6895,88.0,1582289.1,1661072.36,0.049791,1
002407.SZ,002407,多氟多,20251225,20251226,33.55,33.5668,36.9315,24.0,3190189.02,3504360.86,0.098481,1
300377.SZ,300377,赢时胜,20251229,20251230,23.49,23.5017,23.2983,56.0,3504360.86,3468474.96,-0.01024,1
603123.SH,603123,翠微股份,20251231,20260105,15.61,15.6178,15.1224,8.0,1156158.32,1117696.32,-0.033267,5
002149.SZ,002149,西部材料,20251231,20260105,43.71,43.7319,46.007,38.0,1156158.32,1214361.43,0.050342,5
600151.SH,600151,航天机电,20251231,20260106,17.41,17.4187,19.7001,23.0,1156158.32,1305496.31,0.129167,6
002766.SZ,002766,索菱股份,20260108,20260109,7.14,7.1436,6.7366,29.0,1212518.02,1141616.86,-0.058474,1
603667.SH,603667,五洲新春,20260108,20260109,75.61,75.6478,78.0709,36.0,1212518.02,1249355.66,0.030381,1
