股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
300450.SZ,300450,先导智能,20250915,20250916,55.79,55.8179,54.9725,10.0,333333.33,327759.7,-0.016721,1
300274.SZ,300274,阳光电源,20250915,20250916,138.0,138.069,140.2398,27.0,333333.33,338032.74,0.014098,1
002642.SZ,002642,荣联科技,20250915,20250916,10.53,10.5353,11.1544,34.0,333333.33,352358.75,0.057076,1
002642.SZ,002642,荣联科技,20250917,20250918,11.09,11.0955,10.015,28.0,509075.6,458763.59,-0.09883,1
300750.SZ,300750,宁德时代,20250917,20250918,356.8,356.9784,366.7066,76.0,509075.6,522112.14,0.025608,1
002617.SZ,002617,露笑科技,20250919,20250922,10.71,10.7154,9.925,10.0,326958.58,302359.07,-0.075237,3
002195.SZ,002195,岩山科技,20250919,20250922,8.36,8.3642,7.966,18.0,326958.58,310896.09,-0.049127,3
000988.SZ,000988,华工科技,20250919,20250922,88.3,88.3441,92.3038,84.0,326958.58,341066.78,0.04315,3
000981.SZ,000981,山子高科,20250924,20250925,4.11,4.1121,3.6382,1.0,477160.97,421497.46,-0.116656,1
600400.SH,600400,红豆股份,20250924,20250925,3.2,3.2016,3.6082,24.0,477160.97,536899.03,0.125195,1
300450.SZ,300450,先导智能,20250926,20250929,64.69,64.7223,63.1084,13.0,319465.5,311001.06,-0.026496,3
300111.SZ,300111,向日葵,20250926,20250929,8.65,8.6543,7.4963,27.0,319465.5,276273.74,-0.1352,3
002812.SZ,002812,恩捷股份,20250926,20250929,44.66,44.6823,45.7271,74.0,319465.5,326412.53,0.021746,3
000021.SZ,000021,深科技,20251015,20251016,29.5,29.5147,30.4248,18.0,304562.45,313450.86,0.029184,1
000063.SZ,000063,中兴通讯,20251015,20251016,51.03,51.0555,54.003,24.0,304562.45,321629.77,0.056039,1
601212.SH,601212,白银有色,20251015,20251020,5.53,5.5328,5.8771,8.0,304562.45,322997.4,0.060529,5
002156.SZ,002156,通富微电,20251017,20251020,41.18,41.2006,39.2504,7.0,317540.32,302025.71,-0.048859,3
002759.SZ,002759,天际股份,20251017,20251020,23.28,23.2916,23.5182,10.0,317540.32,320116.68,0.008114,3
002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.2639,4.0,472569.9,466400.94,-0.013054,1
002208.SZ,002208,合肥城建,20251021,20251022,12.75,12.7564,15.3823,6.0,472569.9,568938.05,0.203924,1
600172.SH,600172,黄河旋风,20251024,20251027,7.53,7.5338,7.0065,1.0,345113.0,320445.99,-0.071475,3
300475.SZ,300475,香农芯创,20251024,20251027,116.0,116.058,133.5932,84.0,345113.0,396620.6,0.149249,3
601608.SH,601608,中信重工,20251024,20251028,7.13,7.1336,7.7461,11.0,345113.0,374148.47,0.084133,4
601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.931,6.0,363738.35,362096.96,-0.004513,1
000981.SZ,000981,山子高科,20251029,20251030,4.14,4.1421,4.1979,31.0,363738.35,368051.45,0.011858,1
000063.SZ,000063,中兴通讯,20251029,20251030,45.45,45.4727,44.8076,49.0,363738.35,357844.57,-0.016203,1
002709.SZ,002709,天赐材料,20251031,20251103,41.77,41.7909,40.2898,10.0,362664.33,349078.94,-0.03746,3
300274.SZ,300274,阳光电源,20251031,20251103,195.59,195.6878,199.3703,12.0,362664.33,368897.97,0.017188,3
000620.SZ,000620,盈新发展,20251031,20251106,2.76,2.7614,3.3783,20.0,362664.33,442978.8,0.221457,6
600089.SH,600089,特变电工,20251107,20251110,25.5,25.5127,26.3368,2.0,386985.24,398846.08,0.030649,3
002639.SZ,002639,雪人集团,20251107,20251110,13.2,13.2066,14.9925,5.0,386985.24,438613.72,0.133412,3
300475.SZ,300475,香农芯创,20251107,20251110,157.16,157.2386,195.7221,19.0,386985.24,480927.84,0.242755,3
002050.SZ,002050,三花智控,20251117,20251118,41.66,41.6808,42.1189,21.0,659193.82,665057.01,0.008894,1
300502.SZ,300502,新易盛,20251117,20251118,314.33,314.4872,316.7016,98.0,659193.82,662773.6,0.005431,1
000663.SZ,000663,永安林业,20251124,20251125,8.77,8.7744,9.985,43.0,663915.31,754308.6,0.136152,1
000566.SZ,000566,海南海药,20251124,20251126,8.05,8.054,8.6957,13.0,663915.31,715659.66,0.077938,2
300058.SZ,300058,蓝色光标,20251127,20251128,10.79,10.7954,10.7246,7.0,489989.42,485999.1,-0.008144,1
600343.SH,600343,航天动力,20251127,20251128,21.64,21.6508,23.7881,12.0,489989.42,537498.05,0.096958,1
603778.SH,603778,国晟科技,20251127,20251202,10.19,10.1951,13.1034,18.0,489989.42,628761.15,0.283214,5
000070.SZ,000070,特发信息,20251201,20251202,13.49,13.4967,14.7326,6.0,511748.58,557715.43,0.089823,1
000063.SZ,000063,中兴通讯,20251201,20251202,42.45,42.4712,45.4773,66.0,511748.58,547092.59,0.069065,1
000592.SZ,000592,平潭发展,20251204,20251205,10.9,10.9055,11.8641,2.0,577856.39,627645.8,0.086162,1
002413.SZ,002413,雷科防务,20251204,20251205,8.48,8.4842,8.7856,6.0,577856.39,597425.05,0.033864,1
002792.SZ,002792,通宇通讯,20251204,20251205,27.57,27.5838,29.4553,10.0,577856.39,616075.27,0.066139,1
000078.SZ,000078,海王生物,20251209,20251210,4.81,4.8124,4.8276,4.0,613715.38,614666.5,0.00155,1
002639.SZ,002639,雪人集团,20251209,20251210,16.58,16.5883,15.0025,7.0,613715.38,554158.06,-0.097044,1
600151.SH,600151,航天机电,20251209,20251210,13.15,13.1566,14.2729,9.0,613715.38,664721.84,0.083111,1
300456.SZ,300456,赛微电子,20251212,20251215,55.19,55.2176,65.2674,10.0,916773.2,1081895.17,0.180112,3
002682.SZ,002682,龙洲股份,20251212,20251216,9.72,9.7249,10.7346,8.0,916773.2,1010346.66,0.102068,4
000547.SZ,000547,航天发展,20251218,20251219,21.05,21.0605,22.2889,4.0,1046120.92,1105363.54,0.056631,1
002697.SZ,002697,红旗连锁,20251218,20251219,6.63,6.6333,6.9465,30.0,1046120.92,1093764.06,0.045543,1
000592.SZ,000592,平潭发展,20251222,20251223,13.51,13.5168,13.0835,1.0,1099563.8,1062613.23,-0.033605,1
300308.SZ,300308,中际旭创,20251222,20251223,590.01,590.305,620.6895,88.0,1099563.8,1154311.83,0.049791,1
603123.SH,603123,翠微股份,20251231,20260105,15.61,15.6178,15.1224,8.0,738975.02,714391.49,-0.033267,5
002149.SZ,002149,西部材料,20251231,20260105,43.71,43.7319,46.007,38.0,738975.02,776176.36,0.050342,5
600151.SH,600151,航天机电,20251231,20260106,17.41,17.4187,19.7001,23.0,738975.02,834426.52,0.129167,6
002766.SZ,002766,索菱股份,20260108,20260109,7.14,7.1436,6.7366,29.0,774998.12,729680.64,-0.058474,1
603667.SH,603667,五洲新春,20260108,20260109,75.61,75.6478,78.0709,36.0,774998.12,798543.42,0.030381,1
002163.SZ,002163,海南发展,20260108,20260109,20.8,20.8104,19.92,52.0,774998.12,740653.54,-0.044316,1
600151.SH,600151,航天机电,20260112,20260113,21.2,21.2106,20.4997,27.0,756292.53,729776.88,-0.03506,1
002324.SZ,002324,普利特,20260112,20260113,22.8,22.8114,21.4992,29.0,756292.53,711649.03,-0.059029,1
300065.SZ,300065,海兰信,20260112,20260113,24.25,24.2621,24.1079,77.0,756292.53,750284.3,-0.007944,1
300058.SZ,300058,蓝色光标,20260114,20260115,20.12,20.1301,18.4008,3.0,730570.07,666742.55,-0.087367,1
002519.SZ,002519,银河电子,20260114,20260115,10.39,10.3952,10.3048,17.0,730570.07,723061.9,-0.010277,1
000559.SZ,000559,万向钱潮,20260114,20260115,18.96,18.9695,17.981,24.0,730570.07,691393.34,-0.053625,1
300058.SZ,300058,蓝色光标,20260116,20260119,17.5,17.5087,16.9015,3.0,693732.6,668602.73,-0.036224,3
002400.SZ,002400,省广集团,20260116,20260119,12.43,12.4362,10.5947,11.0,693732.6,590061.56,-0.149439,3
600589.SH,600589,大位科技,20260116,20260119,10.0,10.005,9.5652,43.0,693732.6,662177.66,-0.045486,3
000547.SZ,000547,航天发展,20260120,20260121,29.0,29.0145,25.8671,5.0,640280.65,569911.13,-0.109904,1
002119.SZ,002119,康强电子,20260120,20260121,23.07,23.0815,24.8676,17.0,640280.65,688721.51,0.075656,1
002716.SZ,002716,湖南白银,20260120,20260123,11.5,11.5057,16.4318,54.0,640280.65,912945.47,0.425852,3
300136.SZ,300136,信维通信,20260122,20260123,73.05,73.0865,93.4533,20.0,629316.32,803398.23,0.276621,1
002498.SZ,002498,汉缆股份,20260122,20260123,5.4,5.4027,5.937,32.0,629316.32,690449.89,0.097143,1
