日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,1000000.0,0.0,1000000.0,0,1.0,1.0,0.0
20250911,1000000.0,0.0,1000000.0,0,1.0,1.0,0.0
20250912,1000000.0,0.0,1000000.0,0,1.0,1.0,0.0
20250915,0.0,1015039.87,1015039.87,3,1.01503987,1.01503987,0.0
20250916,1018151.19,0.0,1018151.19,0,1.01815119,1.01815119,0.0
20250917,0.0,1021509.32,1021509.32,2,1.02150932,1.02150932,0.0
20250918,980875.73,0.0,980875.73,0,0.98087573,1.02150932,-0.03977799243182634
20250919,0.0,957496.56,957496.56,3,0.95749656,1.02150932,-0.06266488102134982
20250922,954321.94,0.0,954321.94,0,0.9543219399999999,1.02150932,-0.06577265491811679
20250923,954321.94,0.0,954321.94,0,0.9543219399999999,1.02150932,-0.06577265491811679
20250924,0.0,1013783.54,1013783.54,2,1.01378354,1.02150932,-0.007563102801646626
20250925,958396.49,0.0,958396.49,0,0.95839649,1.02150932,-0.06178390031722858
20250926,0.0,929101.69,929101.69,3,0.92910169,1.02150932,-0.0904618569706247
20250929,913687.34,0.0,913687.34,0,0.91368734,1.02150932,-0.10555163608296803
20250930,913687.34,0.0,913687.34,0,0.91368734,1.02150932,-0.10555163608296803
20251009,913687.34,0.0,913687.34,0,0.91368734,1.02150932,-0.10555163608296803
20251010,913687.34,0.0,913687.34,0,0.91368734,1.02150932,-0.10555163608296803
20251013,913687.34,0.0,913687.34,0,0.91368734,1.02150932,-0.10555163608296803
20251014,913687.34,0.0,913687.34,0,0.91368734,1.02150932,-0.10555163608296803
20251015,-0.0,902045.84,902045.84,3,0.90204584,1.02150932,-0.11694800787524884
20251016,635080.63,326881.47,961962.1,1,0.9619620999999999,1.02150932,-0.05829336926656736
20251017,0.0,987347.29,987347.29,3,0.98734729,1.02150932,-0.0334427002584764
20251020,945139.8,0.0,945139.8,0,0.9451398000000001,1.02150932,-0.07476145200515638
20251021,0.0,1028433.45,1028433.45,2,1.0284334499999999,1.0284334499999999,0.0
20251022,1035338.99,0.0,1035338.99,0,1.03533899,1.03533899,0.0
20251023,1035338.99,0.0,1035338.99,0,1.03533899,1.03533899,0.0
20251024,0.0,1030711.49,1030711.49,3,1.03071149,1.03533899,-0.004469550596177152
20251027,717066.59,366117.34,1083183.94,1,1.0831839399999998,1.0831839399999998,0.0
20251028,1091215.06,0.0,1091215.06,0,1.0912150600000001,1.0912150600000001,0.0
20251029,0.0,1122854.9,1122854.9,3,1.1228548999999999,1.1228548999999999,0.0
20251030,1087992.99,0.0,1087992.99,0,1.08799299,1.1228548999999999,-0.031047564560656826
20251031,0.0,1023149.84,1023149.84,3,1.0231498399999999,1.1228548999999999,-0.08879603232795263
20251103,717976.92,358435.52,1076412.44,1,1.07641244,1.1228548999999999,-0.04136105208250862
