日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,1000000.0,0.0,1000000.0,0,1.0,1.0,0.0
20250911,0.0,1070186.16,1070186.16,1,1.07018616,1.07018616,0.0
20250912,1146050.22,0.0,1146050.22,0,1.14605022,1.14605022,0.0
20250915,1146050.22,0.0,1146050.22,0,1.14605022,1.14605022,0.0
20250916,0.0,1167949.17,1167949.17,3,1.16794917,1.16794917,0.0
20250917,1135853.91,0.0,1135853.91,0,1.13585391,1.16794917,-0.027480014391379703
20250918,1135853.91,0.0,1135853.91,0,1.13585391,1.16794917,-0.027480014391379703
20250919,1135853.91,0.0,1135853.91,0,1.13585391,1.16794917,-0.027480014391379703
20250922,1135853.91,0.0,1135853.91,0,1.13585391,1.16794917,-0.027480014391379703
20250923,1135853.91,0.0,1135853.91,0,1.13585391,1.16794917,-0.027480014391379703
20250924,0.0,1206626.35,1206626.35,2,1.20662635,1.20662635,0.0
20250925,1140703.53,0.0,1140703.53,0,1.1407035300000001,1.20662635,-0.0546339966800824
20250926,1140703.53,0.0,1140703.53,0,1.1407035300000001,1.20662635,-0.0546339966800824
20250929,1140703.53,0.0,1140703.53,0,1.1407035300000001,1.20662635,-0.0546339966800824
20250930,1140703.53,0.0,1140703.53,0,1.1407035300000001,1.20662635,-0.0546339966800824
20251009,1140703.53,0.0,1140703.53,0,1.1407035300000001,1.20662635,-0.0546339966800824
20251010,1140703.53,0.0,1140703.53,0,1.1407035300000001,1.20662635,-0.0546339966800824
20251013,1140703.53,0.0,1140703.53,0,1.1407035300000001,1.20662635,-0.0546339966800824
20251014,1140703.53,0.0,1140703.53,0,1.1407035300000001,1.20662635,-0.0546339966800824
20251015,0.0,1126169.57,1126169.57,3,1.12616957,1.20662635,-0.0666791173589073
20251016,792873.76,408098.96,1200972.72,1,1.20097272,1.20662635,-0.004685485278852153
20251017,792873.76,448634.04,1241507.8,1,1.2415078,1.2415078,0.0
20251020,1196123.61,0.0,1196123.61,0,1.1961236100000001,1.2415078,-0.03655570267057506
20251021,0.0,1301536.06,1301536.06,2,1.30153606,1.30153606,0.0
20251022,1310275.38,0.0,1310275.38,0,1.31027538,1.31027538,0.0
20251023,0.0,1253218.06,1253218.06,1,1.25321806,1.31027538,-0.04354605212837015
20251024,1250089.5,0.0,1250089.5,0,1.2500895,1.31027538,-0.045933763938997285
20251027,0.0,1339138.14,1339138.14,2,1.33913814,1.33913814,0.0
20251028,1341326.69,0.0,1341326.69,0,1.34132669,1.34132669,0.0
20251029,0.0,1380218.52,1380218.52,3,1.3802185200000001,1.3802185200000001,0.0
20251030,1337366.1,0.0,1337366.1,0,1.3373661000000001,1.3802185200000001,-0.031047561946929925
20251031,0.0,1257660.6,1257660.6,3,1.2576606000000001,1.3802185200000001,-0.08879602629879213
20251103,882540.6,440590.63,1323131.23,1,1.32313123,1.3802185200000001,-0.041361052016604005
20251104,882540.6,484165.53,1366706.13,1,1.3667061299999999,1.3802185200000001,-0.00979003672548917
20251105,0.0,1388646.56,1388646.56,2,1.38864656,1.38864656,0.0
20251106,1400643.51,0.0,1400643.51,0,1.40064351,1.40064351,0.0
20251107,0.0,1482791.43,1482791.43,3,1.48279143,1.48279143,0.0
20251110,1590578.39,0.0,1590578.39,0,1.59057839,1.59057839,0.0
20251111,0.0,1630268.22,1630268.22,1,1.63026822,1.63026822,0.0
20251112,1493222.79,0.0,1493222.79,0,1.4932227900000001,1.63026822,-0.08406311815364953
20251113,0.0,1653418.38,1653418.38,1,1.65341838,1.65341838,0.0
20251114,1798391.41,0.0,1798391.41,0,1.79839141,1.79839141,0.0
20251117,0.0,1793533.73,1793533.73,2,1.79353373,1.79839141,-0.0027011250014811194
20251118,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
20251119,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
20251120,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
20251121,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
20251124,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
20251125,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
20251126,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
20251127,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
20251128,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
20251201,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
20251202,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
20251203,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
20251204,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
20251205,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
20251208,1811272.42,0.0,1811272.42,0,1.8112724199999999,1.8112724199999999,0.0
