股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
600050.SH,600050,中国联通,20250910,20250911,5.55,5.5528,5.7671,87.0,1000000.0,1036939.26,0.036939,1
600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.2564,7.0,1036939.26,1501725.03,0.448229,7
002050.SZ,002050,三花智控,20250922,20250923,41.87,41.8909,45.0075,5.0,750862.52,805433.88,0.072678,1
600162.SH,600162,香江控股,20250922,20250923,2.7,2.7014,2.4288,28.0,750862.52,674020.99,-0.102338,1
000981.SZ,000981,山子高科,20250924,20250925,4.11,4.1121,3.6382,1.0,739727.44,653434.07,-0.116656,1
600400.SH,600400,红豆股份,20250924,20250925,3.2,3.2016,3.6082,24.0,739727.44,832337.45,0.125195,1
300450.SZ,300450,先导智能,20250926,20250929,64.69,64.7223,63.1084,13.0,495257.17,482135.03,-0.026496,3
300111.SZ,300111,向日葵,20250926,20250929,8.65,8.6543,7.4963,27.0,495257.17,428298.37,-0.1352,3
002812.SZ,002812,恩捷股份,20250926,20250929,44.66,44.6823,45.7271,74.0,495257.17,506026.94,0.021746,3
000021.SZ,000021,深科技,20251015,20251016,29.5,29.5147,30.4248,18.0,472153.45,485932.88,0.029184,1
000063.SZ,000063,中兴通讯,20251015,20251016,51.03,51.0555,54.003,24.0,472153.45,498612.37,0.056039,1
601212.SH,601212,白银有色,20251015,20251020,5.53,5.5328,5.8771,8.0,472153.45,500732.58,0.060529,5
002156.SZ,002156,通富微电,20251017,20251020,41.18,41.2006,39.2504,7.0,492272.62,468220.83,-0.048859,3
002759.SZ,002759,天际股份,20251017,20251020,23.28,23.2916,23.5182,10.0,492272.62,496266.69,0.008114,3
002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.2639,4.0,732610.05,723046.51,-0.013054,1
002208.SZ,002208,合肥城建,20251021,20251022,12.75,12.7564,15.3823,6.0,732610.05,882006.51,0.203924,1
002208.SZ,002208,合肥城建,20251023,20251024,14.96,14.9675,14.3028,5.0,1605053.02,1531326.9,-0.045934,1
002050.SZ,002050,三花智控,20251028,20251029,49.0,49.0245,52.9635,4.0,1531326.9,1651719.27,0.07862,1
002512.SZ,002512,达华智能,20251030,20251031,4.94,4.9425,4.6177,12.0,550573.09,513571.0,-0.067206,1
000620.SZ,000620,盈新发展,20251030,20251031,3.1,3.1016,2.4788,15.0,550573.09,439314.42,-0.202078,1
000599.SZ,000599,青岛双星,20251030,20251031,6.82,6.8234,6.4668,24.0,550573.09,520961.19,-0.053784,1
603686.SH,603686,福龙马,20251104,20251105,30.0,30.015,34.2828,1.0,1473846.61,1680721.05,0.140364,1
603686.SH,603686,福龙马,20251106,20251107,34.0,34.017,31.8841,2.0,840360.53,786407.95,-0.064202,1
600745.SH,600745,闻泰科技,20251106,20251107,41.4,41.4207,44.9775,47.0,840360.53,911062.78,0.084133,1
603516.SH,603516,淳中科技,20251110,20251111,230.0,230.115,202.5887,63.0,1697470.73,1492029.01,-0.121028,1
000572.SZ,000572,海马汽车,20251113,20251114,9.06,9.0645,10.9345,9.0,1492029.01,1796953.66,0.204369,1
002050.SZ,002050,三花智控,20251117,20251118,41.66,41.6808,42.1189,21.0,898476.83,906468.33,0.008894,1
300502.SZ,300502,新易盛,20251117,20251118,314.33,314.4872,316.7016,98.0,898476.83,903356.04,0.005431,1
300274.SZ,300274,阳光电源,20251121,20251124,170.02,170.105,167.3363,61.0,1809824.37,1777518.97,-0.01785,3
300058.SZ,300058,蓝色光标,20251126,20251127,10.96,10.9655,10.5847,3.0,1777518.97,1713050.39,-0.036269,1
000070.SZ,000070,特发信息,20251201,20251202,13.49,13.4967,14.7326,6.0,856525.19,933460.97,0.089823,1
000063.SZ,000063,中兴通讯,20251201,20251202,42.45,42.4712,45.4773,66.0,856525.19,915681.27,0.069065,1
300638.SZ,300638,广和通,20251203,20251204,33.88,33.8969,29.8651,21.0,1849142.24,1626589.62,-0.120355,1
300502.SZ,300502,新易盛,20251208,20251209,375.12,375.3076,418.9204,77.0,1626589.62,1812704.49,0.11442,1
002565.SZ,002565,顺灏股份,20251210,20251211,13.7,13.7068,14.4928,11.0,906352.25,956786.27,0.055645,1
600973.SH,600973,宝胜股份,20251210,20251211,6.37,6.3732,6.4368,47.0,906352.25,913932.11,0.008363,1
300456.SZ,300456,赛微电子,20251212,20251215,55.19,55.2176,65.2674,10.0,935359.19,1103828.73,0.180112,3
002682.SZ,002682,龙洲股份,20251212,20251216,9.72,9.7249,10.7346,8.0,935359.19,1030829.7,0.102068,4
600343.SH,600343,航天动力,20251216,20251217,36.8,36.8184,36.1819,9.0,551914.36,541505.58,-0.018859,1
002149.SZ,002149,西部材料,20251216,20251217,28.8,28.8144,31.1544,11.0,551914.36,595780.79,0.07948,1
002413.SZ,002413,雷科防务,20251217,20251218,9.26,9.2646,9.1654,11.0,1030829.7,1018159.36,-0.012291,1
001208.SZ,001208,华菱线缆,20251219,20251222,21.41,21.4207,21.0195,15.0,718481.91,703896.7,-0.0203,3
002491.SZ,002491,通鼎互联,20251219,20251222,6.35,6.3532,6.9465,39.0,718481.91,784327.43,0.091645,3
300308.SZ,300308,中际旭创,20251219,20251222,583.34,583.6317,617.1913,71.0,718481.91,758580.25,0.05581,3
000572.SZ,000572,海马汽车,20251224,20251225,9.0,9.0045,8.6957,18.0,748934.79,722089.84,-0.035844,1
002792.SZ,002792,通宇通讯,20251224,20251229,30.88,30.8954,42.4588,21.0,748934.79,1027594.35,0.372075,5
600118.SH,600118,中国卫星,20251224,20251230,58.34,58.3692,86.2768,11.0,748934.79,1105247.4,0.475759,6
300377.SZ,300377,赢时胜,20251229,20251230,23.49,23.5017,23.2983,56.0,722089.84,714695.39,-0.01024,1
600693.SH,600693,东百集团,20251230,20251231,18.29,18.2991,17.8111,4.0,1027594.35,998587.65,-0.028228,1
603123.SH,603123,翠微股份,20251231,20260105,15.61,15.6178,15.1224,8.0,909971.39,879699.31,-0.033267,5
600151.SH,600151,航天机电,20251231,20260106,17.41,17.4187,19.7001,23.0,909971.39,1027510.05,0.129167,6
002009.SZ,002009,天奇股份,20260105,20260106,23.18,23.1916,20.8995,16.0,998587.65,898456.96,-0.100272,1
002565.SZ,002565,顺灏股份,20260106,20260107,17.76,17.7689,19.4503,11.0,879699.31,961401.09,0.092875,1
002766.SZ,002766,索菱股份,20260108,20260109,7.14,7.1436,6.7366,29.0,962456.04,906177.08,-0.058474,1
603667.SH,603667,五洲新春,20260108,20260109,75.61,75.6478,78.0709,36.0,962456.04,991696.51,0.030381,1
002163.SZ,002163,海南发展,20260108,20260109,20.8,20.8104,19.92,52.0,962456.04,919804.12,-0.044316,1
002757.SZ,002757,南兴股份,20260113,20260114,27.31,27.3237,26.4068,26.0,2817677.71,2718772.8,-0.035102,1
300058.SZ,300058,蓝色光标,20260116,20260119,17.5,17.5087,16.9015,3.0,906257.6,873429.2,-0.036224,3
002400.SZ,002400,省广集团,20260116,20260119,12.43,12.4362,10.5947,11.0,906257.6,770826.94,-0.149439,3
600589.SH,600589,大位科技,20260116,20260119,10.0,10.005,9.5652,43.0,906257.6,865035.81,-0.045486,3
002465.SZ,002465,海格通信,20260121,20260122,17.52,17.5288,18.2809,1.0,836430.65,870923.54,0.041238,1
600550.SH,600550,保变电气,20260121,20260122,15.5,15.5077,14.7826,9.0,836430.65,796043.68,-0.048285,1
600118.SH,600118,中国卫星,20260121,20260122,98.05,98.099,98.9505,21.0,836430.65,842341.16,0.007066,1
