日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,0.0,1037008.08,1037008.08,1,1.0370080799999999,1.0370080799999999,0.0
20250911,1036939.26,0.0,1036939.26,0,1.03693926,1.0370080799999999,-6.636399592940823e-05
20250912,0.0,1141793.46,1141793.46,1,1.14179346,1.14179346,0.0
20250915,0.0,1255765.58,1255765.58,1,1.25576558,1.25576558,0.0
20250916,0.0,1382171.02,1382171.02,1,1.38217102,1.38217102,0.0
20250917,0.0,1521009.79,1521009.79,1,1.5210097900000001,1.5210097900000001,0.0
20250918,0.0,1672281.88,1672281.88,1,1.6722818799999999,1.6722818799999999,0.0
20250919,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250922,0.0,1520235.12,1520235.12,2,1.5202351200000002,1.6722818799999999,-0.09092172905682605
20250923,1479454.87,0.0,1479454.87,0,1.47945487,1.6722818799999999,-0.11530771953350338
20250924,0.0,1571636.29,1571636.29,2,1.57163629,1.6722818799999999,-0.060184584431423604
20250925,1485771.52,0.0,1485771.52,0,1.4857715200000001,1.6722818799999999,-0.11153045561912078
20250926,0.0,1440356.72,1440356.72,3,1.44035672,1.6722818799999999,-0.13868783891863967
20250929,1416460.34,0.0,1416460.34,0,1.41646034,1.6722818799999999,-0.15297752314340685
20250930,1416460.34,0.0,1416460.34,0,1.41646034,1.6722818799999999,-0.15297752314340685
20251009,1416460.34,0.0,1416460.34,0,1.41646034,1.6722818799999999,-0.15297752314340685
20251010,1416460.34,0.0,1416460.34,0,1.41646034,1.6722818799999999,-0.15297752314340685
20251013,1416460.34,0.0,1416460.34,0,1.41646034,1.6722818799999999,-0.15297752314340685
20251014,1416460.34,0.0,1416460.34,0,1.41646034,1.6722818799999999,-0.15297752314340685
20251015,0.0,1398412.9,1398412.9,3,1.3984128999999998,1.6722818799999999,-0.16376962716357368
20251016,984545.25,506753.92,1491299.17,1,1.49129917,1.6722818799999999,-0.10822500211507402
20251017,0.0,1530653.01,1530653.01,3,1.53065301,1.6722818799999999,-0.08469198386578225
20251020,1465220.09,0.0,1465220.09,0,1.46522009,1.6722818799999999,-0.1238199088780414
20251021,0.0,1594347.57,1594347.57,2,1.59434757,1.6722818799999999,-0.04660357259865777
20251022,1605053.02,0.0,1605053.02,0,1.60505302,1.6722818799999999,-0.04020187075159842
20251023,0.0,1535159.29,1535159.29,1,1.53515929,1.6722818799999999,-0.08199729461877558
20251024,1531326.9,0.0,1531326.9,0,1.5313268999999998,1.6722818799999999,-0.08428900754458934
20251027,1531326.9,0.0,1531326.9,0,1.5313268999999998,1.6722818799999999,-0.08428900754458934
20251028,0.0,1642830.55,1642830.55,1,1.64283055,1.6722818799999999,-0.017611462727802785
20251029,1651719.27,0.0,1651719.27,0,1.65171927,1.6722818799999999,-0.012296138734696926
20251030,0.0,1637725.54,1637725.54,3,1.6377255400000001,1.6722818799999999,-0.020664183720031537
20251031,1473846.61,0.0,1473846.61,0,1.47384661,1.6722818799999999,-0.11866137663346554
20251103,1473846.61,0.0,1473846.61,0,1.47384661,1.6722818799999999,-0.11866137663346554
20251104,0.0,1643006.89,1643006.89,1,1.6430068899999999,1.6722818799999999,-0.017506013998070724
20251105,1680721.05,0.0,1680721.05,0,1.68072105,1.68072105,0.0
20251106,0.0,1594369.26,1594369.26,2,1.59436926,1.68072105,-0.05137782382150813
20251107,1697470.73,0.0,1697470.73,0,1.69747073,1.69747073,0.0
20251110,0.0,1579450.47,1579450.47,1,1.57945047,1.69747073,-0.06952712521882487
20251111,1492029.01,0.0,1492029.01,0,1.49202901,1.69747073,-0.12102813696233805
20251112,1492029.01,0.0,1492029.01,0,1.49202901,1.69747073,-0.12102813696233805
20251113,0.0,1652096.54,1652096.54,1,1.65209654,1.69747073,-0.02673046975013227
20251114,1796953.66,0.0,1796953.66,0,1.79695366,1.79695366,0.0
20251117,0.0,1792099.87,1792099.87,2,1.7920998700000002,1.79695366,-0.0027011214078830337
20251118,1809824.37,0.0,1809824.37,0,1.80982437,1.80982437,0.0
20251119,1809824.37,0.0,1809824.37,0,1.80982437,1.80982437,0.0
20251120,1809824.37,0.0,1809824.37,0,1.80982437,1.80982437,0.0
20251121,0.0,1785722.16,1785722.16,1,1.78572216,1.80982437,-0.013317430353753101
20251124,1777518.97,0.0,1777518.97,0,1.77751897,1.80982437,-0.01785001933640673
20251125,1777518.97,0.0,1777518.97,0,1.77751897,1.80982437,-0.01785001933640673
20251126,0.0,1771236.25,1771236.25,1,1.77123625,1.80982437,-0.021321472204510084
20251127,1713050.39,0.0,1713050.39,0,1.7130503899999998,1.80982437,-0.05347147579850542
20251128,1713050.39,0.0,1713050.39,0,1.7130503899999998,1.80982437,-0.05347147579850542
20251201,0.0,1833710.98,1833710.98,2,1.83371098,1.83371098,0.0
20251202,1849142.24,0.0,1849142.24,0,1.84914224,1.84914224,0.0
20251203,0.0,1742955.61,1742955.61,1,1.74295561,1.84914224,-0.05742480362138058
20251204,1626589.62,0.0,1626589.62,0,1.62658962,1.84914224,-0.12035451637295347
20251205,1626589.62,0.0,1626589.62,0,1.62658962,1.84914224,-0.12035451637295347
20251208,0.0,1752671.05,1752671.05,1,1.75267105,1.84914224,-0.05217077838208917
20251209,1812704.49,0.0,1812704.49,0,1.81270449,1.84914224,-0.01970521748505405
20251210,0.0,1797472.96,1797472.96,2,1.79747296,1.84914224,-0.027942296099406683
20251211,1870718.39,0.0,1870718.39,0,1.87071839,1.87071839,0.0
20251212,0.0,2098787.96,2098787.96,2,2.09878796,2.09878796,0.0
20251215,1103828.73,1147110.45,2250939.18,1,2.25093918,2.25093918,0.0
20251216,1030829.7,1160499.55,2191329.25,2,2.19132925,2.25093918,-0.02648224817873579
20251217,1137286.37,1017770.05,2155056.42,1,2.1550564199999998,2.25093918,-0.04259677953626462
20251218,2155445.73,0.0,2155445.73,0,2.15544573,2.25093918,-0.04242382506310105
20251219,-0.0,2222925.32,2222925.32,3,2.22292532,2.25093918,-0.012445409564553533
20251222,2246804.38,0.0,2246804.38,0,2.24680438,2.25093918,-0.0018369221330982732
20251223,2246804.38,0.0,2246804.38,0,2.24680438,2.25093918,-0.0018369221330982732
20251224,-0.0,2435955.29,2435955.29,3,2.43595529,2.43595529,0.0
20251225,722089.84,1858160.59,2580250.43,2,2.58025043,2.58025043,0.0
20251226,722089.84,2043986.63,2766076.48,2,2.76607648,2.76607648,0.0
20251229,1027594.35,1857980.78,2885575.13,2,2.88557513,2.88557513,0.0
20251230,1819942.78,1000387.7,2820330.48,1,2.82033048,2.88557513,-0.022610622513924983
20251231,998587.65,1895696.3,2894283.95,2,2.89428395,2.89428395,0.0
20260105,879699.31,1964507.44,2844206.75,2,2.84420675,2.89428395,-0.017302103340620767
20260106,1925967.01,912651.23,2838618.24,1,2.83861824,2.89428395,-0.01923298161536635
20260107,2887368.11,0.0,2887368.11,0,2.8873681099999997,2.89428395,-0.0023894822068167842
20260108,-0.0,2867747.95,2867747.95,3,2.86774795,2.89428395,-0.009168416250243894
20260109,2817677.71,0.0,2817677.71,0,2.81767771,2.89428395,-0.026468114850998092
20260112,2817677.71,0.0,2817677.71,0,2.81767771,2.89428395,-0.026468114850998092
20260113,0.0,2578314.83,2578314.83,1,2.57831483,2.89428395,-0.1091700487783861
20260114,2718772.8,0.0,2718772.8,0,2.7187728,2.89428395,-0.06064061198971171
20260115,2718772.8,0.0,2718772.8,0,2.7187728,2.89428395,-0.06064061198971171
20260116,-0.0,2553283.66,2553283.66,3,2.55328366,2.89428395,-0.1178185333197872
20260119,2509291.95,0.0,2509291.95,0,2.50929195,2.89428395,-0.13301804752087298
20260120,2509291.95,0.0,2509291.95,0,2.50929195,2.89428395,-0.13301804752087298
20260121,0.0,2491670.42,2491670.42,3,2.4916704199999997,2.89428395,-0.1391064377080211
20260122,2509308.38,0.0,2509308.38,0,2.50930838,2.89428395,-0.13301237081454997
20260123,0.0,2500483.57,2500483.57,2,2.5004835699999997,2.89428395,-0.1360614185764325
20260126,2451902.02,0.0,2451902.02,0,2.45190202,2.89428395,-0.1528467619771724
20260127,2451902.02,0.0,2451902.02,0,2.45190202,2.89428395,-0.1528467619771724
20260128,0.0,2646444.14,2646444.14,1,2.6464441400000003,2.89428395,-0.08563078615696984
20260129,0.0,2912673.25,2912673.25,1,2.91267325,2.91267325,0.0
20260130,2616372.73,0.0,2616372.73,0,2.61637273,2.91267325,-0.10172803283032172
20260202,0.0,2608574.75,2608574.75,3,2.60857475,2.91267325,-0.10440529159939249
20260203,1764703.33,1011091.34,2775794.67,1,2.77579467,2.91267325,-0.04699414189353379
20260204,2734049.55,0.0,2734049.55,0,2.73404955,2.91267325,-0.06132637775280836
20260205,0.0,2768706.8,2768706.8,3,2.7687068,2.91267325,-0.049427600572772845
20260206,2587084.58,0.0,2587084.58,0,2.58708458,2.91267325,-0.1117834518513191
20260209,0.0,2551698.67,2551698.67,3,2.55169867,2.91267325,-0.12393239784105547
20260210,2476749.01,0.0,2476749.01,0,2.47674901,2.91267325,-0.1496646559994329
20260211,2476749.01,0.0,2476749.01,0,2.47674901,2.91267325,-0.1496646559994329
20260212,0.0,2417998.53,2417998.53,2,2.4179985299999998,2.91267325,-0.16983529477602755
20260213,1201744.92,1312683.92,2514428.84,1,2.51442884,2.91267325,-0.1367281448408263
20260224,0.0,2631242.15,2631242.15,3,2.63124215,2.91267325,-0.09662295624818207
20260225,2067409.36,647887.36,2715296.71,1,2.71529671,2.91267325,-0.06776473811471984
20260226,632487.93,1998953.41,2631441.34,2,2.63144134,2.91267325,-0.096554568899893
20260227,2003519.29,647986.99,2651506.28,1,2.65150628,2.91267325,-0.08966572889698499
20260302,0.0,2831901.16,2831901.16,3,2.83190116,2.91267325,-0.027731256844549912
20260303,2617706.15,0.0,2617706.15,0,2.61770615,2.91267325,-0.10127023345306585
20260304,-0.0,2801871.65,2801871.65,3,2.80187165,2.91267325,-0.03804120493089991
20260305,2777206.11,0.0,2777206.11,0,2.77720611,2.91267325,-0.04650955612683305
20260306,0.0,2757289.78,2757289.78,3,2.75728978,2.91267325,-0.05334737427207126
20260309,2751501.14,0.0,2751501.14,0,2.7515011400000002,2.91267325,-0.05533477193159231
20260310,2751501.14,0.0,2751501.14,0,2.7515011400000002,2.91267325,-0.05533477193159231
20260311,0.0,2682724.92,2682724.92,1,2.68272492,2.91267325,-0.07894752011747286
20260312,2845549.56,0.0,2845549.56,0,2.8455495600000003,2.91267325,-0.02304538966051195
20260313,0.0,2829946.41,2829946.41,2,2.8299464100000002,2.91267325,-0.02840237572134119
20260316,2948884.38,0.0,2948884.38,0,2.94888438,2.94888438,0.0
20260317,0.0,3046344.59,3046344.59,3,3.04634459,3.04634459,0.0
20260318,3060087.26,0.0,3060087.26,0,3.06008726,3.06008726,0.0
20260319,0.0,2771620.66,2771620.66,3,2.77162066,3.06008726,-0.09426744255652375
20260320,2502074.02,0.0,2502074.02,0,2.5020740200000002,3.06008726,-0.18235206796031034
20260323,2502074.02,0.0,2502074.02,0,2.5020740200000002,3.06008726,-0.18235206796031034
20260324,0.0,2423261.44,2423261.44,1,2.42326144,3.06008726,-0.20810707861971223
20260325,2454153.53,0.0,2454153.53,0,2.4541535299999997,3.06008726,-0.19801191224854164
20260326,0.0,2335955.64,2335955.64,2,2.3359556400000003,3.06008726,-0.2366375722240024
20260327,1118266.19,1299975.83,2418242.02,1,2.41824202,3.06008726,-0.20974736517807657
20260330,1168186.86,1061363.77,2229550.63,2,2.22955063,3.06008726,-0.2714094597420075
20260331,2279799.19,0.0,2279799.19,0,2.27979919,3.06008726,-0.2549888299590516
20260401,0.0,2178144.58,2178144.58,3,2.17814458,3.06008726,-0.28820834344442836
20260402,1453545.88,797772.35,2251318.23,1,2.25131823,3.06008726,-0.26429606781866744
20260403,2257878.11,0.0,2257878.11,0,2.25787811,3.06008726,-0.2621523773148874
20260407,2257878.11,0.0,2257878.11,0,2.25787811,3.06008726,-0.2621523773148874
20260408,2257878.11,0.0,2257878.11,0,2.25787811,3.06008726,-0.2621523773148874
20260409,2257878.11,0.0,2257878.11,0,2.25787811,3.06008726,-0.2621523773148874
20260410,2257878.11,0.0,2257878.11,0,2.25787811,3.06008726,-0.2621523773148874
20260413,2257878.11,0.0,2257878.11,0,2.25787811,3.06008726,-0.2621523773148874
20260414,2257878.11,0.0,2257878.11,0,2.25787811,3.06008726,-0.2621523773148874
20260415,2257878.11,0.0,2257878.11,0,2.25787811,3.06008726,-0.2621523773148874
20260416,2257878.11,0.0,2257878.11,0,2.25787811,3.06008726,-0.2621523773148874
20260417,2257878.11,0.0,2257878.11,0,2.25787811,3.06008726,-0.2621523773148874
20260420,2257878.11,0.0,2257878.11,0,2.25787811,3.06008726,-0.2621523773148874
