日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,0.0,1037008.08,1037008.08,1,1.0370080799999999,1.0370080799999999,0.0
20250911,1036939.26,0.0,1036939.26,0,1.03693926,1.0370080799999999,-6.636399592940823e-05
20250912,0.0,1141793.46,1141793.46,1,1.14179346,1.14179346,0.0
20250915,0.0,1255765.58,1255765.58,1,1.25576558,1.25576558,0.0
20250916,0.0,1382171.02,1382171.02,1,1.38217102,1.38217102,0.0
20250917,0.0,1521009.79,1521009.79,1,1.5210097900000001,1.5210097900000001,0.0
20250918,0.0,1672281.88,1672281.88,1,1.6722818799999999,1.6722818799999999,0.0
20250919,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250922,0.0,1520235.12,1520235.12,2,1.5202351200000002,1.6722818799999999,-0.09092172905682605
20250923,1479454.87,0.0,1479454.87,0,1.47945487,1.6722818799999999,-0.11530771953350338
20250924,0.0,1571636.29,1571636.29,2,1.57163629,1.6722818799999999,-0.060184584431423604
20250925,1485771.52,0.0,1485771.52,0,1.4857715200000001,1.6722818799999999,-0.11153045561912078
20250926,0.0,1440356.72,1440356.72,3,1.44035672,1.6722818799999999,-0.13868783891863967
20250929,1416460.34,0.0,1416460.34,0,1.41646034,1.6722818799999999,-0.15297752314340685
20250930,1416460.34,0.0,1416460.34,0,1.41646034,1.6722818799999999,-0.15297752314340685
20251009,1416460.34,0.0,1416460.34,0,1.41646034,1.6722818799999999,-0.15297752314340685
20251010,1416460.34,0.0,1416460.34,0,1.41646034,1.6722818799999999,-0.15297752314340685
20251013,1416460.34,0.0,1416460.34,0,1.41646034,1.6722818799999999,-0.15297752314340685
20251014,1416460.34,0.0,1416460.34,0,1.41646034,1.6722818799999999,-0.15297752314340685
20251015,0.0,1398412.9,1398412.9,3,1.3984128999999998,1.6722818799999999,-0.16376962716357368
20251016,984545.25,506753.92,1491299.17,1,1.49129917,1.6722818799999999,-0.10822500211507402
20251017,0.0,1530653.01,1530653.01,3,1.53065301,1.6722818799999999,-0.08469198386578225
20251020,1465220.09,0.0,1465220.09,0,1.46522009,1.6722818799999999,-0.1238199088780414
20251021,0.0,1594347.57,1594347.57,2,1.59434757,1.6722818799999999,-0.04660357259865777
20251022,1605053.02,0.0,1605053.02,0,1.60505302,1.6722818799999999,-0.04020187075159842
20251023,0.0,1535159.29,1535159.29,1,1.53515929,1.6722818799999999,-0.08199729461877558
20251024,1531326.9,0.0,1531326.9,0,1.5313268999999998,1.6722818799999999,-0.08428900754458934
20251027,765663.45,820204.57,1585868.02,2,1.58586802,1.6722818799999999,-0.051674218942084016
20251028,821545.03,821415.28,1642960.3,1,1.6429603000000002,1.6722818799999999,-0.01753387413370744
20251029,825859.64,850831.54,1676691.18,2,1.67669118,1.67669118,0.0
20251030,824562.2,851926.46,1676488.66,1,1.67648866,1.67669118,-0.00012078551042415953
20251031,770356.51,792969.55,1563326.06,2,1.56332606,1.67669118,-0.06761240313794692
20251103,1201382.91,381369.76,1582752.67,1,1.5827526699999999,1.67669118,-0.05602612521645167
20251104,373600.62,1339271.25,1712871.86,1,1.7128718600000001,1.7128718600000001,0.0
20251105,1370013.36,362392.64,1732405.99,1,1.73240599,1.73240599,0.0
20251106,362421.17,1299625.05,1662046.22,2,1.66204622,1.73240599,-0.04061390367277595
20251107,1383666.59,376332.64,1759999.24,1,1.75999924,1.75999924,0.0
20251110,373529.14,1287464.23,1660993.37,1,1.6609933700000001,1.75999924,-0.05625335951849608
20251111,1216204.0,382849.84,1599053.84,1,1.59905384,1.75999924,-0.09144628948817046
20251112,958768.29,651306.13,1610074.42,2,1.61007442,1.75999924,-0.08518459360243824
20251113,659549.3,1061626.66,1721175.96,1,1.72117596,1.75999924,-0.022058691343525783
20251114,1154710.92,643860.65,1798571.57,1,1.79857157,1.79857157,0.0
20251117,667171.19,1151591.9,1818763.09,2,1.81876309,1.81876309,0.0
20251118,1162981.55,686947.54,1849929.09,1,1.84992909,1.84992909,0.0
20251119,1780121.88,0.0,1780121.88,0,1.7801218799999998,1.84992909,-0.037735073402191954
20251120,1780121.88,0.0,1780121.88,0,1.7801218799999998,1.84992909,-0.037735073402191954
20251121,0.0,1756415.23,1756415.23,1,1.75641523,1.84992909,-0.050549969999120425
20251124,1748346.67,0.0,1748346.67,0,1.7483466699999999,1.84992909,-0.05491152095997376
20251125,874173.34,955653.58,1829826.92,3,1.82982692,1.84992909,-0.010866454346096122
20251126,1816757.18,0.0,1816757.18,0,1.81675718,1.84992909,-0.017931449469774097
20251127,0.0,1844725.5,1844725.5,3,1.8447255,1.84992909,-0.002812859167482973
20251128,1264956.42,688236.21,1953192.63,1,1.95319263,1.95319263,0.0
20251201,0.0,2111174.24,2111174.24,3,2.1111742400000004,2.1111742400000004,0.0
20251202,2142545.73,0.0,2142545.73,0,2.14254573,2.14254573,0.0
20251203,0.0,2019510.46,2019510.46,1,2.01951046,2.14254573,-0.057424804650494155
20251204,1884680.68,0.0,1884680.68,0,1.88468068,2.14254573,-0.12035451397343111
20251205,942340.34,1002012.64,1944352.98,3,1.94435298,2.14254573,-0.09250339314811273
20251208,1602354.23,373496.15,1975850.38,1,1.9758503799999998,2.14254573,-0.07780247005509677
20251209,375957.07,1530074.64,1906031.72,2,1.9060317199999999,2.14254573,-0.11038924709439002
20251210,1525846.56,369349.85,1895196.41,1,1.8951964099999998,2.14254573,-0.11544646003891845
20251211,1159800.51,741150.37,1900950.88,2,1.90095088,2.14254573,-0.11276065038761163
20251212,690686.03,1293598.21,1984284.24,1,1.98428424,2.14254573,-0.07386609666436394
20251215,0.0,2149964.93,2149964.93,3,2.1499649300000003,2.1499649300000003,0.0
20251216,1983358.5,0.0,1983358.5,0,1.9833585,2.1499649300000003,-0.07749262682159208
20251217,0.0,1974994.07,1974994.07,3,1.9749940700000002,2.1499649300000003,-0.081383122840055
20251218,2018929.61,0.0,2018929.61,0,2.0189296100000003,2.1499649300000003,-0.06094765462058027
20251219,-0.0,2082135.35,2082135.35,3,2.08213535,2.1499649300000003,-0.03154915647856649
20251222,2104502.02,0.0,2104502.02,0,2.10450202,2.1499649300000003,-0.02114588445868293
20251223,2104502.02,0.0,2104502.02,0,2.10450202,2.1499649300000003,-0.02114588445868293
20251224,-0.0,2281672.98,2281672.98,3,2.28167298,2.28167298,0.0
20251225,676355.96,1740473.16,2416829.12,2,2.41682912,2.41682912,0.0
20251226,676355.96,1914529.83,2590885.79,2,2.59088579,2.59088579,0.0
20251229,962511.21,1740304.74,2702815.94,2,2.70281594,2.70281594,0.0
20251230,1704675.89,937027.69,2641703.59,1,2.6417035899999997,2.70281594,-0.022610622164674687
20251231,935341.65,1775631.53,2710973.18,2,2.7109731800000003,2.7109731800000003,0.0
20260105,823983.16,1840084.48,2664067.64,2,2.6640676400000003,2.7109731800000003,-0.01730210403630772
20260106,1803985.03,854848.06,2658833.09,1,2.65883309,2.7109731800000003,-0.019232978911285392
20260107,1802502.84,887432.08,2689934.92,2,2.68993492,2.7109731800000003,-0.007760408754763359
20260108,876654.36,1816196.69,2692851.05,1,2.69285105,2.7109731800000003,-0.006684732307089991
20260109,1697102.72,837868.53,2534971.25,1,2.53497125,2.7109731800000003,-0.06492204766112819
20260112,876829.99,1800242.49,2677072.48,2,2.67707248,2.7109731800000003,-0.012504992764258982
20260113,1617262.98,802342.92,2419605.9,1,2.4196059,2.7109731800000003,-0.10747700572972851
20260114,846051.88,1759818.22,2605870.11,2,2.6058701099999997,2.7109731800000003,-0.038769498265564084
20260115,2384356.96,0.0,2384356.96,0,2.38435696,2.7109731800000003,-0.12047932543545137
20260116,0.0,2239223.4,2239223.4,3,2.2392233999999998,2.7109731800000003,-0.17401491961643112
20260119,2200642.78,0.0,2200642.78,0,2.20064278,2.7109731800000003,-0.18824620020770566
20260120,1100321.39,1115054.78,2215376.17,3,2.21537617,2.7109731800000003,-0.18281147657831143
20260121,1821307.52,434677.81,2255985.33,1,2.25598533,2.7109731800000003,-0.16783192595066554
20260122,0.0,2506424.4,2506424.4,3,2.5064243999999998,2.7109731800000003,-0.0754521592131725
20260123,2684641.84,0.0,2684641.84,0,2.68464184,2.7109731800000003,-0.009712873662586552
20260126,0.0,2790088.7,2790088.7,1,2.7900887,2.7900887,0.0
20260127,0.0,3068853.04,3068853.04,1,3.06885304,3.06885304,0.0
20260128,0.0,3376960.99,3376960.99,1,3.37696099,3.37696099,0.0
20260129,0.0,3714412.56,3714412.56,1,3.71441256,3.71441256,0.0
20260130,3336712.04,0.0,3336712.04,0,3.33671204,3.71441256,-0.10168512891308978
20260202,0.0,3326767.12,3326767.12,3,3.32676712,3.71441256,-0.10436251593980184
20260203,2250561.16,1289464.84,3540026.0,1,3.540026,3.71441256,-0.046948624360671376
20260204,3486787.63,0.0,3486787.63,0,3.48678763,3.71441256,-0.061281542188194704
20260205,0.0,3530986.71,3530986.71,3,3.53098671,3.71441256,-0.04938219625231932
20260206,3299360.28,0.0,3299360.28,0,3.2993602799999997,3.71441256,-0.11174102857330426
20260209,0.0,3254231.93,3254231.93,3,3.25423193,3.71441256,-0.123890554042279
20260210,3158647.13,0.0,3158647.13,0,3.15864713,3.71441256,-0.14962404445455568
20260211,1579323.57,1568793.25,3148116.81,3,3.14811681,3.71441256,-0.1524590337913353
20260212,3103121.27,0.0,3103121.27,0,3.10312127,3.71441256,-0.16457280394292018
20260213,1551560.64,1463229.41,3014790.04,3,3.01479004,3.71441256,-0.18835347681464876
20260224,2521274.28,517865.93,3039140.21,1,3.03914021,3.71441256,-0.18179788569312838
20260225,532202.2,2472097.46,3004299.66,2,3.00429966,3.71441256,-0.19117771344171852
20260226,1134959.51,1926148.39,3061107.89,2,3.06110789,3.71441256,-0.17588371228208421
20260227,2004517.18,1162771.6,3167288.77,1,3.16728877,3.71441256,-0.1472975285222491
20260302,0.0,3399252.27,3399252.27,3,3.39925227,3.71441256,-0.08484794968494291
20260303,3128643.37,0.0,3128643.37,0,3.1286433700000003,3.71441256,-0.15770170398088457
20260304,0.0,3348755.23,3348755.23,3,3.34875523,3.71441256,-0.09844284233197831
20260305,3319275.34,0.0,3319275.34,0,3.31927534,3.71441256,-0.10637946475175608
20260306,0.0,3295471.65,3295471.65,3,3.29547165,3.71441256,-0.11278793166691203
20260309,3288553.14,0.0,3288553.14,0,3.2885531400000003,3.71441256,-0.11465054382650475
20260310,3288553.14,0.0,3288553.14,0,3.2885531400000003,3.71441256,-0.11465054382650475
20260311,0.0,3206352.83,3206352.83,1,3.20635283,3.71441256,-0.1367806407589791
20260312,3400958.42,0.0,3400958.42,0,3.40095842,3.71441256,-0.08438861729457436
20260313,0.0,3382309.77,3382309.77,2,3.38230977,3.71441256,-0.08940923622119135
20260316,3524462.65,0.0,3524462.65,0,3.52446265,3.71441256,-0.051138613961611235
20260317,-0.0,3640945.65,3640945.65,3,3.64094565,3.71441256,-0.019778877228435854
20260318,3657370.68,0.0,3657370.68,0,3.65737068,3.71441256,-0.015356904780657987
20260319,0.0,3312599.7,3312599.7,3,3.3125997000000003,3.71441256,-0.10817669106740246
20260320,2990441.57,0.0,2990441.57,0,2.9904415699999998,3.71441256,-0.19490861025949158
20260323,1495220.79,1573157.62,3068378.4,3,3.0683784,3.71441256,-0.17392633412805392
20260324,3152221.94,0.0,3152221.94,0,3.15222194,3.71441256,-0.15135384422671672
20260325,0.0,3196732.43,3196732.43,3,3.19673243,3.71441256,-0.13937066000013743
20260326,3086156.73,0.0,3086156.73,0,3.08615673,3.71441256,-0.16914002412268392
20260327,0.0,3167596.42,3167596.42,3,3.1675964199999997,3.71441256,-0.1472147025046674
20260330,3026446.11,0.0,3026446.11,0,3.0264461099999997,3.71441256,-0.18521541128969266
20260331,3026446.11,0.0,3026446.11,0,3.0264461099999997,3.71441256,-0.18521541128969266
20260401,-0.0,2891499.04,2891499.04,3,2.8914990400000002,3.71441256,-0.22154607403115167
20260402,1929590.24,1059047.23,2988637.47,1,2.98863747,3.71441256,-0.1953943129031418
20260403,2997345.74,0.0,2997345.74,0,2.99734574,3.71441256,-0.19304985873728575
20260407,2997345.74,0.0,2997345.74,0,2.99734574,3.71441256,-0.19304985873728575
20260408,2997345.74,0.0,2997345.74,0,2.99734574,3.71441256,-0.19304985873728575
20260409,2997345.74,0.0,2997345.74,0,2.99734574,3.71441256,-0.19304985873728575
20260410,2997345.74,0.0,2997345.74,0,2.99734574,3.71441256,-0.19304985873728575
20260413,2997345.74,0.0,2997345.74,0,2.99734574,3.71441256,-0.19304985873728575
20260414,2997345.74,0.0,2997345.74,0,2.99734574,3.71441256,-0.19304985873728575
20260415,2997345.74,0.0,2997345.74,0,2.99734574,3.71441256,-0.19304985873728575
