股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
002176.SZ,002176,江特电机,20250910,20250911,9.82,9.8249,9.7951,33.0,333333.33,331790.4,-0.004629,1
300502.SZ,300502,新易盛,20250910,20250911,340.01,340.18,379.7101,35.0,333333.33,371472.64,0.114418,1
600410.SH,600410,华胜天成,20250910,20250911,18.2,18.2091,19.3903,46.0,333333.33,354388.46,0.063165,1
601929.SH,601929,吉视传媒,20250912,20250915,5.81,5.8129,6.1369,17.0,352550.5,371607.15,0.054054,3
002709.SZ,002709,天赐材料,20250912,20250916,28.78,28.7944,29.8551,28.0,352550.5,364952.43,0.035178,4
600021.SH,600021,上海电力,20250916,20250917,21.54,21.5508,20.3898,9.0,371607.15,351025.78,-0.055385,1
002642.SZ,002642,荣联科技,20250917,20250918,11.09,11.0955,10.015,28.0,364952.43,328884.13,-0.09883,1
600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.2564,7.0,352550.5,510573.7,0.448229,7
002050.SZ,002050,三花智控,20250918,20250919,43.01,43.0315,41.6292,6.0,351025.78,339043.22,-0.034136,1
002617.SZ,002617,露笑科技,20250919,20250922,10.71,10.7154,9.925,10.0,328884.13,304139.75,-0.075237,3
002050.SZ,002050,三花智控,20250922,20250923,41.87,41.8909,45.0075,5.0,424808.46,455682.8,0.072678,1
600162.SH,600162,香江控股,20250922,20250923,2.7,2.7014,2.4288,28.0,424808.46,381334.55,-0.102338,1
600410.SH,600410,华胜天成,20250923,20250924,21.01,21.0205,19.9,15.0,304139.75,287467.58,-0.054817,1
000981.SZ,000981,山子高科,20250924,20250925,4.11,4.1121,3.6382,1.0,418508.67,369687.28,-0.116656,1
600400.SH,600400,红豆股份,20250924,20250925,3.2,3.2016,3.6082,24.0,418508.67,470903.78,0.125195,1
002549.SZ,002549,凯美特气,20250925,20250926,25.15,25.1626,24.7876,3.0,287467.58,282730.76,-0.016478,1
002402.SZ,002402,和而泰,20250926,20250929,51.1,51.1255,50.4148,9.0,420295.53,413789.47,-0.01548,3
300450.SZ,300450,先导智能,20250926,20250929,64.69,64.7223,63.1084,13.0,420295.53,409159.54,-0.026496,3
002298.SZ,002298,中电鑫龙,20250929,20251009,12.85,12.8564,13.4033,2.0,282730.76,294285.72,0.040869,10
600021.SH,600021,上海电力,20251010,20251013,23.52,23.5318,23.7281,40.0,372411.58,374918.66,0.006732,3
600468.SH,600468,百利电气,20251010,20251013,7.51,7.5138,7.996,80.0,372411.58,395679.65,0.062479,3
688347.SH,688347,华虹公司,20251010,20251014,122.05,122.111,122.9285,56.0,372411.58,374305.04,0.005084,4
603300.SH,603300,海南华铁,20251014,20251015,7.55,7.5538,7.7161,4.0,385299.15,392951.45,0.019861,1
600635.SH,600635,大众公用,20251014,20251015,7.24,7.2436,6.8066,22.0,385299.15,361474.02,-0.061835,1
002549.SZ,002549,凯美特气,20251016,20251017,26.53,26.5433,24.8076,5.0,377212.73,351982.73,-0.066885,1
601212.SH,601212,白银有色,20251015,20251020,5.53,5.5328,5.8771,8.0,374305.04,396961.47,0.060529,5
002208.SZ,002208,合肥城建,20251016,20251020,10.89,10.8954,13.0035,8.0,377212.73,449475.73,0.191571,4
000969.SZ,000969,安泰科技,20251020,20251021,19.2,19.2096,20.6197,6.0,351982.73,377215.77,0.071688,1
002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.2639,4.0,423218.6,417693.88,-0.013054,1
002208.SZ,002208,合肥城建,20251021,20251022,12.75,12.7564,15.3823,6.0,423218.6,509522.86,0.203924,1
000626.SZ,000626,远大控股,20251022,20251023,9.72,9.7249,8.6857,16.0,377215.77,336367.36,-0.108289,1
002208.SZ,002208,合肥城建,20251023,20251024,14.96,14.9675,14.3028,5.0,463608.37,442313.09,-0.045934,1
605255.SH,605255,天普股份,20251023,20251024,88.0,88.044,91.864,28.0,463608.37,482949.64,0.041719,1
600172.SH,600172,黄河旋风,20251024,20251027,7.53,7.5338,7.0065,1.0,336367.36,312325.45,-0.071475,3
600403.SH,600403,大有能源,20251027,20251028,9.01,9.0145,8.5957,4.0,462631.37,440432.36,-0.047984,1
002208.SZ,002208,合肥城建,20251027,20251028,14.5,14.5072,12.4838,10.0,462631.37,397466.01,-0.140858,1
002050.SZ,002050,三花智控,20251028,20251029,49.0,49.0245,52.9635,4.0,312325.45,336880.36,0.07862,1
601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.931,6.0,418949.19,417058.65,-0.004513,1
600376.SH,600376,首开股份,20251029,20251030,7.08,7.0835,6.4568,12.0,418949.19,381268.65,-0.089941,1
002512.SZ,002512,达华智能,20251030,20251031,4.94,4.9425,4.6177,12.0,336880.36,314239.81,-0.067206,1
002709.SZ,002709,天赐材料,20251031,20251103,41.77,41.7909,40.2898,10.0,399163.65,384211.0,-0.03746,3
300274.SZ,300274,阳光电源,20251031,20251103,195.59,195.6878,199.3703,12.0,399163.65,406024.66,0.017188,3
002709.SZ,002709,天赐材料,20251103,20251104,40.68,40.7003,39.5402,7.0,314239.81,304794.44,-0.030058,1
603686.SH,603686,福龙马,20251104,20251105,30.0,30.015,34.2828,1.0,395117.83,450578.0,0.140364,1
300300.SZ,300300,海峡创新,20251104,20251105,10.68,10.6853,12.2939,18.0,395117.83,453869.48,0.148694,1
000555.SZ,000555,神州信息,20251105,20251106,21.9,21.9109,21.2894,2.0,304794.44,295673.91,-0.029924,1
603686.SH,603686,福龙马,20251106,20251107,34.0,34.017,31.8841,2.0,452223.74,423190.21,-0.064202,1
300591.SZ,300591,万里马,20251106,20251107,12.14,12.1461,11.4043,42.0,452223.74,423926.73,-0.062573,1
600089.SH,600089,特变电工,20251107,20251110,25.5,25.5127,26.3368,2.0,295673.91,304736.12,0.030649,3
601012.SH,601012,隆基绿能,20251110,20251111,22.88,22.8914,22.4288,12.0,423558.47,414334.11,-0.021778,1
603686.SH,603686,福龙马,20251110,20251112,30.3,30.3151,33.5832,8.0,423558.47,468468.62,0.106031,2
000572.SZ,000572,海马汽车,20251111,20251112,9.7,9.7048,9.1254,2.0,304736.12,286083.93,-0.061208,1
002759.SZ,002759,天际股份,20251112,20251113,40.8,40.8204,48.3958,5.0,414334.11,490439.9,0.183682,1
000572.SZ,000572,海马汽车,20251113,20251114,9.06,9.0645,10.9345,9.0,377276.27,454379.89,0.204369,1
002255.SZ,002255,海陆重工,20251113,20251114,12.31,12.3162,13.1434,25.0,377276.27,401973.74,0.065463,1
002759.SZ,002759,天际股份,20251114,20251117,46.51,46.5333,47.1464,2.0,490439.9,496107.53,0.011556,3
603686.SH,603686,福龙马,20251117,20251118,32.38,32.3962,28.076,6.0,428176.82,370483.21,-0.134742,1
002196.SZ,002196,方正电机,20251117,20251118,13.66,13.6668,14.4428,20.0,428176.82,451763.13,0.055085,1
000572.SZ,000572,海马汽车,20251118,20251119,11.16,11.1656,10.3448,4.0,496107.53,458904.65,-0.07499,1
002639.SZ,002639,雪人集团,20251119,20251120,15.31,15.3177,14.3928,2.0,411123.17,385682.33,-0.061881,1
002083.SZ,002083,孚日股份,20251119,20251120,11.5,11.5057,10.2149,3.0,411123.17,364414.37,-0.113613,1
000620.SZ,000620,盈新发展,20251120,20251121,3.56,3.5618,2.9485,14.0,458904.65,379284.39,-0.173501,1
300094.SZ,300094,国联水产,20251121,20251124,4.38,4.3822,4.9475,34.0,375048.35,422755.08,0.127202,3
600280.SH,600280,中央商场,20251121,20251124,3.57,3.5718,3.4283,50.0,375048.35,359404.61,-0.041711,3
000798.SZ,000798,中水渔业,20251124,20251125,15.1,15.1075,14.9325,10.0,379284.39,374290.76,-0.013166,1
601138.SH,601138,工业富联,20251125,20251126,56.36,56.3882,58.9005,4.0,391079.85,407850.86,0.042884,1
002474.SZ,002474,榕基软件,20251125,20251126,11.51,11.5158,12.3338,5.0,391079.85,418192.04,0.069326,1
300058.SZ,300058,蓝色光标,20251126,20251127,10.96,10.9655,10.5847,3.0,374290.76,360715.66,-0.036269,1
300058.SZ,300058,蓝色光标,20251127,20251128,10.79,10.7954,10.7246,7.0,413021.45,409657.93,-0.008144,1
000592.SZ,000592,平潭发展,20251127,20251201,9.43,9.4347,11.3643,2.0,413021.45,496697.37,0.202595,4
002264.SZ,002264,新华都,20251128,20251201,10.6,10.6053,9.3953,8.0,360715.66,319049.06,-0.115511,3
603122.SH,603122,合富中国,20251201,20251203,22.9,22.9114,22.9885,5.0,409657.93,410378.13,0.001758,2
603778.SH,603778,国晟科技,20251202,20251203,13.0,13.0065,12.6337,6.0,407873.22,395548.18,-0.030218,1
600828.SH,600828,茂业商业,20251202,20251203,5.55,5.5528,5.8771,15.0,407873.22,431002.73,0.056708,1
000592.SZ,000592,平潭发展,20251204,20251205,10.9,10.9055,11.8641,2.0,412309.68,447835.21,0.086162,1
002413.SZ,002413,雷科防务,20251204,20251205,8.48,8.4842,8.7856,6.0,412309.68,426272.23,0.033864,1
002792.SZ,002792,通宇通讯,20251204,20251205,27.57,27.5838,29.4553,10.0,412309.68,439579.46,0.066139,1
002474.SZ,002474,榕基软件,20251208,20251209,10.6,10.6053,11.0545,47.0,437895.63,455711.89,0.040686,1
600408.SH,600408,安泰集团,20251208,20251209,5.26,5.2626,4.8076,60.0,437895.63,399392.98,-0.087927,1
002407.SZ,002407,多氟多,20251208,20251209,29.64,29.6548,31.5742,69.0,437895.63,465492.33,0.063021,1
000547.SZ,000547,航天发展,20251210,20251211,21.38,21.3907,20.2399,1.0,440199.07,415850.22,-0.055313,1
002702.SZ,002702,海欣食品,20251210,20251211,10.17,10.1751,8.9555,9.0,440199.07,386817.99,-0.121266,1
002565.SZ,002565,顺灏股份,20251210,20251211,13.7,13.7068,14.4928,11.0,440199.07,464693.97,0.055645,1
300456.SZ,300456,赛微电子,20251212,20251215,55.19,55.2176,65.2674,10.0,422454.06,498543.16,0.180112,3
603778.SH,603778,国晟科技,20251212,20251215,12.59,12.5963,11.6142,14.0,422454.06,388893.22,-0.079443,3
002682.SZ,002682,龙洲股份,20251212,20251216,9.72,9.7249,10.7346,8.0,422454.06,465573.22,0.102068,4
600343.SH,600343,航天动力,20251216,20251217,36.8,36.8184,36.1819,9.0,443718.19,435349.92,-0.018859,1
