日期,股票代码,股票简称,基础代码,开盘价:不复权今日,收盘价:不复权今日,个股热度排名昨日,竞价涨幅今日,量比,换手率昨日,大单动向(ddx值)昨日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,连续涨停天数昨日,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差
2025-09-10,002176.SZ,江特电机,002176,9.82,9.77,33,-3.82,1.2856730440505542,17.107728,-2339.815,1.491,8.901,291861125.0,227010379.0,0,392,319,73,310,58,252
2025-09-10,300502.SZ,新易盛,300502,340.01,334.95,35,7.83,0.6669246667451803,5.988353,615.103,2.703,-7.497,53004985.0,79476720.0,0,392,319,73,310,58,252
2025-09-10,600410.SH,华胜天成,600410,18.2,18.56,46,0.497,0.7735033507905945,13.77181,-4107.858,-3.619,-3.69,151007170.0,195224972.0,0,392,319,73,310,58,252
2025-09-11,002547.SZ,春兴精工,002547,6.5,6.82,6,-3.988,2.02869633979147,42.434296,0.0,3.834,15.108,468817152.0,231092817.0,0,504,52,452,428,16,412
2025-09-11,002759.SZ,天际股份,002759,17.56,17.8,11,0.114,1.90660327698002,46.613705,5238.954,9.625,0.0,233507671.0,122473130.0,0,504,52,452,428,16,412
2025-09-11,002195.SZ,岩山科技,002195,7.87,8.18,13,0.127,0.8080088749273502,12.062458,6538.547,2.611,-6.503,675649897.0,836191183.0,0,504,52,452,428,16,412
2025-09-12,600376.SH,首开股份,600376,5.0,5.51,7,-0.2,2.232676255393373,17.201806,5979.365,5.252,6.849,443731809.0,198744358.0,0,456,158,298,377,60,317
2025-09-12,601929.SH,吉视传媒,601929,5.81,6.25,17,0.693,0.6849848469275023,17.189674,3702.983,-0.689,4.122,599883244.0,875761335.0,0,456,158,298,377,60,317
2025-09-12,002709.SZ,天赐材料,002709,28.78,28.04,28,0.489,0.8951855909882214,12.430807,3736.694,3.431,0.579,172154815.0,192311870.0,0,456,158,298,377,60,317
2025-09-15,300450.SZ,先导智能,300450,55.79,55.59,10,1.807,1.0956345451131124,16.769024,-8568.462,-5.939,4.392,261498581.0,238673180.0,0,487,343,144,399,126,273
2025-09-15,002251.SZ,步步高,002251,6.5,6.77,12,-2.256,1.0444002882499348,24.041864,-14797.249,-3.763,0.286,513551575.0,491719105.0,0,487,343,144,399,126,273
2025-09-15,601116.SH,三江购物,601116,16.04,18.19,26,-3.023,1.830754078521618,18.630436,-485.88,-2.991,8.195,102034878.0,55733798.0,0,487,343,144,399,126,273
2025-09-16,600021.SH,上海电力,600021,21.54,21.07,9,-0.646,1.7534622817183387,11.444011,-7888.697,-1.989,0.863,322348468.0,183835416.0,0,649,194,455,523,80,443
2025-09-16,002050.SZ,三花智控,002050,36.18,39.23,34,1.458,1.2010880966972586,6.216907,-31.42,2.471,-1.457,229050988.0,190702904.0,0,649,194,455,523,80,443
2025-09-16,603083.SH,剑桥科技,603083,113.0,119.9,39,3.67,1.780455114064066,24.124618,856.212,5.828,8.064,64658764.0,36315863.0,0,649,194,455,523,80,443
2025-09-17,002642.SZ,荣联科技,002642,11.09,10.55,28,-0.627,1.3246660136115496,31.354887,-5992.647,-3.544,6.078,207437766.0,156596277.0,0,564,218,346,469,69,400
2025-09-17,002115.SZ,三维通信,002115,12.36,12.06,30,0.488,0.831095464577041,27.088323,-3773.281,-1.6,-1.695,203757156.0,245166969.0,0,564,218,346,469,69,400
2025-09-17,600021.SH,上海电力,600021,21.1,20.4,47,0.142,0.6350163078795833,7.267133,-4563.874,-2.182,-1.989,204696534.0,322348468.0,0,564,218,346,469,69,400
2025-09-18,002050.SZ,三花智控,002050,43.01,45.55,6,2.649,1.5467679787362445,9.992624,8596.977,2.22,8.43,368160613.0,238019288.0,0,334,887,-553,293,289,4
2025-09-18,002249.SZ,大洋电机,002249,10.98,10.6,16,0.734,1.528495913330267,23.532206,585.852,4.147,8.82,430601287.0,281715694.0,0,334,887,-553,293,289,4
