日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,0.0,999136.09,999136.09,3,0.9991360899999999,0.9991360899999999,0.0
20250911,1057651.51,0.0,1057651.51,0,1.05765151,1.05765151,0.0
20250912,0.0,1110357.5,1110357.5,3,1.1103575,1.1103575,0.0
20250915,371607.15,804432.72,1176039.87,2,1.17603987,1.17603987,0.0
20250916,364952.43,833134.47,1198086.9,2,1.1980868999999998,1.1980868999999998,0.0
20250917,351025.78,864034.76,1215060.54,2,1.21506054,1.21506054,0.0
20250918,328884.13,940020.33,1268904.46,2,1.26890446,1.26890446,0.0
20250919,849616.92,308370.02,1157986.94,1,1.15798694,1.26890446,-0.08741203415740206
20250922,304139.75,860089.2,1164228.95,2,1.16422895,1.26890446,-0.08249282219403653
20250923,837017.34,291891.15,1128908.5,1,1.1289085,1.26890446,-0.11032821178672492
20250924,287467.58,889169.96,1176637.54,2,1.17663754,1.26890446,-0.07271384324711094
20250925,840591.06,314648.11,1155239.17,1,1.15523917,1.26890446,-0.08957750057872749
20250926,282730.76,821114.81,1103845.57,2,1.10384557,1.26890446,-0.13007984068398648
20250929,822949.01,263597.78,1086546.79,1,1.08654679,1.26890446,-0.1437126873996485
20250930,822949.01,289979.54,1112928.55,1,1.1129285500000001,1.26890446,-0.122921713113058
20251009,1117234.73,0.0,1117234.73,0,1.11723473,1.26890446,-0.11952809276121534
20251010,0.0,1131710.22,1131710.22,3,1.13171022,1.26890446,-0.10812022837401003
20251013,770598.31,413791.8,1184390.11,1,1.18439011,1.26890446,-0.06660418704809334
20251014,374305.04,753454.11,1127759.16,2,1.1277591599999999,1.26890446,-0.11123398526000927
20251015,754425.46,365213.6,1119639.07,1,1.11963907,1.26890446,-0.11763327713419802
20251016,0.0,1175749.43,1175749.43,3,1.17574943,1.26890446,-0.07341374621695307
20251017,351982.73,891231.67,1243214.4,2,1.2432143999999998,1.26890446,-0.02024585838401105
20251020,846437.2,355731.23,1202168.43,1,1.20216843,1.26890446,-0.05259342377912357
20251021,377215.77,921032.35,1298248.12,2,1.29824812,1.29824812,0.0
20251022,927216.74,374587.55,1301804.29,1,1.30180429,1.30180429,0.0
20251023,336367.36,946506.73,1282874.09,2,1.2828740900000002,1.30180429,-0.014541509922355367
20251024,925262.73,310656.71,1235919.44,1,1.23591944,1.30180429,-0.050610410878274226
20251027,312325.45,918609.76,1230935.21,2,1.23093521,1.30180429,-0.054439120030861154
20251028,837898.37,335067.44,1172965.81,1,1.17296581,1.30180429,-0.09896916225402819
20251029,336880.36,823800.16,1160680.52,2,1.16068052,1.30180429,-0.10840628739977487
20251030,798327.3,347513.4,1145840.71,1,1.1458407099999999,1.30180429,-0.11980570443503458
20251031,314239.81,767739.83,1081979.64,2,1.08197964,1.30180429,-0.16886151911513525
20251103,790235.67,311132.73,1101368.4,1,1.1013684,1.30180429,-0.15396775962383724
20251104,304794.44,919922.51,1224716.95,2,1.22471695,1.30180429,-0.05921576737160705
20251105,904447.48,295650.64,1200098.11,1,1.20009811,1.30180429,-0.07812708928774525
20251106,295673.91,834582.97,1130256.88,2,1.13025688,1.30180429,-0.131776651312157
20251107,847116.93,307023.3,1154140.24,1,1.15414024,1.30180429,-0.11343029911201163
20251110,304736.12,867447.78,1172183.9,2,1.1721838999999998,1.30180429,-0.09956979785340858
20251111,414334.11,802604.78,1216938.89,2,1.21693889,1.30180429,-0.06519059788933401
20251112,754552.55,473972.37,1228524.92,1,1.22852492,1.30180429,-0.056290619536981334
20251113,490439.9,826880.4,1317320.3,2,1.3173203,1.3173203,0.0
20251114,856353.63,478773.84,1335127.48,1,1.33512748,1.33512748,0.0
20251117,496107.53,841149.45,1337256.98,2,1.33725698,1.33725698,0.0
20251118,822246.34,510813.19,1333059.53,1,1.33305953,1.33725698,-0.0031388506942023886
20251119,458904.65,820352.58,1279257.23,2,1.27925723,1.33725698,-0.0433721796688622
20251120,750096.7,417320.88,1167417.57,1,1.16741757,1.33725698,-0.12700581304873804
20251121,379284.39,773144.35,1152428.74,2,1.15242874,1.33725698,-0.1382144514960768
20251124,782159.69,416628.28,1198787.97,1,1.19878797,1.33725698,-0.1035470459836374
20251125,374290.76,857958.21,1232248.97,2,1.2322489699999999,1.33725698,-0.07852492944175926
20251126,826042.89,372967.81,1199010.7,1,1.1990106999999999,1.33725698,-0.10338048861782734
20251127,360715.66,831737.32,1192452.98,2,1.1924529799999999,1.33725698,-0.1082843478596015
20251128,409657.93,793628.49,1203286.42,2,1.20328642,1.33725698,-0.10018310766267235
20251201,815746.43,415407.8,1231154.23,1,1.23115423,1.33725698,-0.0793435753836933
20251202,0.0,1347383.07,1347383.07,3,1.34738307,1.34738307,0.0
20251203,1236929.04,0.0,1236929.04,0,1.2369290400000001,1.34738307,-0.08197670911806831
20251204,0.0,1243272.05,1243272.05,3,1.24327205,1.34738307,-0.07726905756653146
20251205,1313686.9,0.0,1313686.9,0,1.3136869,1.34738307,-0.025008604271686496
20251208,0.0,1365545.89,1365545.89,3,1.36554589,1.36554589,0.0
20251209,1320597.2,0.0,1320597.2,0,1.3205972,1.36554589,-0.03291627936429142
20251210,0.0,1289475.58,1289475.58,3,1.2894755800000002,1.36554589,-0.055706886569736436
20251211,1267362.18,0.0,1267362.18,0,1.26736218,1.36554589,-0.07190070338829846
20251212,0.0,1367014.31,1367014.31,3,1.36701431,1.36701431,0.0
20251215,887436.38,518091.31,1405527.69,1,1.40552769,1.40552769,0.0
20251216,465573.22,932997.57,1398570.79,2,1.39857079,1.40552769,-0.0049496712512294705
20251217,914335.06,440591.38,1354926.44,1,1.3549264399999998,1.40552769,-0.036001603070516586
20251218,448515.33,946326.57,1394841.9,2,1.3948418999999999,1.40552769,-0.007602689065485557
20251219,979863.14,462753.84,1442616.99,1,1.44261699,1.44261699,0.0
20251222,445049.69,947910.6,1392960.29,2,1.39296029,1.44261699,-0.034421263817224323
20251223,927558.45,419292.34,1346850.79,1,1.34685079,1.44261699,-0.06638366292913278
20251224,412699.37,1024361.01,1437060.39,2,1.4370603899999999,1.44261699,-0.0038517500060776255
20251225,516079.55,998999.1,1515078.65,2,1.51507865,1.51507865,0.0
20251226,453342.27,1209768.72,1663110.99,2,1.66311099,1.66311099,0.0
20251229,594004.97,1177560.5,1771565.47,2,1.7715654699999999,1.7715654699999999,0.0
20251230,1078337.28,578278.06,1656615.34,1,1.65661534,1.7715654699999999,-0.06488618792056255
20251231,577237.53,1123222.13,1700459.66,2,1.70045966,1.7715654699999999,-0.040137274746047
20260105,521232.08,1170393.51,1691625.59,2,1.6916255900000001,1.7715654699999999,-0.045123864375161804
20260106,1196270.63,503107.63,1699378.26,1,1.69937826,1.7715654699999999,-0.04074769531379485
20260107,541366.52,1176959.8,1718326.32,2,1.71832632,1.7715654699999999,-0.030052036405970206
20260108,1162665.82,545479.35,1708145.18,1,1.70814518,1.7715654699999999,-0.03579901001344299
20260109,509710.48,1132050.77,1641761.26,2,1.64176126,1.7715654699999999,-0.07327090767918376
20260112,1157636.14,547500.69,1705136.83,1,1.70513683,1.7715654699999999,-0.03749714087619904
20260113,491840.01,1069213.68,1561053.68,2,1.5610536799999999,1.7715654699999999,-0.11882811759703127
20260114,1088551.32,528329.71,1616881.03,1,1.61688103,1.7715654699999999,-0.08731511345160714
20260115,448869.56,1028366.52,1477236.08,2,1.4772360800000002,1.7715654699999999,-0.16614084829729703
20260116,916511.54,417499.37,1334010.91,1,1.33401091,1.7715654699999999,-0.24698751889762216
20260119,432609.64,930992.77,1363602.41,2,1.36360241,1.7715654699999999,-0.23028393074290388
20260120,923442.13,401110.96,1324553.1,1,1.3245531000000001,1.7715654699999999,-0.2523261926074907
20260121,385064.03,924764.93,1309828.97,2,1.3098289699999999,1.7715654699999999,-0.26063755916398623
20260122,920188.52,412754.18,1332942.71,1,1.33294271,1.7715654699999999,-0.2475904884282938
20260123,0.0,1386088.88,1386088.88,3,1.38608888,1.7715654699999999,-0.21759093667591067
20260126,869416.76,525815.1,1395231.86,1,1.3952318600000002,1.7715654699999999,-0.21242997584503587
20260127,491643.32,903313.41,1394956.74,2,1.39495674,1.7715654699999999,-0.21258527352082557
20260128,452129.0,1043001.39,1495130.38,2,1.49513038,1.7715654699999999,-0.15604000793716077
20260129,488900.37,1132722.95,1621623.33,2,1.62162333,1.7715654699999999,-0.08463821548745798
20260130,1069778.57,489841.1,1559619.68,1,1.55961968,1.7715654699999999,-0.11963757117031637
20260202,485541.73,1069192.51,1554734.24,2,1.55473424,1.7715654699999999,-0.1223952677289426
20260203,520752.61,1101130.93,1621883.54,2,1.62188354,1.7715654699999999,-0.0844913340967296
20260204,1036355.27,523060.54,1559415.8,1,1.5594158,1.7715654699999999,-0.11975265582479422
20260205,491040.83,1038168.55,1529209.39,2,1.52920939,1.7715654699999999,-0.13680334376804038
20260206,988273.12,475914.06,1464187.18,1,1.46418718,1.7715654699999999,-0.17350659357793874
20260209,490647.85,997404.39,1488052.25,2,1.48805225,1.7715654699999999,-0.1600354177144805
20260210,961092.15,470532.65,1431624.8,1,1.4316248,1.7715654699999999,-0.1918871618106216
20260211,464061.02,949958.66,1414019.67,2,1.4140196699999998,1.7715654699999999,-0.2018247736562624
20260212,934478.92,438849.46,1373328.38,1,1.3733283799999998,1.7715654699999999,-0.22479388808588607
20260213,395815.05,870079.99,1265895.05,2,1.2658950500000001,1.7715654699999999,-0.28543704907501943
20260224,431609.35,871475.68,1303085.03,2,1.30308503,1.7715654699999999,-0.2644443278745999
20260225,887387.32,445274.53,1332661.84,1,1.33266184,1.7715654699999999,-0.2477490318209915
20260226,0.0,1377289.75,1377289.75,3,1.37728975,1.7715654699999999,-0.22255780363567357
20260227,1427622.61,0.0,1427622.61,0,1.42762261,1.7715654699999999,-0.19414628802851974
20260302,0.0,1429340.43,1429340.43,3,1.4293404299999999,1.7715654699999999,-0.19317662586864492
20260303,1299272.47,0.0,1299272.47,0,1.29927247,1.7715654699999999,-0.2665964131712275
20260304,0.0,1409117.65,1409117.65,3,1.40911765,1.7715654699999999,-0.2045918291690343
20260305,1394365.56,0.0,1394365.56,0,1.39436556,1.7715654699999999,-0.2129189783767912
20260306,0.0,1405583.09,1405583.09,3,1.4055830900000001,1.7715654699999999,-0.20658699110905554
20260309,1438383.91,0.0,1438383.91,0,1.43838391,1.7715654699999999,-0.18807183005209505
20260310,1438383.91,0.0,1438383.91,0,1.43838391,1.7715654699999999,-0.18807183005209505
20260311,-0.0,1446143.14,1446143.14,3,1.44614314,1.7715654699999999,-0.18369195805109018
20260312,1450310.04,0.0,1450310.04,0,1.45031004,1.7715654699999999,-0.18133985756676552
20260313,-0.0,1349554.59,1349554.59,3,1.34955459,1.7715654699999999,-0.23821353889901664
20260316,1362659.09,0.0,1362659.09,0,1.3626590900000002,1.7715654699999999,-0.2308164089470539
20260317,0.0,1406291.77,1406291.77,3,1.40629177,1.7715654699999999,-0.20618696073366116
20260318,1325629.42,0.0,1325629.42,0,1.3256294199999998,1.7715654699999999,-0.25171863956007234
20260319,0.0,1205814.77,1205814.77,3,1.20581477,1.7715654699999999,-0.31935071527444026
20260320,1088166.62,0.0,1088166.62,0,1.0881666200000002,1.7715654699999999,-0.3857598613050409
20260323,0.0,1094146.75,1094146.75,3,1.09414675,1.7715654699999999,-0.3823842423390652
20260324,1139395.49,0.0,1139395.49,0,1.13939549,1.7715654699999999,-0.35684257268798525
20260325,-0.0,1201148.68,1201148.68,3,1.20114868,1.7715654699999999,-0.32198459478892416
20260326,1197212.17,0.0,1197212.17,0,1.19721217,1.7715654699999999,-0.32420664645264274
