股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
002176.SZ,002176,江特电机,20250910,20250911,9.82,9.8249,9.7951,33.0,1000000.0,995371.21,-0.004629,1
600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.2564,7.0,995371.21,1441525.0,0.448229,7
600162.SH,600162,香江控股,20250922,20250923,2.7,2.7014,2.4288,28.0,1441525.0,1294002.67,-0.102338,1
000981.SZ,000981,山子高科,20250924,20250925,4.11,4.1121,3.6382,1.0,431334.22,381016.66,-0.116656,1
600400.SH,600400,红豆股份,20250924,20250925,3.2,3.2016,3.6082,24.0,431334.22,485335.02,0.125195,1
603269.SH,603269,海鸥股份,20250924,20250925,13.39,13.3967,13.0235,84.0,431334.22,418647.25,-0.029413,1
300111.SZ,300111,向日葵,20250926,20250929,8.65,8.6543,7.4963,27.0,642499.47,555633.49,-0.1352,3
600167.SH,600167,联美控股,20250926,20250929,9.7,9.7048,10.045,53.0,642499.47,663953.38,0.033391,3
688347.SH,688347,华虹公司,20251010,20251014,122.05,122.111,122.9285,56.0,1219586.87,1225787.66,0.005084,4
601212.SH,601212,白银有色,20251015,20251020,5.53,5.5328,5.8771,8.0,1225787.66,1299983.75,0.060529,5
002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.2639,4.0,433327.92,427671.23,-0.013054,1
002208.SZ,002208,合肥城建,20251021,20251022,12.75,12.7564,15.3823,6.0,433327.92,521693.7,0.203924,1
002017.SZ,002017,东信和平,20251021,20251022,27.5,27.5137,27.2764,13.0,433327.92,428901.93,-0.010214,1
002208.SZ,002208,合肥城建,20251023,20251024,14.96,14.9675,14.3028,5.0,689133.43,657478.94,-0.045934,1
301563.SZ,301563,云汉芯城,20251023,20251024,202.0,202.101,233.2033,33.0,689133.43,793915.72,0.152049,1
600403.SH,600403,大有能源,20251027,20251028,9.01,9.0145,8.5957,4.0,725697.33,690875.31,-0.047984,1
000555.SZ,000555,神州信息,20251027,20251028,14.68,14.6873,15.2024,20.0,725697.33,749944.58,0.033412,1
600376.SH,600376,首开股份,20251029,20251030,7.08,7.0835,6.4568,12.0,720409.94,655615.85,-0.089941,1
002759.SZ,002759,天际股份,20251029,20251103,24.0,24.012,32.1439,25.0,720409.94,962841.9,0.336519,5
002709.SZ,002709,天赐材料,20251031,20251103,41.77,41.7909,40.2898,10.0,655615.85,631056.51,-0.03746,3
603686.SH,603686,福龙马,20251104,20251105,30.0,30.015,34.2828,1.0,796949.21,908811.88,0.140364,1
300071.SZ,300071,福石控股,20251104,20251105,5.48,5.4827,5.917,76.0,796949.21,858701.61,0.077486,1
603686.SH,603686,福龙马,20251106,20251107,34.0,34.017,31.8841,2.0,883756.75,827018.06,-0.064202,1
300591.SZ,300591,万里马,20251106,20251107,12.14,12.1461,11.4043,42.0,883756.75,828457.41,-0.062573,1
601012.SH,601012,隆基绿能,20251110,20251111,22.88,22.8914,22.4288,12.0,551825.16,539807.38,-0.021778,1
300394.SZ,300394,天孚通信,20251110,20251111,177.01,177.0985,165.4972,21.0,551825.16,514851.59,-0.067002,1
603686.SH,603686,福龙马,20251110,20251112,30.3,30.3151,33.5832,8.0,551825.16,610335.5,0.106031,2
002759.SZ,002759,天际股份,20251112,20251113,40.8,40.8204,48.3958,5.0,1054658.97,1248381.02,0.183682,1
002374.SZ,002374,中锐股份,20251114,20251117,3.93,3.932,3.918,33.0,624190.51,620985.08,-0.005135,3
300455.SZ,300455,航天智装,20251114,20251117,27.8,27.8139,28.1559,69.0,624190.51,630855.22,0.010677,3
600403.SH,600403,大有能源,20251113,20251118,8.93,8.9345,10.2549,38.0,610335.5,699415.12,0.145952,5
600693.SH,600693,东百集团,20251118,20251119,11.13,11.1356,9.4753,8.0,625920.15,531743.99,-0.15046,1
000632.SZ,000632,三木集团,20251118,20251119,8.05,8.054,7.0865,12.0,625920.15,549844.36,-0.121542,1
002639.SZ,002639,雪人集团,20251119,20251120,15.31,15.3177,14.3928,2.0,699415.12,656134.4,-0.061881,1
002878.SZ,002878,元隆雅图,20251120,20251121,20.63,20.6403,20.8696,75.0,1081588.35,1091851.95,0.009489,1
600280.SH,600280,中央商场,20251121,20251124,3.57,3.5718,3.4283,50.0,656134.4,628766.21,-0.041711,3
000798.SZ,000798,中水渔业,20251124,20251125,15.1,15.1075,14.9325,10.0,545925.97,538738.35,-0.013166,1
000566.SZ,000566,海南海药,20251124,20251126,8.05,8.054,8.6957,13.0,545925.97,588474.46,0.077938,2
601138.SH,601138,工业富联,20251125,20251126,56.36,56.3882,58.9005,4.0,628766.21,655730.13,0.042884,1
000505.SZ,000505,京粮控股,20251126,20251127,8.41,8.4142,7.5462,53.0,538738.35,482391.16,-0.104591,1
600343.SH,600343,航天动力,20251127,20251128,21.64,21.6508,23.7881,12.0,622102.29,682420.38,0.096958,1
