日期,股票代码,股票简称,基础代码,开盘价:不复权今日,收盘价:不复权今日,个股热度排名昨日,竞价涨幅今日,量比,换手率昨日,大单动向(ddx值)昨日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,连续涨停天数昨日,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差
2025-09-10,002176.SZ,江特电机,002176,9.82,9.77,33,-3.82,1.2856730440505542,17.107728,-2339.815,1.491,8.901,291861125.0,227010379.0,0,392,319,73,310,58,252
2025-09-11,002547.SZ,春兴精工,002547,6.5,6.82,6,-3.988,2.02869633979147,42.434296,0.0,3.834,15.108,468817152.0,231092817.0,0,504,52,452,428,16,412
2025-09-11,002759.SZ,天际股份,002759,17.56,17.8,11,0.114,1.90660327698002,46.613705,5238.954,9.625,0.0,233507671.0,122473130.0,0,504,52,452,428,16,412
2025-09-11,688256.SH,寒武纪,688256,1295.0,1387.0,34,1.728,1.3379350220126096,3.312663,-82.63,0.394,4.073,13858537.0,10358154.0,0,504,52,452,428,16,412
2025-09-12,600376.SH,首开股份,600376,5.0,5.51,7,-0.2,2.232676255393373,17.201806,5979.365,5.252,6.849,443731809.0,198744358.0,0,456,158,298,377,60,317
2025-09-15,601116.SH,三江购物,601116,16.04,18.19,26,-3.023,1.830754078521618,18.630436,-485.88,-2.991,8.195,102034878.0,55733798.0,0,487,343,144,399,126,273
2025-09-16,600021.SH,上海电力,600021,21.54,21.07,9,-0.646,1.7534622817183387,11.444011,-7888.697,-1.989,0.863,322348468.0,183835416.0,0,649,194,455,523,80,443
2025-09-16,002050.SZ,三花智控,002050,36.18,39.23,34,1.458,1.2010880966972586,6.216907,-31.42,2.471,-1.457,229050988.0,190702904.0,0,649,194,455,523,80,443
2025-09-16,603083.SH,剑桥科技,603083,113.0,119.9,39,3.67,1.780455114064066,24.124618,856.212,5.828,8.064,64658764.0,36315863.0,0,649,194,455,523,80,443
2025-09-17,002642.SZ,荣联科技,002642,11.09,10.55,28,-0.627,1.3246660136115496,31.354887,-5992.647,-3.544,6.078,207437766.0,156596277.0,0,564,218,346,469,69,400
2025-09-18,002050.SZ,三花智控,002050,43.01,45.55,6,2.649,1.5467679787362445,9.992624,8596.977,2.22,8.43,368160613.0,238019288.0,0,334,887,-553,293,289,4
2025-09-18,002249.SZ,大洋电机,002249,10.98,10.6,16,0.734,1.528495913330267,23.532206,585.852,4.147,8.82,430601287.0,281715694.0,0,334,887,-553,293,289,4
2025-09-18,603959.SH,百利科技,603959,6.94,7.02,25,-5.45,2.745871514037089,41.084993,-694.618,1.944,0.0,201439309.0,73360792.0,0,334,887,-553,293,289,4
2025-09-19,002617.SZ,露笑科技,002617,10.71,10.05,10,1.038,6.571599338176634,32.848959,-11603.903,-7.826,0.0,621322880.0,94546677.0,0,284,953,-669,237,344,-107
2025-09-19,002475.SZ,立讯精密,002475,54.31,55.41,25,2.26,1.618506000203103,4.358914,493.025,3.126,-1.178,315536216.0,194955234.0,0,284,953,-669,237,344,-107
2025-09-22,600162.SH,香江控股,600162,2.7,2.7,28,-9.699,6.122607740748073,18.39596,-3232.584,-5.678,5.495,601260597.0,98203351.0,0,362,1165,-803,298,539,-241
2025-09-23,601869.SH,长飞光纤,601869,115.3,117.27,46,0.017,1.289119468584557,7.851114,129.597,-4.364,4.796,31902087.0,24747192.0,0,329,1937,-1608,257,883,-626
2025-09-23,002008.SZ,大族激光,002008,46.71,43.7,57,4.31,1.6317151422470424,8.360001,1987.03,6.874,-1.174,79982145.0,49017223.0,0,329,1937,-1608,257,883,-626
2025-09-24,000981.SZ,山子高科,000981,4.11,3.82,1,-3.066,1.7920529393385003,31.039192,-21687.738,-5.145,10.078,2952868940.0,1647757650.0,0,529,174,355,402,60,342
2025-09-24,600400.SH,红豆股份,600400,3.2,3.83,24,-8.046,4.684642749239891,22.605491,-12880.882,-11.675,0.826,517975880.0,110568918.0,0,529,174,355,402,60,342
2025-09-24,603269.SH,海鸥股份,603269,13.39,13.65,84,-7.528,3.7948983453279,26.282758,939.614,2.188,6.848,81148482.0,21383572.0,0,529,174,355,402,60,342
2025-09-26,300111.SZ,向日葵,300111,8.65,7.83,27,-3.889,1.6143059474606551,37.665438,-11983.415,-1.099,21.045,484833555.0,300335606.0,0,282,1039,-757,205,420,-215
2025-09-26,600167.SH,联美控股,600167,9.7,9.5,53,-8.144,22.931554312395285,6.272885,4731.513,8.866,0.0,141945381.0,6189959.0,4,282,1039,-757,205,420,-215
2025-09-29,002298.SZ,中电鑫龙,002298,12.85,11.99,2,-0.078,1.425551030232418,52.777901,-11514.013,-4.741,7.232,348679059.0,244592478.0,0,391,491,-100,276,249,27
2025-09-29,600556.SH,天下秀,600556,5.52,5.73,27,-2.474,4.048354584536933,21.736121,-12090.284,-4.23,10.672,392934219.0,97060228.0,0,391,491,-100,276,249,27
2025-10-10,688347.SH,华虹公司,688347,122.05,113.1,56,-4.909,1.4091683318609274,14.56056,-96.732,5.205,17.101,59370687.0,42131721.0,0,539,479,60,306,150,156
2025-10-13,000981.SZ,山子高科,000981,4.49,4.31,1,-0.883,2.1524250737037027,27.235252,-50628.474,-5.821,4.484,2590986590.0,1203752280.0,0,520,982,-462,302,404,-102
2025-10-13,000021.SZ,深科技,000021,30.05,31.39,4,-5.265,2.188171380384072,24.625325,6227.478,6.122,0.0,385886082.0,176350941.0,0,520,982,-462,302,404,-102
2025-10-13,002600.SZ,领益智造,002600,14.8,15.3,6,-7.731,1.308102713817162,8.900713,-18364.725,-6.206,1.06,638219654.0,487897202.0,0,520,982,-462,302,404,-102
2025-10-14,603300.SH,海南华铁,603300,7.55,7.57,4,-7.362,26.86006524867318,23.089914,8225.407,15.439,0.0,461055706.0,17165100.0,0,385,1343,-958,205,535,-330
2025-10-14,600635.SH,大众公用,600635,7.24,6.91,22,1.828,2.8651831933074274,22.740096,-2272.874,3.796,6.917,550035564.0,191972215.0,0,385,1343,-958,205,535,-330
2025-10-15,601212.SH,白银有色,601212,5.53,5.4,8,0.0,1.2563718275437332,10.509291,-15833.29,-8.595,10.474,778189369.0,619394157.0,0,553,97,456,286,28,258
2025-10-17,002759.SZ,天际股份,002759,23.28,24.16,10,2.105,1.4312251207863202,33.645596,-5320.514,-5.04,3.494,168544956.0,117762715.0,0,185,2115,-1930,102,1037,-935
2025-10-20,601011.SH,宝泰隆,601011,3.96,4.4,23,-1.0,1.231906667979204,24.868263,-4116.972,3.093,12.216,476392505.0,386711524.0,0,324,322,2,172,136,36
2025-10-20,002460.SZ,赣锋锂业,002460,62.0,60.69,24,1.706,1.2091815985951757,8.281909,-3082.063,-6.215,-0.077,100031873.0,82726923.0,0,324,322,2,172,136,36
2025-10-20,002571.SZ,德力股份,002571,8.8,8.51,34,-6.681,14.41354234704986,28.850162,862.186,-6.262,0.0,86061820.0,5970900.0,0,324,322,2,172,136,36
2025-10-21,002185.SZ,华天科技,002185,12.4,13.09,4,-1.976,2.46591659300605,13.666162,-8933.976,-4.094,0.0,441200988.0,178919672.0,0,515,56,459,259,24,235
2025-10-21,002208.SZ,合肥城建,002208,12.75,14.31,6,-1.999,1.220882043593868,26.087543,-2851.251,-1.589,12.079,209504991.0,171601337.0,0,515,56,459,259,24,235
2025-10-21,002017.SZ,东信和平,002017,27.5,27.67,13,-2.482,2.252854751111071,22.359844,2408.228,6.98,9.378,129706301.0,57574196.0,0,515,56,459,259,24,235
2025-10-22,000626.SZ,远大控股,000626,9.72,9.66,16,-9.413,1.2277903910415542,22.895144,357.602,-2.455,0.0,115326624.0,93930222.0,0,497,253,244,206,99,107
2025-10-22,601212.SH,白银有色,601212,5.15,5.38,21,-8.688,1.3491607523982097,7.071241,-10472.189,-4.082,-2.0,523609458.0,388100126.0,0,497,253,244,206,99,107
2025-10-22,002083.SZ,孚日股份,002083,6.43,6.16,39,0.626,5.400478610285017,27.448986,-593.052,3.065,0.0,259756762.0,48098841.0,0,497,253,244,206,99,107
2025-10-23,002208.SZ,合肥城建,002208,14.96,14.32,5,-2.794,1.7598891331815056,24.990053,5978.036,2.463,12.235,200691217.0,114036284.0,0,763,314,449,261,103,158
