日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,0.0,994112.91,994112.91,1,0.99411291,0.99411291,0.0
20250911,995371.21,0.0,995371.21,0,0.99537121,0.99537121,0.0
20250912,0.0,1096022.09,1096022.09,1,1.0960220900000002,1.0960220900000002,0.0
20250915,0.0,1205425.38,1205425.38,1,1.2054253799999999,1.2054253799999999,0.0
20250916,0.0,1326763.58,1326763.58,1,1.3267635800000002,1.3267635800000002,0.0
20250917,0.0,1460036.69,1460036.69,1,1.46003669,1.46003669,0.0
20250918,0.0,1605244.69,1605244.69,1,1.60524469,1.60524469,0.0
20250919,1441525.0,0.0,1441525.0,0,1.441525,1.60524469,-0.10199048844073733
20250922,0.0,1440372.48,1440372.48,1,1.44037248,1.60524469,-0.10270845997939415
20250923,1294002.67,0.0,1294002.67,0,1.29400267,1.60524469,-0.19389070210847414
20250924,0.0,1355777.42,1355777.42,3,1.35577742,1.60524469,-0.15540762822893994
20250925,1284998.93,0.0,1284998.93,0,1.28499893,1.60524469,-0.1994996538502799
20250926,0.0,1209875.97,1209875.97,2,1.20987597,1.60524469,-0.2462981017554402
20250929,1219586.87,0.0,1219586.87,0,1.21958687,1.60524469,-0.24024861904386663
20250930,1219586.87,0.0,1219586.87,0,1.21958687,1.60524469,-0.24024861904386663
20251009,1219586.87,0.0,1219586.87,0,1.21958687,1.60524469,-0.24024861904386663
20251010,0.0,1129250.26,1129250.26,1,1.12925026,1.60524469,-0.29652453172107973
20251013,0.0,1355100.31,1355100.31,1,1.35510031,1.60524469,-0.15582943931121174
20251014,1225787.66,0.0,1225787.66,0,1.22578766,1.60524469,-0.23638578739045701
20251015,0.0,1196014.68,1196014.68,1,1.19601468,1.60524469,-0.2549331030648043
20251016,0.0,1315616.15,1315616.15,1,1.3156161499999999,1.60524469,-0.18042641212536892
20251017,0.0,1446291.83,1446291.83,1,1.44629183,1.60524469,-0.09902095362171848
20251020,1299983.75,0.0,1299983.75,0,1.29998375,1.60524469,-0.1901647405542889
20251021,-0.0,1378690.9,1378690.9,3,1.3786908999999998,1.60524469,-0.14113349286332177
20251022,1378266.86,0.0,1378266.86,0,1.37826686,1.60524469,-0.14139765196793752
20251023,0.0,1467390.66,1467390.66,2,1.46739066,1.60524469,-0.08587726896639036
20251024,1451394.66,0.0,1451394.66,0,1.4513946599999998,1.60524469,-0.09584210491921952
20251027,0.0,1497155.02,1497155.02,2,1.4971550200000001,1.60524469,-0.06733532318988689
20251028,1440819.88,0.0,1440819.88,0,1.4408198799999998,1.60524469,-0.10242974857621245
20251029,0.0,1436572.04,1436572.04,2,1.43657204,1.60524469,-0.10507597442979233
20251030,655615.85,841006.02,1496621.87,1,1.49662187,1.60524469,-0.06766745324041523
20251031,0.0,1550280.05,1550280.05,2,1.55028005,1.60524469,-0.03424066146576066
20251103,1593898.42,0.0,1593898.42,0,1.59389842,1.60524469,-0.007068249514035174
20251104,0.0,1782090.16,1782090.16,2,1.7820901599999999,1.7820901599999999,0.0
20251105,1767513.49,0.0,1767513.49,0,1.76751349,1.7820901599999999,-0.008179535652674153
20251106,0.0,1630981.01,1630981.01,2,1.63098101,1.7820901599999999,-0.08479321270703832
20251107,1655475.47,0.0,1655475.47,0,1.65547547,1.7820901599999999,-0.07104841990710498
20251110,0.0,1690835.76,1690835.76,3,1.69083576,1.7820901599999999,-0.05120638789678289
20251111,1054658.97,638731.92,1693390.89,1,1.6933908899999999,1.7820901599999999,-0.04977260521992899
20251112,610335.5,1206464.07,1816799.57,1,1.8167995700000001,1.8167995700000001,0.0
20251113,1248381.02,629652.21,1878033.23,1,1.87803323,1.87803323,0.0
20251114,0.0,1914172.05,1914172.05,3,1.9141720500000001,1.9141720500000001,0.0
20251117,1251840.3,761455.76,2013296.06,1,2.01329606,2.01329606,0.0
