日期,股票代码,股票简称,开盘价:不复权今日,收盘价:不复权今日,开盘价:不复权明日,收盘价:不复权明日,涨跌幅:前复权今日,涨跌幅:前复权昨日,开盘收益率,收益率,量比,个股热度排名昨日,连续涨停天数昨日,竞价涨幅今日,实体涨跌幅今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,换手率昨日,个股热度昨日,个股热度前日,大单动向(ddx值)昨日,最低价:不复权今日,开盘后最大跌幅
20240508,002670.SZ,国盛金控,12.35,12.16,12.07,11.7,-3.94944708,-1.40186916,-0.022672065,-0.052631579,0.9637294539245294,8,0,-2.449,-1.539,-2.088,3.133,243213620.0,252367113.0,14.982198,12191822.5,13442205.5,315.862,11.98,-0.029959514
20240508,300905.SZ,宝丽迪,39.78,39.43,38.88,40.08,-3.89958567,17.22857143,-0.022624434,0.0075414781297133,1.3464537061938189,24,0,-3.047,-0.88,9.21,16.901,29153794.0,21652281.0,24.815267,6230093.0,4616766.0,618.745,39.01,-0.019356461
20240508,002231.SZ,奥维通信,5.4,5.23,5.25,5.3,-7.59717314,3.85321101,-0.027777778,-0.018518519,13.96267481737401,29,0,-4.594,-3.148,10.763,0.0,109521825.0,7843900.0,37.148864,5526467.0,4957477.5,2826.37,5.18,-0.040740741
20240508,300563.SZ,神宇股份,22.61,22.25,22.16,21.53,-7.36885928,7.71300448,-0.019902698,-0.047766475,1.0963523939867814,41,0,-5.87,-1.612,3.621,9.384,52578150.0,47957345.0,42.732913,4828936.0,4501943.5,-121.334,20.31,-0.1017249
20240508,300424.SZ,航新科技,15.83,15.99,15.84,17.0,8.7755102,20.0,0.0006317119393556,0.0739102969046115,2.854821713646224,48,1,7.687,1.011,21.005,1.074,38876905.0,13617980.0,16.24499,3939458.5,361278.5,1295.897,15.54,-0.018319646
20240508,300308.SZ,中际旭创,175.5,174.8,173.9,173.18,-1.12562928,-3.5094422,-0.009116809,-0.013219373,1.5533046387361964,53,0,-0.73,-0.4,-5.867,-4.083,30864435.0,19870175.0,4.123415,3743095.0,2392540.5,-448.2,173.5,-0.011396011
20240508,603711.SH,香飘飘,18.44,18.9,18.19,18.09,-2.72774061,1.14523686,-0.013557484,-0.018980477,1.987331639179919,98,0,-5.095,2.543,-1.14,0.0,14935310.0,7515258.0,3.636144,2642508.5,4040145.5,-427.112,18.14,-0.01626898
20240509,600678.SH,四川金顶,6.52,6.56,6.46,6.17,-4.65116279,8.68878357,-0.009202454,-0.053680982,1.8396230540236789,16,0,-5.233,0.614,6.173,9.896,101938313.0,55412609.0,29.209522,7828273.0,3162466.5,2506.68,6.29,-0.035276074
20240509,300719.SZ,安达维尔,22.6,22.33,21.79,20.66,-7.0358035,5.53602812,-0.035840708,-0.085840708,2.166161370453454,27,0,-5.912,-1.205,2.232,17.684,78836347.0,36394494.0,43.890596,6172979.0,4805037.0,1518.097,21.46,-0.050442478
20240509,600796.SH,钱江生化,5.9,5.64,5.55,5.4,-5.36912752,9.96309963,-0.059322034,-0.084745763,5.383032078586442,55,2,-1.007,-4.43,7.429,0.0,56614608.0,10517234.0,18.783744,4059352.0,1534512.5,1887.154,5.51,-0.066101695
20240509,603809.SH,豪能股份,13.19,13.05,12.88,12.71,-4.88338192,4.33460076,-0.023502654,-0.036391205,2.1791505413635317,56,0,-3.863,-1.082,-3.425,9.279,48495605.0,22254362.0,12.339328,3932726.0,2510813.5,-548.805,12.81,-0.028809704
20240509,300721.SZ,怡达股份,14.2,14.3,14.04,13.17,-7.80141844,6.0875513,-0.011267606,-0.072535211,2.3844039645929405,100,0,-8.446,0.709,3.423,13.438,37701628.0,15811762.0,27.487158,2827443.5,2433739.5,-322.827,14.01,-0.013380282
20240510,600505.SH,西昌电力,10.11,11.42,12.56,12.56,10.01926782,4.11233701,0.2423343224530169,0.2423343224530169,2.303853814900215,18,0,-2.601,12.973,-1.05,8.617,62115456.0,26961544.0,17.038122,6355817.0,4845365.0,-448.256,10.11,0.0
20240510,000002.SZ,万科A,7.4,7.56,7.43,7.42,3.56164384,1.38888889,0.0040540540540539,0.0027027027027026,1.1812681251287938,19,0,1.37,2.162,0.829,-3.356,325885120.0,275877350.0,3.353784,6336846.5,5695887.0,-2962.592,7.32,-0.010810811
